subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
6104f2626b46bd21f1c9a1b3	headphonecheck_testphase	3	NA	NA	0	NA	third	1	678
6104f2626b46bd21f1c9a1b3	headphonecheck_testphase	6	NA	NA	0	NA	second	1	417
6104f2626b46bd21f1c9a1b3	headphonecheck_testphase	9	NA	NA	0	NA	third	1	818
6104f2626b46bd21f1c9a1b3	headphonecheck_testphase	12	NA	NA	0	NA	second	1	518
6104f2626b46bd21f1c9a1b3	headphonecheck_testphase	15	NA	NA	0	NA	first	1	258
6104f2626b46bd21f1c9a1b3	headphonecheck_testphase	18	NA	NA	0	NA	first	1	320
6104f2626b46bd21f1c9a1b3	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	1618
6104f2626b46bd21f1c9a1b3	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	710
6104f2626b46bd21f1c9a1b3	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	305
6104f2626b46bd21f1c9a1b3	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	716
6104f2626b46bd21f1c9a1b3	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	770
6104f2626b46bd21f1c9a1b3	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	393
6104f2626b46bd21f1c9a1b3	DL_practice	2	ba	ba	0	left	ba	1	1137
6104f2626b46bd21f1c9a1b3	DL_practice	3	da	da	0	left	da	1	1476
6104f2626b46bd21f1c9a1b3	DL_practice	4	ka	ka	0	left	ka	1	866
6104f2626b46bd21f1c9a1b3	DL_practice	5	da	ba	1	other	ka	0	1273
6104f2626b46bd21f1c9a1b3	DL_practice	6	ka	pa	1	right	pa	1	1164
6104f2626b46bd21f1c9a1b3	DL_practice	7	ta	ta	0	left	ta	1	1367
6104f2626b46bd21f1c9a1b3	DL_practice	8	ga	ga	0	left	ga	1	904
6104f2626b46bd21f1c9a1b3	DL_practice	9	pa	pa	0	left	pa	1	1645
6104f2626b46bd21f1c9a1b3	DL_practice	10	ga	ta	1	other	da	0	1657
6104f2626b46bd21f1c9a1b3	DL_test	1	ga	pa	1	right	pa	1	915
6104f2626b46bd21f1c9a1b3	DL_test	2	ga	da	1	right	da	1	1137
6104f2626b46bd21f1c9a1b3	DL_test	3	da	ta	1	right	ta	1	1111
6104f2626b46bd21f1c9a1b3	DL_test	4	ga	ga	0	left	ga	1	778
6104f2626b46bd21f1c9a1b3	DL_test	5	ka	ka	0	left	ka	1	664
6104f2626b46bd21f1c9a1b3	DL_test	6	da	pa	1	right	pa	1	1257
6104f2626b46bd21f1c9a1b3	DL_test	7	ka	pa	1	left	ka	1	1025
6104f2626b46bd21f1c9a1b3	DL_test	8	pa	ta	1	right	ta	1	1212
6104f2626b46bd21f1c9a1b3	DL_test	9	ba	pa	1	right	pa	1	1112
6104f2626b46bd21f1c9a1b3	DL_test	10	ba	da	1	right	da	1	1264
6104f2626b46bd21f1c9a1b3	DL_test	11	ta	ka	1	right	ka	1	816
6104f2626b46bd21f1c9a1b3	DL_test	12	ta	ga	1	right	ga	1	855
6104f2626b46bd21f1c9a1b3	DL_test	13	da	ga	1	right	ga	1	1244
6104f2626b46bd21f1c9a1b3	DL_test	14	pa	da	1	other	ka	0	1095
6104f2626b46bd21f1c9a1b3	DL_test	15	ka	ta	1	left	ka	1	1526
6104f2626b46bd21f1c9a1b3	DL_test	16	ba	ga	1	right	ga	1	1070
