subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
6153593be7f8925dee8d7db6	headphonecheck_testphase	3	NA	NA	0	NA	second	0	1235
6153593be7f8925dee8d7db6	headphonecheck_testphase	6	NA	NA	0	NA	third	0	2576
6153593be7f8925dee8d7db6	headphonecheck_testphase	9	NA	NA	0	NA	first	0	1736
6153593be7f8925dee8d7db6	headphonecheck_testphase	12	NA	NA	0	NA	third	0	652
6153593be7f8925dee8d7db6	headphonecheck_testphase	15	NA	NA	0	NA	second	0	590
6153593be7f8925dee8d7db6	headphonecheck_testphase	18	NA	NA	0	NA	first	0	1034
6153593be7f8925dee8d7db6	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	6775
6153593be7f8925dee8d7db6	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	1006
6153593be7f8925dee8d7db6	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	2111
6153593be7f8925dee8d7db6	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	39
6153593be7f8925dee8d7db6	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	571
6153593be7f8925dee8d7db6	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	525
6153593be7f8925dee8d7db6	DL_practice	2	ga	ta	1	left	ga	1	1980
6153593be7f8925dee8d7db6	DL_practice	3	da	ba	1	right	ba	1	1931
6153593be7f8925dee8d7db6	DL_practice	4	ba	ba	0	left	ba	1	1162
6153593be7f8925dee8d7db6	DL_practice	5	ta	ta	0	left	ta	1	2018
6153593be7f8925dee8d7db6	DL_practice	6	ka	pa	1	left	ka	1	1306
6153593be7f8925dee8d7db6	DL_practice	7	pa	pa	0	left	pa	1	1675
6153593be7f8925dee8d7db6	DL_practice	8	ka	ka	0	left	ka	1	1070
6153593be7f8925dee8d7db6	DL_practice	9	ga	ga	0	other	ka	0	974
6153593be7f8925dee8d7db6	DL_practice	10	da	da	0	left	da	1	1624
6153593be7f8925dee8d7db6	DL_test	1	ka	ba	1	right	ba	1	1911
6153593be7f8925dee8d7db6	DL_test	2	ga	da	1	left	ga	1	1369
6153593be7f8925dee8d7db6	DL_test	3	ka	pa	1	left	ka	1	1280
6153593be7f8925dee8d7db6	DL_test	4	da	pa	1	left	da	1	1412
6153593be7f8925dee8d7db6	DL_test	5	da	da	0	left	da	1	861
6153593be7f8925dee8d7db6	DL_test	6	da	ka	1	left	da	1	857
6153593be7f8925dee8d7db6	DL_test	7	ga	pa	1	left	ga	1	1370
6153593be7f8925dee8d7db6	DL_test	8	ta	pa	1	left	ta	1	1533
6153593be7f8925dee8d7db6	DL_test	9	ba	ba	0	left	ba	1	1740
6153593be7f8925dee8d7db6	DL_test	10	ba	pa	1	left	ba	1	1330
6153593be7f8925dee8d7db6	DL_test	11	ga	ta	1	left	ga	1	1216
6153593be7f8925dee8d7db6	DL_test	12	da	ta	1	left	da	1	1272
6153593be7f8925dee8d7db6	DL_test	13	pa	ta	1	right	ta	1	1574
6153593be7f8925dee8d7db6	DL_test	14	ka	ga	1	right	ga	1	1297
6153593be7f8925dee8d7db6	DL_test	15	ga	ga	0	left	ga	1	1016
6153593be7f8925dee8d7db6	DL_test	16	ta	ga	1	right	ga	1	742
6153593be7f8925dee8d7db6	DL_test	17	ta	ka	1	right	ka	1	1373
6153593be7f8925dee8d7db6	DL_test	18	pa	ka	1	right	ka	1	1153
6153593be7f8925dee8d7db6	DL_test	19	pa	ga	1	right	ga	1	2235
6153593be7f8925dee8d7db6	DL_test	20	ta	ta	0	left	ta	1	1592
6153593be7f8925dee8d7db6	DL_test	21	ga	ba	1	right	ba	1	1690
6153593be7f8925dee8d7db6	DL_test	22	ta	da	1	right	da	1	1468
6153593be7f8925dee8d7db6	DL_test	23	pa	pa	0	left	pa	1	1200
6153593be7f8925dee8d7db6	DL_test	24	ba	ga	1	left	ba	1	2163
6153593be7f8925dee8d7db6	DL_test	25	ga	ka	1	left	ga	1	931
6153593be7f8925dee8d7db6	DL_test	26	ba	da	1	left	ba	1	1829
6153593be7f8925dee8d7db6	DL_test	27	ka	ka	0	left	ka	1	1366
6153593be7f8925dee8d7db6	DL_test	28	pa	da	1	other	ga	0	1145
6153593be7f8925dee8d7db6	DL_test	29	da	ba	1	right	ba	1	1764
6153593be7f8925dee8d7db6	DL_test	30	ta	ba	1	right	ba	1	1371
6153593be7f8925dee8d7db6	DL_test	31	ka	da	1	other	ga	0	1350
6153593be7f8925dee8d7db6	DL_test	32	pa	ba	1	right	ba	1	2215
6153593be7f8925dee8d7db6	DL_test	33	ba	ka	1	left	ba	1	1752
