subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
616555ec3460f0a519c1cdff	headphonecheck_testphase	3	NA	NA	0	NA	first	0	4429
616555ec3460f0a519c1cdff	headphonecheck_testphase	6	NA	NA	0	NA	third	0	1023
616555ec3460f0a519c1cdff	headphonecheck_testphase	9	NA	NA	0	NA	second	0	531
616555ec3460f0a519c1cdff	headphonecheck_testphase	12	NA	NA	0	NA	second	1	473
616555ec3460f0a519c1cdff	headphonecheck_testphase	15	NA	NA	0	NA	first	1	649
616555ec3460f0a519c1cdff	headphonecheck_testphase	18	NA	NA	0	NA	first	0	1284
616555ec3460f0a519c1cdff	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	1112
616555ec3460f0a519c1cdff	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	433
616555ec3460f0a519c1cdff	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	282
616555ec3460f0a519c1cdff	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	325
616555ec3460f0a519c1cdff	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	330
616555ec3460f0a519c1cdff	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	325
616555ec3460f0a519c1cdff	DL_practice	2	ga	ta	1	left	ga	1	1092
616555ec3460f0a519c1cdff	DL_practice	3	ka	pa	1	left	ka	1	1140
616555ec3460f0a519c1cdff	DL_practice	4	da	da	0	left	da	1	1020
616555ec3460f0a519c1cdff	DL_practice	5	ba	ba	0	left	ba	1	1675
616555ec3460f0a519c1cdff	DL_practice	6	da	ba	1	right	ba	1	932
616555ec3460f0a519c1cdff	DL_practice	7	ta	ta	0	left	ta	1	1100
616555ec3460f0a519c1cdff	DL_practice	8	ga	ga	0	left	ga	1	692
616555ec3460f0a519c1cdff	DL_practice	9	ka	ka	0	left	ka	1	809
616555ec3460f0a519c1cdff	DL_practice	10	pa	pa	0	left	pa	1	681
616555ec3460f0a519c1cdff	DL_test	1	ta	ka	1	right	ka	1	794
616555ec3460f0a519c1cdff	DL_test	2	ka	da	1	right	da	1	1092
616555ec3460f0a519c1cdff	DL_test	3	da	da	0	left	da	1	782
616555ec3460f0a519c1cdff	DL_test	4	ka	ba	1	other	pa	0	1628
616555ec3460f0a519c1cdff	DL_test	5	ba	ba	0	left	ba	1	1023
616555ec3460f0a519c1cdff	DL_test	6	pa	ka	1	right	ka	1	758
616555ec3460f0a519c1cdff	DL_test	7	pa	ga	1	right	ga	1	1189
616555ec3460f0a519c1cdff	DL_test	8	ga	da	1	right	da	1	1130
616555ec3460f0a519c1cdff	DL_test	9	da	ga	1	left	da	1	807
616555ec3460f0a519c1cdff	DL_test	10	ta	da	1	right	da	1	819
616555ec3460f0a519c1cdff	DL_test	11	ka	pa	1	left	ka	1	904
616555ec3460f0a519c1cdff	DL_test	12	ba	pa	1	right	pa	1	1286
616555ec3460f0a519c1cdff	DL_test	13	pa	ta	1	right	ta	1	1077
616555ec3460f0a519c1cdff	DL_test	14	pa	pa	0	left	pa	1	994
616555ec3460f0a519c1cdff	DL_test	15	ka	ga	1	right	ga	1	892
616555ec3460f0a519c1cdff	DL_test	16	ta	ta	0	left	ta	1	1040
616555ec3460f0a519c1cdff	DL_test	17	ga	ga	0	left	ga	1	808
616555ec3460f0a519c1cdff	DL_test	18	ka	ka	0	left	ka	1	740
616555ec3460f0a519c1cdff	DL_test	19	da	ta	1	left	da	1	977
616555ec3460f0a519c1cdff	DL_test	20	ba	da	1	left	ba	1	1171
616555ec3460f0a519c1cdff	DL_test	21	ga	ta	1	left	ga	1	779
616555ec3460f0a519c1cdff	DL_test	22	da	pa	1	other	ga	0	1058
616555ec3460f0a519c1cdff	DL_test	23	ka	ta	1	left	ka	1	970
616555ec3460f0a519c1cdff	DL_test	24	ba	ga	1	left	ba	1	1006
616555ec3460f0a519c1cdff	DL_test	25	pa	da	1	right	da	1	1038
616555ec3460f0a519c1cdff	DL_test	26	da	ka	1	left	da	1	726
616555ec3460f0a519c1cdff	DL_test	27	ta	pa	1	left	ta	1	1070
616555ec3460f0a519c1cdff	DL_test	28	ga	pa	1	left	ga	1	916
616555ec3460f0a519c1cdff	DL_test	29	ba	ka	1	right	ka	1	1039
616555ec3460f0a519c1cdff	DL_test	30	ta	ga	1	right	ga	1	898
616555ec3460f0a519c1cdff	DL_test	31	ta	ba	1	other	pa	0	949
616555ec3460f0a519c1cdff	DL_test	32	ga	ka	1	left	ga	1	823
616555ec3460f0a519c1cdff	DL_test	33	ga	ba	1	right	ba	1	1109
616555ec3460f0a519c1cdff	DL_test	34	da	ba	1	right	ba	1	681
616555ec3460f0a519c1cdff	DL_test	35	pa	ba	1	left	pa	1	949
616555ec3460f0a519c1cdff	DL_test	36	ba	ta	1	other	pa	0	720
616555ec3460f0a519c1cdff	DL_test	1	ta	ka	1	other	ga	0	890
616555ec3460f0a519c1cdff	DL_test	2	da	ta	1	left	da	1	889
616555ec3460f0a519c1cdff	DL_test	3	pa	ta	1	right	ta	1	996
616555ec3460f0a519c1cdff	DL_test	4	ga	ka	1	left	ga	1	1024
616555ec3460f0a519c1cdff	DL_test	5	ta	pa	1	left	ta	1	1130
616555ec3460f0a519c1cdff	DL_test	6	ba	pa	1	right	pa	1	908
616555ec3460f0a519c1cdff	DL_test	7	ga	ga	0	left	ga	1	702
616555ec3460f0a519c1cdff	DL_test	8	ka	ka	0	left	ka	1	685
616555ec3460f0a519c1cdff	DL_test	9	ba	ga	1	left	ba	1	2299
616555ec3460f0a519c1cdff	DL_test	10	da	ka	1	other	ga	0	1512
616555ec3460f0a519c1cdff	DL_test	11	pa	da	1	right	da	1	824
616555ec3460f0a519c1cdff	DL_test	12	ka	ta	1	left	ka	1	760
616555ec3460f0a519c1cdff	DL_test	13	ba	ta	1	other	pa	0	813
616555ec3460f0a519c1cdff	DL_test	14	da	ga	1	right	ga	1	774
616555ec3460f0a519c1cdff	DL_test	15	ka	ba	1	left	ka	1	969
616555ec3460f0a519c1cdff	DL_test	16	ga	ba	1	right	ba	1	1055
616555ec3460f0a519c1cdff	DL_test	17	ga	pa	1	other	ka	0	897
616555ec3460f0a519c1cdff	DL_test	18	ga	ta	1	left	ga	1	688
616555ec3460f0a519c1cdff	DL_test	19	ba	ba	0	left	ba	1	1096
616555ec3460f0a519c1cdff	DL_test	20	ga	da	1	right	da	1	1017
616555ec3460f0a519c1cdff	DL_test	21	pa	ba	1	left	pa	1	654
616555ec3460f0a519c1cdff	DL_test	22	ta	ga	1	right	ga	1	656
616555ec3460f0a519c1cdff	DL_test	23	da	pa	1	other	ka	0	908
616555ec3460f0a519c1cdff	DL_test	24	pa	ka	1	right	ka	1	769
616555ec3460f0a519c1cdff	DL_test	25	pa	ga	1	right	ga	1	774
616555ec3460f0a519c1cdff	DL_test	26	ka	ga	1	right	ga	1	1340
616555ec3460f0a519c1cdff	DL_test	27	pa	pa	0	left	pa	1	729
616555ec3460f0a519c1cdff	DL_test	28	ba	da	1	other	pa	0	1474
616555ec3460f0a519c1cdff	DL_test	29	ka	pa	1	left	ka	1	1498
616555ec3460f0a519c1cdff	DL_test	30	da	ba	1	right	ba	1	780
616555ec3460f0a519c1cdff	DL_test	31	ka	da	1	left	ka	1	840
616555ec3460f0a519c1cdff	DL_test	32	ta	ba	1	other	pa	0	1574
616555ec3460f0a519c1cdff	DL_test	33	ta	ta	0	left	ta	1	1007
616555ec3460f0a519c1cdff	DL_test	34	da	da	0	left	da	1	1009
616555ec3460f0a519c1cdff	DL_test	35	ta	da	1	right	da	1	1401
616555ec3460f0a519c1cdff	DL_test	36	ba	ka	1	right	ka	1	932
616555ec3460f0a519c1cdff	DL_test	1	ka	pa	1	left	ka	1	853
616555ec3460f0a519c1cdff	DL_test	2	ka	ga	1	right	ga	1	707
616555ec3460f0a519c1cdff	DL_test	3	da	ba	1	other	pa	0	679
616555ec3460f0a519c1cdff	DL_test	4	da	da	0	left	da	1	1005
616555ec3460f0a519c1cdff	DL_test	5	da	ka	1	left	da	1	855
616555ec3460f0a519c1cdff	DL_test	6	ta	ga	1	right	ga	1	1265
616555ec3460f0a519c1cdff	DL_test	7	ta	ba	1	other	pa	0	744
616555ec3460f0a519c1cdff	DL_test	8	ta	ta	0	left	ta	1	934
