subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
6175e05636b79082f8d345c5	headphonecheck_testphase	3	NA	NA	0	NA	third	1	1077
6175e05636b79082f8d345c5	headphonecheck_testphase	6	NA	NA	0	NA	second	1	621
6175e05636b79082f8d345c5	headphonecheck_testphase	9	NA	NA	0	NA	first	1	541
6175e05636b79082f8d345c5	headphonecheck_testphase	12	NA	NA	0	NA	first	1	462
6175e05636b79082f8d345c5	headphonecheck_testphase	15	NA	NA	0	NA	third	1	5516
6175e05636b79082f8d345c5	headphonecheck_testphase	18	NA	NA	0	NA	second	1	464
6175e05636b79082f8d345c5	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	2768
6175e05636b79082f8d345c5	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	739
6175e05636b79082f8d345c5	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	574
6175e05636b79082f8d345c5	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	741
6175e05636b79082f8d345c5	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	514
6175e05636b79082f8d345c5	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	398
6175e05636b79082f8d345c5	DL_practice	2	da	da	0	left	da	1	2152
6175e05636b79082f8d345c5	DL_practice	3	ga	ga	0	left	ga	1	1861
6175e05636b79082f8d345c5	DL_practice	4	ka	ka	0	left	ka	1	1566
6175e05636b79082f8d345c5	DL_practice	5	ga	ta	1	left	ga	1	1848
6175e05636b79082f8d345c5	DL_practice	6	ka	pa	1	left	ka	1	1803
6175e05636b79082f8d345c5	DL_practice	7	ta	ta	0	left	ta	1	1768
6175e05636b79082f8d345c5	DL_practice	8	da	ba	1	left	da	1	1920
6175e05636b79082f8d345c5	DL_practice	9	ba	ba	0	left	ba	1	1883
6175e05636b79082f8d345c5	DL_practice	10	pa	pa	0	left	pa	1	1628
6175e05636b79082f8d345c5	DL_test	1	pa	da	1	left	pa	1	1909
6175e05636b79082f8d345c5	DL_test	2	da	ka	1	other	pa	0	1275
6175e05636b79082f8d345c5	DL_test	3	pa	ka	1	right	ka	1	1412
6175e05636b79082f8d345c5	DL_test	4	ga	ba	1	other	da	0	2282
6175e05636b79082f8d345c5	DL_test	5	pa	ba	1	left	pa	1	2217
6175e05636b79082f8d345c5	DL_test	6	ba	ka	1	right	ka	1	1657
6175e05636b79082f8d345c5	DL_test	7	ta	ba	1	left	ta	1	1768
6175e05636b79082f8d345c5	DL_test	8	ba	ba	0	left	ba	1	1666
6175e05636b79082f8d345c5	DL_test	9	ba	ga	1	other	da	0	1598
6175e05636b79082f8d345c5	DL_test	10	pa	ga	1	left	pa	1	2072
6175e05636b79082f8d345c5	DL_test	11	ta	ga	1	other	ka	0	1521
6175e05636b79082f8d345c5	DL_test	12	ta	da	1	left	ta	1	1683
6175e05636b79082f8d345c5	DL_test	13	da	pa	1	right	pa	1	1387
6175e05636b79082f8d345c5	DL_test	14	ta	pa	1	left	ta	1	1447
6175e05636b79082f8d345c5	DL_test	15	ka	da	1	left	ka	1	2053
6175e05636b79082f8d345c5	DL_test	16	ka	ka	0	left	ka	1	1171
6175e05636b79082f8d345c5	DL_test	17	ta	ka	1	right	ka	1	1090
6175e05636b79082f8d345c5	DL_test	18	ka	ta	1	left	ka	1	1060
6175e05636b79082f8d345c5	DL_test	19	ka	pa	1	right	pa	1	1352
6175e05636b79082f8d345c5	DL_test	20	da	ga	1	left	da	1	1684
6175e05636b79082f8d345c5	DL_test	21	ba	pa	1	right	pa	1	1546
6175e05636b79082f8d345c5	DL_test	22	ta	ta	0	left	ta	1	1521
6175e05636b79082f8d345c5	DL_test	23	ba	ta	1	other	pa	0	3450
6175e05636b79082f8d345c5	DL_test	24	ka	ga	1	left	ka	1	1638
6175e05636b79082f8d345c5	DL_test	25	ga	da	1	right	da	1	1276
6175e05636b79082f8d345c5	DL_test	26	pa	pa	0	left	pa	1	2002
6175e05636b79082f8d345c5	DL_test	27	ka	ba	1	left	ka	1	1417
6175e05636b79082f8d345c5	DL_test	28	ga	ka	1	right	ka	1	1574
6175e05636b79082f8d345c5	DL_test	29	pa	ta	1	left	pa	1	1741
6175e05636b79082f8d345c5	DL_test	30	da	ba	1	left	da	1	1814
6175e05636b79082f8d345c5	DL_test	31	ga	pa	1	right	pa	1	1861
6175e05636b79082f8d345c5	DL_test	32	ga	ta	1	other	ka	0	1453
6175e05636b79082f8d345c5	DL_test	33	ga	ga	0	left	ga	1	1300
6175e05636b79082f8d345c5	DL_test	34	ba	da	1	right	da	1	1449
6175e05636b79082f8d345c5	DL_test	35	da	da	0	left	da	1	972
6175e05636b79082f8d345c5	DL_test	36	da	ta	1	right	ta	1	1731
6175e05636b79082f8d345c5	DL_test	1	ba	pa	1	right	pa	1	1561
6175e05636b79082f8d345c5	DL_test	2	da	pa	1	right	pa	1	900
6175e05636b79082f8d345c5	DL_test	3	da	ba	1	left	da	1	1786
6175e05636b79082f8d345c5	DL_test	4	pa	da	1	left	pa	1	1507
6175e05636b79082f8d345c5	DL_test	5	da	ka	1	other	pa	0	921
6175e05636b79082f8d345c5	DL_test	6	ka	ga	1	left	ka	1	1276
6175e05636b79082f8d345c5	DL_test	7	ka	ka	0	left	ka	1	914
6175e05636b79082f8d345c5	DL_test	8	ta	ba	1	left	ta	1	1605
6175e05636b79082f8d345c5	DL_test	9	ga	da	1	right	da	1	1680
6175e05636b79082f8d345c5	DL_test	10	pa	ga	1	left	pa	1	1691
6175e05636b79082f8d345c5	DL_test	11	pa	ba	1	left	pa	1	2112
6175e05636b79082f8d345c5	DL_test	12	ka	ba	1	left	ka	1	1473
6175e05636b79082f8d345c5	DL_test	13	ka	ta	1	left	ka	1	860
6175e05636b79082f8d345c5	DL_test	14	da	ta	1	right	ta	1	1561
6175e05636b79082f8d345c5	DL_test	15	pa	pa	0	left	pa	1	1454
6175e05636b79082f8d345c5	DL_test	16	ka	pa	1	right	pa	1	1316
6175e05636b79082f8d345c5	DL_test	17	ba	ta	1	right	ta	1	1755
6175e05636b79082f8d345c5	DL_test	18	ga	ga	0	left	ga	1	1423
6175e05636b79082f8d345c5	DL_test	19	da	ga	1	left	da	1	2026
6175e05636b79082f8d345c5	DL_test	20	ta	da	1	left	ta	1	1841
6175e05636b79082f8d345c5	DL_test	21	ba	ba	0	left	ba	1	1881
6175e05636b79082f8d345c5	DL_test	22	ka	da	1	left	ka	1	1618
6175e05636b79082f8d345c5	DL_test	23	ga	ka	1	right	ka	1	1635
6175e05636b79082f8d345c5	DL_test	24	ta	ta	0	left	ta	1	1311
6175e05636b79082f8d345c5	DL_test	25	ba	ka	1	right	ka	1	1845
6175e05636b79082f8d345c5	DL_test	26	pa	ka	1	right	ka	1	1190
6175e05636b79082f8d345c5	DL_test	27	ba	da	1	right	da	1	2221
6175e05636b79082f8d345c5	DL_test	28	ta	ga	1	right	ga	1	1746
6175e05636b79082f8d345c5	DL_test	29	ga	pa	1	right	pa	1	1670
6175e05636b79082f8d345c5	DL_test	30	ga	ba	1	other	da	0	1765
6175e05636b79082f8d345c5	DL_test	31	pa	ta	1	right	ta	1	1668
6175e05636b79082f8d345c5	DL_test	32	ta	ka	1	right	ka	1	1540
6175e05636b79082f8d345c5	DL_test	33	da	da	0	left	da	1	1658
6175e05636b79082f8d345c5	DL_test	34	ga	ta	1	right	ta	1	1762
6175e05636b79082f8d345c5	DL_test	35	ba	ga	1	other	da	0	2104
6175e05636b79082f8d345c5	DL_test	36	ta	pa	1	left	ta	1	1873
6175e05636b79082f8d345c5	DL_test	1	da	ka	1	other	pa	0	1441
6175e05636b79082f8d345c5	DL_test	2	ga	ga	0	other	da	0	1377
6175e05636b79082f8d345c5	DL_test	3	ta	ka	1	right	ka	1	1190
6175e05636b79082f8d345c5	DL_test	4	ba	ga	1	other	da	0	1537
6175e05636b79082f8d345c5	DL_test	5	da	ga	1	left	da	1	5845
6175e05636b79082f8d345c5	DL_test	6	ga	ta	1	other	ka	0	1441
6175e05636b79082f8d345c5	DL_test	7	da	ba	1	left	da	1	1344
6175e05636b79082f8d345c5	DL_test	8	ka	pa	1	left	ka	1	1271
6175e05636b79082f8d345c5	DL_test	9	da	da	0	left	da	1	1542
6175e05636b79082f8d345c5	DL_test	10	pa	pa	0	left	pa	1	1791
6175e05636b79082f8d345c5	DL_test	11	ta	ta	0	left	ta	1	2387
6175e05636b79082f8d345c5	DL_test	12	ta	ba	1	left	ta	1	1392
6175e05636b79082f8d345c5	DL_test	13	ka	ba	1	left	ka	1	1273
6175e05636b79082f8d345c5	DL_test	14	pa	da	1	left	pa	1	1363
6175e05636b79082f8d345c5	DL_test	15	pa	ga	1	left	pa	1	1253
6175e05636b79082f8d345c5	DL_test	16	ta	pa	1	left	ta	1	1129
6175e05636b79082f8d345c5	DL_test	17	da	pa	1	right	pa	1	1337
6175e05636b79082f8d345c5	DL_test	18	ta	da	1	left	ta	1	1557
6175e05636b79082f8d345c5	DL_test	19	ba	ba	0	left	ba	1	2064
6175e05636b79082f8d345c5	DL_test	20	pa	ba	1	left	pa	1	1861
6175e05636b79082f8d345c5	DL_test	21	pa	ka	1	right	ka	1	1193
6175e05636b79082f8d345c5	DL_test	22	ba	ta	1	right	ta	1	1396
6175e05636b79082f8d345c5	DL_test	23	ga	ka	1	right	ka	1	1642
6175e05636b79082f8d345c5	DL_test	24	ga	da	1	right	da	1	1603
6175e05636b79082f8d345c5	DL_test	25	ka	ta	1	left	ka	1	1294
6175e05636b79082f8d345c5	DL_test	26	ka	da	1	left	ka	1	1009
6175e05636b79082f8d345c5	DL_test	27	ba	pa	1	right	pa	1	1285
6175e05636b79082f8d345c5	DL_test	28	ka	ka	0	left	ka	1	1349
6175e05636b79082f8d345c5	DL_test	29	ba	ka	1	right	ka	1	1407
6175e05636b79082f8d345c5	DL_test	30	ba	da	1	right	da	1	1681
6175e05636b79082f8d345c5	DL_test	31	pa	ta	1	right	ta	1	1489
6175e05636b79082f8d345c5	DL_test	32	ga	ba	1	other	da	0	1671
6175e05636b79082f8d345c5	DL_test	33	ta	ga	1	other	ka	0	1667
6175e05636b79082f8d345c5	DL_test	34	ka	ga	1	left	ka	1	1048
6175e05636b79082f8d345c5	DL_test	35	da	ta	1	right	ta	1	1339
6175e05636b79082f8d345c5	DL_test	36	ga	pa	1	right	pa	1	1139
6175e05636b79082f8d345c5	DL_test	1	ka	ba	1	left	ka	1	1191
6175e05636b79082f8d345c5	DL_test	2	da	ta	1	right	ta	1	1764
6175e05636b79082f8d345c5	DL_test	3	da	ga	1	left	da	1	1430
6175e05636b79082f8d345c5	DL_test	4	da	da	0	left	da	1	1051
6175e05636b79082f8d345c5	DL_test	5	ka	ka	0	left	ka	1	1814
6175e05636b79082f8d345c5	DL_test	6	ta	ta	0	left	ta	1	1711
6175e05636b79082f8d345c5	DL_test	7	pa	ba	1	left	pa	1	1000
6175e05636b79082f8d345c5	DL_test	8	pa	pa	0	left	pa	1	760
6175e05636b79082f8d345c5	DL_test	9	ta	ka	1	right	ka	1	1404
6175e05636b79082f8d345c5	DL_test	10	ka	pa	1	left	ka	1	857
6175e05636b79082f8d345c5	DL_test	11	ta	pa	1	left	ta	1	1529
6175e05636b79082f8d345c5	DL_test	12	ta	ga	1	other	ka	0	1672
6175e05636b79082f8d345c5	DL_test	13	pa	ka	1	right	ka	1	923
6175e05636b79082f8d345c5	DL_test	14	ba	ga	1	left	ba	1	2183
6175e05636b79082f8d345c5	DL_test	15	da	ka	1	other	pa	0	1505
6175e05636b79082f8d345c5	DL_test	16	ba	ka	1	right	ka	1	1331
6175e05636b79082f8d345c5	DL_test	17	pa	ga	1	left	pa	1	1561
6175e05636b79082f8d345c5	DL_test	18	ta	da	1	left	ta	1	1348
6175e05636b79082f8d345c5	DL_test	19	ba	ta	1	right	ta	1	2273
6175e05636b79082f8d345c5	DL_test	20	ta	ba	1	left	ta	1	929
6175e05636b79082f8d345c5	DL_test	21	da	ba	1	left	da	1	1773
6175e05636b79082f8d345c5	DL_test	22	ka	da	1	left	ka	1	1706
6175e05636b79082f8d345c5	DL_test	23	ka	ga	1	left	ka	1	961
6175e05636b79082f8d345c5	DL_test	24	ga	ta	1	left	ga	1	1242
6175e05636b79082f8d345c5	DL_test	25	ba	da	1	right	da	1	1125
6175e05636b79082f8d345c5	DL_test	26	ga	pa	1	right	pa	1	1653
6175e05636b79082f8d345c5	DL_test	27	ga	da	1	right	da	1	1759
6175e05636b79082f8d345c5	DL_test	28	ba	pa	1	right	pa	1	1857
6175e05636b79082f8d345c5	DL_test	29	ga	ba	1	other	da	0	1782
6175e05636b79082f8d345c5	DL_test	30	pa	da	1	left	pa	1	1722
6175e05636b79082f8d345c5	DL_test	31	ka	ta	1	left	ka	1	2823
6175e05636b79082f8d345c5	DL_test	32	pa	ta	1	right	ta	1	1408
6175e05636b79082f8d345c5	DL_test	33	ba	ba	0	left	ba	1	1702
6175e05636b79082f8d345c5	DL_test	34	ga	ka	1	right	ka	1	1357
