subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
628f9b391ab8b87c64643248	headphonecheck_testphase	3	NA	NA	0	NA	first	1	2172
628f9b391ab8b87c64643248	headphonecheck_testphase	6	NA	NA	0	NA	second	1	653
628f9b391ab8b87c64643248	headphonecheck_testphase	9	NA	NA	0	NA	third	1	530
628f9b391ab8b87c64643248	headphonecheck_testphase	12	NA	NA	0	NA	third	1	602
628f9b391ab8b87c64643248	headphonecheck_testphase	15	NA	NA	0	NA	first	1	514
628f9b391ab8b87c64643248	headphonecheck_testphase	18	NA	NA	0	NA	second	1	553
628f9b391ab8b87c64643248	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	7360
628f9b391ab8b87c64643248	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	2323
628f9b391ab8b87c64643248	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	825
628f9b391ab8b87c64643248	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	1178
628f9b391ab8b87c64643248	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	244
628f9b391ab8b87c64643248	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	520
628f9b391ab8b87c64643248	DL_practice	2	ga	ta	1	left	ga	1	1662
628f9b391ab8b87c64643248	DL_practice	3	ta	ta	0	left	ta	1	1659
628f9b391ab8b87c64643248	DL_practice	4	ka	ka	0	left	ka	1	1070
628f9b391ab8b87c64643248	DL_practice	5	da	da	0	left	da	1	1306
628f9b391ab8b87c64643248	DL_practice	6	ba	ba	0	other	pa	0	1975
628f9b391ab8b87c64643248	DL_practice	7	ga	ga	0	left	ga	1	1074
628f9b391ab8b87c64643248	DL_practice	8	pa	pa	0	left	pa	1	1453
628f9b391ab8b87c64643248	DL_practice	9	da	ba	1	other	ka	0	1597
628f9b391ab8b87c64643248	DL_practice	10	ka	pa	1	left	ka	1	1107
628f9b391ab8b87c64643248	DL_test	1	pa	pa	0	left	pa	1	1937
628f9b391ab8b87c64643248	DL_test	2	ga	da	1	left	ga	1	1037
628f9b391ab8b87c64643248	DL_test	3	ba	ba	0	other	ta	0	1348
628f9b391ab8b87c64643248	DL_test	4	ka	ga	1	left	ka	1	1034
628f9b391ab8b87c64643248	DL_test	5	ta	ka	1	left	ta	1	1394
628f9b391ab8b87c64643248	DL_test	6	ta	pa	1	left	ta	1	1379
628f9b391ab8b87c64643248	DL_test	7	ka	pa	1	left	ka	1	1082
628f9b391ab8b87c64643248	DL_test	8	da	da	0	left	da	1	1282
628f9b391ab8b87c64643248	DL_test	9	ta	ta	0	left	ta	1	1665
628f9b391ab8b87c64643248	DL_test	10	ga	ga	0	left	ga	1	1296
628f9b391ab8b87c64643248	DL_test	11	pa	ta	1	right	ta	1	2038
628f9b391ab8b87c64643248	DL_test	12	pa	ba	1	left	pa	1	1146
628f9b391ab8b87c64643248	DL_test	13	ka	da	1	left	ka	1	1042
628f9b391ab8b87c64643248	DL_test	14	da	ta	1	left	da	1	1019
628f9b391ab8b87c64643248	DL_test	15	ba	ka	1	other	ta	0	1699
628f9b391ab8b87c64643248	DL_test	16	ba	da	1	other	ta	0	1600
628f9b391ab8b87c64643248	DL_test	17	ka	ta	1	left	ka	1	1094
628f9b391ab8b87c64643248	DL_test	18	da	pa	1	left	da	1	1176
628f9b391ab8b87c64643248	DL_test	19	da	ba	1	other	ta	0	1545
628f9b391ab8b87c64643248	DL_test	20	ka	ka	0	left	ka	1	1395
628f9b391ab8b87c64643248	DL_test	21	ka	ba	1	other	ta	0	1659
628f9b391ab8b87c64643248	DL_test	22	pa	ka	1	other	ta	0	1674
628f9b391ab8b87c64643248	DL_test	23	ga	pa	1	left	ga	1	1119
628f9b391ab8b87c64643248	DL_test	24	ta	ga	1	other	ka	0	1284
628f9b391ab8b87c64643248	DL_test	25	ba	ta	1	right	ta	1	1446
628f9b391ab8b87c64643248	DL_test	26	ta	ba	1	left	ta	1	6144
628f9b391ab8b87c64643248	DL_test	27	ba	pa	1	other	ta	0	2173
628f9b391ab8b87c64643248	DL_test	28	ga	ka	1	left	ga	1	1917
628f9b391ab8b87c64643248	DL_test	29	ga	ba	1	other	ka	0	1323
628f9b391ab8b87c64643248	DL_test	30	pa	ga	1	other	ka	0	904
628f9b391ab8b87c64643248	DL_test	31	ba	ga	1	other	ta	0	1370
628f9b391ab8b87c64643248	DL_test	32	ga	ta	1	left	ga	1	969
628f9b391ab8b87c64643248	DL_test	33	ta	da	1	left	ta	1	1552
