subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
6296bef3248bf76cc113926b	headphonecheck_testphase	3	NA	NA	0	NA	first	0	1384
6296bef3248bf76cc113926b	headphonecheck_testphase	6	NA	NA	0	NA	third	1	448
6296bef3248bf76cc113926b	headphonecheck_testphase	9	NA	NA	0	NA	first	1	415
6296bef3248bf76cc113926b	headphonecheck_testphase	12	NA	NA	0	NA	second	1	1292
6296bef3248bf76cc113926b	headphonecheck_testphase	15	NA	NA	0	NA	third	1	521
6296bef3248bf76cc113926b	headphonecheck_testphase	18	NA	NA	0	NA	first	1	311
6296bef3248bf76cc113926b	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	707
6296bef3248bf76cc113926b	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	227
6296bef3248bf76cc113926b	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	282
6296bef3248bf76cc113926b	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	282
6296bef3248bf76cc113926b	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	289
6296bef3248bf76cc113926b	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	240
6296bef3248bf76cc113926b	DL_practice	2	pa	pa	0	left	pa	1	1192
6296bef3248bf76cc113926b	DL_practice	3	ka	pa	1	left	ka	1	1228
6296bef3248bf76cc113926b	DL_practice	4	ka	ka	0	left	ka	1	933
6296bef3248bf76cc113926b	DL_practice	5	ga	ta	1	other	ka	0	1641
6296bef3248bf76cc113926b	DL_practice	6	ba	ba	0	left	ba	1	1239
6296bef3248bf76cc113926b	DL_practice	7	ta	ta	0	left	ta	1	1306
6296bef3248bf76cc113926b	DL_practice	8	da	ba	1	left	da	1	1317
6296bef3248bf76cc113926b	DL_practice	9	ga	ga	0	left	ga	1	1022
6296bef3248bf76cc113926b	DL_practice	10	da	da	0	left	da	1	909
6296bef3248bf76cc113926b	DL_test	1	ta	da	1	left	ta	1	1585
6296bef3248bf76cc113926b	DL_test	2	ga	ka	1	right	ka	1	2317
6296bef3248bf76cc113926b	DL_test	3	ta	ta	0	left	ta	1	1358
6296bef3248bf76cc113926b	DL_test	4	ba	ta	1	other	pa	0	1996
6296bef3248bf76cc113926b	DL_test	5	da	da	0	left	da	1	1709
6296bef3248bf76cc113926b	DL_test	6	ga	da	1	left	ga	1	989
6296bef3248bf76cc113926b	DL_test	7	ba	ga	1	left	ba	1	1197
6296bef3248bf76cc113926b	DL_test	8	ka	pa	1	right	pa	1	1961
6296bef3248bf76cc113926b	DL_test	9	pa	pa	0	left	pa	1	876
6296bef3248bf76cc113926b	DL_test	10	da	ka	1	other	pa	0	1171
6296bef3248bf76cc113926b	DL_test	11	pa	ba	1	left	pa	1	857
6296bef3248bf76cc113926b	DL_test	12	ka	da	1	left	ka	1	739
6296bef3248bf76cc113926b	DL_test	13	ka	ba	1	left	ka	1	964
6296bef3248bf76cc113926b	DL_test	14	ka	ta	1	left	ka	1	822
6296bef3248bf76cc113926b	DL_test	15	ga	ga	0	left	ga	1	1378
6296bef3248bf76cc113926b	DL_test	16	ga	pa	1	right	pa	1	1035
6296bef3248bf76cc113926b	DL_test	17	ta	ka	1	right	ka	1	1316
6296bef3248bf76cc113926b	DL_test	18	ta	pa	1	left	ta	1	1978
6296bef3248bf76cc113926b	DL_test	19	da	ta	1	right	ta	1	937
6296bef3248bf76cc113926b	DL_test	20	ga	ta	1	other	ka	0	2929
6296bef3248bf76cc113926b	DL_test	21	ba	ba	0	left	ba	1	1395
6296bef3248bf76cc113926b	DL_test	22	ba	ka	1	right	ka	1	2215
6296bef3248bf76cc113926b	DL_test	23	da	ga	1	left	da	1	1458
6296bef3248bf76cc113926b	DL_test	24	pa	ga	1	left	pa	1	1242
6296bef3248bf76cc113926b	DL_test	25	ka	ka	0	left	ka	1	2400
6296bef3248bf76cc113926b	DL_test	26	ta	ba	1	other	pa	0	1060
6296bef3248bf76cc113926b	DL_test	27	da	pa	1	right	pa	1	754
6296bef3248bf76cc113926b	DL_test	28	da	ba	1	left	da	1	1443
6296bef3248bf76cc113926b	DL_test	29	ka	ga	1	left	ka	1	1005
6296bef3248bf76cc113926b	DL_test	30	ta	ga	1	other	ka	0	768
6296bef3248bf76cc113926b	DL_test	31	pa	ka	1	left	pa	1	1054
6296bef3248bf76cc113926b	DL_test	32	ba	da	1	left	ba	1	1942
6296bef3248bf76cc113926b	DL_test	33	pa	ta	1	other	ba	0	1040
6296bef3248bf76cc113926b	DL_test	34	pa	da	1	left	pa	1	1960
6296bef3248bf76cc113926b	DL_test	35	ba	pa	1	right	pa	1	937
6296bef3248bf76cc113926b	DL_test	36	ga	ba	1	right	ba	1	1592
6296bef3248bf76cc113926b	DL_test	1	da	ga	1	left	da	1	1489
6296bef3248bf76cc113926b	DL_test	2	ga	ta	1	other	ka	0	1644
6296bef3248bf76cc113926b	DL_test	3	pa	pa	0	left	pa	1	618
6296bef3248bf76cc113926b	DL_test	4	ka	ba	1	left	ka	1	816
6296bef3248bf76cc113926b	DL_test	5	ta	pa	1	left	ta	1	1249
6296bef3248bf76cc113926b	DL_test	6	pa	ba	1	left	pa	1	1062
6296bef3248bf76cc113926b	DL_test	7	ba	ka	1	right	ka	1	909
6296bef3248bf76cc113926b	DL_test	8	ga	ka	1	right	ka	1	654
6296bef3248bf76cc113926b	DL_test	9	pa	ka	1	left	pa	1	1435
6296bef3248bf76cc113926b	DL_test	10	ta	ka	1	right	ka	1	1039
6296bef3248bf76cc113926b	DL_test	11	ba	ta	1	other	pa	0	754
6296bef3248bf76cc113926b	DL_test	12	ka	pa	1	right	pa	1	770
6296bef3248bf76cc113926b	DL_test	13	ka	ta	1	left	ka	1	997
6296bef3248bf76cc113926b	DL_test	14	ka	ka	0	left	ka	1	650
6296bef3248bf76cc113926b	DL_test	15	ba	da	1	left	ba	1	1719
6296bef3248bf76cc113926b	DL_test	16	ka	da	1	left	ka	1	1307
6296bef3248bf76cc113926b	DL_test	17	ta	ga	1	other	ka	0	1146
6296bef3248bf76cc113926b	DL_test	18	da	pa	1	right	pa	1	697
6296bef3248bf76cc113926b	DL_test	19	da	ba	1	right	ba	1	1764
6296bef3248bf76cc113926b	DL_test	20	da	ka	1	other	pa	0	1256
6296bef3248bf76cc113926b	DL_test	21	pa	da	1	left	pa	1	720
6296bef3248bf76cc113926b	DL_test	22	ba	ga	1	left	ba	1	1526
6296bef3248bf76cc113926b	DL_test	23	ta	ta	0	left	ta	1	1336
6296bef3248bf76cc113926b	DL_test	24	ka	ga	1	left	ka	1	1393
6296bef3248bf76cc113926b	DL_test	25	ga	pa	1	right	pa	1	1150
6296bef3248bf76cc113926b	DL_test	26	da	ta	1	right	ta	1	1992
6296bef3248bf76cc113926b	DL_test	27	pa	ta	1	right	ta	1	700
6296bef3248bf76cc113926b	DL_test	28	ta	ba	1	left	ta	1	635
6296bef3248bf76cc113926b	DL_test	29	ga	da	1	right	da	1	1810
6296bef3248bf76cc113926b	DL_test	30	pa	ga	1	left	pa	1	1179
6296bef3248bf76cc113926b	DL_test	31	ba	pa	1	right	pa	1	757
6296bef3248bf76cc113926b	DL_test	32	ta	da	1	other	ka	0	1621
6296bef3248bf76cc113926b	DL_test	33	ga	ga	0	left	ga	1	2521
6296bef3248bf76cc113926b	DL_test	34	ba	ba	0	left	ba	1	1672
6296bef3248bf76cc113926b	DL_test	35	da	da	0	left	da	1	721
6296bef3248bf76cc113926b	DL_test	36	ga	ba	1	right	ba	1	2053
6296bef3248bf76cc113926b	DL_test	1	ka	ka	0	left	ka	1	2012
6296bef3248bf76cc113926b	DL_test	2	da	ga	1	left	da	1	995
6296bef3248bf76cc113926b	DL_test	3	ga	ta	1	other	ka	0	1024
6296bef3248bf76cc113926b	DL_test	4	ba	ba	0	other	da	0	1022
6296bef3248bf76cc113926b	DL_test	5	da	ta	1	other	ka	0	1109
6296bef3248bf76cc113926b	DL_test	6	ga	ga	0	left	ga	1	1758
6296bef3248bf76cc113926b	DL_test	7	ka	ba	1	left	ka	1	1074
6296bef3248bf76cc113926b	DL_test	8	ta	ta	0	left	ta	1	1388
6296bef3248bf76cc113926b	DL_test	9	ba	da	1	left	ba	1	1606
6296bef3248bf76cc113926b	DL_test	10	ba	pa	1	right	pa	1	1440
6296bef3248bf76cc113926b	DL_test	11	ga	ba	1	right	ba	1	1644
6296bef3248bf76cc113926b	DL_test	12	ga	pa	1	right	pa	1	1327
6296bef3248bf76cc113926b	DL_test	13	ga	ka	1	right	ka	1	2065
6296bef3248bf76cc113926b	DL_test	14	da	ba	1	right	ba	1	2509
6296bef3248bf76cc113926b	DL_test	15	pa	ga	1	left	pa	1	1502
6296bef3248bf76cc113926b	DL_test	16	ta	ga	1	other	ka	0	1265
6296bef3248bf76cc113926b	DL_test	17	ta	pa	1	right	pa	1	1358
6296bef3248bf76cc113926b	DL_test	18	ka	ga	1	left	ka	1	817
6296bef3248bf76cc113926b	DL_test	19	da	pa	1	right	pa	1	760
6296bef3248bf76cc113926b	DL_test	20	ka	ta	1	left	ka	1	784
6296bef3248bf76cc113926b	DL_test	21	da	da	0	left	da	1	1041
6296bef3248bf76cc113926b	DL_test	22	ba	ka	1	right	ka	1	955
6296bef3248bf76cc113926b	DL_test	23	ka	pa	1	right	pa	1	728
6296bef3248bf76cc113926b	DL_test	24	ga	da	1	right	da	1	1108
6296bef3248bf76cc113926b	DL_test	25	ka	da	1	left	ka	1	1110
6296bef3248bf76cc113926b	DL_test	26	pa	ba	1	left	pa	1	947
6296bef3248bf76cc113926b	DL_test	27	ta	ba	1	left	ta	1	1081
6296bef3248bf76cc113926b	DL_test	28	pa	da	1	left	pa	1	950
6296bef3248bf76cc113926b	DL_test	29	ba	ga	1	left	ba	1	2558
6296bef3248bf76cc113926b	DL_test	30	pa	ta	1	right	ta	1	1190
6296bef3248bf76cc113926b	DL_test	31	pa	ka	1	right	ka	1	1188
6296bef3248bf76cc113926b	DL_test	32	ta	da	1	left	ta	1	2024
6296bef3248bf76cc113926b	DL_test	33	pa	pa	0	left	pa	1	1332
6296bef3248bf76cc113926b	DL_test	34	da	ka	1	other	pa	0	1186
6296bef3248bf76cc113926b	DL_test	35	ta	ka	1	right	ka	1	1049
6296bef3248bf76cc113926b	DL_test	36	ba	ta	1	other	pa	0	1287
6296bef3248bf76cc113926b	DL_test	1	da	pa	1	right	pa	1	819
6296bef3248bf76cc113926b	DL_test	2	ta	ka	1	right	ka	1	1249
6296bef3248bf76cc113926b	DL_test	3	ta	ba	1	left	ta	1	1639
6296bef3248bf76cc113926b	DL_test	4	ba	ta	1	other	pa	0	984
6296bef3248bf76cc113926b	DL_test	5	da	ka	1	other	pa	0	1072
6296bef3248bf76cc113926b	DL_test	6	ta	ga	1	other	ka	0	1292
6296bef3248bf76cc113926b	DL_test	7	ka	ga	1	left	ka	1	847
6296bef3248bf76cc113926b	DL_test	8	ba	ba	0	left	ba	1	1327
6296bef3248bf76cc113926b	DL_test	9	ka	da	1	left	ka	1	1458
6296bef3248bf76cc113926b	DL_test	10	pa	ga	1	left	pa	1	1243
6296bef3248bf76cc113926b	DL_test	11	ka	pa	1	left	ka	1	1086
6296bef3248bf76cc113926b	DL_test	12	ba	ga	1	other	da	0	1760
6296bef3248bf76cc113926b	DL_test	13	ga	ka	1	right	ka	1	1651
6296bef3248bf76cc113926b	DL_test	14	da	ba	1	right	ba	1	1909
6296bef3248bf76cc113926b	DL_test	15	ta	ta	0	other	ka	0	1678
6296bef3248bf76cc113926b	DL_test	16	pa	pa	0	left	pa	1	1452
6296bef3248bf76cc113926b	DL_test	17	ga	ba	1	right	ba	1	1694
6296bef3248bf76cc113926b	DL_test	18	ga	da	1	right	da	1	1346
6296bef3248bf76cc113926b	DL_test	19	pa	ka	1	right	ka	1	1370
6296bef3248bf76cc113926b	DL_test	20	da	ga	1	left	da	1	1799
6296bef3248bf76cc113926b	DL_test	21	pa	ta	1	other	ka	0	1578
6296bef3248bf76cc113926b	DL_test	22	ta	pa	1	left	ta	1	1586
6296bef3248bf76cc113926b	DL_test	23	ta	da	1	other	ka	0	1489
6296bef3248bf76cc113926b	DL_test	24	ba	da	1	left	ba	1	1757
6296bef3248bf76cc113926b	DL_test	25	da	da	0	left	da	1	892
6296bef3248bf76cc113926b	DL_test	26	ga	ga	0	left	ga	1	991
6296bef3248bf76cc113926b	DL_test	27	ka	ka	0	left	ka	1	1649
6296bef3248bf76cc113926b	DL_test	28	pa	ba	1	left	pa	1	1023
6296bef3248bf76cc113926b	DL_test	29	ka	ba	1	other	pa	0	1393
6296bef3248bf76cc113926b	DL_test	30	ka	ta	1	other	pa	0	909
6296bef3248bf76cc113926b	DL_test	31	ba	pa	1	right	pa	1	1321
6296bef3248bf76cc113926b	DL_test	32	pa	da	1	left	pa	1	835
6296bef3248bf76cc113926b	DL_test	33	ga	pa	1	right	pa	1	1172
6296bef3248bf76cc113926b	DL_test	34	ga	ta	1	other	ka	0	1016
6296bef3248bf76cc113926b	DL_test	35	ba	ka	1	right	ka	1	880
6296bef3248bf76cc113926b	DL_test	36	da	ta	1	other	ka	0	790
