subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
629b3b3c89d490460eacbfbc	headphonecheck_testphase	3	NA	NA	0	NA	third	1	8594
629b3b3c89d490460eacbfbc	headphonecheck_testphase	6	NA	NA	0	NA	first	1	1008
629b3b3c89d490460eacbfbc	headphonecheck_testphase	9	NA	NA	0	NA	second	1	750
629b3b3c89d490460eacbfbc	headphonecheck_testphase	12	NA	NA	0	NA	second	1	342
629b3b3c89d490460eacbfbc	headphonecheck_testphase	15	NA	NA	0	NA	first	1	215
629b3b3c89d490460eacbfbc	headphonecheck_testphase	18	NA	NA	0	NA	third	1	440
629b3b3c89d490460eacbfbc	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	2683
629b3b3c89d490460eacbfbc	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	725
629b3b3c89d490460eacbfbc	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	706
629b3b3c89d490460eacbfbc	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	273
629b3b3c89d490460eacbfbc	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	299
629b3b3c89d490460eacbfbc	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	281
629b3b3c89d490460eacbfbc	DL_practice	2	ba	ba	0	other	pa	0	3166
629b3b3c89d490460eacbfbc	DL_practice	3	ga	ga	0	left	ga	1	4134
629b3b3c89d490460eacbfbc	DL_practice	4	ka	ka	0	left	ka	1	1642
629b3b3c89d490460eacbfbc	DL_practice	5	da	ba	1	left	da	1	1366
629b3b3c89d490460eacbfbc	DL_practice	6	ka	pa	1	right	pa	1	1991
629b3b3c89d490460eacbfbc	DL_practice	7	da	da	0	left	da	1	1404
629b3b3c89d490460eacbfbc	DL_practice	8	pa	pa	0	left	pa	1	1467
629b3b3c89d490460eacbfbc	DL_practice	9	ta	ta	0	left	ta	1	1692
629b3b3c89d490460eacbfbc	DL_practice	10	ga	ta	1	right	ta	1	1716
629b3b3c89d490460eacbfbc	DL_test	1	ka	ba	1	other	ta	0	1466
629b3b3c89d490460eacbfbc	DL_test	2	ga	ta	1	other	ka	0	1599
629b3b3c89d490460eacbfbc	DL_test	3	ga	pa	1	right	pa	1	1367
629b3b3c89d490460eacbfbc	DL_test	4	ba	ga	1	other	da	0	1684
629b3b3c89d490460eacbfbc	DL_test	5	da	ka	1	other	pa	0	1839
629b3b3c89d490460eacbfbc	DL_test	6	ta	ka	1	left	ta	1	1007
629b3b3c89d490460eacbfbc	DL_test	7	ga	ba	1	other	da	0	1991
629b3b3c89d490460eacbfbc	DL_test	8	pa	ka	1	left	pa	1	1358
