subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
62a8f3aeaf0846daa75fbc3d	headphonecheck_testphase	3	NA	NA	0	NA	first	0	2190
62a8f3aeaf0846daa75fbc3d	headphonecheck_testphase	6	NA	NA	0	NA	second	1	2416
62a8f3aeaf0846daa75fbc3d	headphonecheck_testphase	9	NA	NA	0	NA	second	0	1513
62a8f3aeaf0846daa75fbc3d	headphonecheck_testphase	12	NA	NA	0	NA	second	1	19992
62a8f3aeaf0846daa75fbc3d	headphonecheck_testphase	15	NA	NA	0	NA	first	1	1155
62a8f3aeaf0846daa75fbc3d	headphonecheck_testphase	18	NA	NA	0	NA	first	1	300
62a8f3aeaf0846daa75fbc3d	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	1103
62a8f3aeaf0846daa75fbc3d	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	1390
62a8f3aeaf0846daa75fbc3d	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	872
62a8f3aeaf0846daa75fbc3d	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	515
62a8f3aeaf0846daa75fbc3d	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	453
62a8f3aeaf0846daa75fbc3d	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	458
62a8f3aeaf0846daa75fbc3d	DL_practice	2	ka	ka	0	left	ka	1	1454
62a8f3aeaf0846daa75fbc3d	DL_practice	3	ba	ba	0	left	ba	1	1590
62a8f3aeaf0846daa75fbc3d	DL_practice	4	da	da	0	left	da	1	1159
62a8f3aeaf0846daa75fbc3d	DL_practice	5	ga	ga	0	left	ga	1	1003
62a8f3aeaf0846daa75fbc3d	DL_practice	6	da	ba	1	other	pa	0	1154
62a8f3aeaf0846daa75fbc3d	DL_practice	7	ka	pa	1	left	ka	1	1309
62a8f3aeaf0846daa75fbc3d	DL_practice	8	ta	ta	0	left	ta	1	979
62a8f3aeaf0846daa75fbc3d	DL_practice	9	pa	pa	0	left	pa	1	1601
62a8f3aeaf0846daa75fbc3d	DL_practice	10	ga	ta	1	left	ga	1	1223
62a8f3aeaf0846daa75fbc3d	DL_test	1	ta	ba	1	other	pa	0	1329
62a8f3aeaf0846daa75fbc3d	DL_test	2	ka	da	1	other	ga	0	936
62a8f3aeaf0846daa75fbc3d	DL_test	3	da	pa	1	left	da	1	1307
62a8f3aeaf0846daa75fbc3d	DL_test	4	ga	ka	1	left	ga	1	1176
62a8f3aeaf0846daa75fbc3d	DL_test	5	ta	ga	1	right	ga	1	950
62a8f3aeaf0846daa75fbc3d	DL_test	6	ba	ga	1	other	pa	0	1679
62a8f3aeaf0846daa75fbc3d	DL_test	7	ka	pa	1	left	ka	1	1159
62a8f3aeaf0846daa75fbc3d	DL_test	8	da	ka	1	left	da	1	1509
62a8f3aeaf0846daa75fbc3d	DL_test	9	ta	ta	0	left	ta	1	1593
62a8f3aeaf0846daa75fbc3d	DL_test	10	ga	ba	1	right	ba	1	1568
62a8f3aeaf0846daa75fbc3d	DL_test	11	da	ta	1	left	da	1	1564
62a8f3aeaf0846daa75fbc3d	DL_test	12	ta	da	1	right	da	1	1194
62a8f3aeaf0846daa75fbc3d	DL_test	13	pa	ba	1	left	pa	1	1669
62a8f3aeaf0846daa75fbc3d	DL_test	14	ga	ga	0	left	ga	1	1133
62a8f3aeaf0846daa75fbc3d	DL_test	15	ka	ba	1	other	pa	0	1668
62a8f3aeaf0846daa75fbc3d	DL_test	16	pa	ta	1	right	ta	1	1231
62a8f3aeaf0846daa75fbc3d	DL_test	17	ba	ta	1	other	pa	0	1165
62a8f3aeaf0846daa75fbc3d	DL_test	18	pa	da	1	right	da	1	1408
62a8f3aeaf0846daa75fbc3d	DL_test	19	ba	pa	1	right	pa	1	1349
62a8f3aeaf0846daa75fbc3d	DL_test	20	da	ba	1	left	da	1	1468
62a8f3aeaf0846daa75fbc3d	DL_test	21	ka	ga	1	right	ga	1	1315
62a8f3aeaf0846daa75fbc3d	DL_test	22	da	da	0	left	da	1	969
62a8f3aeaf0846daa75fbc3d	DL_test	23	ka	ta	1	left	ka	1	1421
62a8f3aeaf0846daa75fbc3d	DL_test	24	pa	pa	0	left	pa	1	1341
62a8f3aeaf0846daa75fbc3d	DL_test	25	ga	da	1	left	ga	1	1593
