subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
62b5fea64b239d91783414ff	headphonecheck_testphase	3	NA	NA	0	NA	first	0	3061
62b5fea64b239d91783414ff	headphonecheck_testphase	6	NA	NA	0	NA	second	0	1130
62b5fea64b239d91783414ff	headphonecheck_testphase	9	NA	NA	0	NA	third	0	1289
62b5fea64b239d91783414ff	headphonecheck_testphase	12	NA	NA	0	NA	second	0	921
62b5fea64b239d91783414ff	headphonecheck_testphase	15	NA	NA	0	NA	first	0	1859
62b5fea64b239d91783414ff	headphonecheck_testphase	18	NA	NA	0	NA	third	0	1436
62b5fea64b239d91783414ff	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	7711
62b5fea64b239d91783414ff	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	0	4829
62b5fea64b239d91783414ff	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	962
62b5fea64b239d91783414ff	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	0	756
62b5fea64b239d91783414ff	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	416
62b5fea64b239d91783414ff	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	0	489
62b5fea64b239d91783414ff	DL_practice	2	ga	ta	1	left	ga	1	1306
62b5fea64b239d91783414ff	DL_practice	3	pa	pa	0	left	pa	1	1382
62b5fea64b239d91783414ff	DL_practice	4	ga	ga	0	left	ga	1	1211
62b5fea64b239d91783414ff	DL_practice	5	ka	pa	1	other	ta	0	2020
62b5fea64b239d91783414ff	DL_practice	6	da	ba	1	right	ba	1	2134
62b5fea64b239d91783414ff	DL_practice	7	ba	ba	0	left	ba	1	1328
62b5fea64b239d91783414ff	DL_practice	8	da	da	0	left	da	1	1228
62b5fea64b239d91783414ff	DL_practice	9	ka	ka	0	left	ka	1	1601
62b5fea64b239d91783414ff	DL_practice	10	ta	ta	0	left	ta	1	1464
62b5fea64b239d91783414ff	DL_test	1	ka	ba	1	left	ka	1	3086
62b5fea64b239d91783414ff	DL_test	2	da	da	0	left	da	1	1107
62b5fea64b239d91783414ff	DL_test	3	da	ta	1	left	da	1	861
62b5fea64b239d91783414ff	DL_test	4	ga	ta	1	left	ga	1	1401
62b5fea64b239d91783414ff	DL_test	5	pa	ta	1	right	ta	1	1557
62b5fea64b239d91783414ff	DL_test	6	pa	da	1	other	ta	0	2925
62b5fea64b239d91783414ff	DL_test	7	ba	ta	1	other	da	0	2186
62b5fea64b239d91783414ff	DL_test	8	pa	ga	1	right	ga	1	1237
62b5fea64b239d91783414ff	DL_test	9	da	ba	1	right	ba	1	2966
62b5fea64b239d91783414ff	DL_test	10	ba	da	1	left	ba	1	1018
62b5fea64b239d91783414ff	DL_test	11	ga	ga	0	left	ga	1	1735
62b5fea64b239d91783414ff	DL_test	12	ba	ba	0	left	ba	1	1288
62b5fea64b239d91783414ff	DL_test	13	pa	ka	1	right	ka	1	1407
62b5fea64b239d91783414ff	DL_test	14	ga	da	1	left	ga	1	1270
62b5fea64b239d91783414ff	DL_test	15	ga	ka	1	right	ka	1	1170
62b5fea64b239d91783414ff	DL_test	16	ta	ga	1	other	ka	0	1278
62b5fea64b239d91783414ff	DL_test	17	ba	pa	1	right	pa	1	1735
62b5fea64b239d91783414ff	DL_test	18	ta	ta	0	left	ta	1	876
62b5fea64b239d91783414ff	DL_test	19	ka	ta	1	right	ta	1	3316
62b5fea64b239d91783414ff	DL_test	20	pa	pa	0	left	pa	1	1059
62b5fea64b239d91783414ff	DL_test	21	da	pa	1	other	ga	0	1336
62b5fea64b239d91783414ff	DL_test	22	ka	ka	0	left	ka	1	1205
62b5fea64b239d91783414ff	DL_test	23	ka	da	1	other	ga	0	1639
62b5fea64b239d91783414ff	DL_test	24	ba	ka	1	other	ta	0	1756
62b5fea64b239d91783414ff	DL_test	25	ga	pa	1	right	pa	1	2140
62b5fea64b239d91783414ff	DL_test	26	ga	ba	1	right	ba	1	3218
62b5fea64b239d91783414ff	DL_test	27	pa	ba	1	left	pa	1	1733
62b5fea64b239d91783414ff	DL_test	28	ta	pa	1	left	ta	1	1100
62b5fea64b239d91783414ff	DL_test	29	ta	ka	1	right	ka	1	1342
62b5fea64b239d91783414ff	DL_test	30	ta	ba	1	left	ta	1	1280
62b5fea64b239d91783414ff	DL_test	31	ba	ga	1	left	ba	1	1837
62b5fea64b239d91783414ff	DL_test	32	ka	ga	1	right	ga	1	840
62b5fea64b239d91783414ff	DL_test	33	ka	pa	1	left	ka	1	1255
62b5fea64b239d91783414ff	DL_test	34	ta	da	1	left	ta	1	1585
62b5fea64b239d91783414ff	DL_test	35	da	ka	1	right	ka	1	1708
62b5fea64b239d91783414ff	DL_test	36	da	ga	1	right	ga	1	952
62b5fea64b239d91783414ff	DL_test	1	ga	pa	1	other	ka	0	1347
62b5fea64b239d91783414ff	DL_test	2	pa	da	1	other	ka	0	1282
62b5fea64b239d91783414ff	DL_test	3	da	da	0	left	da	1	992
62b5fea64b239d91783414ff	DL_test	4	da	ba	1	right	ba	1	1399
62b5fea64b239d91783414ff	DL_test	5	da	pa	1	other	ta	0	1714
62b5fea64b239d91783414ff	DL_test	6	ta	ta	0	left	ta	1	1062
62b5fea64b239d91783414ff	DL_test	7	ba	pa	1	left	ba	1	1957
62b5fea64b239d91783414ff	DL_test	8	ta	ba	1	right	ba	1	1195
62b5fea64b239d91783414ff	DL_test	9	pa	ba	1	right	ba	1	1887
62b5fea64b239d91783414ff	DL_test	10	da	ta	1	left	da	1	1190
62b5fea64b239d91783414ff	DL_test	11	ga	ta	1	left	ga	1	954
62b5fea64b239d91783414ff	DL_test	12	da	ga	1	right	ga	1	670
62b5fea64b239d91783414ff	DL_test	13	ga	ka	1	left	ga	1	733
62b5fea64b239d91783414ff	DL_test	14	pa	ka	1	right	ka	1	941
62b5fea64b239d91783414ff	DL_test	15	ka	ba	1	left	ka	1	1355
62b5fea64b239d91783414ff	DL_test	16	ba	ta	1	other	pa	0	1507
62b5fea64b239d91783414ff	DL_test	17	ga	ga	0	left	ga	1	940
62b5fea64b239d91783414ff	DL_test	18	ga	da	1	left	ga	1	672
62b5fea64b239d91783414ff	DL_test	19	ka	pa	1	left	ka	1	1023
62b5fea64b239d91783414ff	DL_test	20	ba	ga	1	right	ga	1	664
62b5fea64b239d91783414ff	DL_test	21	da	ka	1	other	ga	0	1112
62b5fea64b239d91783414ff	DL_test	22	ta	pa	1	left	ta	1	1657
62b5fea64b239d91783414ff	DL_test	23	ka	ka	0	left	ka	1	1418
62b5fea64b239d91783414ff	DL_test	24	pa	pa	0	left	pa	1	1146
62b5fea64b239d91783414ff	DL_test	25	ka	da	1	other	ga	0	1495
62b5fea64b239d91783414ff	DL_test	26	ta	da	1	right	da	1	1339
62b5fea64b239d91783414ff	DL_test	27	ta	ga	1	right	ga	1	858
62b5fea64b239d91783414ff	DL_test	28	ba	ba	0	left	ba	1	1275
62b5fea64b239d91783414ff	DL_test	29	ka	ta	1	left	ka	1	1741
62b5fea64b239d91783414ff	DL_test	30	pa	ga	1	other	ta	0	2603
62b5fea64b239d91783414ff	DL_test	31	ka	ga	1	right	ga	1	1350
62b5fea64b239d91783414ff	DL_test	32	ba	da	1	left	ba	1	1793
62b5fea64b239d91783414ff	DL_test	33	ga	ba	1	other	da	0	2166
62b5fea64b239d91783414ff	DL_test	34	ba	ka	1	other	da	0	968
62b5fea64b239d91783414ff	DL_test	35	ta	ka	1	right	ka	1	2387
62b5fea64b239d91783414ff	DL_test	36	pa	ta	1	right	ta	1	1442
62b5fea64b239d91783414ff	DL_test	1	ba	ga	1	left	ba	1	1710
62b5fea64b239d91783414ff	DL_test	2	ga	ta	1	left	ga	1	955
62b5fea64b239d91783414ff	DL_test	3	ka	pa	1	left	ka	1	698
62b5fea64b239d91783414ff	DL_test	4	ka	ba	1	other	da	0	1427
62b5fea64b239d91783414ff	DL_test	5	pa	ba	1	right	ba	1	1642
62b5fea64b239d91783414ff	DL_test	6	ga	ba	1	right	ba	1	820
62b5fea64b239d91783414ff	DL_test	7	da	ta	1	left	da	1	1037
62b5fea64b239d91783414ff	DL_test	8	pa	ka	1	right	ka	1	1334
62b5fea64b239d91783414ff	DL_test	9	ta	ta	0	left	ta	1	1076
62b5fea64b239d91783414ff	DL_test	10	ga	ga	0	left	ga	1	1556
62b5fea64b239d91783414ff	DL_test	11	ba	pa	1	right	pa	1	1827
