subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
632c0075227e9b734c80424d	headphonecheck_testphase	3	NA	NA	0	NA	first	1	661
632c0075227e9b734c80424d	headphonecheck_testphase	6	NA	NA	0	NA	third	1	304
632c0075227e9b734c80424d	headphonecheck_testphase	9	NA	NA	0	NA	first	1	234
632c0075227e9b734c80424d	headphonecheck_testphase	12	NA	NA	0	NA	second	1	243
632c0075227e9b734c80424d	headphonecheck_testphase	15	NA	NA	0	NA	third	1	250
632c0075227e9b734c80424d	headphonecheck_testphase	18	NA	NA	0	NA	second	1	326
632c0075227e9b734c80424d	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	611
632c0075227e9b734c80424d	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	372
632c0075227e9b734c80424d	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	321
632c0075227e9b734c80424d	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	356
632c0075227e9b734c80424d	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	363
632c0075227e9b734c80424d	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	387
632c0075227e9b734c80424d	DL_practice	2	ga	ta	1	right	ta	1	2229
632c0075227e9b734c80424d	DL_practice	3	da	ba	1	right	ba	1	1852
632c0075227e9b734c80424d	DL_practice	4	da	da	0	left	da	1	696
632c0075227e9b734c80424d	DL_practice	5	ba	ba	0	left	ba	1	1283
632c0075227e9b734c80424d	DL_practice	6	pa	pa	0	left	pa	1	1220
632c0075227e9b734c80424d	DL_practice	7	ta	ta	0	left	ta	1	1682
632c0075227e9b734c80424d	DL_practice	8	ka	pa	1	right	pa	1	1869
632c0075227e9b734c80424d	DL_practice	9	ka	ka	0	left	ka	1	838
632c0075227e9b734c80424d	DL_practice	10	ga	ga	0	left	ga	1	1126
632c0075227e9b734c80424d	DL_test	1	ga	da	1	right	da	1	1154
632c0075227e9b734c80424d	DL_test	2	da	ba	1	right	ba	1	1200
