subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63c53ebbbe4c337aef4f6119	headphonecheck_testphase	3	NA	NA	0	NA	third	1	72
63c53ebbbe4c337aef4f6119	headphonecheck_testphase	6	NA	NA	0	NA	third	1	655
63c53ebbbe4c337aef4f6119	headphonecheck_testphase	9	NA	NA	0	NA	second	1	349
63c53ebbbe4c337aef4f6119	headphonecheck_testphase	12	NA	NA	0	NA	first	1	375
63c53ebbbe4c337aef4f6119	headphonecheck_testphase	15	NA	NA	0	NA	second	1	259
63c53ebbbe4c337aef4f6119	headphonecheck_testphase	18	NA	NA	0	NA	first	1	241
63c53ebbbe4c337aef4f6119	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	270
63c53ebbbe4c337aef4f6119	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	226
63c53ebbbe4c337aef4f6119	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	191
63c53ebbbe4c337aef4f6119	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	175
63c53ebbbe4c337aef4f6119	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	177
63c53ebbbe4c337aef4f6119	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	208
63c53ebbbe4c337aef4f6119	DL_practice	2	ka	pa	1	left	ka	1	2073
63c53ebbbe4c337aef4f6119	DL_practice	3	da	da	0	left	da	1	1044
63c53ebbbe4c337aef4f6119	DL_practice	4	ga	ga	0	left	ga	1	1860
63c53ebbbe4c337aef4f6119	DL_practice	5	pa	pa	0	left	pa	1	658
63c53ebbbe4c337aef4f6119	DL_practice	6	da	ba	1	left	da	1	882
63c53ebbbe4c337aef4f6119	DL_practice	7	ka	ka	0	left	ka	1	951
63c53ebbbe4c337aef4f6119	DL_practice	8	ta	ta	0	other	ka	0	908
63c53ebbbe4c337aef4f6119	DL_practice	9	ba	ba	0	left	ba	1	1147
63c53ebbbe4c337aef4f6119	DL_practice	10	ga	ta	1	other	ka	0	933
63c53ebbbe4c337aef4f6119	DL_test	1	ta	ka	1	right	ka	1	683
63c53ebbbe4c337aef4f6119	DL_test	2	ba	ka	1	right	ka	1	915
63c53ebbbe4c337aef4f6119	DL_test	3	pa	ga	1	left	pa	1	1059
63c53ebbbe4c337aef4f6119	DL_test	4	da	ta	1	other	ka	0	900
63c53ebbbe4c337aef4f6119	DL_test	5	ga	ga	0	left	ga	1	750
63c53ebbbe4c337aef4f6119	DL_test	6	ba	ta	1	other	ka	0	1905
63c53ebbbe4c337aef4f6119	DL_test	7	ga	ka	1	right	ka	1	643
63c53ebbbe4c337aef4f6119	DL_test	8	ka	pa	1	right	pa	1	1068
63c53ebbbe4c337aef4f6119	DL_test	9	ta	ta	0	left	ta	1	1060
63c53ebbbe4c337aef4f6119	DL_test	10	pa	da	1	left	pa	1	1203
63c53ebbbe4c337aef4f6119	DL_test	11	da	da	0	left	da	1	1314
63c53ebbbe4c337aef4f6119	DL_test	12	ta	ba	1	other	ka	0	2676
63c53ebbbe4c337aef4f6119	DL_test	13	pa	ba	1	left	pa	1	938
63c53ebbbe4c337aef4f6119	DL_test	14	ka	ta	1	left	ka	1	784
63c53ebbbe4c337aef4f6119	DL_test	15	ka	da	1	left	ka	1	607
63c53ebbbe4c337aef4f6119	DL_test	16	ka	ka	0	left	ka	1	507
63c53ebbbe4c337aef4f6119	DL_test	17	ba	ga	1	left	ba	1	1449
63c53ebbbe4c337aef4f6119	DL_test	18	ta	pa	1	other	ba	0	1194
63c53ebbbe4c337aef4f6119	DL_test	19	ba	ba	0	left	ba	1	655
63c53ebbbe4c337aef4f6119	DL_test	20	da	ka	1	other	ba	0	1241
63c53ebbbe4c337aef4f6119	DL_test	21	ta	ga	1	other	ka	0	900
63c53ebbbe4c337aef4f6119	DL_test	22	ta	da	1	other	ka	0	631
63c53ebbbe4c337aef4f6119	DL_test	23	da	pa	1	other	ka	0	640
63c53ebbbe4c337aef4f6119	DL_test	24	pa	ta	1	other	ka	0	1136
63c53ebbbe4c337aef4f6119	DL_test	25	ka	ba	1	left	ka	1	1440
63c53ebbbe4c337aef4f6119	DL_test	26	ba	pa	1	left	ba	1	2162
63c53ebbbe4c337aef4f6119	DL_test	27	da	ba	1	left	da	1	1435
63c53ebbbe4c337aef4f6119	DL_test	28	da	ga	1	right	ga	1	711
63c53ebbbe4c337aef4f6119	DL_test	29	pa	ka	1	left	pa	1	1110
63c53ebbbe4c337aef4f6119	DL_test	30	ka	ga	1	left	ka	1	757
