subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63d4061bc9ec9cf926d6c9f7	headphonecheck_testphase	3	NA	NA	0	NA	third	1	741
63d4061bc9ec9cf926d6c9f7	headphonecheck_testphase	6	NA	NA	0	NA	second	1	759
63d4061bc9ec9cf926d6c9f7	headphonecheck_testphase	9	NA	NA	0	NA	second	1	514
63d4061bc9ec9cf926d6c9f7	headphonecheck_testphase	12	NA	NA	0	NA	first	1	476
63d4061bc9ec9cf926d6c9f7	headphonecheck_testphase	15	NA	NA	0	NA	first	1	342
63d4061bc9ec9cf926d6c9f7	headphonecheck_testphase	18	NA	NA	0	NA	third	1	504
63d4061bc9ec9cf926d6c9f7	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	500
63d4061bc9ec9cf926d6c9f7	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	519
63d4061bc9ec9cf926d6c9f7	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	391
63d4061bc9ec9cf926d6c9f7	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	1551
63d4061bc9ec9cf926d6c9f7	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	318
63d4061bc9ec9cf926d6c9f7	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	334
63d4061bc9ec9cf926d6c9f7	DL_practice	2	ka	ka	0	left	ka	1	1533
63d4061bc9ec9cf926d6c9f7	DL_practice	3	da	da	0	left	da	1	1187
63d4061bc9ec9cf926d6c9f7	DL_practice	4	ta	ta	0	left	ta	1	1703
63d4061bc9ec9cf926d6c9f7	DL_practice	5	ka	pa	1	right	pa	1	1591
63d4061bc9ec9cf926d6c9f7	DL_practice	6	ba	ba	0	left	ba	1	1489
63d4061bc9ec9cf926d6c9f7	DL_practice	7	da	ba	1	left	da	1	1700
63d4061bc9ec9cf926d6c9f7	DL_practice	8	ga	ta	1	right	ta	1	1967
63d4061bc9ec9cf926d6c9f7	DL_practice	9	pa	pa	0	left	pa	1	2231
63d4061bc9ec9cf926d6c9f7	DL_practice	10	ga	ga	0	left	ga	1	1349
63d4061bc9ec9cf926d6c9f7	DL_test	1	ba	ga	1	right	ga	1	1092
63d4061bc9ec9cf926d6c9f7	DL_test	2	da	ba	1	right	ba	1	1357
63d4061bc9ec9cf926d6c9f7	DL_test	3	ta	ta	0	left	ta	1	1634
63d4061bc9ec9cf926d6c9f7	DL_test	4	ba	ta	1	right	ta	1	1855
63d4061bc9ec9cf926d6c9f7	DL_test	5	ba	ba	0	left	ba	1	1523
63d4061bc9ec9cf926d6c9f7	DL_test	6	ka	pa	1	other	ta	0	1726
63d4061bc9ec9cf926d6c9f7	DL_test	7	ba	da	1	right	da	1	1445
