subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63d6ffe31d0f4bc7fad6c995	headphonecheck_testphase	3	NA	NA	0	NA	first	0	1672
63d6ffe31d0f4bc7fad6c995	headphonecheck_testphase	6	NA	NA	0	NA	second	1	4145
63d6ffe31d0f4bc7fad6c995	headphonecheck_testphase	9	NA	NA	0	NA	first	1	664
63d6ffe31d0f4bc7fad6c995	headphonecheck_testphase	12	NA	NA	0	NA	third	1	335
63d6ffe31d0f4bc7fad6c995	headphonecheck_testphase	15	NA	NA	0	NA	third	1	844
63d6ffe31d0f4bc7fad6c995	headphonecheck_testphase	18	NA	NA	0	NA	first	1	600
63d6ffe31d0f4bc7fad6c995	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	298
63d6ffe31d0f4bc7fad6c995	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	359
63d6ffe31d0f4bc7fad6c995	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	506
63d6ffe31d0f4bc7fad6c995	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	486
63d6ffe31d0f4bc7fad6c995	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	374
63d6ffe31d0f4bc7fad6c995	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	490
63d6ffe31d0f4bc7fad6c995	DL_practice	2	ta	ta	0	left	ta	1	1859
63d6ffe31d0f4bc7fad6c995	DL_practice	3	ga	ta	1	left	ga	1	1571
63d6ffe31d0f4bc7fad6c995	DL_practice	4	ka	ka	0	left	ka	1	1356
63d6ffe31d0f4bc7fad6c995	DL_practice	5	ga	ga	0	other	da	0	1332
63d6ffe31d0f4bc7fad6c995	DL_practice	6	pa	pa	0	left	pa	1	1487
63d6ffe31d0f4bc7fad6c995	DL_practice	7	da	ba	1	left	da	1	1658
63d6ffe31d0f4bc7fad6c995	DL_practice	8	ba	ba	0	left	ba	1	2282
63d6ffe31d0f4bc7fad6c995	DL_practice	9	ka	pa	1	right	pa	1	2005
63d6ffe31d0f4bc7fad6c995	DL_practice	10	da	da	0	left	da	1	1394
63d6ffe31d0f4bc7fad6c995	DL_test	1	ba	pa	1	right	pa	1	1870
63d6ffe31d0f4bc7fad6c995	DL_test	2	da	pa	1	right	pa	1	1545
63d6ffe31d0f4bc7fad6c995	DL_test	3	ta	da	1	left	ta	1	1610
63d6ffe31d0f4bc7fad6c995	DL_test	4	ta	ta	0	left	ta	1	1207
63d6ffe31d0f4bc7fad6c995	DL_test	5	ka	ka	0	other	ta	0	1278
63d6ffe31d0f4bc7fad6c995	DL_test	6	da	ga	1	left	da	1	1810
63d6ffe31d0f4bc7fad6c995	DL_test	7	ta	pa	1	right	pa	1	1792
63d6ffe31d0f4bc7fad6c995	DL_test	8	da	ta	1	right	ta	1	1245
63d6ffe31d0f4bc7fad6c995	DL_test	9	pa	da	1	right	da	1	1617
63d6ffe31d0f4bc7fad6c995	DL_test	10	pa	ba	1	right	ba	1	1533
63d6ffe31d0f4bc7fad6c995	DL_test	11	ba	ka	1	right	ka	1	1471
63d6ffe31d0f4bc7fad6c995	DL_test	12	pa	ta	1	other	ka	0	1347
63d6ffe31d0f4bc7fad6c995	DL_test	13	ba	da	1	other	ga	0	1339
63d6ffe31d0f4bc7fad6c995	DL_test	14	pa	ga	1	left	pa	1	2323
63d6ffe31d0f4bc7fad6c995	DL_test	15	ka	ta	1	right	ta	1	1082
63d6ffe31d0f4bc7fad6c995	DL_test	16	ba	ga	1	right	ga	1	1502
63d6ffe31d0f4bc7fad6c995	DL_test	17	ba	ba	0	left	ba	1	1217
63d6ffe31d0f4bc7fad6c995	DL_test	18	ka	pa	1	right	pa	1	1561
63d6ffe31d0f4bc7fad6c995	DL_test	19	ga	ta	1	right	ta	1	1401
63d6ffe31d0f4bc7fad6c995	DL_test	20	ka	ba	1	right	ba	1	2551
63d6ffe31d0f4bc7fad6c995	DL_test	21	da	ba	1	right	ba	1	1453
63d6ffe31d0f4bc7fad6c995	DL_test	22	ga	ka	1	right	ka	1	1529
63d6ffe31d0f4bc7fad6c995	DL_test	23	da	ka	1	other	pa	0	1505
63d6ffe31d0f4bc7fad6c995	DL_test	24	ba	ta	1	right	ta	1	1548
63d6ffe31d0f4bc7fad6c995	DL_test	25	pa	pa	0	left	pa	1	1293
63d6ffe31d0f4bc7fad6c995	DL_test	26	da	da	0	left	da	1	1698
63d6ffe31d0f4bc7fad6c995	DL_test	27	ga	ga	0	other	da	0	1059
63d6ffe31d0f4bc7fad6c995	DL_test	28	ka	ga	1	other	da	0	903
63d6ffe31d0f4bc7fad6c995	DL_test	29	pa	ka	1	right	ka	1	1361
63d6ffe31d0f4bc7fad6c995	DL_test	30	ta	ga	1	right	ga	1	1409
63d6ffe31d0f4bc7fad6c995	DL_test	31	ga	ba	1	right	ba	1	2094
63d6ffe31d0f4bc7fad6c995	DL_test	32	ga	da	1	right	da	1	1248
63d6ffe31d0f4bc7fad6c995	DL_test	33	ka	da	1	right	da	1	973
63d6ffe31d0f4bc7fad6c995	DL_test	34	ta	ba	1	right	ba	1	1357
63d6ffe31d0f4bc7fad6c995	DL_test	35	ga	pa	1	right	pa	1	1732
63d6ffe31d0f4bc7fad6c995	DL_test	36	ta	ka	1	right	ka	1	1213
63d6ffe31d0f4bc7fad6c995	DL_test	1	pa	ta	1	right	ta	1	1887
63d6ffe31d0f4bc7fad6c995	DL_test	2	da	ta	1	left	da	1	1664
63d6ffe31d0f4bc7fad6c995	DL_test	3	pa	ba	1	left	pa	1	1507
63d6ffe31d0f4bc7fad6c995	DL_test	4	ka	pa	1	right	pa	1	1084
63d6ffe31d0f4bc7fad6c995	DL_test	5	ka	ba	1	other	pa	0	1192
63d6ffe31d0f4bc7fad6c995	DL_test	6	ka	ka	0	left	ka	1	1137
63d6ffe31d0f4bc7fad6c995	DL_test	7	ga	ga	0	left	ga	1	1179
63d6ffe31d0f4bc7fad6c995	DL_test	8	ba	da	1	right	da	1	1322
