subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63e5a6690eeedc20da056717	headphonecheck_testphase	3	NA	NA	0	NA	first	0	4878
63e5a6690eeedc20da056717	headphonecheck_testphase	6	NA	NA	0	NA	third	1	2992
63e5a6690eeedc20da056717	headphonecheck_testphase	9	NA	NA	0	NA	first	1	336
63e5a6690eeedc20da056717	headphonecheck_testphase	12	NA	NA	0	NA	third	1	428
63e5a6690eeedc20da056717	headphonecheck_testphase	15	NA	NA	0	NA	first	1	556
63e5a6690eeedc20da056717	headphonecheck_testphase	18	NA	NA	0	NA	second	1	264
63e5a6690eeedc20da056717	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	380
63e5a6690eeedc20da056717	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	389
63e5a6690eeedc20da056717	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	360
63e5a6690eeedc20da056717	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	232
63e5a6690eeedc20da056717	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	335
63e5a6690eeedc20da056717	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	111
63e5a6690eeedc20da056717	DL_practice	2	ka	pa	1	left	ka	1	1946
63e5a6690eeedc20da056717	DL_practice	3	ga	ga	0	left	ga	1	1262
63e5a6690eeedc20da056717	DL_practice	4	da	da	0	left	da	1	1581
63e5a6690eeedc20da056717	DL_practice	5	pa	pa	0	left	pa	1	1388
63e5a6690eeedc20da056717	DL_practice	6	da	ba	1	left	da	1	1572
63e5a6690eeedc20da056717	DL_practice	7	ta	ta	0	left	ta	1	1550
63e5a6690eeedc20da056717	DL_practice	8	ga	ta	1	other	ka	0	1742
63e5a6690eeedc20da056717	DL_practice	9	ba	ba	0	left	ba	1	1691
63e5a6690eeedc20da056717	DL_practice	10	ka	ka	0	left	ka	1	1019
63e5a6690eeedc20da056717	DL_test	1	ba	da	1	right	da	1	1430
63e5a6690eeedc20da056717	DL_test	2	ta	da	1	left	ta	1	1671
63e5a6690eeedc20da056717	DL_test	3	pa	ka	1	right	ka	1	1281
63e5a6690eeedc20da056717	DL_test	4	ga	ba	1	left	ga	1	1143
63e5a6690eeedc20da056717	DL_test	5	da	ka	1	other	ta	0	1826
63e5a6690eeedc20da056717	DL_test	6	ka	ta	1	left	ka	1	1362
63e5a6690eeedc20da056717	DL_test	7	ka	pa	1	left	ka	1	852
63e5a6690eeedc20da056717	DL_test	8	ta	ka	1	right	ka	1	682
63e5a6690eeedc20da056717	DL_test	9	ta	ta	0	left	ta	1	1370
63e5a6690eeedc20da056717	DL_test	10	da	ga	1	left	da	1	1345
63e5a6690eeedc20da056717	DL_test	11	ka	ba	1	left	ka	1	1649
63e5a6690eeedc20da056717	DL_test	12	da	ta	1	right	ta	1	1357
63e5a6690eeedc20da056717	DL_test	13	da	ba	1	left	da	1	1468
63e5a6690eeedc20da056717	DL_test	14	da	pa	1	other	ta	0	1797
63e5a6690eeedc20da056717	DL_test	15	ga	da	1	right	da	1	1419
63e5a6690eeedc20da056717	DL_test	16	ta	ba	1	left	ta	1	1491
63e5a6690eeedc20da056717	DL_test	17	ba	ga	1	right	ga	1	1517
63e5a6690eeedc20da056717	DL_test	18	pa	pa	0	left	pa	1	1541
63e5a6690eeedc20da056717	DL_test	19	pa	ba	1	left	pa	1	1165
63e5a6690eeedc20da056717	DL_test	20	ba	pa	1	right	pa	1	789
63e5a6690eeedc20da056717	DL_test	21	ga	ka	1	right	ka	1	1132
63e5a6690eeedc20da056717	DL_test	22	ba	ta	1	right	ta	1	1378
63e5a6690eeedc20da056717	DL_test	23	ka	ga	1	left	ka	1	1250
63e5a6690eeedc20da056717	DL_test	24	pa	ga	1	left	pa	1	1723
63e5a6690eeedc20da056717	DL_test	25	da	da	0	left	da	1	1196
63e5a6690eeedc20da056717	DL_test	26	ka	ka	0	left	ka	1	1489
63e5a6690eeedc20da056717	DL_test	27	pa	ta	1	right	ta	1	1362
63e5a6690eeedc20da056717	DL_test	28	ta	pa	1	left	ta	1	957
63e5a6690eeedc20da056717	DL_test	29	ba	ba	0	left	ba	1	1369
63e5a6690eeedc20da056717	DL_test	30	ga	ta	1	other	ka	0	1961
63e5a6690eeedc20da056717	DL_test	31	ga	ga	0	left	ga	1	1365
63e5a6690eeedc20da056717	DL_test	32	pa	da	1	other	ta	0	1665
63e5a6690eeedc20da056717	DL_test	33	ga	pa	1	other	ka	0	1570
63e5a6690eeedc20da056717	DL_test	34	ba	ka	1	right	ka	1	1084
63e5a6690eeedc20da056717	DL_test	35	ka	da	1	left	ka	1	796
63e5a6690eeedc20da056717	DL_test	36	ta	ga	1	other	da	0	1791
63e5a6690eeedc20da056717	DL_test	1	ba	ka	1	right	ka	1	1185
63e5a6690eeedc20da056717	DL_test	2	pa	ga	1	other	ka	0	1566
63e5a6690eeedc20da056717	DL_test	3	ka	ba	1	left	ka	1	826
63e5a6690eeedc20da056717	DL_test	4	ga	ta	1	right	ta	1	1456
63e5a6690eeedc20da056717	DL_test	5	ta	ga	1	other	ka	0	1761
63e5a6690eeedc20da056717	DL_test	6	ta	ba	1	left	ta	1	1372
63e5a6690eeedc20da056717	DL_test	7	ga	pa	1	other	ka	0	1858
63e5a6690eeedc20da056717	DL_test	8	da	ba	1	left	da	1	1196
63e5a6690eeedc20da056717	DL_test	9	ga	da	1	right	da	1	1130
63e5a6690eeedc20da056717	DL_test	10	da	ka	1	left	da	1	2342
63e5a6690eeedc20da056717	DL_test	11	ga	ka	1	right	ka	1	1395
63e5a6690eeedc20da056717	DL_test	12	ga	ba	1	right	ba	1	2022
63e5a6690eeedc20da056717	DL_test	13	ta	pa	1	right	pa	1	1206
63e5a6690eeedc20da056717	DL_test	14	pa	ka	1	right	ka	1	1185
63e5a6690eeedc20da056717	DL_test	15	ka	ta	1	left	ka	1	1041
63e5a6690eeedc20da056717	DL_test	16	ta	da	1	left	ta	1	1253
63e5a6690eeedc20da056717	DL_test	17	ka	ka	0	left	ka	1	1339
63e5a6690eeedc20da056717	DL_test	18	ka	da	1	right	da	1	2843
63e5a6690eeedc20da056717	DL_test	19	pa	pa	0	left	pa	1	1086
63e5a6690eeedc20da056717	DL_test	20	ba	ba	0	left	ba	1	1354
63e5a6690eeedc20da056717	DL_test	21	ta	ka	1	right	ka	1	1435
63e5a6690eeedc20da056717	DL_test	22	ka	ga	1	left	ka	1	1118
63e5a6690eeedc20da056717	DL_test	23	pa	ba	1	left	pa	1	1612
63e5a6690eeedc20da056717	DL_test	24	ba	da	1	right	da	1	1513
63e5a6690eeedc20da056717	DL_test	25	ba	ga	1	other	da	0	2079
63e5a6690eeedc20da056717	DL_test	26	pa	ta	1	right	ta	1	1320
63e5a6690eeedc20da056717	DL_test	27	ga	ga	0	left	ga	1	1520
63e5a6690eeedc20da056717	DL_test	28	pa	da	1	left	pa	1	1393
63e5a6690eeedc20da056717	DL_test	29	da	ta	1	right	ta	1	1168
63e5a6690eeedc20da056717	DL_test	30	ka	pa	1	left	ka	1	1651
63e5a6690eeedc20da056717	DL_test	31	ba	ta	1	other	pa	0	1463
63e5a6690eeedc20da056717	DL_test	32	da	pa	1	right	pa	1	1056
63e5a6690eeedc20da056717	DL_test	33	ta	ta	0	left	ta	1	1481
63e5a6690eeedc20da056717	DL_test	34	da	ga	1	left	da	1	1475
63e5a6690eeedc20da056717	DL_test	35	da	da	0	left	da	1	1026
63e5a6690eeedc20da056717	DL_test	36	ba	pa	1	right	pa	1	1440
63e5a6690eeedc20da056717	DL_test	1	pa	da	1	left	pa	1	1400
63e5a6690eeedc20da056717	DL_test	2	da	ba	1	left	da	1	1247
63e5a6690eeedc20da056717	DL_test	3	ga	ba	1	left	ga	1	1157
63e5a6690eeedc20da056717	DL_test	4	ba	da	1	right	da	1	1183
63e5a6690eeedc20da056717	DL_test	5	ta	ta	0	left	ta	1	1338
63e5a6690eeedc20da056717	DL_test	6	ta	da	1	left	ta	1	1055
63e5a6690eeedc20da056717	DL_test	7	ka	ta	1	left	ka	1	1292
63e5a6690eeedc20da056717	DL_test	8	ka	pa	1	right	pa	1	2538
63e5a6690eeedc20da056717	DL_test	9	ga	ta	1	other	ka	0	1268
63e5a6690eeedc20da056717	DL_test	10	da	pa	1	right	pa	1	2438
63e5a6690eeedc20da056717	DL_test	11	pa	ba	1	left	pa	1	1320
63e5a6690eeedc20da056717	DL_test	12	da	da	0	left	da	1	1339
63e5a6690eeedc20da056717	DL_test	13	ta	ga	1	other	ka	0	1533
63e5a6690eeedc20da056717	DL_test	14	da	ga	1	left	da	1	1197
63e5a6690eeedc20da056717	DL_test	15	ba	pa	1	right	pa	1	1198
63e5a6690eeedc20da056717	DL_test	16	da	ta	1	right	ta	1	1346
63e5a6690eeedc20da056717	DL_test	17	da	ka	1	other	pa	0	1564
63e5a6690eeedc20da056717	DL_test	18	ka	da	1	left	ka	1	1308
63e5a6690eeedc20da056717	DL_test	19	ka	ba	1	left	ka	1	1708
63e5a6690eeedc20da056717	DL_test	20	ta	pa	1	right	pa	1	1139
63e5a6690eeedc20da056717	DL_test	21	ga	ka	1	right	ka	1	1211
63e5a6690eeedc20da056717	DL_test	22	pa	ka	1	left	pa	1	2246
63e5a6690eeedc20da056717	DL_test	23	ga	da	1	right	da	1	1543
63e5a6690eeedc20da056717	DL_test	24	ba	ka	1	right	ka	1	1289
63e5a6690eeedc20da056717	DL_test	25	ba	ta	1	other	pa	0	1194
63e5a6690eeedc20da056717	DL_test	26	ga	pa	1	right	pa	1	1204
63e5a6690eeedc20da056717	DL_test	27	ka	ka	0	left	ka	1	1432
63e5a6690eeedc20da056717	DL_test	28	ta	ba	1	other	pa	0	1593
63e5a6690eeedc20da056717	DL_test	29	ka	ga	1	right	ga	1	2261
63e5a6690eeedc20da056717	DL_test	30	ga	ga	0	left	ga	1	704
63e5a6690eeedc20da056717	DL_test	31	ba	ba	0	left	ba	1	1486
63e5a6690eeedc20da056717	DL_test	32	pa	ta	1	left	pa	1	1402
63e5a6690eeedc20da056717	DL_test	33	ba	ga	1	left	ba	1	1979
63e5a6690eeedc20da056717	DL_test	34	ta	ka	1	right	ka	1	1372
63e5a6690eeedc20da056717	DL_test	35	pa	pa	0	left	pa	1	1158
63e5a6690eeedc20da056717	DL_test	36	pa	ga	1	left	pa	1	1247
63e5a6690eeedc20da056717	DL_test	1	ba	ga	1	left	ba	1	2117
63e5a6690eeedc20da056717	DL_test	2	da	ka	1	other	pa	0	1195
63e5a6690eeedc20da056717	DL_test	3	ta	ka	1	right	ka	1	952
63e5a6690eeedc20da056717	DL_test	4	ta	ga	1	other	ka	0	1026
63e5a6690eeedc20da056717	DL_test	5	ga	ka	1	right	ka	1	690
63e5a6690eeedc20da056717	DL_test	6	da	ga	1	right	ga	1	1143
