subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
6447e560a1331745c679a03b	headphonecheck_testphase	3	NA	NA	0	NA	first	1	1317
6447e560a1331745c679a03b	headphonecheck_testphase	6	NA	NA	0	NA	third	1	684
6447e560a1331745c679a03b	headphonecheck_testphase	9	NA	NA	0	NA	second	1	596
6447e560a1331745c679a03b	headphonecheck_testphase	12	NA	NA	0	NA	first	1	1156
6447e560a1331745c679a03b	headphonecheck_testphase	15	NA	NA	0	NA	third	1	359
6447e560a1331745c679a03b	headphonecheck_testphase	18	NA	NA	0	NA	second	1	469
6447e560a1331745c679a03b	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	429
6447e560a1331745c679a03b	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	561
6447e560a1331745c679a03b	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	423
6447e560a1331745c679a03b	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	457
6447e560a1331745c679a03b	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	523
6447e560a1331745c679a03b	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	392
6447e560a1331745c679a03b	DL_practice	2	ka	ka	0	left	ka	1	1410
6447e560a1331745c679a03b	DL_practice	3	ba	ba	0	left	ba	1	1602
6447e560a1331745c679a03b	DL_practice	4	ta	ta	0	left	ta	1	1576
6447e560a1331745c679a03b	DL_practice	5	ga	ta	1	other	ka	0	1655
6447e560a1331745c679a03b	DL_practice	6	pa	pa	0	left	pa	1	1419
6447e560a1331745c679a03b	DL_practice	7	da	ba	1	right	ba	1	1459
6447e560a1331745c679a03b	DL_practice	8	da	da	0	left	da	1	2082
6447e560a1331745c679a03b	DL_practice	9	ka	pa	1	left	ka	1	1202
6447e560a1331745c679a03b	DL_practice	10	ga	ga	0	left	ga	1	2298
6447e560a1331745c679a03b	DL_test	1	pa	ga	1	left	pa	1	1687
6447e560a1331745c679a03b	DL_test	2	ba	ta	1	other	pa	0	1106
6447e560a1331745c679a03b	DL_test	3	ka	ga	1	left	ka	1	1012
6447e560a1331745c679a03b	DL_test	4	pa	pa	0	left	pa	1	1434
6447e560a1331745c679a03b	DL_test	5	ga	ta	1	other	ka	0	1844
6447e560a1331745c679a03b	DL_test	6	ba	ga	1	right	ga	1	1000
6447e560a1331745c679a03b	DL_test	7	da	pa	1	right	pa	1	1487
6447e560a1331745c679a03b	DL_test	8	ta	pa	1	right	pa	1	1305
6447e560a1331745c679a03b	DL_test	9	ga	da	1	left	ga	1	1234
6447e560a1331745c679a03b	DL_test	10	pa	da	1	left	pa	1	1238
6447e560a1331745c679a03b	DL_test	11	ka	pa	1	right	pa	1	1425
6447e560a1331745c679a03b	DL_test	12	da	ba	1	right	ba	1	1656
6447e560a1331745c679a03b	DL_test	13	ta	ta	0	left	ta	1	1457
6447e560a1331745c679a03b	DL_test	14	ba	da	1	left	ba	1	1694
6447e560a1331745c679a03b	DL_test	15	ka	ba	1	left	ka	1	1729
6447e560a1331745c679a03b	DL_test	16	ga	ga	0	left	ga	1	905
6447e560a1331745c679a03b	DL_test	17	ta	ka	1	right	ka	1	962
6447e560a1331745c679a03b	DL_test	18	ba	ka	1	right	ka	1	989
6447e560a1331745c679a03b	DL_test	19	ta	da	1	other	ka	0	1266
6447e560a1331745c679a03b	DL_test	20	ga	pa	1	right	pa	1	1255
6447e560a1331745c679a03b	DL_test	21	ka	da	1	left	ka	1	1280
6447e560a1331745c679a03b	DL_test	22	ba	ba	0	left	ba	1	1356
6447e560a1331745c679a03b	DL_test	23	da	ta	1	other	ka	0	1580
6447e560a1331745c679a03b	DL_test	24	da	da	0	left	da	1	1350
6447e560a1331745c679a03b	DL_test	25	da	ga	1	right	ga	1	1415
6447e560a1331745c679a03b	DL_test	26	da	ka	1	other	pa	0	1293
6447e560a1331745c679a03b	DL_test	27	pa	ba	1	left	pa	1	1127
6447e560a1331745c679a03b	DL_test	28	ba	pa	1	right	pa	1	999
6447e560a1331745c679a03b	DL_test	29	ka	ta	1	left	ka	1	1090
6447e560a1331745c679a03b	DL_test	30	ta	ga	1	other	ka	0	965
6447e560a1331745c679a03b	DL_test	31	ga	ka	1	left	ga	1	1382
6447e560a1331745c679a03b	DL_test	32	ta	ba	1	other	ka	0	885
6447e560a1331745c679a03b	DL_test	33	pa	ka	1	left	pa	1	1528
6447e560a1331745c679a03b	DL_test	34	ka	ka	0	left	ka	1	1553
6447e560a1331745c679a03b	DL_test	35	pa	ta	1	left	pa	1	1302
6447e560a1331745c679a03b	DL_test	36	ga	ba	1	right	ba	1	1456
6447e560a1331745c679a03b	DL_test	1	ga	da	1	left	ga	1	980
6447e560a1331745c679a03b	DL_test	2	ba	ka	1	right	ka	1	1110
6447e560a1331745c679a03b	DL_test	3	ka	ka	0	left	ka	1	1011
6447e560a1331745c679a03b	DL_test	4	pa	ga	1	left	pa	1	1198
6447e560a1331745c679a03b	DL_test	5	ta	ka	1	right	ka	1	1872
6447e560a1331745c679a03b	DL_test	6	ba	pa	1	right	pa	1	1087
6447e560a1331745c679a03b	DL_test	7	ba	ta	1	other	pa	0	1217
