subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5bad4be8b712f30001b87947	845003	9.5	practice	z	1	square	global	LVF	yes	present	1	378
5bad4be8b712f30001b87947	849935	9.5	practice	z	2	rectangle	local	RVF	yes	present	1	497
5bad4be8b712f30001b87947	855719	9.5	practice	z	3	square	local	LVF	yes	present	1	315
5bad4be8b712f30001b87947	858552	9.5	practice	z	4	absent	absent	absent	no	present	0	229
5bad4be8b712f30001b87947	861319	9.5	practice	z	5	rectangle	local	RVF	yes	present	1	415
5bad4be8b712f30001b87947	864087	9.5	practice	z	6	rectangle	global	RVF	yes	present	1	383
5bad4be8b712f30001b87947	866630	9.5	practice	z	7	rectangle	global	LVF	yes	present	1	410
5bad4be8b712f30001b87947	869119	9.5	practice	z	8	square	global	LVF	yes	present	1	373
5bad4be8b712f30001b87947	871774	9.5	practice	z	9	absent	absent	absent	no	present	0	404
5bad4be8b712f30001b87947	874215	9.5	practice	z	10	rectangle	global	LVF	yes	present	1	361
5bad4be8b712f30001b87947	878422	9.5	practice	z	11	absent	absent	absent	no	absent	1	2000
5bad4be8b712f30001b87947	881079	9.5	practice	z	12	absent	absent	absent	no	present	0	574
5bad4be8b712f30001b87947	883943	9.5	practice	z	13	square	local	LVF	yes	present	1	621
5bad4be8b712f30001b87947	886879	9.5	practice	z	14	square	global	RVF	yes	present	1	691
5bad4be8b712f30001b87947	889510	9.5	practice	z	15	rectangle	global	RVF	yes	present	1	640
5bad4be8b712f30001b87947	892191	9.5	practice	z	16	rectangle	local	RVF	yes	present	1	636
5bad4be8b712f30001b87947	899357	10.5	main	z	1	absent	absent	absent	no	present	0	637
5bad4be8b712f30001b87947	902341	10.5	main	z	2	rectangle	global	LVF	yes	present	1	555
5bad4be8b712f30001b87947	905149	10.5	main	z	3	absent	absent	absent	no	present	0	563
5bad4be8b712f30001b87947	908319	10.5	main	z	4	absent	absent	absent	no	absent	1	2000
5bad4be8b712f30001b87947	909850	10.5	main	z	5	square	local	RVF	yes	present	1	375
5bad4be8b712f30001b87947	911781	10.5	main	z	6	rectangle	local	RVF	yes	present	1	495
5bad4be8b712f30001b87947	913556	10.5	main	z	7	rectangle	local	RVF	yes	present	1	571
5bad4be8b712f30001b87947	915389	10.5	main	z	8	square	global	LVF	yes	present	1	520
5bad4be8b712f30001b87947	917277	10.5	main	z	9	square	global	RVF	yes	present	1	624
5bad4be8b712f30001b87947	920436	10.5	main	z	10	absent	absent	absent	no	absent	1	2000
5bad4be8b712f30001b87947	922116	10.5	main	z	11	square	local	LVF	yes	present	1	647
5bad4be8b712f30001b87947	925453	10.5	main	z	12	absent	absent	absent	no	absent	1	2000
5bad4be8b712f30001b87947	927332	10.5	main	z	13	rectangle	global	LVF	yes	present	1	547
5bad4be8b712f30001b87947	929221	10.5	main	z	14	square	global	RVF	yes	present	1	518
5bad4be8b712f30001b87947	931188	10.5	main	z	15	square	local	LVF	yes	present	1	736
5bad4be8b712f30001b87947	932932	10.5	main	z	16	square	global	RVF	yes	present	1	580
5bad4be8b712f30001b87947	934885	10.5	main	z	17	rectangle	local	LVF	yes	present	1	699
5bad4be8b712f30001b87947	936708	10.5	main	z	18	rectangle	global	LVF	yes	present	1	606
5bad4be8b712f30001b87947	938588	10.5	main	z	19	square	local	LVF	yes	present	1	669
