subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5bfd8910eed5280001ead1dd	143664	1	practice	z	1	rectangle	global	RVF	yes	present	1	563
5bfd8910eed5280001ead1dd	147446	1	practice	z	2	square	global	LVF	yes	present	1	1194
5bfd8910eed5280001ead1dd	151903	1	practice	z	3	square	local	LVF	yes	absent	0	2000
5bfd8910eed5280001ead1dd	155304	1	practice	z	4	square	global	LVF	yes	present	1	783
5bfd8910eed5280001ead1dd	160306	1	practice	z	5	rectangle	local	RVF	yes	absent	0	2000
5bfd8910eed5280001ead1dd	163992	1	practice	z	6	absent	absent	absent	no	present	0	1352
5bfd8910eed5280001ead1dd	167071	1	practice	z	7	square	global	RVF	yes	present	1	829
5bfd8910eed5280001ead1dd	171360	1	practice	z	8	absent	absent	absent	no	absent	1	2000
5bfd8910eed5280001ead1dd	174819	1	practice	z	9	rectangle	global	LVF	yes	present	1	824
5bfd8910eed5280001ead1dd	179163	1	practice	z	10	absent	absent	absent	no	absent	1	2000
5bfd8910eed5280001ead1dd	182834	1	practice	z	11	rectangle	local	RVF	yes	present	1	1203
5bfd8910eed5280001ead1dd	186065	1	practice	z	12	rectangle	local	RVF	yes	present	1	965
5bfd8910eed5280001ead1dd	189136	1	practice	z	13	rectangle	global	RVF	yes	present	1	836
5bfd8910eed5280001ead1dd	192066	1	practice	z	14	rectangle	global	LVF	yes	present	1	697
5bfd8910eed5280001ead1dd	195673	1	practice	z	15	absent	absent	absent	no	present	0	1437
5bfd8910eed5280001ead1dd	199871	1	practice	z	16	square	local	LVF	yes	absent	0	2000
5bfd8910eed5280001ead1dd	212787	2	main	z	1	square	global	RVF	yes	present	1	679
5bfd8910eed5280001ead1dd	214980	2	main	z	2	square	global	RVF	yes	present	1	671
5bfd8910eed5280001ead1dd	218260	2	main	z	3	absent	absent	absent	no	absent	1	2000
5bfd8910eed5280001ead1dd	221278	2	main	z	4	absent	absent	absent	no	absent	1	2000
5bfd8910eed5280001ead1dd	223225	2	main	z	5	rectangle	global	RVF	yes	present	1	796
5bfd8910eed5280001ead1dd	225387	2	main	z	6	square	local	RVF	yes	present	1	725
5bfd8910eed5280001ead1dd	227722	2	main	z	7	rectangle	local	RVF	yes	present	1	875
5bfd8910eed5280001ead1dd	231015	2	main	z	8	square	local	LVF	yes	absent	0	2000
5bfd8910eed5280001ead1dd	232993	2	main	z	9	square	global	RVF	yes	present	1	810
5bfd8910eed5280001ead1dd	236500	2	main	z	10	absent	absent	absent	no	absent	1	2000
5bfd8910eed5280001ead1dd	239734	2	main	z	11	rectangle	local	LVF	yes	absent	0	2000
5bfd8910eed5280001ead1dd	241975	2	main	z	12	square	local	RVF	yes	present	1	989
5bfd8910eed5280001ead1dd	244495	2	main	z	13	rectangle	local	RVF	yes	present	1	1007
5bfd8910eed5280001ead1dd	247904	2	main	z	14	rectangle	global	LVF	yes	absent	0	2000
5bfd8910eed5280001ead1dd	249809	2	main	z	15	square	local	LVF	yes	present	1	953
