subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5c858ca8eceaa40001d3f488	167465	1	practice	slash	1	rectangle	global	RVF	yes	present	1	1897
5c858ca8eceaa40001d3f488	171851	1	practice	slash	2	square	global	RVF	yes	present	1	1052
5c858ca8eceaa40001d3f488	176135	1	practice	slash	3	absent	absent	absent	no	absent	1	2000
5c858ca8eceaa40001d3f488	180070	1	practice	slash	4	square	local	LVF	yes	present	1	1149
5c858ca8eceaa40001d3f488	183974	1	practice	slash	5	square	global	LVF	yes	present	1	989
5c858ca8eceaa40001d3f488	187336	1	practice	slash	6	rectangle	local	RVF	yes	present	1	1012
5c858ca8eceaa40001d3f488	190708	1	practice	slash	7	rectangle	local	RVF	yes	present	1	1002
5c858ca8eceaa40001d3f488	193983	1	practice	slash	8	rectangle	global	RVF	yes	present	1	989
5c858ca8eceaa40001d3f488	197103	1	practice	slash	9	square	local	LVF	yes	present	1	1087
5c858ca8eceaa40001d3f488	200664	1	practice	slash	10	rectangle	local	RVF	yes	present	1	1475
5c858ca8eceaa40001d3f488	205387	1	practice	slash	11	square	global	LVF	yes	present	1	1112
5c858ca8eceaa40001d3f488	211214	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
5c858ca8eceaa40001d3f488	215667	1	practice	slash	13	absent	absent	absent	no	absent	1	2000
5c858ca8eceaa40001d3f488	220185	1	practice	slash	14	absent	absent	absent	no	absent	1	2000
5c858ca8eceaa40001d3f488	223634	1	practice	slash	15	rectangle	global	LVF	yes	present	1	964
5c858ca8eceaa40001d3f488	227011	1	practice	slash	16	rectangle	global	LVF	yes	present	1	1057
5c858ca8eceaa40001d3f488	249818	2	main	slash	1	rectangle	local	LVF	yes	present	1	1047
5c858ca8eceaa40001d3f488	252627	2	main	slash	2	rectangle	local	LVF	yes	present	1	910
5c858ca8eceaa40001d3f488	254906	2	main	slash	3	square	global	RVF	yes	present	1	999
5c858ca8eceaa40001d3f488	257406	2	main	slash	4	square	local	RVF	yes	present	1	985
5c858ca8eceaa40001d3f488	259901	2	main	slash	5	rectangle	local	RVF	yes	present	1	995
5c858ca8eceaa40001d3f488	262456	2	main	slash	6	square	local	LVF	yes	present	1	939
5c858ca8eceaa40001d3f488	264898	2	main	slash	7	square	global	RVF	yes	present	1	1012
5c858ca8eceaa40001d3f488	267793	2	main	slash	8	rectangle	global	LVF	yes	present	1	1245
5c858ca8eceaa40001d3f488	270270	2	main	slash	9	square	local	RVF	yes	present	1	1012
5c858ca8eceaa40001d3f488	272786	2	main	slash	10	square	global	LVF	yes	present	1	1031
5c858ca8eceaa40001d3f488	275655	2	main	slash	11	square	global	RVF	yes	present	1	1251
5c858ca8eceaa40001d3f488	278247	2	main	slash	12	square	global	RVF	yes	present	1	1078
