subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5f579cc797c3ee2607f6e344	152961	1	practice	slash	1	absent	absent	absent	no	absent	1	2000
5f579cc797c3ee2607f6e344	158072	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
5f579cc797c3ee2607f6e344	163547	1	practice	slash	3	square	global	RVF	yes	present	1	512
5f579cc797c3ee2607f6e344	166880	1	practice	slash	4	rectangle	global	RVF	yes	present	1	668
5f579cc797c3ee2607f6e344	171509	1	practice	slash	5	absent	absent	absent	no	absent	1	2000
5f579cc797c3ee2607f6e344	174247	1	practice	slash	6	square	global	LVF	yes	present	1	475
5f579cc797c3ee2607f6e344	178519	1	practice	slash	7	absent	absent	absent	no	absent	1	2000
5f579cc797c3ee2607f6e344	181737	1	practice	slash	8	rectangle	global	LVF	yes	present	1	539
5f579cc797c3ee2607f6e344	184686	1	practice	slash	9	rectangle	global	LVF	yes	present	1	491
5f579cc797c3ee2607f6e344	189042	1	practice	slash	10	square	local	LVF	yes	absent	0	2000
5f579cc797c3ee2607f6e344	191232	1	practice	slash	11	square	global	LVF	yes	present	1	477
5f579cc797c3ee2607f6e344	194231	1	practice	slash	12	square	local	LVF	yes	present	1	729
5f579cc797c3ee2607f6e344	197067	1	practice	slash	13	rectangle	local	RVF	yes	present	1	634
5f579cc797c3ee2607f6e344	199613	1	practice	slash	14	rectangle	global	RVF	yes	present	1	566
5f579cc797c3ee2607f6e344	203811	1	practice	slash	15	rectangle	local	RVF	yes	absent	0	2000
5f579cc797c3ee2607f6e344	206737	1	practice	slash	16	rectangle	local	RVF	yes	present	1	747
5f579cc797c3ee2607f6e344	220309	2	main	slash	1	absent	absent	absent	no	absent	1	2000
5f579cc797c3ee2607f6e344	222170	2	main	slash	2	rectangle	local	RVF	yes	present	1	597
5f579cc797c3ee2607f6e344	224885	2	main	slash	3	square	global	RVF	yes	present	1	449
5f579cc797c3ee2607f6e344	228168	2	main	slash	4	absent	absent	absent	no	absent	1	2000
5f579cc797c3ee2607f6e344	229753	2	main	slash	5	square	global	LVF	yes	present	1	421
5f579cc797c3ee2607f6e344	231495	2	main	slash	6	square	local	LVF	yes	present	1	547
5f579cc797c3ee2607f6e344	233125	2	main	slash	7	rectangle	global	RVF	yes	present	1	529
5f579cc797c3ee2607f6e344	234559	2	main	slash	8	square	global	RVF	yes	present	1	372
5f579cc797c3ee2607f6e344	235981	2	main	slash	9	rectangle	global	LVF	yes	present	1	423
5f579cc797c3ee2607f6e344	239008	2	main	slash	10	rectangle	local	LVF	yes	absent	0	2000
5f579cc797c3ee2607f6e344	240463	2	main	slash	11	square	local	RVF	yes	present	1	491
5f579cc797c3ee2607f6e344	242220	2	main	slash	12	rectangle	global	RVF	yes	present	1	515
5f579cc797c3ee2607f6e344	244032	2	main	slash	13	square	local	LVF	yes	present	1	780
5f579cc797c3ee2607f6e344	247150	2	main	slash	14	absent	absent	absent	no	absent	1	2000
5f579cc797c3ee2607f6e344	248856	2	main	slash	15	rectangle	local	LVF	yes	present	1	576
5f579cc797c3ee2607f6e344	251016	2	main	slash	16	square	local	RVF	yes	present	1	705
5f579cc797c3ee2607f6e344	253019	2	main	slash	17	rectangle	local	RVF	yes	present	1	693
5f579cc797c3ee2607f6e344	255197	2	main	slash	18	square	global	RVF	yes	present	1	922
5f579cc797c3ee2607f6e344	257251	2	main	slash	19	square	local	RVF	yes	present	1	763
5f579cc797c3ee2607f6e344	259286	2	main	slash	20	rectangle	local	RVF	yes	present	1	765
5f579cc797c3ee2607f6e344	261068	2	main	slash	21	rectangle	global	LVF	yes	present	1	666
5f579cc797c3ee2607f6e344	262891	2	main	slash	22	square	global	LVF	yes	present	1	774
5f579cc797c3ee2607f6e344	265932	2	main	slash	23	absent	absent	absent	no	absent	1	2000
5f579cc797c3ee2607f6e344	268089	2	main	slash	24	rectangle	local	RVF	yes	present	1	577
5f579cc797c3ee2607f6e344	271160	2	main	slash	25	absent	absent	absent	no	absent	1	2000
5f579cc797c3ee2607f6e344	273042	2	main	slash	26	square	global	RVF	yes	present	1	585
5f579cc797c3ee2607f6e344	274740	2	main	slash	27	square	global	LVF	yes	present	1	652
5f579cc797c3ee2607f6e344	276392	2	main	slash	28	rectangle	global	RVF	yes	present	1	672
5f579cc797c3ee2607f6e344	278040	2	main	slash	29	square	global	LVF	yes	present	1	655
5f579cc797c3ee2607f6e344	279432	2	main	slash	30	square	local	LVF	yes	present	1	504
5f579cc797c3ee2607f6e344	282499	2	main	slash	31	absent	absent	absent	no	absent	1	2000
5f579cc797c3ee2607f6e344	285195	2	main	slash	32	square	local	RVF	yes	present	1	733
5f579cc797c3ee2607f6e344	287303	2	main	slash	33	rectangle	local	LVF	yes	present	1	1027
5f579cc797c3ee2607f6e344	288966	2	main	slash	34	rectangle	global	LVF	yes	present	1	542
5f579cc797c3ee2607f6e344	290665	2	main	slash	35	rectangle	global	LVF	yes	present	1	677
5f579cc797c3ee2607f6e344	293654	2	main	slash	36	absent	absent	absent	no	absent	1	2000
5f579cc797c3ee2607f6e344	296884	2	main	slash	37	absent	absent	absent	no	absent	1	2000
5f579cc797c3ee2607f6e344	298411	2	main	slash	38	rectangle	global	RVF	yes	present	1	596
5f579cc797c3ee2607f6e344	300084	2	main	slash	39	rectangle	local	LVF	yes	present	1	654
5f579cc797c3ee2607f6e344	301764	2	main	slash	40	square	local	LVF	yes	present	1	670
5f579cc797c3ee2607f6e344	303412	2	main	slash	41	rectangle	local	LVF	yes	present	1	701
5f579cc797c3ee2607f6e344	307079	2	main	slash	42	square	global	LVF	yes	present	1	539
