subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5fb402a66cba9801673f2b5c	177478	1	practice	z	1	rectangle	local	RVF	yes	absent	0	2000
5fb402a66cba9801673f2b5c	186608	1	practice	z	2	rectangle	global	LVF	yes	present	1	531
5fb402a66cba9801673f2b5c	193836	1	practice	z	3	rectangle	local	RVF	yes	present	1	592
5fb402a66cba9801673f2b5c	201230	1	practice	z	4	square	global	LVF	yes	present	1	384
5fb402a66cba9801673f2b5c	207862	1	practice	z	5	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	213095	1	practice	z	6	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	217778	1	practice	z	7	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	223195	1	practice	z	8	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	228928	1	practice	z	9	square	local	LVF	yes	absent	0	2000
5fb402a66cba9801673f2b5c	233895	1	practice	z	10	rectangle	global	RVF	yes	absent	0	2000
5fb402a66cba9801673f2b5c	237402	1	practice	z	11	rectangle	local	RVF	yes	present	1	724
5fb402a66cba9801673f2b5c	241670	1	practice	z	12	square	global	LVF	yes	present	1	609
5fb402a66cba9801673f2b5c	245064	1	practice	z	13	square	global	RVF	yes	present	1	402
5fb402a66cba9801673f2b5c	248450	1	practice	z	14	rectangle	global	LVF	yes	present	1	488
5fb402a66cba9801673f2b5c	251410	1	practice	z	15	rectangle	global	RVF	yes	present	1	375
5fb402a66cba9801673f2b5c	254363	1	practice	z	16	square	local	LVF	yes	present	1	401
5fb402a66cba9801673f2b5c	265159	2	main	z	1	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	267130	2	main	z	2	rectangle	local	LVF	yes	present	1	588
5fb402a66cba9801673f2b5c	269995	2	main	z	3	rectangle	global	RVF	yes	present	1	518
5fb402a66cba9801673f2b5c	273178	2	main	z	4	rectangle	local	RVF	yes	present	1	485
5fb402a66cba9801673f2b5c	277343	2	main	z	5	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	279349	2	main	z	6	square	global	LVF	yes	present	1	423
5fb402a66cba9801673f2b5c	282495	2	main	z	7	square	global	LVF	yes	present	1	535
5fb402a66cba9801673f2b5c	286094	2	main	z	8	square	global	LVF	yes	present	1	684
5fb402a66cba9801673f2b5c	290646	2	main	z	9	absent	absent	absent	no	present	0	1037
5fb402a66cba9801673f2b5c	294375	2	main	z	10	rectangle	local	LVF	yes	present	1	882
5fb402a66cba9801673f2b5c	297600	2	main	z	11	square	local	RVF	yes	present	1	874
5fb402a66cba9801673f2b5c	301726	2	main	z	12	square	local	LVF	yes	absent	0	2000
5fb402a66cba9801673f2b5c	304029	2	main	z	13	square	local	LVF	yes	present	1	769
5fb402a66cba9801673f2b5c	309576	2	main	z	14	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	311943	2	main	z	15	square	global	RVF	yes	present	1	866
5fb402a66cba9801673f2b5c	315295	2	main	z	16	square	global	RVF	yes	present	1	635
5fb402a66cba9801673f2b5c	318223	2	main	z	17	absent	absent	absent	no	present	0	963
5fb402a66cba9801673f2b5c	320971	2	main	z	18	rectangle	global	RVF	yes	present	1	711
5fb402a66cba9801673f2b5c	325743	2	main	z	19	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	327917	2	main	z	20	square	global	RVF	yes	present	1	823
5fb402a66cba9801673f2b5c	331453	2	main	z	21	square	global	LVF	yes	present	1	727
5fb402a66cba9801673f2b5c	335628	2	main	z	22	square	local	RVF	yes	present	1	868
5fb402a66cba9801673f2b5c	338446	2	main	z	23	rectangle	global	RVF	yes	present	1	653
5fb402a66cba9801673f2b5c	341780	2	main	z	24	rectangle	global	LVF	yes	present	1	553
5fb402a66cba9801673f2b5c	345115	2	main	z	25	square	local	LVF	yes	present	1	805
5fb402a66cba9801673f2b5c	347919	2	main	z	26	rectangle	global	LVF	yes	present	1	826
5fb402a66cba9801673f2b5c	351011	2	main	z	27	rectangle	local	RVF	yes	present	1	917
5fb402a66cba9801673f2b5c	353889	2	main	z	28	rectangle	local	LVF	yes	present	1	829
5fb402a66cba9801673f2b5c	357627	2	main	z	29	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	359586	2	main	z	30	rectangle	global	RVF	yes	present	1	626
5fb402a66cba9801673f2b5c	363404	2	main	z	31	rectangle	local	LVF	yes	present	1	828
5fb402a66cba9801673f2b5c	367677	2	main	z	32	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	369980	2	main	z	33	square	local	LVF	yes	present	1	936
5fb402a66cba9801673f2b5c	372542	2	main	z	34	square	global	RVF	yes	present	1	798
5fb402a66cba9801673f2b5c	374904	2	main	z	35	rectangle	global	LVF	yes	present	1	743
5fb402a66cba9801673f2b5c	377270	2	main	z	36	rectangle	global	LVF	yes	present	1	709
5fb402a66cba9801673f2b5c	379788	2	main	z	37	square	local	RVF	yes	present	1	1044
5fb402a66cba9801673f2b5c	382587	2	main	z	38	rectangle	local	RVF	yes	present	1	993
5fb402a66cba9801673f2b5c	385167	2	main	z	39	rectangle	local	RVF	yes	present	1	989
5fb402a66cba9801673f2b5c	387629	2	main	z	40	square	local	RVF	yes	present	1	851
5fb402a66cba9801673f2b5c	390070	2	main	z	41	square	global	RVF	yes	present	1	692
5fb402a66cba9801673f2b5c	392525	2	main	z	42	rectangle	global	LVF	yes	present	1	932
5fb402a66cba9801673f2b5c	395911	2	main	z	43	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	397894	2	main	z	44	rectangle	local	LVF	yes	present	1	816
5fb402a66cba9801673f2b5c	400051	2	main	z	45	square	global	LVF	yes	present	1	840
5fb402a66cba9801673f2b5c	402027	2	main	z	46	square	global	LVF	yes	present	1	849
5fb402a66cba9801673f2b5c	405194	2	main	z	47	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	407499	2	main	z	48	square	local	RVF	yes	present	1	887
5fb402a66cba9801673f2b5c	409744	2	main	z	49	square	local	LVF	yes	present	1	967
5fb402a66cba9801673f2b5c	411764	2	main	z	50	rectangle	global	LVF	yes	present	1	969
5fb402a66cba9801673f2b5c	413865	2	main	z	51	rectangle	local	RVF	yes	present	1	953
5fb402a66cba9801673f2b5c	416395	2	main	z	52	rectangle	global	RVF	yes	present	1	1417
5fb402a66cba9801673f2b5c	419861	2	main	z	53	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	421942	2	main	z	54	rectangle	local	RVF	yes	present	1	881
5fb402a66cba9801673f2b5c	423898	2	main	z	55	square	global	RVF	yes	present	1	854
5fb402a66cba9801673f2b5c	425866	2	main	z	56	rectangle	global	RVF	yes	present	1	854
5fb402a66cba9801673f2b5c	429012	2	main	z	57	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	432261	2	main	z	58	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	434148	2	main	z	59	square	local	LVF	yes	present	1	719
5fb402a66cba9801673f2b5c	436103	2	main	z	60	rectangle	global	LVF	yes	present	1	824
5fb402a66cba9801673f2b5c	438032	2	main	z	61	square	global	LVF	yes	present	1	838
5fb402a66cba9801673f2b5c	440177	2	main	z	62	rectangle	local	LVF	yes	present	1	1048
5fb402a66cba9801673f2b5c	442410	2	main	z	63	square	local	LVF	yes	present	1	1098
5fb402a66cba9801673f2b5c	444715	2	main	z	64	rectangle	global	RVF	yes	present	1	1154
5fb402a66cba9801673f2b5c	447034	2	main	z	65	square	global	RVF	yes	present	1	1005
5fb402a66cba9801673f2b5c	449385	2	main	z	66	absent	absent	absent	no	present	0	1124
5fb402a66cba9801673f2b5c	451374	2	main	z	67	rectangle	local	LVF	yes	present	1	912
5fb402a66cba9801673f2b5c	453412	2	main	z	68	rectangle	local	RVF	yes	present	1	950
5fb402a66cba9801673f2b5c	455515	2	main	z	69	square	global	LVF	yes	present	1	1021
5fb402a66cba9801673f2b5c	457615	2	main	z	70	square	local	RVF	yes	present	1	971
5fb402a66cba9801673f2b5c	459271	2	main	z	71	rectangle	global	LVF	yes	present	1	659
5fb402a66cba9801673f2b5c	461408	2	main	z	72	square	local	RVF	yes	present	1	762
5fb402a66cba9801673f2b5c	463391	2	main	z	73	rectangle	global	RVF	yes	present	1	962
5fb402a66cba9801673f2b5c	465915	2	main	z	74	square	global	RVF	yes	present	1	1486
5fb402a66cba9801673f2b5c	468061	2	main	z	75	absent	absent	absent	no	present	0	1049
5fb402a66cba9801673f2b5c	471129	2	main	z	76	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	473256	2	main	z	77	square	local	LVF	yes	present	1	878
5fb402a66cba9801673f2b5c	475348	2	main	z	78	rectangle	local	LVF	yes	present	1	1053
5fb402a66cba9801673f2b5c	477544	2	main	z	79	rectangle	local	RVF	yes	present	1	1015
5fb402a66cba9801673f2b5c	479481	2	main	z	80	square	local	RVF	yes	present	1	920
5fb402a66cba9801673f2b5c	503632	3	practice	slash	1	square	local	LVF	yes	present	1	1082
5fb402a66cba9801673f2b5c	508173	3	practice	slash	2	rectangle	local	RVF	yes	present	1	607
5fb402a66cba9801673f2b5c	510892	3	practice	slash	3	rectangle	global	LVF	yes	present	1	560
5fb402a66cba9801673f2b5c	515048	3	practice	slash	4	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	517982	3	practice	slash	5	square	global	LVF	yes	present	1	733
5fb402a66cba9801673f2b5c	521013	3	practice	slash	6	rectangle	local	RVF	yes	present	1	815
5fb402a66cba9801673f2b5c	523865	3	practice	slash	7	square	global	RVF	yes	present	1	632
5fb402a66cba9801673f2b5c	526680	3	practice	slash	8	absent	absent	absent	no	present	0	714
5fb402a66cba9801673f2b5c	529532	3	practice	slash	9	rectangle	global	RVF	yes	present	1	732
5fb402a66cba9801673f2b5c	533766	3	practice	slash	10	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	537949	3	practice	slash	11	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	540665	3	practice	slash	12	rectangle	global	RVF	yes	present	1	633
5fb402a66cba9801673f2b5c	543612	3	practice	slash	13	rectangle	global	LVF	yes	present	1	713
5fb402a66cba9801673f2b5c	546944	3	practice	slash	14	square	local	LVF	yes	present	1	861
5fb402a66cba9801673f2b5c	549843	3	practice	slash	15	rectangle	local	RVF	yes	present	1	711
5fb402a66cba9801673f2b5c	552660	3	practice	slash	16	square	global	LVF	yes	present	1	611
5fb402a66cba9801673f2b5c	556614	4	main	slash	1	rectangle	global	LVF	yes	present	1	535
5fb402a66cba9801673f2b5c	559997	4	main	slash	2	absent	absent	absent	no	absent	1	2000
5fb402a66cba9801673f2b5c	561678	4	main	slash	3	square	global	LVF	yes	present	1	414
5fb402a66cba9801673f2b5c	563631	4	main	slash	4	square	local	LVF	yes	present	1	515
