subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60ce179aa6f645eb5543c20e	658198	9.5	practice	slash	1	absent	absent	absent	no	absent	1	2000
60ce179aa6f645eb5543c20e	663911	9.5	practice	slash	2	absent	absent	absent	no	absent	1	2000
60ce179aa6f645eb5543c20e	667561	9.5	practice	slash	3	rectangle	global	RVF	yes	present	1	452
60ce179aa6f645eb5543c20e	670794	9.5	practice	slash	4	rectangle	global	LVF	yes	present	1	398
60ce179aa6f645eb5543c20e	673762	9.5	practice	slash	5	rectangle	global	LVF	yes	present	1	402
60ce179aa6f645eb5543c20e	676749	9.5	practice	slash	6	rectangle	local	RVF	yes	present	1	456
60ce179aa6f645eb5543c20e	681147	9.5	practice	slash	7	rectangle	local	RVF	yes	absent	0	2000
60ce179aa6f645eb5543c20e	685645	9.5	practice	slash	8	absent	absent	absent	no	absent	1	2000
60ce179aa6f645eb5543c20e	688962	9.5	practice	slash	9	square	global	LVF	yes	present	1	585
60ce179aa6f645eb5543c20e	692485	9.5	practice	slash	10	rectangle	local	RVF	yes	present	1	608
60ce179aa6f645eb5543c20e	695631	9.5	practice	slash	11	square	global	LVF	yes	present	1	538
60ce179aa6f645eb5543c20e	698176	9.5	practice	slash	12	rectangle	global	RVF	yes	present	1	449
60ce179aa6f645eb5543c20e	700972	9.5	practice	slash	13	square	local	LVF	yes	present	1	595
60ce179aa6f645eb5543c20e	704961	9.5	practice	slash	14	absent	absent	absent	no	absent	1	2000
60ce179aa6f645eb5543c20e	708435	9.5	practice	slash	15	square	local	LVF	yes	present	1	575
60ce179aa6f645eb5543c20e	711679	9.5	practice	slash	16	square	global	RVF	yes	present	1	901
60ce179aa6f645eb5543c20e	722639	10.5	main	slash	1	square	local	RVF	yes	present	1	1111
60ce179aa6f645eb5543c20e	725569	10.5	main	slash	2	rectangle	global	RVF	yes	present	1	626
60ce179aa6f645eb5543c20e	728799	10.5	main	slash	3	rectangle	local	RVF	yes	present	1	540
60ce179aa6f645eb5543c20e	733261	10.5	main	slash	4	absent	absent	absent	no	absent	1	2000
