subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
610058f21b82dddf45b44009	298121	1	practice	z	1	square	global	LVF	yes	present	1	1632
610058f21b82dddf45b44009	301416	1	practice	z	2	rectangle	global	RVF	yes	present	1	1045
610058f21b82dddf45b44009	304816	1	practice	z	3	rectangle	local	RVF	yes	present	1	1112
610058f21b82dddf45b44009	308568	1	practice	z	4	square	global	LVF	yes	present	1	1514
610058f21b82dddf45b44009	312854	1	practice	z	5	square	local	LVF	yes	absent	0	2000
610058f21b82dddf45b44009	315657	1	practice	z	6	square	global	RVF	yes	present	1	685
610058f21b82dddf45b44009	318209	1	practice	z	7	rectangle	global	LVF	yes	present	1	487
610058f21b82dddf45b44009	321512	1	practice	z	8	absent	absent	absent	no	present	0	1058
610058f21b82dddf45b44009	324266	1	practice	z	9	absent	absent	absent	no	present	0	678
610058f21b82dddf45b44009	328271	1	practice	z	10	absent	absent	absent	no	absent	1	2000
610058f21b82dddf45b44009	331361	1	practice	z	11	rectangle	local	RVF	yes	present	1	1039
610058f21b82dddf45b44009	334288	1	practice	z	12	rectangle	global	RVF	yes	present	1	784
610058f21b82dddf45b44009	337297	1	practice	z	13	rectangle	local	RVF	yes	present	1	908
610058f21b82dddf45b44009	341729	1	practice	z	14	absent	absent	absent	no	present	0	1490
610058f21b82dddf45b44009	354946	1	practice	z	15	rectangle	global	LVF	yes	present	1	1306
610058f21b82dddf45b44009	358488	1	practice	z	16	square	local	LVF	yes	present	1	1267
610058f21b82dddf45b44009	364182	2	main	z	1	square	local	RVF	yes	present	1	713
610058f21b82dddf45b44009	366598	2	main	z	2	absent	absent	absent	no	present	0	1262
610058f21b82dddf45b44009	368943	2	main	z	3	square	global	LVF	yes	present	1	973
610058f21b82dddf45b44009	371782	2	main	z	4	square	global	LVF	yes	present	1	1013
610058f21b82dddf45b44009	374998	2	main	z	5	rectangle	local	LVF	yes	present	1	1496
610058f21b82dddf45b44009	378419	2	main	z	6	absent	absent	absent	no	absent	1	2000
610058f21b82dddf45b44009	381102	2	main	z	7	square	global	LVF	yes	present	1	1333
610058f21b82dddf45b44009	383918	2	main	z	8	absent	absent	absent	no	present	0	1432
610058f21b82dddf45b44009	387269	2	main	z	9	absent	absent	absent	no	absent	1	2000
610058f21b82dddf45b44009	390369	2	main	z	10	rectangle	global	LVF	yes	absent	0	2000
610058f21b82dddf45b44009	392726	2	main	z	11	rectangle	global	LVF	yes	present	1	1224
610058f21b82dddf45b44009	395094	2	main	z	12	rectangle	local	RVF	yes	present	1	1075
610058f21b82dddf45b44009	397550	2	main	z	13	rectangle	local	RVF	yes	present	1	1214
610058f21b82dddf45b44009	399934	2	main	z	14	rectangle	local	LVF	yes	present	1	1031
610058f21b82dddf45b44009	402190	2	main	z	15	rectangle	local	LVF	yes	present	1	1054
610058f21b82dddf45b44009	404110	2	main	z	16	square	local	RVF	yes	present	1	791
610058f21b82dddf45b44009	406478	2	main	z	17	rectangle	local	LVF	yes	present	1	1109
610058f21b82dddf45b44009	408542	2	main	z	18	square	global	LVF	yes	present	1	856
610058f21b82dddf45b44009	410942	2	main	z	19	rectangle	global	RVF	yes	present	1	1073
610058f21b82dddf45b44009	413153	2	main	z	20	rectangle	global	RVF	yes	present	1	1064
610058f21b82dddf45b44009	415238	2	main	z	21	rectangle	global	RVF	yes	present	1	786
610058f21b82dddf45b44009	417366	2	main	z	22	rectangle	local	RVF	yes	present	1	864
610058f21b82dddf45b44009	419638	2	main	z	23	absent	absent	absent	no	present	0	752
610058f21b82dddf45b44009	421606	2	main	z	24	square	global	RVF	yes	present	1	720
610058f21b82dddf45b44009	423966	2	main	z	25	absent	absent	absent	no	present	0	914
610058f21b82dddf45b44009	426494	2	main	z	26	rectangle	global	LVF	yes	present	1	1142
610058f21b82dddf45b44009	428854	2	main	z	27	square	global	RVF	yes	present	1	1102
610058f21b82dddf45b44009	432046	2	main	z	28	square	local	LVF	yes	present	1	1660
610058f21b82dddf45b44009	436002	2	main	z	29	absent	absent	absent	no	absent	1	2000
610058f21b82dddf45b44009	439535	2	main	z	30	absent	absent	absent	no	absent	1	2000
610058f21b82dddf45b44009	441542	2	main	z	31	square	local	RVF	yes	present	1	740
610058f21b82dddf45b44009	444494	2	main	z	32	rectangle	global	RVF	yes	present	1	1575
610058f21b82dddf45b44009	447063	2	main	z	33	square	local	LVF	yes	present	1	1276
610058f21b82dddf45b44009	449086	2	main	z	34	rectangle	local	RVF	yes	present	1	834
610058f21b82dddf45b44009	451038	2	main	z	35	square	global	RVF	yes	present	1	719
610058f21b82dddf45b44009	454030	2	main	z	36	square	global	RVF	yes	present	1	1527
610058f21b82dddf45b44009	456086	2	main	z	37	rectangle	global	LVF	yes	present	1	650
610058f21b82dddf45b44009	457990	2	main	z	38	square	local	LVF	yes	present	1	754
610058f21b82dddf45b44009	459742	2	main	z	39	square	local	LVF	yes	present	1	673
610058f21b82dddf45b44009	461934	2	main	z	40	square	local	RVF	yes	present	1	865
610058f21b82dddf45b44009	465252	2	main	z	41	square	global	LVF	yes	absent	0	2000
610058f21b82dddf45b44009	468952	2	main	z	42	square	local	RVF	yes	absent	0	2000
610058f21b82dddf45b44009	471262	2	main	z	43	square	global	RVF	yes	present	1	1126
610058f21b82dddf45b44009	474552	2	main	z	44	rectangle	local	RVF	yes	absent	0	2000
610058f21b82dddf45b44009	477785	2	main	z	45	square	global	RVF	yes	absent	0	2000
610058f21b82dddf45b44009	479958	2	main	z	46	square	global	LVF	yes	present	1	972
610058f21b82dddf45b44009	483119	2	main	z	47	absent	absent	absent	no	absent	1	2000
610058f21b82dddf45b44009	485270	2	main	z	48	square	local	LVF	yes	present	1	1034
610058f21b82dddf45b44009	487774	2	main	z	49	rectangle	global	RVF	yes	present	1	1224
610058f21b82dddf45b44009	491236	2	main	z	50	rectangle	local	LVF	yes	absent	0	2000
610058f21b82dddf45b44009	493238	2	main	z	51	square	local	LVF	yes	present	1	769
610058f21b82dddf45b44009	496469	2	main	z	52	square	global	RVF	yes	absent	0	2000
610058f21b82dddf45b44009	498702	2	main	z	53	square	local	LVF	yes	present	1	1100
610058f21b82dddf45b44009	501802	2	main	z	54	rectangle	global	RVF	yes	absent	0	2000
610058f21b82dddf45b44009	503942	2	main	z	55	rectangle	global	LVF	yes	present	1	1056
610058f21b82dddf45b44009	507552	2	main	z	56	absent	absent	absent	no	absent	1	2000
610058f21b82dddf45b44009	509502	2	main	z	57	square	local	RVF	yes	present	1	866
610058f21b82dddf45b44009	512038	2	main	z	58	rectangle	global	LVF	yes	present	1	1185
610058f21b82dddf45b44009	515252	2	main	z	59	absent	absent	absent	no	absent	1	2000
610058f21b82dddf45b44009	517022	2	main	z	60	rectangle	local	RVF	yes	present	1	736
610058f21b82dddf45b44009	519286	2	main	z	61	rectangle	local	RVF	yes	present	1	1134
610058f21b82dddf45b44009	522535	2	main	z	62	rectangle	global	LVF	yes	absent	0	2000
610058f21b82dddf45b44009	525830	2	main	z	63	rectangle	local	LVF	yes	present	1	1328
610058f21b82dddf45b44009	528846	2	main	z	64	square	global	LVF	yes	present	1	827
610058f21b82dddf45b44009	533069	2	main	z	65	rectangle	local	LVF	yes	absent	0	2000
