subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
61005b49f8382e2e24f00ef0	115340	1	practice	z	1	rectangle	global	LVF	yes	present	1	1427
61005b49f8382e2e24f00ef0	118309	1	practice	z	2	rectangle	global	RVF	yes	present	1	678
61005b49f8382e2e24f00ef0	121126	1	practice	z	3	square	global	LVF	yes	present	1	727
61005b49f8382e2e24f00ef0	125100	1	practice	z	4	square	local	LVF	yes	absent	0	2000
61005b49f8382e2e24f00ef0	129218	1	practice	z	5	absent	absent	absent	no	absent	1	2000
61005b49f8382e2e24f00ef0	132014	1	practice	z	6	rectangle	global	LVF	yes	present	1	845
61005b49f8382e2e24f00ef0	135127	1	practice	z	7	rectangle	local	RVF	yes	present	1	972
61005b49f8382e2e24f00ef0	138330	1	practice	z	8	rectangle	local	RVF	yes	present	1	1259
61005b49f8382e2e24f00ef0	140860	1	practice	z	9	rectangle	global	RVF	yes	present	1	504
61005b49f8382e2e24f00ef0	144808	1	practice	z	10	absent	absent	absent	no	absent	1	2000
61005b49f8382e2e24f00ef0	147273	1	practice	z	11	square	global	LVF	yes	present	1	532
61005b49f8382e2e24f00ef0	149995	1	practice	z	12	square	local	LVF	yes	present	1	752
61005b49f8382e2e24f00ef0	152335	1	practice	z	13	square	global	RVF	yes	present	1	441
61005b49f8382e2e24f00ef0	156212	1	practice	z	14	absent	absent	absent	no	absent	1	2000
61005b49f8382e2e24f00ef0	160164	1	practice	z	15	absent	absent	absent	no	absent	1	2000
61005b49f8382e2e24f00ef0	162955	1	practice	z	16	rectangle	local	RVF	yes	present	1	1056
61005b49f8382e2e24f00ef0	170163	2	main	z	1	absent	absent	absent	no	present	0	762
61005b49f8382e2e24f00ef0	172170	2	main	z	2	rectangle	local	LVF	yes	present	1	685
61005b49f8382e2e24f00ef0	174034	2	main	z	3	absent	absent	absent	no	present	0	749
61005b49f8382e2e24f00ef0	175723	2	main	z	4	square	local	LVF	yes	present	1	521
61005b49f8382e2e24f00ef0	177310	2	main	z	5	square	local	LVF	yes	present	1	490
61005b49f8382e2e24f00ef0	179155	2	main	z	6	square	local	RVF	yes	present	1	667
61005b49f8382e2e24f00ef0	181779	2	main	z	7	square	global	RVF	yes	present	1	1657
61005b49f8382e2e24f00ef0	183364	2	main	z	8	rectangle	local	LVF	yes	present	1	525
61005b49f8382e2e24f00ef0	185057	2	main	z	9	rectangle	global	RVF	yes	present	1	667
61005b49f8382e2e24f00ef0	186644	2	main	z	10	square	global	RVF	yes	present	1	553
61005b49f8382e2e24f00ef0	188023	2	main	z	11	rectangle	global	RVF	yes	present	1	433
61005b49f8382e2e24f00ef0	189672	2	main	z	12	rectangle	local	RVF	yes	present	1	730
61005b49f8382e2e24f00ef0	192592	2	main	z	13	absent	absent	absent	no	absent	1	2000
61005b49f8382e2e24f00ef0	195743	2	main	z	14	absent	absent	absent	no	absent	1	2000
61005b49f8382e2e24f00ef0	197048	2	main	z	15	rectangle	global	LVF	yes	present	1	403
61005b49f8382e2e24f00ef0	198807	2	main	z	16	rectangle	local	RVF	yes	present	1	595
61005b49f8382e2e24f00ef0	201995	2	main	z	17	absent	absent	absent	no	absent	1	2000
61005b49f8382e2e24f00ef0	203408	2	main	z	18	rectangle	global	RVF	yes	present	1	461
61005b49f8382e2e24f00ef0	204846	2	main	z	19	rectangle	global	LVF	yes	present	1	415
