subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
631ab79e8635a1df26319958	102640	1	practice	slash	1	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	106646	1	practice	slash	2	square	global	RVF	yes	present	1	621
631ab79e8635a1df26319958	109170	1	practice	slash	3	rectangle	global	RVF	yes	present	1	401
631ab79e8635a1df26319958	111533	1	practice	slash	4	rectangle	global	LVF	yes	present	1	386
631ab79e8635a1df26319958	114866	1	practice	slash	5	rectangle	global	LVF	yes	present	1	1266
631ab79e8635a1df26319958	117797	1	practice	slash	6	square	local	LVF	yes	present	1	884
631ab79e8635a1df26319958	121329	1	practice	slash	7	rectangle	global	RVF	yes	present	1	1352
631ab79e8635a1df26319958	124181	1	practice	slash	8	rectangle	local	RVF	yes	present	1	855
631ab79e8635a1df26319958	128092	1	practice	slash	9	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	132052	1	practice	slash	10	square	global	LVF	yes	absent	0	2000
631ab79e8635a1df26319958	135982	1	practice	slash	11	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	138743	1	practice	slash	12	square	local	LVF	yes	present	1	834
631ab79e8635a1df26319958	141446	1	practice	slash	13	rectangle	local	RVF	yes	present	1	789
631ab79e8635a1df26319958	144153	1	practice	slash	14	rectangle	local	RVF	yes	present	1	832
631ab79e8635a1df26319958	146954	1	practice	slash	15	square	global	LVF	yes	present	1	919
631ab79e8635a1df26319958	150833	1	practice	slash	16	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	157155	2	main	slash	1	absent	absent	absent	no	present	0	1646
631ab79e8635a1df26319958	160437	2	main	slash	2	rectangle	global	LVF	yes	present	1	936
631ab79e8635a1df26319958	162401	2	main	slash	3	rectangle	global	RVF	yes	present	1	734
631ab79e8635a1df26319958	164181	2	main	slash	4	rectangle	global	LVF	yes	present	1	750
631ab79e8635a1df26319958	165817	2	main	slash	5	square	local	LVF	yes	present	1	719
631ab79e8635a1df26319958	167448	2	main	slash	6	rectangle	local	LVF	yes	present	1	752
631ab79e8635a1df26319958	169654	2	main	slash	7	square	global	RVF	yes	present	1	1350
631ab79e8635a1df26319958	171346	2	main	slash	8	square	local	LVF	yes	present	1	789
631ab79e8635a1df26319958	174124	2	main	slash	9	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	175787	2	main	slash	10	rectangle	local	LVF	yes	present	1	717
631ab79e8635a1df26319958	177580	2	main	slash	11	rectangle	global	RVF	yes	present	1	996
631ab79e8635a1df26319958	179574	2	main	slash	12	square	local	LVF	yes	present	1	1207
631ab79e8635a1df26319958	181128	2	main	slash	13	square	local	RVF	yes	present	1	694
631ab79e8635a1df26319958	182853	2	main	slash	14	square	global	LVF	yes	present	1	990
631ab79e8635a1df26319958	184626	2	main	slash	15	rectangle	local	RVF	yes	present	1	1079
631ab79e8635a1df26319958	187299	2	main	slash	16	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	189074	2	main	slash	17	square	local	RVF	yes	present	1	849
631ab79e8635a1df26319958	190570	2	main	slash	18	rectangle	global	LVF	yes	present	1	830
631ab79e8635a1df26319958	192100	2	main	slash	19	square	global	LVF	yes	present	1	829
631ab79e8635a1df26319958	193843	2	main	slash	20	rectangle	local	LVF	yes	present	1	1022
631ab79e8635a1df26319958	195371	2	main	slash	21	rectangle	local	RVF	yes	present	1	853
631ab79e8635a1df26319958	196858	2	main	slash	22	rectangle	local	RVF	yes	present	1	790
631ab79e8635a1df26319958	199548	2	main	slash	23	square	global	RVF	yes	absent	0	2000
631ab79e8635a1df26319958	202629	2	main	slash	24	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	204377	2	main	slash	25	rectangle	local	RVF	yes	present	1	835
631ab79e8635a1df26319958	207075	2	main	slash	26	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	208896	2	main	slash	27	square	global	RVF	yes	present	1	875
631ab79e8635a1df26319958	211820	2	main	slash	28	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	213519	2	main	slash	29	square	global	LVF	yes	present	1	770
631ab79e8635a1df26319958	215042	2	main	slash	30	square	local	LVF	yes	present	1	776
631ab79e8635a1df26319958	216512	2	main	slash	31	square	local	RVF	yes	present	1	749
631ab79e8635a1df26319958	217987	2	main	slash	32	square	global	LVF	yes	present	1	773
631ab79e8635a1df26319958	219488	2	main	slash	33	rectangle	global	LVF	yes	present	1	743
631ab79e8635a1df26319958	220907	2	main	slash	34	square	global	RVF	yes	present	1	714
631ab79e8635a1df26319958	222611	2	main	slash	35	rectangle	global	RVF	yes	present	1	987
631ab79e8635a1df26319958	224426	2	main	slash	36	rectangle	local	LVF	yes	present	1	1153
631ab79e8635a1df26319958	227105	2	main	slash	37	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	228902	2	main	slash	38	square	local	RVF	yes	present	1	849
631ab79e8635a1df26319958	230353	2	main	slash	39	rectangle	global	RVF	yes	present	1	746
631ab79e8635a1df26319958	233033	2	main	slash	40	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	234688	2	main	slash	41	rectangle	global	RVF	yes	present	1	741
631ab79e8635a1df26319958	236093	2	main	slash	42	square	global	LVF	yes	present	1	732
631ab79e8635a1df26319958	238776	2	main	slash	43	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	241691	2	main	slash	44	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	243332	2	main	slash	45	rectangle	local	LVF	yes	present	1	762
631ab79e8635a1df26319958	244756	2	main	slash	46	square	local	LVF	yes	present	1	687
631ab79e8635a1df26319958	246095	2	main	slash	47	square	local	RVF	yes	present	1	659
631ab79e8635a1df26319958	247444	2	main	slash	48	square	local	RVF	yes	present	1	675
631ab79e8635a1df26319958	248798	2	main	slash	49	square	local	RVF	yes	present	1	667
631ab79e8635a1df26319958	250335	2	main	slash	50	square	global	RVF	yes	present	1	855
631ab79e8635a1df26319958	251679	2	main	slash	51	square	global	LVF	yes	present	1	683
631ab79e8635a1df26319958	254378	2	main	slash	52	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	255994	2	main	slash	53	rectangle	global	RVF	yes	present	1	687
631ab79e8635a1df26319958	257327	2	main	slash	54	rectangle	global	LVF	yes	present	1	653
631ab79e8635a1df26319958	258653	2	main	slash	55	square	local	LVF	yes	present	1	663
631ab79e8635a1df26319958	260036	2	main	slash	56	rectangle	global	LVF	yes	present	1	698
631ab79e8635a1df26319958	261430	2	main	slash	57	square	global	LVF	yes	present	1	726
631ab79e8635a1df26319958	262799	2	main	slash	58	rectangle	local	RVF	yes	present	1	682
631ab79e8635a1df26319958	265516	2	main	slash	59	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	267170	2	main	slash	60	rectangle	global	RVF	yes	present	1	773
631ab79e8635a1df26319958	268536	2	main	slash	61	square	local	LVF	yes	present	1	690
631ab79e8635a1df26319958	269969	2	main	slash	62	square	global	RVF	yes	present	1	742
631ab79e8635a1df26319958	271369	2	main	slash	63	rectangle	global	LVF	yes	present	1	709
631ab79e8635a1df26319958	274042	2	main	slash	64	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	277106	2	main	slash	65	absent	absent	absent	no	absent	1	2000
631ab79e8635a1df26319958	278842	2	main	slash	66	rectangle	local	LVF	yes	present	1	738
631ab79e8635a1df26319958	280048	2	main	slash	67	rectangle	local	RVF	yes	present	1	514
631ab79e8635a1df26319958	281324	2	main	slash	68	square	global	LVF	yes	present	1	557
631ab79e8635a1df26319958	284017	2	main	slash	69	absent	absent	absent	no	absent	1	2000
