subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
634282de38138fa9316eb482	643694	9.5	practice	z	1	square	global	RVF	yes	absent	0	2000
634282de38138fa9316eb482	652740	9.5	practice	z	2	absent	absent	absent	no	absent	1	2000
634282de38138fa9316eb482	655972	9.5	practice	z	3	rectangle	global	LVF	yes	present	1	968
634282de38138fa9316eb482	659547	9.5	practice	z	4	absent	absent	absent	no	present	0	1076
634282de38138fa9316eb482	662424	9.5	practice	z	5	rectangle	global	RVF	yes	present	1	688
634282de38138fa9316eb482	666785	9.5	practice	z	6	absent	absent	absent	no	absent	1	2000
634282de38138fa9316eb482	670254	9.5	practice	z	7	absent	absent	absent	no	present	0	1223
634282de38138fa9316eb482	674084	9.5	practice	z	8	rectangle	local	RVF	yes	present	1	1419
634282de38138fa9316eb482	677437	9.5	practice	z	9	rectangle	global	RVF	yes	present	1	1023
634282de38138fa9316eb482	681445	9.5	practice	z	10	rectangle	local	RVF	yes	present	1	1435
634282de38138fa9316eb482	685925	9.5	practice	z	11	square	local	LVF	yes	absent	0	2000
634282de38138fa9316eb482	689066	9.5	practice	z	12	rectangle	global	LVF	yes	present	1	892
634282de38138fa9316eb482	692444	9.5	practice	z	13	square	local	LVF	yes	present	1	890
634282de38138fa9316eb482	696861	9.5	practice	z	14	square	global	LVF	yes	present	1	857
634282de38138fa9316eb482	700144	9.5	practice	z	15	rectangle	local	RVF	yes	present	1	1057
634282de38138fa9316eb482	703149	9.5	practice	z	16	square	global	LVF	yes	present	1	765
634282de38138fa9316eb482	745363	10.5	main	z	1	square	local	LVF	yes	present	1	1764
634282de38138fa9316eb482	747632	10.5	main	z	2	square	global	LVF	yes	present	1	684
634282de38138fa9316eb482	749605	10.5	main	z	3	rectangle	local	RVF	yes	present	1	776
634282de38138fa9316eb482	751948	10.5	main	z	4	square	global	RVF	yes	present	1	1369
634282de38138fa9316eb482	754659	10.5	main	z	5	square	local	RVF	yes	present	1	698
634282de38138fa9316eb482	756573	10.5	main	z	6	square	local	RVF	yes	present	1	913
634282de38138fa9316eb482	758364	10.5	main	z	7	rectangle	global	LVF	yes	present	1	803
