subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
63ced19b7422296653437e30	1557568	9.5	practice	slash	1	absent	absent	absent	no	present	0	1706
63ced19b7422296653437e30	1564828	9.5	practice	slash	2	absent	absent	absent	no	absent	1	2000
63ced19b7422296653437e30	1569216	9.5	practice	slash	3	square	global	LVF	yes	present	1	1103
63ced19b7422296653437e30	1574016	9.5	practice	slash	4	square	global	RVF	yes	present	1	1219
63ced19b7422296653437e30	1577272	9.5	practice	slash	5	square	local	LVF	yes	present	1	1057
63ced19b7422296653437e30	1581480	9.5	practice	slash	6	rectangle	global	RVF	yes	absent	0	2000
63ced19b7422296653437e30	1584736	9.5	practice	slash	7	rectangle	local	RVF	yes	present	1	870
63ced19b7422296653437e30	1587896	9.5	practice	slash	8	rectangle	global	LVF	yes	present	1	947
63ced19b7422296653437e30	1591257	9.5	practice	slash	9	square	local	LVF	yes	present	1	1073
63ced19b7422296653437e30	1595382	9.5	practice	slash	10	absent	absent	absent	no	absent	1	2000
63ced19b7422296653437e30	1598668	9.5	practice	slash	11	absent	absent	absent	no	present	0	1150
63ced19b7422296653437e30	1601556	9.5	practice	slash	12	rectangle	local	RVF	yes	present	1	754
63ced19b7422296653437e30	1605784	9.5	practice	slash	13	rectangle	global	RVF	yes	absent	0	2000
63ced19b7422296653437e30	1609068	9.5	practice	slash	14	square	global	LVF	yes	present	1	981
63ced19b7422296653437e30	1612868	9.5	practice	slash	15	rectangle	global	LVF	yes	present	1	1465
63ced19b7422296653437e30	1616484	9.5	practice	slash	16	rectangle	local	RVF	yes	present	1	1313
63ced19b7422296653437e30	1630671	10.5	main	slash	1	rectangle	local	LVF	yes	absent	0	2000
63ced19b7422296653437e30	1633486	10.5	main	slash	2	absent	absent	absent	no	present	0	929
63ced19b7422296653437e30	1636046	10.5	main	slash	3	rectangle	global	LVF	yes	present	1	1005
63ced19b7422296653437e30	1640357	10.5	main	slash	4	absent	absent	absent	no	absent	1	2000
63ced19b7422296653437e30	1643196	10.5	main	slash	5	square	local	RVF	yes	present	1	637
63ced19b7422296653437e30	1645268	10.5	main	slash	6	rectangle	global	RVF	yes	present	1	859
63ced19b7422296653437e30	1648308	10.5	main	slash	7	absent	absent	absent	no	absent	1	2000
63ced19b7422296653437e30	1650253	10.5	main	slash	8	square	local	LVF	yes	present	1	709
63ced19b7422296653437e30	1652116	10.5	main	slash	9	rectangle	global	RVF	yes	present	1	873
63ced19b7422296653437e30	1655193	10.5	main	slash	10	absent	absent	absent	no	absent	1	2000
63ced19b7422296653437e30	1657473	10.5	main	slash	11	square	global	LVF	yes	present	1	529
63ced19b7422296653437e30	1659385	10.5	main	slash	12	rectangle	global	LVF	yes	present	1	773
63ced19b7422296653437e30	1663228	10.5	main	slash	13	absent	absent	absent	no	absent	1	2000
63ced19b7422296653437e30	1665233	10.5	main	slash	14	square	local	RVF	yes	present	1	787
63ced19b7422296653437e30	1666969	10.5	main	slash	15	square	global	LVF	yes	present	1	723
63ced19b7422296653437e30	1669025	10.5	main	slash	16	rectangle	local	LVF	yes	present	1	1112
63ced19b7422296653437e30	1671105	10.5	main	slash	17	rectangle	global	LVF	yes	present	1	992
63ced19b7422296653437e30	1673225	10.5	main	slash	18	square	global	RVF	yes	present	1	1044
63ced19b7422296653437e30	1675777	10.5	main	slash	19	square	local	LVF	yes	present	1	1596
63ced19b7422296653437e30	1677881	10.5	main	slash	20	square	global	RVF	yes	present	1	1017
63ced19b7422296653437e30	1679705	10.5	main	slash	21	rectangle	global	RVF	yes	present	1	791
63ced19b7422296653437e30	1681585	10.5	main	slash	22	rectangle	local	RVF	yes	present	1	870
63ced19b7422296653437e30	1684481	10.5	main	slash	23	absent	absent	absent	no	absent	1	2000
63ced19b7422296653437e30	1687648	10.5	main	slash	24	rectangle	local	RVF	yes	absent	0	2000
63ced19b7422296653437e30	1690129	10.5	main	slash	25	rectangle	local	RVF	yes	present	1	730
63ced19b7422296653437e30	1691457	10.5	main	slash	26	square	local	LVF	yes	present	1	357
63ced19b7422296653437e30	1692913	10.5	main	slash	27	rectangle	global	RVF	yes	present	1	430
63ced19b7422296653437e30	1694418	10.5	main	slash	28	square	global	LVF	yes	present	1	566
63ced19b7422296653437e30	1696058	10.5	main	slash	29	rectangle	local	LVF	yes	present	1	722
63ced19b7422296653437e30	1697737	10.5	main	slash	30	square	global	RVF	yes	present	1	819
63ced19b7422296653437e30	1700097	10.5	main	slash	31	rectangle	local	RVF	yes	present	1	1546
63ced19b7422296653437e30	1701953	10.5	main	slash	32	square	global	RVF	yes	present	1	868
63ced19b7422296653437e30	1706085	10.5	main	slash	33	absent	absent	absent	no	absent	1	2000
63ced19b7422296653437e30	1707497	10.5	main	slash	34	square	local	RVF	yes	present	1	261
63ced19b7422296653437e30	1708785	10.5	main	slash	35	rectangle	local	LVF	yes	present	1	299
63ced19b7422296653437e30	1710033	10.5	main	slash	36	square	local	LVF	yes	present	1	297
63ced19b7422296653437e30	1711361	10.5	main	slash	37	absent	absent	absent	no	present	0	442
63ced19b7422296653437e30	1713049	10.5	main	slash	38	rectangle	global	LVF	yes	present	1	712
63ced19b7422296653437e30	1714570	10.5	main	slash	39	square	global	LVF	yes	present	1	549
63ced19b7422296653437e30	1716185	10.5	main	slash	40	square	local	RVF	yes	present	1	698
63ced19b7422296653437e30	1717673	10.5	main	slash	41	rectangle	global	RVF	yes	present	1	619
63ced19b7422296653437e30	1719217	10.5	main	slash	42	rectangle	local	RVF	yes	present	1	629
63ced19b7422296653437e30	1721209	10.5	main	slash	43	rectangle	local	LVF	yes	present	1	538
63ced19b7422296653437e30	1723377	10.5	main	slash	44	absent	absent	absent	no	present	0	1039
63ced19b7422296653437e30	1726254	10.5	main	slash	45	absent	absent	absent	no	absent	1	2000
63ced19b7422296653437e30	1727633	10.5	main	slash	46	rectangle	local	RVF	yes	present	1	377
63ced19b7422296653437e30	1729153	10.5	main	slash	47	square	global	LVF	yes	present	1	480
63ced19b7422296653437e30	1730673	10.5	main	slash	48	square	global	LVF	yes	present	1	499
63ced19b7422296653437e30	1732065	10.5	main	slash	49	square	local	LVF	yes	present	1	442
63ced19b7422296653437e30	1733841	10.5	main	slash	50	absent	absent	absent	no	present	0	767
63ced19b7422296653437e30	1734969	10.5	main	slash	51	absent	absent	absent	no	present	0	195
63ced19b7422296653437e30	1737025	10.5	main	slash	52	rectangle	global	LVF	yes	present	1	634
63ced19b7422296653437e30	1738481	10.5	main	slash	53	rectangle	global	RVF	yes	present	1	290
63ced19b7422296653437e30	1740161	10.5	main	slash	54	absent	absent	absent	no	present	0	403
63ced19b7422296653437e30	1741985	10.5	main	slash	55	square	global	LVF	yes	present	1	544
63ced19b7422296653437e30	1743633	10.5	main	slash	56	square	global	LVF	yes	present	1	541
63ced19b7422296653437e30	1745065	10.5	main	slash	57	square	local	RVF	yes	present	1	322
63ced19b7422296653437e30	1747137	10.5	main	slash	58	square	global	RVF	yes	present	1	611
63ced19b7422296653437e30	1749066	10.5	main	slash	59	rectangle	global	RVF	yes	present	1	555
63ced19b7422296653437e30	1750497	10.5	main	slash	60	rectangle	local	LVF	yes	present	1	421
63ced19b7422296653437e30	1752217	10.5	main	slash	61	absent	absent	absent	no	present	0	624
63ced19b7422296653437e30	1753777	10.5	main	slash	62	rectangle	global	LVF	yes	present	1	550
63ced19b7422296653437e30	1755297	10.5	main	slash	63	rectangle	global	LVF	yes	present	1	486
63ced19b7422296653437e30	1756809	10.5	main	slash	64	rectangle	local	RVF	yes	present	1	448
63ced19b7422296653437e30	1758185	10.5	main	slash	65	rectangle	local	RVF	yes	present	1	374
63ced19b7422296653437e30	1759449	10.5	main	slash	66	square	local	RVF	yes	present	1	338
63ced19b7422296653437e30	1760585	10.5	main	slash	67	square	local	RVF	yes	present	1	223
63ced19b7422296653437e30	1761649	10.5	main	slash	68	rectangle	local	LVF	yes	present	1	88
63ced19b7422296653437e30	1762809	10.5	main	slash	69	square	local	LVF	yes	present	1	297
63ced19b7422296653437e30	1763993	10.5	main	slash	70	square	global	RVF	yes	present	1	298
63ced19b7422296653437e30	1765121	10.5	main	slash	71	rectangle	global	LVF	yes	present	1	259
63ced19b7422296653437e30	1766257	10.5	main	slash	72	absent	absent	absent	no	present	0	278
63ced19b7422296653437e30	1767425	10.5	main	slash	73	rectangle	local	LVF	yes	present	1	279
63ced19b7422296653437e30	1770311	10.5	main	slash	74	absent	absent	absent	no	absent	1	2000
63ced19b7422296653437e30	1772001	10.5	main	slash	75	rectangle	global	RVF	yes	present	1	654
63ced19b7422296653437e30	1773961	10.5	main	slash	76	square	global	RVF	yes	present	1	847
63ced19b7422296653437e30	1775665	10.5	main	slash	77	square	global	RVF	yes	present	1	385
63ced19b7422296653437e30	1776929	10.5	main	slash	78	square	local	RVF	yes	present	1	282
63ced19b7422296653437e30	1778041	10.5	main	slash	79	square	local	LVF	yes	present	1	226
63ced19b7422296653437e30	1779169	10.5	main	slash	80	square	local	LVF	yes	present	1	255
63ced19b7422296653437e30	2472632	11.5	practice	z	1	square	global	LVF	yes	present	1	988
63ced19b7422296653437e30	2476968	11.5	practice	z	2	rectangle	global	LVF	yes	present	1	622
63ced19b7422296653437e30	2480096	11.5	practice	z	3	square	global	LVF	yes	present	1	900
63ced19b7422296653437e30	2485562	11.5	practice	z	4	absent	absent	absent	no	absent	1	2000
63ced19b7422296653437e30	2489828	11.5	practice	z	5	absent	absent	absent	no	absent	1	2000
63ced19b7422296653437e30	2492803	11.5	practice	z	6	square	global	RVF	yes	present	1	756
63ced19b7422296653437e30	2495411	11.5	practice	z	7	rectangle	global	RVF	yes	present	1	646
63ced19b7422296653437e30	2498491	11.5	practice	z	8	square	local	LVF	yes	present	1	893
63ced19b7422296653437e30	2502681	11.5	practice	z	9	rectangle	local	RVF	yes	absent	0	2000
63ced19b7422296653437e30	2505518	11.5	practice	z	10	rectangle	local	RVF	yes	present	1	702
63ced19b7422296653437e30	2508623	11.5	practice	z	11	absent	absent	absent	no	present	0	973
63ced19b7422296653437e30	2512078	11.5	practice	z	12	absent	absent	absent	no	present	0	1327
63ced19b7422296653437e30	2514886	11.5	practice	z	13	rectangle	local	RVF	yes	present	1	802
63ced19b7422296653437e30	2517414	11.5	practice	z	14	square	local	LVF	yes	present	1	647
63ced19b7422296653437e30	2520278	11.5	practice	z	15	rectangle	global	LVF	yes	present	1	759
63ced19b7422296653437e30	2523006	11.5	practice	z	16	rectangle	global	RVF	yes	present	1	755
63ced19b7422296653437e30	2527222	12.5	main	z	1	square	local	RVF	yes	present	1	885
63ced19b7422296653437e30	2529718	12.5	main	z	2	rectangle	local	RVF	yes	present	1	781
63ced19b7422296653437e30	2530990	12.5	main	z	3	square	local	LVF	yes	present	1	320
63ced19b7422296653437e30	2532414	12.5	main	z	4	rectangle	global	LVF	yes	present	1	477
63ced19b7422296653437e30	2534654	12.5	main	z	5	square	local	RVF	yes	present	1	1333
63ced19b7422296653437e30	2536662	12.5	main	z	6	rectangle	local	LVF	yes	present	1	774
63ced19b7422296653437e30	2538206	12.5	main	z	7	rectangle	local	LVF	yes	present	1	634
63ced19b7422296653437e30	2539846	12.5	main	z	8	rectangle	local	LVF	yes	present	1	724
63ced19b7422296653437e30	2541510	12.5	main	z	9	square	local	LVF	yes	present	1	739
63ced19b7422296653437e30	2543462	12.5	main	z	10	rectangle	local	RVF	yes	present	1	1006
