subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
64012a2623351894f2917605	882110	9.5	practice	z	1	square	local	LVF	yes	present	1	795
64012a2623351894f2917605	888897	9.5	practice	z	2	rectangle	global	RVF	yes	present	1	554
64012a2623351894f2917605	894596	9.5	practice	z	3	absent	absent	absent	no	absent	1	2000
64012a2623351894f2917605	898609	9.5	practice	z	4	absent	absent	absent	no	present	0	1798
64012a2623351894f2917605	903198	9.5	practice	z	5	absent	absent	absent	no	absent	1	2000
64012a2623351894f2917605	906477	9.5	practice	z	6	rectangle	local	RVF	yes	present	1	986
64012a2623351894f2917605	910904	9.5	practice	z	7	absent	absent	absent	no	absent	1	2000
64012a2623351894f2917605	913829	9.5	practice	z	8	square	local	LVF	yes	present	1	846
64012a2623351894f2917605	916668	9.5	practice	z	9	rectangle	global	RVF	yes	present	1	537
64012a2623351894f2917605	919727	9.5	practice	z	10	rectangle	local	RVF	yes	present	1	622
64012a2623351894f2917605	922514	9.5	practice	z	11	rectangle	local	RVF	yes	present	1	596
64012a2623351894f2917605	925047	9.5	practice	z	12	square	global	RVF	yes	present	1	475
64012a2623351894f2917605	928061	9.5	practice	z	13	rectangle	global	LVF	yes	present	1	837
64012a2623351894f2917605	930788	9.5	practice	z	14	rectangle	global	LVF	yes	present	1	764
64012a2623351894f2917605	933699	9.5	practice	z	15	square	global	LVF	yes	present	1	941
64012a2623351894f2917605	936435	9.5	practice	z	16	square	global	LVF	yes	present	1	717
64012a2623351894f2917605	946752	10.5	main	z	1	rectangle	global	RVF	yes	present	1	806
64012a2623351894f2917605	949232	10.5	main	z	2	rectangle	global	RVF	yes	present	1	941
64012a2623351894f2917605	952319	10.5	main	z	3	absent	absent	absent	no	absent	1	2000
64012a2623351894f2917605	955427	10.5	main	z	4	absent	absent	absent	no	absent	1	2000
64012a2623351894f2917605	957168	10.5	main	z	5	rectangle	local	LVF	yes	present	1	662
64012a2623351894f2917605	959353	10.5	main	z	6	square	global	RVF	yes	present	1	794
64012a2623351894f2917605	961435	10.5	main	z	7	square	global	LVF	yes	present	1	915
64012a2623351894f2917605	963090	10.5	main	z	8	rectangle	global	LVF	yes	present	1	610
64012a2623351894f2917605	966094	10.5	main	z	9	absent	absent	absent	no	absent	1	2000
