subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
644015377c511324cabe9616	170589	1	practice	slash	1	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	177538	1	practice	slash	2	rectangle	local	RVF	yes	absent	0	2003
644015377c511324cabe9616	185034	1	practice	slash	3	square	global	LVF	yes	present	1	556
644015377c511324cabe9616	190082	1	practice	slash	4	square	local	LVF	yes	present	1	568
644015377c511324cabe9616	193795	1	practice	slash	5	square	local	LVF	yes	present	1	443
644015377c511324cabe9616	196693	1	practice	slash	6	rectangle	global	RVF	yes	present	1	471
644015377c511324cabe9616	199694	1	practice	slash	7	square	global	RVF	yes	present	1	390
644015377c511324cabe9616	203058	1	practice	slash	8	rectangle	global	RVF	yes	present	1	578
644015377c511324cabe9616	205942	1	practice	slash	9	rectangle	local	RVF	yes	present	1	503
644015377c511324cabe9616	211074	1	practice	slash	10	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	213726	1	practice	slash	11	rectangle	global	LVF	yes	present	1	563
644015377c511324cabe9616	218189	1	practice	slash	12	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	222530	1	practice	slash	13	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	225269	1	practice	slash	14	square	global	LVF	yes	present	1	571
644015377c511324cabe9616	228145	1	practice	slash	15	rectangle	global	LVF	yes	present	1	578
644015377c511324cabe9616	231686	1	practice	slash	16	rectangle	local	RVF	yes	present	1	947
644015377c511324cabe9616	252608	2	main	slash	1	square	local	RVF	yes	absent	0	2003
644015377c511324cabe9616	254973	2	main	slash	2	rectangle	global	LVF	yes	present	1	472
644015377c511324cabe9616	257046	2	main	slash	3	square	local	RVF	yes	present	1	455
644015377c511324cabe9616	258848	2	main	slash	4	rectangle	global	LVF	yes	present	1	429
644015377c511324cabe9616	260770	2	main	slash	5	rectangle	local	LVF	yes	present	1	564
644015377c511324cabe9616	262508	2	main	slash	6	square	global	RVF	yes	present	1	552
644015377c511324cabe9616	265552	2	main	slash	7	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	268224	2	main	slash	8	rectangle	local	RVF	yes	present	1	1296
644015377c511324cabe9616	270378	2	main	slash	9	square	local	LVF	yes	present	1	755
644015377c511324cabe9616	272094	2	main	slash	10	square	local	LVF	yes	present	1	549
644015377c511324cabe9616	275193	2	main	slash	11	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	278393	2	main	slash	12	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	279817	2	main	slash	13	square	global	LVF	yes	present	1	453
644015377c511324cabe9616	282195	2	main	slash	14	rectangle	global	LVF	yes	present	1	908
644015377c511324cabe9616	284267	2	main	slash	15	square	global	RVF	yes	present	1	969
644015377c511324cabe9616	286057	2	main	slash	16	rectangle	local	LVF	yes	present	1	746
644015377c511324cabe9616	288100	2	main	slash	17	square	local	LVF	yes	present	1	980
644015377c511324cabe9616	290059	2	main	slash	18	rectangle	local	LVF	yes	present	1	993
644015377c511324cabe9616	292268	2	main	slash	19	rectangle	local	LVF	yes	present	1	1242
644015377c511324cabe9616	294444	2	main	slash	20	rectangle	local	RVF	yes	present	1	1231
644015377c511324cabe9616	297340	2	main	slash	21	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	301194	2	main	slash	22	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	302514	2	main	slash	23	square	local	LVF	yes	present	1	512
644015377c511324cabe9616	304461	2	main	slash	24	square	global	LVF	yes	present	1	606
644015377c511324cabe9616	307520	2	main	slash	25	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	310566	2	main	slash	26	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	312710	2	main	slash	27	square	global	LVF	yes	present	1	756
644015377c511324cabe9616	314690	2	main	slash	28	square	local	RVF	yes	present	1	968
644015377c511324cabe9616	317744	2	main	slash	29	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	319619	2	main	slash	30	rectangle	global	RVF	yes	present	1	830
644015377c511324cabe9616	321182	2	main	slash	31	rectangle	global	RVF	yes	present	1	593
644015377c511324cabe9616	322625	2	main	slash	32	square	global	RVF	yes	present	1	508
644015377c511324cabe9616	324099	2	main	slash	33	rectangle	global	LVF	yes	present	1	524
644015377c511324cabe9616	325723	2	main	slash	34	square	local	RVF	yes	present	1	687
644015377c511324cabe9616	327081	2	main	slash	35	rectangle	global	RVF	yes	present	1	448
644015377c511324cabe9616	328469	2	main	slash	36	square	global	RVF	yes	present	1	479
644015377c511324cabe9616	330106	2	main	slash	37	rectangle	local	RVF	yes	present	1	733
644015377c511324cabe9616	332415	2	main	slash	38	rectangle	local	RVF	yes	present	1	1410
644015377c511324cabe9616	333798	2	main	slash	39	rectangle	global	RVF	yes	present	1	521
644015377c511324cabe9616	335295	2	main	slash	40	square	global	LVF	yes	present	1	586
644015377c511324cabe9616	338203	2	main	slash	41	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	340142	2	main	slash	42	rectangle	global	RVF	yes	present	1	546
644015377c511324cabe9616	341576	2	main	slash	43	rectangle	global	LVF	yes	present	1	478
644015377c511324cabe9616	344477	2	main	slash	44	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	346152	2	main	slash	45	square	global	RVF	yes	present	1	520
644015377c511324cabe9616	347962	2	main	slash	46	rectangle	local	LVF	yes	present	1	807
644015377c511324cabe9616	349610	2	main	slash	47	rectangle	local	RVF	yes	present	1	693
644015377c511324cabe9616	351023	2	main	slash	48	rectangle	global	RVF	yes	present	1	476
644015377c511324cabe9616	352476	2	main	slash	49	rectangle	global	LVF	yes	present	1	507
644015377c511324cabe9616	355460	2	main	slash	50	rectangle	local	LVF	yes	absent	0	2003
644015377c511324cabe9616	357111	2	main	slash	51	square	global	RVF	yes	present	1	451
644015377c511324cabe9616	360084	2	main	slash	52	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	362079	2	main	slash	53	square	local	RVF	yes	present	1	819
644015377c511324cabe9616	363838	2	main	slash	54	rectangle	local	LVF	yes	present	1	816
644015377c511324cabe9616	365380	2	main	slash	55	rectangle	global	LVF	yes	present	1	612
644015377c511324cabe9616	367180	2	main	slash	56	square	local	RVF	yes	present	1	853
644015377c511324cabe9616	368694	2	main	slash	57	square	local	RVF	yes	present	1	595
644015377c511324cabe9616	370272	2	main	slash	58	rectangle	global	RVF	yes	present	1	613
644015377c511324cabe9616	372020	2	main	slash	59	rectangle	local	RVF	yes	present	1	733
644015377c511324cabe9616	373550	2	main	slash	60	square	local	LVF	yes	present	1	592
644015377c511324cabe9616	375071	2	main	slash	61	square	global	LVF	yes	present	1	563
644015377c511324cabe9616	376511	2	main	slash	62	square	local	RVF	yes	present	1	515
644015377c511324cabe9616	379469	2	main	slash	63	square	local	LVF	yes	absent	0	2003
644015377c511324cabe9616	382577	2	main	slash	64	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	384413	2	main	slash	65	square	local	LVF	yes	present	1	776
644015377c511324cabe9616	385795	2	main	slash	66	rectangle	global	LVF	yes	present	1	443
644015377c511324cabe9616	387395	2	main	slash	67	absent	absent	absent	no	present	0	684
644015377c511324cabe9616	388911	2	main	slash	68	square	global	LVF	yes	present	1	601
644015377c511324cabe9616	391808	2	main	slash	69	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	394965	2	main	slash	70	rectangle	local	RVF	yes	absent	0	2003
644015377c511324cabe9616	396628	2	main	slash	71	rectangle	local	RVF	yes	present	1	534
644015377c511324cabe9616	399496	2	main	slash	72	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	401001	2	main	slash	73	rectangle	global	RVF	yes	present	1	563
644015377c511324cabe9616	402589	2	main	slash	74	rectangle	local	LVF	yes	present	1	609
644015377c511324cabe9616	404006	2	main	slash	75	square	local	LVF	yes	present	1	502
644015377c511324cabe9616	405468	2	main	slash	76	square	global	RVF	yes	present	1	544
644015377c511324cabe9616	407370	2	main	slash	77	square	global	LVF	yes	present	1	987
644015377c511324cabe9616	409214	2	main	slash	78	square	global	LVF	yes	present	1	690
644015377c511324cabe9616	412106	2	main	slash	79	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	415131	2	main	slash	80	square	global	RVF	yes	present	1	1097
644015377c511324cabe9616	455200	3	practice	z	1	rectangle	local	RVF	yes	absent	0	2003
644015377c511324cabe9616	458166	3	practice	z	2	rectangle	global	LVF	yes	present	1	515
644015377c511324cabe9616	460869	3	practice	z	3	rectangle	local	RVF	yes	present	1	481
644015377c511324cabe9616	464951	3	practice	z	4	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	467481	3	practice	z	5	square	global	LVF	yes	present	1	454
644015377c511324cabe9616	469992	3	practice	z	6	square	global	RVF	yes	present	1	439
644015377c511324cabe9616	473946	3	practice	z	7	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	476591	3	practice	z	8	rectangle	local	RVF	yes	present	1	613
644015377c511324cabe9616	479144	3	practice	z	9	rectangle	global	RVF	yes	present	1	477
644015377c511324cabe9616	481680	3	practice	z	10	square	local	LVF	yes	present	1	456
644015377c511324cabe9616	484345	3	practice	z	11	rectangle	global	LVF	yes	present	1	425
644015377c511324cabe9616	486784	3	practice	z	12	rectangle	global	RVF	yes	present	1	439
644015377c511324cabe9616	489237	3	practice	z	13	square	local	LVF	yes	present	1	481
644015377c511324cabe9616	493162	3	practice	z	14	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	497267	3	practice	z	15	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	499713	3	practice	z	16	square	global	LVF	yes	present	1	437
644015377c511324cabe9616	506062	4	main	z	1	square	global	RVF	yes	present	1	431
644015377c511324cabe9616	507780	4	main	z	2	square	local	LVF	yes	present	1	395
644015377c511324cabe9616	509209	4	main	z	3	square	global	LVF	yes	present	1	389
644015377c511324cabe9616	510654	4	main	z	4	square	local	RVF	yes	present	1	543
644015377c511324cabe9616	513605	4	main	z	5	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	515000	4	main	z	6	square	global	RVF	yes	present	1	412
644015377c511324cabe9616	516600	4	main	z	7	rectangle	local	LVF	yes	present	1	617
644015377c511324cabe9616	518037	4	main	z	8	square	local	LVF	yes	present	1	503
644015377c511324cabe9616	520941	4	main	z	9	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	522461	4	main	z	10	square	local	LVF	yes	present	1	359
644015377c511324cabe9616	525468	4	main	z	11	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	526897	4	main	z	12	square	local	RVF	yes	present	1	419
644015377c511324cabe9616	528309	4	main	z	13	rectangle	global	RVF	yes	present	1	455
644015377c511324cabe9616	529974	4	main	z	14	square	global	LVF	yes	present	1	732
644015377c511324cabe9616	531349	4	main	z	15	rectangle	global	LVF	yes	present	1	422
644015377c511324cabe9616	534284	4	main	z	16	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	535851	4	main	z	17	rectangle	local	RVF	yes	present	1	564
644015377c511324cabe9616	537255	4	main	z	18	rectangle	global	RVF	yes	present	1	442
644015377c511324cabe9616	538643	4	main	z	19	rectangle	global	RVF	yes	present	1	463
644015377c511324cabe9616	539974	4	main	z	20	rectangle	global	LVF	yes	present	1	364
644015377c511324cabe9616	541417	4	main	z	21	square	global	LVF	yes	present	1	501
644015377c511324cabe9616	542803	4	main	z	22	square	global	RVF	yes	present	1	421
644015377c511324cabe9616	545746	4	main	z	23	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	547281	4	main	z	24	rectangle	global	RVF	yes	present	1	552
644015377c511324cabe9616	548927	4	main	z	25	square	global	LVF	yes	present	1	420
644015377c511324cabe9616	550448	4	main	z	26	rectangle	local	RVF	yes	present	1	601
644015377c511324cabe9616	551919	4	main	z	27	square	local	RVF	yes	present	1	538
644015377c511324cabe9616	553339	4	main	z	28	rectangle	local	LVF	yes	present	1	455
644015377c511324cabe9616	554732	4	main	z	29	rectangle	local	RVF	yes	present	1	460
644015377c511324cabe9616	556111	4	main	z	30	rectangle	global	LVF	yes	present	1	436
644015377c511324cabe9616	557444	4	main	z	31	square	local	LVF	yes	present	1	405
644015377c511324cabe9616	558727	4	main	z	32	rectangle	local	LVF	yes	present	1	361
644015377c511324cabe9616	561597	4	main	z	33	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	564717	4	main	z	34	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	566007	4	main	z	35	rectangle	global	LVF	yes	present	1	407
644015377c511324cabe9616	567406	4	main	z	36	square	global	RVF	yes	present	1	447
644015377c511324cabe9616	570256	4	main	z	37	square	local	RVF	yes	present	1	481
644015377c511324cabe9616	573181	4	main	z	38	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	574679	4	main	z	39	rectangle	local	RVF	yes	present	1	514
644015377c511324cabe9616	576099	4	main	z	40	rectangle	local	LVF	yes	present	1	416
644015377c511324cabe9616	577447	4	main	z	41	rectangle	global	RVF	yes	present	1	454
644015377c511324cabe9616	580381	4	main	z	42	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	581767	4	main	z	43	square	global	RVF	yes	present	1	432
644015377c511324cabe9616	584772	4	main	z	44	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	586213	4	main	z	45	rectangle	local	RVF	yes	present	1	560
644015377c511324cabe9616	589207	4	main	z	46	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	590648	4	main	z	47	rectangle	global	RVF	yes	present	1	453
644015377c511324cabe9616	592178	4	main	z	48	rectangle	global	LVF	yes	present	1	532
644015377c511324cabe9616	593604	4	main	z	49	square	local	RVF	yes	present	1	515
644015377c511324cabe9616	596532	4	main	z	50	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	600532	4	main	z	51	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	601827	4	main	z	52	square	local	RVF	yes	present	1	446
644015377c511324cabe9616	603391	4	main	z	53	rectangle	local	RVF	yes	present	1	568
644015377c511324cabe9616	605438	4	main	z	54	square	global	LVF	yes	present	1	745
644015377c511324cabe9616	607129	4	main	z	55	square	local	LVF	yes	present	1	714
644015377c511324cabe9616	608621	4	main	z	56	square	local	LVF	yes	present	1	783
644015377c511324cabe9616	610052	4	main	z	57	rectangle	global	LVF	yes	present	1	520
644015377c511324cabe9616	611990	4	main	z	58	square	local	RVF	yes	present	1	1032
644015377c511324cabe9616	613279	4	main	z	59	square	global	RVF	yes	present	1	428
644015377c511324cabe9616	617165	4	main	z	60	rectangle	local	RVF	yes	present	1	1018
644015377c511324cabe9616	619631	4	main	z	61	rectangle	local	RVF	yes	present	1	1373
644015377c511324cabe9616	621312	4	main	z	62	square	global	LVF	yes	present	1	941
644015377c511324cabe9616	623459	4	main	z	63	square	global	LVF	yes	present	1	531
644015377c511324cabe9616	624864	4	main	z	64	square	global	LVF	yes	present	1	427
644015377c511324cabe9616	626275	4	main	z	65	square	global	RVF	yes	present	1	454
644015377c511324cabe9616	627973	4	main	z	66	rectangle	local	LVF	yes	present	1	737
644015377c511324cabe9616	631509	4	main	z	67	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	633065	4	main	z	68	rectangle	global	RVF	yes	present	1	496
644015377c511324cabe9616	634536	4	main	z	69	rectangle	global	LVF	yes	present	1	425
644015377c511324cabe9616	636054	4	main	z	70	rectangle	local	LVF	yes	present	1	617
644015377c511324cabe9616	637444	4	main	z	71	square	global	RVF	yes	present	1	468
644015377c511324cabe9616	638756	4	main	z	72	rectangle	local	LVF	yes	present	1	396
644015377c511324cabe9616	640173	4	main	z	73	square	local	RVF	yes	present	1	521
644015377c511324cabe9616	643073	4	main	z	74	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	647124	4	main	z	75	absent	absent	absent	no	absent	1	2003
644015377c511324cabe9616	648578	4	main	z	76	rectangle	global	RVF	yes	present	1	570
644015377c511324cabe9616	650070	4	main	z	77	rectangle	global	LVF	yes	present	1	446
644015377c511324cabe9616	651586	4	main	z	78	square	local	LVF	yes	present	1	499
644015377c511324cabe9616	653704	4	main	z	79	rectangle	local	LVF	yes	present	1	667
644015377c511324cabe9616	655737	4	main	z	80	square	local	LVF	yes	present	1	539
