subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5ad0f1934d061300011b0a4d	191931	1	practice	z	1	square	global	RVF	yes	absent	0	2000
5ad0f1934d061300011b0a4d	195990	1	practice	z	2	circle	local	RVF	yes	present	1	1406
5ad0f1934d061300011b0a4d	199225	1	practice	z	3	square	global	LVF	yes	present	1	790
5ad0f1934d061300011b0a4d	202577	1	practice	z	4	square	local	LVF	yes	present	1	1008
5ad0f1934d061300011b0a4d	205433	1	practice	z	5	circle	global	LVF	yes	present	1	723
5ad0f1934d061300011b0a4d	208402	1	practice	z	6	square	global	LVF	yes	present	1	812
5ad0f1934d061300011b0a4d	211256	1	practice	z	7	square	local	LVF	yes	present	1	923
5ad0f1934d061300011b0a4d	214464	1	practice	z	8	absent	absent	absent	no	present	0	1161
5ad0f1934d061300011b0a4d	218635	1	practice	z	9	absent	absent	absent	no	absent	1	2000
5ad0f1934d061300011b0a4d	222030	1	practice	z	10	circle	local	RVF	yes	present	1	1158
5ad0f1934d061300011b0a4d	226619	1	practice	z	11	absent	absent	absent	no	absent	1	2000
5ad0f1934d061300011b0a4d	229876	1	practice	z	12	circle	local	RVF	yes	present	1	1123
5ad0f1934d061300011b0a4d	234203	1	practice	z	13	absent	absent	absent	no	absent	1	2000
5ad0f1934d061300011b0a4d	237040	1	practice	z	14	circle	global	LVF	yes	present	1	804
5ad0f1934d061300011b0a4d	239981	1	practice	z	15	circle	global	RVF	yes	present	1	911
5ad0f1934d061300011b0a4d	242884	1	practice	z	16	circle	global	RVF	yes	present	1	881
5ad0f1934d061300011b0a4d	263288	2	main	z	1	square	local	LVF	yes	present	1	1254
5ad0f1934d061300011b0a4d	265586	2	main	z	2	circle	global	LVF	yes	present	1	937
5ad0f1934d061300011b0a4d	267935	2	main	z	3	circle	local	LVF	yes	present	1	1074
5ad0f1934d061300011b0a4d	269980	2	main	z	4	circle	global	RVF	yes	present	1	968
5ad0f1934d061300011b0a4d	272033	2	main	z	5	square	global	LVF	yes	present	1	1083
5ad0f1934d061300011b0a4d	273832	2	main	z	6	square	local	RVF	yes	present	1	880
5ad0f1934d061300011b0a4d	275798	2	main	z	7	circle	global	LVF	yes	present	1	1031
5ad0f1934d061300011b0a4d	277675	2	main	z	8	square	global	LVF	yes	present	1	948
5ad0f1934d061300011b0a4d	280651	2	main	z	9	absent	absent	absent	no	absent	1	2000
5ad0f1934d061300011b0a4d	282774	2	main	z	10	circle	global	RVF	yes	present	1	1035
5ad0f1934d061300011b0a4d	284518	2	main	z	11	circle	global	RVF	yes	present	1	767
5ad0f1934d061300011b0a4d	286517	2	main	z	12	square	local	LVF	yes	present	1	1082
5ad0f1934d061300011b0a4d	288315	2	main	z	13	square	global	LVF	yes	present	1	900
5ad0f1934d061300011b0a4d	291248	2	main	z	14	absent	absent	absent	no	absent	1	2000
5ad0f1934d061300011b0a4d	293787	2	main	z	15	square	global	RVF	yes	present	1	1402
5ad0f1934d061300011b0a4d	295464	2	main	z	16	circle	global	LVF	yes	present	1	693
5ad0f1934d061300011b0a4d	298371	2	main	z	17	absent	absent	absent	no	absent	1	2000
5ad0f1934d061300011b0a4d	300323	2	main	z	18	circle	local	LVF	yes	present	1	857
5ad0f1934d061300011b0a4d	303243	2	main	z	19	absent	absent	absent	no	absent	1	2000
5ad0f1934d061300011b0a4d	305149	2	main	z	20	square	global	RVF	yes	present	1	864
5ad0f1934d061300011b0a4d	307137	2	main	z	21	square	local	RVF	yes	present	1	1017
5ad0f1934d061300011b0a4d	310034	2	main	z	22	absent	absent	absent	no	absent	1	2000
5ad0f1934d061300011b0a4d	311589	2	main	z	23	square	global	LVF	yes	present	1	670
5ad0f1934d061300011b0a4d	313480	2	main	z	24	circle	global	LVF	yes	present	1	734
5ad0f1934d061300011b0a4d	315671	2	main	z	25	square	global	RVF	yes	present	1	1286
5ad0f1934d061300011b0a4d	318518	2	main	z	26	square	local	LVF	yes	absent	0	2000
5ad0f1934d061300011b0a4d	320794	2	main	z	27	circle	local	RVF	yes	present	1	1126
5ad0f1934d061300011b0a4d	323181	2	main	z	28	circle	local	LVF	yes	present	1	1211
5ad0f1934d061300011b0a4d	325773	2	main	z	29	circle	local	RVF	yes	present	1	1712
5ad0f1934d061300011b0a4d	328464	2	main	z	30	circle	local	RVF	yes	present	1	1495
5ad0f1934d061300011b0a4d	331451	2	main	z	31	absent	absent	absent	no	absent	1	2000
5ad0f1934d061300011b0a4d	334502	2	main	z	32	absent	absent	absent	no	absent	1	2000
5ad0f1934d061300011b0a4d	336525	2	main	z	33	circle	local	RVF	yes	present	1	823
5ad0f1934d061300011b0a4d	338616	2	main	z	34	square	local	LVF	yes	present	1	1077
5ad0f1934d061300011b0a4d	340807	2	main	z	35	square	global	RVF	yes	present	1	1181
5ad0f1934d061300011b0a4d	342657	2	main	z	36	square	local	RVF	yes	present	1	942
5ad0f1934d061300011b0a4d	344588	2	main	z	37	circle	global	RVF	yes	present	1	1005
5ad0f1934d061300011b0a4d	346710	2	main	z	38	square	local	RVF	yes	present	1	1252
5ad0f1934d061300011b0a4d	349536	2	main	z	39	absent	absent	absent	no	absent	1	2000
5ad0f1934d061300011b0a4d	351707	2	main	z	40	circle	local	LVF	yes	present	1	990
5ad0f1934d061300011b0a4d	354486	2	main	z	41	absent	absent	absent	no	absent	1	2000
5ad0f1934d061300011b0a4d	356179	2	main	z	42	circle	local	LVF	yes	present	1	777
5ad0f1934d061300011b0a4d	357736	2	main	z	43	circle	global	LVF	yes	present	1	716
5ad0f1934d061300011b0a4d	359239	2	main	z	44	circle	local	RVF	yes	present	1	726
5ad0f1934d061300011b0a4d	360809	2	main	z	45	circle	local	LVF	yes	present	1	814
5ad0f1934d061300011b0a4d	362333	2	main	z	46	square	local	RVF	yes	present	1	753
5ad0f1934d061300011b0a4d	364664	2	main	z	47	circle	global	RVF	yes	present	1	1550
5ad0f1934d061300011b0a4d	366798	2	main	z	48	square	global	LVF	yes	present	1	1024
5ad0f1934d061300011b0a4d	368548	2	main	z	49	square	local	LVF	yes	present	1	814
5ad0f1934d061300011b0a4d	370372	2	main	z	50	circle	local	RVF	yes	present	1	1036
5ad0f1934d061300011b0a4d	372130	2	main	z	51	square	local	RVF	yes	present	1	929
