subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5d16c3c940218700189a0f04	148342	1	practice	z	1	circle	global	LVF	yes	present	1	1047
5d16c3c940218700189a0f04	151416	1	practice	z	2	circle	local	RVF	yes	present	1	939
5d16c3c940218700189a0f04	154654	1	practice	z	3	square	global	LVF	yes	present	1	865
5d16c3c940218700189a0f04	157462	1	practice	z	4	square	global	RVF	yes	present	1	824
5d16c3c940218700189a0f04	160207	1	practice	z	5	circle	global	RVF	yes	present	1	788
5d16c3c940218700189a0f04	162847	1	practice	z	6	circle	global	LVF	yes	present	1	647
5d16c3c940218700189a0f04	166750	1	practice	z	7	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	170271	1	practice	z	8	circle	local	RVF	yes	present	1	1326
5d16c3c940218700189a0f04	174362	1	practice	z	9	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	177214	1	practice	z	10	square	local	LVF	yes	present	1	1143
5d16c3c940218700189a0f04	179927	1	practice	z	11	circle	local	RVF	yes	present	1	741
5d16c3c940218700189a0f04	182847	1	practice	z	12	circle	global	RVF	yes	present	1	830
5d16c3c940218700189a0f04	186867	1	practice	z	13	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	189519	1	practice	z	14	square	global	LVF	yes	present	1	691
5d16c3c940218700189a0f04	192199	1	practice	z	15	square	local	LVF	yes	present	1	856
5d16c3c940218700189a0f04	196975	1	practice	z	16	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	210594	2	main	z	1	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	212533	2	main	z	2	square	global	LVF	yes	present	1	826
5d16c3c940218700189a0f04	215707	2	main	z	3	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	217396	2	main	z	4	circle	local	RVF	yes	present	1	677
5d16c3c940218700189a0f04	219148	2	main	z	5	circle	global	LVF	yes	present	1	648
5d16c3c940218700189a0f04	220589	2	main	z	6	circle	global	RVF	yes	present	1	556
5d16c3c940218700189a0f04	223484	2	main	z	7	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	225220	2	main	z	8	square	global	LVF	yes	present	1	409
5d16c3c940218700189a0f04	226652	2	main	z	9	square	global	LVF	yes	present	1	408
5d16c3c940218700189a0f04	227924	2	main	z	10	circle	local	RVF	yes	present	1	465
5d16c3c940218700189a0f04	229300	2	main	z	11	square	global	RVF	yes	present	1	625
5d16c3c940218700189a0f04	230614	2	main	z	12	circle	global	RVF	yes	present	1	555
5d16c3c940218700189a0f04	233492	2	main	z	13	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	235143	2	main	z	14	circle	global	LVF	yes	present	1	638
5d16c3c940218700189a0f04	236445	2	main	z	15	circle	global	LVF	yes	present	1	525
5d16c3c940218700189a0f04	237741	2	main	z	16	square	local	LVF	yes	present	1	589
5d16c3c940218700189a0f04	239100	2	main	z	17	circle	global	RVF	yes	present	1	616
5d16c3c940218700189a0f04	241882	2	main	z	18	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	243388	2	main	z	19	circle	global	LVF	yes	present	1	541
5d16c3c940218700189a0f04	245566	2	main	z	20	square	local	LVF	yes	present	1	1434
5d16c3c940218700189a0f04	247020	2	main	z	21	square	local	RVF	yes	present	1	726
5d16c3c940218700189a0f04	248647	2	main	z	22	circle	local	LVF	yes	present	1	868
5d16c3c940218700189a0f04	250052	2	main	z	23	circle	local	RVF	yes	present	1	660
5d16c3c940218700189a0f04	252809	2	main	z	24	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	254516	2	main	z	25	square	local	RVF	yes	present	1	562
5d16c3c940218700189a0f04	255868	2	main	z	26	circle	local	LVF	yes	present	1	597
5d16c3c940218700189a0f04	258572	2	main	z	27	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	260190	2	main	z	28	square	local	LVF	yes	present	1	539
5d16c3c940218700189a0f04	261580	2	main	z	29	circle	global	RVF	yes	present	1	665
5d16c3c940218700189a0f04	262855	2	main	z	30	circle	local	LVF	yes	present	1	521
5d16c3c940218700189a0f04	264334	2	main	z	31	square	global	RVF	yes	present	1	752
5d16c3c940218700189a0f04	265652	2	main	z	32	square	global	RVF	yes	present	1	607
5d16c3c940218700189a0f04	266972	2	main	z	33	square	global	RVF	yes	present	1	610
5d16c3c940218700189a0f04	268604	2	main	z	34	square	local	RVF	yes	present	1	893
5d16c3c940218700189a0f04	269964	2	main	z	35	square	global	LVF	yes	present	1	639
5d16c3c940218700189a0f04	271620	2	main	z	36	square	local	LVF	yes	present	1	946
5d16c3c940218700189a0f04	274309	2	main	z	37	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	275900	2	main	z	38	circle	local	RVF	yes	present	1	464
5d16c3c940218700189a0f04	277125	2	main	z	39	square	local	RVF	yes	present	1	472
5d16c3c940218700189a0f04	278363	2	main	z	40	circle	local	LVF	yes	present	1	495
5d16c3c940218700189a0f04	281084	2	main	z	41	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	282532	2	main	z	42	circle	global	LVF	yes	present	1	534
5d16c3c940218700189a0f04	283702	2	main	z	43	circle	global	LVF	yes	present	1	437
5d16c3c940218700189a0f04	284916	2	main	z	44	circle	local	LVF	yes	present	1	487
5d16c3c940218700189a0f04	286366	2	main	z	45	circle	global	LVF	yes	present	1	653
5d16c3c940218700189a0f04	289094	2	main	z	46	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	292044	2	main	z	47	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	293588	2	main	z	48	square	local	RVF	yes	present	1	583
5d16c3c940218700189a0f04	294758	2	main	z	49	square	global	RVF	yes	present	1	435
5d16c3c940218700189a0f04	296036	2	main	z	50	square	local	LVF	yes	present	1	565
5d16c3c940218700189a0f04	297207	2	main	z	51	circle	local	RVF	yes	present	1	434
5d16c3c940218700189a0f04	298364	2	main	z	52	circle	local	RVF	yes	present	1	428
5d16c3c940218700189a0f04	299607	2	main	z	53	circle	global	LVF	yes	present	1	520
5d16c3c940218700189a0f04	302316	2	main	z	54	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	303701	2	main	z	55	square	global	LVF	yes	present	1	420
5d16c3c940218700189a0f04	304852	2	main	z	56	square	local	RVF	yes	present	1	439
5d16c3c940218700189a0f04	305983	2	main	z	57	circle	global	RVF	yes	present	1	417
5d16c3c940218700189a0f04	307242	2	main	z	58	absent	absent	absent	no	present	0	509
5d16c3c940218700189a0f04	310010	2	main	z	59	absent	absent	absent	no	absent	1	2000
5d16c3c940218700189a0f04	311583	2	main	z	60	square	local	LVF	yes	present	1	523
