subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5e1f7b2a4c9b832b34e7c9d3	133315	1	practice	slash	1	absent	absent	absent	no	absent	1	2000
5e1f7b2a4c9b832b34e7c9d3	137737	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
5e1f7b2a4c9b832b34e7c9d3	142283	1	practice	slash	3	circle	local	RVF	yes	present	1	813
5e1f7b2a4c9b832b34e7c9d3	145475	1	practice	slash	4	circle	global	LVF	yes	present	1	737
5e1f7b2a4c9b832b34e7c9d3	148314	1	practice	slash	5	circle	local	RVF	yes	present	1	626
5e1f7b2a4c9b832b34e7c9d3	151306	1	practice	slash	6	circle	global	RVF	yes	present	1	716
5e1f7b2a4c9b832b34e7c9d3	155509	1	practice	slash	7	square	local	LVF	yes	absent	0	2000
5e1f7b2a4c9b832b34e7c9d3	158290	1	practice	slash	8	circle	global	LVF	yes	present	1	697
5e1f7b2a4c9b832b34e7c9d3	162712	1	practice	slash	9	square	local	LVF	yes	absent	0	2000
5e1f7b2a4c9b832b34e7c9d3	166863	1	practice	slash	10	absent	absent	absent	no	absent	1	2000
5e1f7b2a4c9b832b34e7c9d3	169626	1	practice	slash	11	square	global	LVF	yes	present	1	812
5e1f7b2a4c9b832b34e7c9d3	173867	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
5e1f7b2a4c9b832b34e7c9d3	176626	1	practice	slash	13	square	global	LVF	yes	present	1	808
5e1f7b2a4c9b832b34e7c9d3	179330	1	practice	slash	14	circle	global	RVF	yes	present	1	595
5e1f7b2a4c9b832b34e7c9d3	182386	1	practice	slash	15	circle	local	RVF	yes	present	1	865
5e1f7b2a4c9b832b34e7c9d3	185259	1	practice	slash	16	square	global	RVF	yes	present	1	653
5e1f7b2a4c9b832b34e7c9d3	192225	2	main	slash	1	circle	local	LVF	yes	present	1	651
5e1f7b2a4c9b832b34e7c9d3	195692	2	main	slash	2	absent	absent	absent	no	absent	1	2000
5e1f7b2a4c9b832b34e7c9d3	197547	2	main	slash	3	square	global	LVF	yes	present	1	719
5e1f7b2a4c9b832b34e7c9d3	200728	2	main	slash	4	absent	absent	absent	no	absent	1	2000
5e1f7b2a4c9b832b34e7c9d3	202417	2	main	slash	5	circle	local	LVF	yes	present	1	689
5e1f7b2a4c9b832b34e7c9d3	204417	2	main	slash	6	circle	local	RVF	yes	present	1	671
5e1f7b2a4c9b832b34e7c9d3	206921	2	main	slash	7	circle	global	LVF	yes	present	1	741
5e1f7b2a4c9b832b34e7c9d3	208913	2	main	slash	8	square	global	LVF	yes	present	1	615
5e1f7b2a4c9b832b34e7c9d3	211234	2	main	slash	9	square	local	LVF	yes	present	1	884
5e1f7b2a4c9b832b34e7c9d3	213481	2	main	slash	10	square	global	RVF	yes	present	1	1164
5e1f7b2a4c9b832b34e7c9d3	216618	2	main	slash	11	absent	absent	absent	no	absent	1	2000
5e1f7b2a4c9b832b34e7c9d3	218577	2	main	slash	12	circle	local	RVF	yes	present	1	791
5e1f7b2a4c9b832b34e7c9d3	220713	2	main	slash	13	circle	global	LVF	yes	present	1	793
5e1f7b2a4c9b832b34e7c9d3	222625	2	main	slash	14	square	global	RVF	yes	present	1	888
5e1f7b2a4c9b832b34e7c9d3	224514	2	main	slash	15	circle	global	RVF	yes	present	1	875
5e1f7b2a4c9b832b34e7c9d3	226412	2	main	slash	16	square	global	RVF	yes	present	1	853
5e1f7b2a4c9b832b34e7c9d3	228106	2	main	slash	17	square	global	RVF	yes	present	1	832
5e1f7b2a4c9b832b34e7c9d3	230057	2	main	slash	18	square	local	RVF	yes	present	1	1016
