subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5ec17a2e02be030625eaff6e	120953	1	practice	slash	1	absent	absent	absent	no	absent	1	2000
5ec17a2e02be030625eaff6e	126038	1	practice	slash	2	square	global	RVF	yes	present	1	1040
5ec17a2e02be030625eaff6e	129978	1	practice	slash	3	square	local	LVF	yes	present	1	1318
5ec17a2e02be030625eaff6e	134423	1	practice	slash	4	circle	global	LVF	yes	absent	0	2000
5ec17a2e02be030625eaff6e	137107	1	practice	slash	5	circle	global	RVF	yes	present	1	538
5ec17a2e02be030625eaff6e	140007	1	practice	slash	6	square	global	LVF	yes	present	1	708
5ec17a2e02be030625eaff6e	144131	1	practice	slash	7	absent	absent	absent	no	absent	1	2000
5ec17a2e02be030625eaff6e	147049	1	practice	slash	8	square	local	LVF	yes	present	1	889
5ec17a2e02be030625eaff6e	151108	1	practice	slash	9	absent	absent	absent	no	absent	1	2000
5ec17a2e02be030625eaff6e	153862	1	practice	slash	10	square	global	LVF	yes	present	1	757
5ec17a2e02be030625eaff6e	156980	1	practice	slash	11	circle	local	RVF	yes	present	1	1045
5ec17a2e02be030625eaff6e	159646	1	practice	slash	12	circle	global	LVF	yes	present	1	680
5ec17a2e02be030625eaff6e	162563	1	practice	slash	13	circle	local	RVF	yes	present	1	967
5ec17a2e02be030625eaff6e	165599	1	practice	slash	14	circle	local	RVF	yes	present	1	1073
5ec17a2e02be030625eaff6e	168193	1	practice	slash	15	circle	global	RVF	yes	present	1	652
5ec17a2e02be030625eaff6e	172138	1	practice	slash	16	absent	absent	absent	no	absent	1	2000
5ec17a2e02be030625eaff6e	177262	2	main	slash	1	circle	global	RVF	yes	present	1	684
5ec17a2e02be030625eaff6e	180610	2	main	slash	2	circle	local	LVF	yes	absent	0	2000
5ec17a2e02be030625eaff6e	184223	2	main	slash	3	absent	absent	absent	no	absent	1	2000
5ec17a2e02be030625eaff6e	186253	2	main	slash	4	square	local	RVF	yes	present	1	900
5ec17a2e02be030625eaff6e	188952	2	main	slash	5	square	local	RVF	yes	present	1	1251
5ec17a2e02be030625eaff6e	190973	2	main	slash	6	square	global	RVF	yes	present	1	774
5ec17a2e02be030625eaff6e	192921	2	main	slash	7	square	global	LVF	yes	present	1	575
5ec17a2e02be030625eaff6e	194708	2	main	slash	8	circle	global	RVF	yes	present	1	580
5ec17a2e02be030625eaff6e	196804	2	main	slash	9	circle	global	LVF	yes	present	1	944
5ec17a2e02be030625eaff6e	199958	2	main	slash	10	absent	absent	absent	no	absent	1	2000
5ec17a2e02be030625eaff6e	201451	2	main	slash	11	circle	local	RVF	yes	present	1	478
5ec17a2e02be030625eaff6e	203465	2	main	slash	12	square	local	RVF	yes	present	1	811
5ec17a2e02be030625eaff6e	205098	2	main	slash	13	circle	local	LVF	yes	present	1	579
5ec17a2e02be030625eaff6e	208267	2	main	slash	14	absent	absent	absent	no	absent	1	2000
5ec17a2e02be030625eaff6e	209586	2	main	slash	15	square	global	RVF	yes	present	1	389
5ec17a2e02be030625eaff6e	212713	2	main	slash	16	absent	absent	absent	no	absent	1	2000
5ec17a2e02be030625eaff6e	215760	2	main	slash	17	absent	absent	absent	no	absent	1	2000
5ec17a2e02be030625eaff6e	217263	2	main	slash	18	circle	global	RVF	yes	present	1	489
5ec17a2e02be030625eaff6e	219501	2	main	slash	19	square	global	RVF	yes	present	1	1111
5ec17a2e02be030625eaff6e	220995	2	main	slash	20	circle	global	RVF	yes	present	1	458
5ec17a2e02be030625eaff6e	222885	2	main	slash	21	circle	global	LVF	yes	present	1	883
5ec17a2e02be030625eaff6e	224461	2	main	slash	22	square	local	LVF	yes	present	1	694
5ec17a2e02be030625eaff6e	226134	2	main	slash	23	square	local	LVF	yes	present	1	717
5ec17a2e02be030625eaff6e	227768	2	main	slash	24	circle	local	LVF	yes	present	1	637
5ec17a2e02be030625eaff6e	230101	2	main	slash	25	square	global	LVF	yes	present	1	1072
5ec17a2e02be030625eaff6e	231765	2	main	slash	26	square	local	LVF	yes	present	1	737
5ec17a2e02be030625eaff6e	233514	2	main	slash	27	circle	global	LVF	yes	present	1	722
5ec17a2e02be030625eaff6e	235242	2	main	slash	28	square	local	LVF	yes	present	1	801
5ec17a2e02be030625eaff6e	237018	2	main	slash	29	circle	global	LVF	yes	present	1	895
5ec17a2e02be030625eaff6e	239003	2	main	slash	30	circle	local	RVF	yes	present	1	1065
5ec17a2e02be030625eaff6e	241953	2	main	slash	31	absent	absent	absent	no	absent	1	2000
5ec17a2e02be030625eaff6e	243617	2	main	slash	32	square	global	LVF	yes	present	1	700
5ec17a2e02be030625eaff6e	245337	2	main	slash	33	square	local	RVF	yes	present	1	673
5ec17a2e02be030625eaff6e	248230	2	main	slash	34	absent	absent	absent	no	absent	1	2000
5ec17a2e02be030625eaff6e	249795	2	main	slash	35	circle	local	LVF	yes	present	1	618
5ec17a2e02be030625eaff6e	251396	2	main	slash	36	circle	local	RVF	yes	present	1	571
5ec17a2e02be030625eaff6e	254407	2	main	slash	37	absent	absent	absent	no	absent	1	2000
5ec17a2e02be030625eaff6e	256000	2	main	slash	38	square	global	LVF	yes	present	1	645
5ec17a2e02be030625eaff6e	257500	2	main	slash	39	square	global	RVF	yes	present	1	513
5ec17a2e02be030625eaff6e	259334	2	main	slash	40	circle	local	RVF	yes	present	1	833
5ec17a2e02be030625eaff6e	261703	2	main	slash	41	square	local	LVF	yes	present	1	1136
5ec17a2e02be030625eaff6e	263522	2	main	slash	42	square	global	RVF	yes	present	1	908
5ec17a2e02be030625eaff6e	265072	2	main	slash	43	square	local	LVF	yes	present	1	659
5ec17a2e02be030625eaff6e	267995	2	main	slash	44	absent	absent	absent	no	absent	1	2000
5ec17a2e02be030625eaff6e	269533	2	main	slash	45	circle	local	LVF	yes	present	1	575
