subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5f033adcd2fab64efd3502d2	143904	1	practice	slash	1	circle	local	RVF	yes	absent	0	2000
5f033adcd2fab64efd3502d2	147498	1	practice	slash	2	circle	local	RVF	yes	present	1	527
5f033adcd2fab64efd3502d2	150594	1	practice	slash	3	square	global	LVF	yes	present	1	406
5f033adcd2fab64efd3502d2	153154	1	practice	slash	4	circle	global	LVF	yes	present	1	383
5f033adcd2fab64efd3502d2	155650	1	practice	slash	5	absent	absent	absent	no	present	0	378
5f033adcd2fab64efd3502d2	159738	1	practice	slash	6	square	local	LVF	yes	absent	0	2000
5f033adcd2fab64efd3502d2	162650	1	practice	slash	7	square	global	RVF	yes	present	1	445
5f033adcd2fab64efd3502d2	165426	1	practice	slash	8	circle	global	RVF	yes	present	1	671
5f033adcd2fab64efd3502d2	168066	1	practice	slash	9	circle	global	RVF	yes	present	1	711
5f033adcd2fab64efd3502d2	172122	1	practice	slash	10	absent	absent	absent	no	absent	1	2000
5f033adcd2fab64efd3502d2	176356	1	practice	slash	11	absent	absent	absent	no	absent	1	2000
5f033adcd2fab64efd3502d2	180406	1	practice	slash	12	square	local	LVF	yes	absent	0	2000
5f033adcd2fab64efd3502d2	184539	1	practice	slash	13	absent	absent	absent	no	absent	1	2000
5f033adcd2fab64efd3502d2	187066	1	practice	slash	14	square	global	LVF	yes	present	1	610
5f033adcd2fab64efd3502d2	189682	1	practice	slash	15	circle	global	LVF	yes	present	1	559
5f033adcd2fab64efd3502d2	192450	1	practice	slash	16	circle	local	RVF	yes	present	1	827
5f033adcd2fab64efd3502d2	203091	2	main	slash	1	absent	absent	absent	no	absent	1	2000
5f033adcd2fab64efd3502d2	205362	2	main	slash	2	circle	local	LVF	yes	present	1	505
5f033adcd2fab64efd3502d2	207657	2	main	slash	3	absent	absent	absent	no	present	0	634
5f033adcd2fab64efd3502d2	210057	2	main	slash	4	square	local	RVF	yes	present	1	834
5f033adcd2fab64efd3502d2	212113	2	main	slash	5	circle	global	RVF	yes	present	1	624
5f033adcd2fab64efd3502d2	213777	2	main	slash	6	square	global	RVF	yes	present	1	488
