subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5f43f77111f9d6135624012a	162687	1	practice	slash	1	absent	absent	absent	no	absent	1	2000
5f43f77111f9d6135624012a	166668	1	practice	slash	2	circle	global	RVF	yes	present	1	1065
5f43f77111f9d6135624012a	170255	1	practice	slash	3	circle	global	LVF	yes	present	1	622
5f43f77111f9d6135624012a	173525	1	practice	slash	4	circle	local	RVF	yes	present	1	744
5f43f77111f9d6135624012a	185621	1	practice	slash	5	circle	global	RVF	yes	present	1	525
5f43f77111f9d6135624012a	188483	1	practice	slash	6	circle	global	LVF	yes	present	1	472
5f43f77111f9d6135624012a	193392	1	practice	slash	7	absent	absent	absent	no	absent	1	2000
5f43f77111f9d6135624012a	196377	1	practice	slash	8	square	global	RVF	yes	present	1	623
5f43f77111f9d6135624012a	200536	1	practice	slash	9	square	local	LVF	yes	absent	0	2000
5f43f77111f9d6135624012a	204369	1	practice	slash	10	square	local	LVF	yes	present	1	788
5f43f77111f9d6135624012a	207766	1	practice	slash	11	square	global	LVF	yes	present	1	1084
5f43f77111f9d6135624012a	212435	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
5f43f77111f9d6135624012a	215538	1	practice	slash	13	absent	absent	absent	no	present	0	929
5f43f77111f9d6135624012a	218155	1	practice	slash	14	square	global	LVF	yes	present	1	540
5f43f77111f9d6135624012a	224008	1	practice	slash	15	circle	local	RVF	yes	absent	0	2000
5f43f77111f9d6135624012a	227049	1	practice	slash	16	circle	local	RVF	yes	present	1	962
5f43f77111f9d6135624012a	261645	2	main	slash	1	absent	absent	absent	no	present	0	666
5f43f77111f9d6135624012a	264598	2	main	slash	2	circle	global	RVF	yes	present	1	1105
5f43f77111f9d6135624012a	267064	2	main	slash	3	square	local	RVF	yes	present	1	490
5f43f77111f9d6135624012a	269815	2	main	slash	4	circle	local	RVF	yes	present	1	696
5f43f77111f9d6135624012a	272691	2	main	slash	5	circle	global	LVF	yes	present	1	447
5f43f77111f9d6135624012a	274935	2	main	slash	6	circle	local	RVF	yes	present	1	831
5f43f77111f9d6135624012a	278584	2	main	slash	7	absent	absent	absent	no	absent	1	2000
5f43f77111f9d6135624012a	280196	2	main	slash	8	square	local	LVF	yes	present	1	505
5f43f77111f9d6135624012a	282362	2	main	slash	9	square	local	LVF	yes	present	1	712
5f43f77111f9d6135624012a	284339	2	main	slash	10	square	global	LVF	yes	present	1	515
5f43f77111f9d6135624012a	286531	2	main	slash	11	circle	local	LVF	yes	present	1	578
5f43f77111f9d6135624012a	288448	2	main	slash	12	circle	local	RVF	yes	present	1	490
5f43f77111f9d6135624012a	291772	2	main	slash	13	absent	absent	absent	no	absent	1	2000
5f43f77111f9d6135624012a	293467	2	main	slash	14	circle	global	LVF	yes	present	1	553
5f43f77111f9d6135624012a	296729	2	main	slash	15	square	local	RVF	yes	absent	0	2000
5f43f77111f9d6135624012a	298308	2	main	slash	16	square	local	RVF	yes	present	1	479
5f43f77111f9d6135624012a	300113	2	main	slash	17	square	global	LVF	yes	present	1	506
5f43f77111f9d6135624012a	301801	2	main	slash	18	square	global	RVF	yes	present	1	458
5f43f77111f9d6135624012a	303575	2	main	slash	19	square	local	RVF	yes	present	1	443
5f43f77111f9d6135624012a	305408	2	main	slash	20	absent	absent	absent	no	present	0	564
5f43f77111f9d6135624012a	307230	2	main	slash	21	square	global	RVF	yes	present	1	636
5f43f77111f9d6135624012a	309086	2	main	slash	22	circle	local	RVF	yes	present	1	712
5f43f77111f9d6135624012a	311035	2	main	slash	23	circle	global	LVF	yes	present	1	658
5f43f77111f9d6135624012a	314291	2	main	slash	24	absent	absent	absent	no	absent	1	2000
5f43f77111f9d6135624012a	315585	2	main	slash	25	square	local	LVF	yes	present	1	271
5f43f77111f9d6135624012a	318166	2	main	slash	26	circle	local	LVF	yes	present	1	459
5f43f77111f9d6135624012a	320030	2	main	slash	27	absent	absent	absent	no	present	0	639
5f43f77111f9d6135624012a	321897	2	main	slash	28	square	local	LVF	yes	present	1	759
5f43f77111f9d6135624012a	323679	2	main	slash	29	square	global	RVF	yes	present	1	684
5f43f77111f9d6135624012a	325227	2	main	slash	30	circle	local	LVF	yes	present	1	427
