subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60ff6b0720fb724536710e7a	64172	1	practice	z	1	square	local	LVF	yes	absent	0	2000
60ff6b0720fb724536710e7a	67723	1	practice	z	2	square	global	LVF	yes	present	1	618
60ff6b0720fb724536710e7a	71270	1	practice	z	3	square	global	RVF	yes	present	1	900
60ff6b0720fb724536710e7a	75804	1	practice	z	4	absent	absent	absent	no	absent	1	2000
60ff6b0720fb724536710e7a	79092	1	practice	z	5	circle	local	RVF	yes	present	1	921
60ff6b0720fb724536710e7a	83437	1	practice	z	6	absent	absent	absent	no	absent	1	2000
60ff6b0720fb724536710e7a	86323	1	practice	z	7	circle	global	LVF	yes	present	1	854
60ff6b0720fb724536710e7a	89997	1	practice	z	8	circle	local	RVF	yes	present	1	828
60ff6b0720fb724536710e7a	94068	1	practice	z	9	circle	global	RVF	yes	absent	0	2000
60ff6b0720fb724536710e7a	97244	1	practice	z	10	square	global	LVF	yes	present	1	876
60ff6b0720fb724536710e7a	100858	1	practice	z	11	circle	local	RVF	yes	present	1	1108
60ff6b0720fb724536710e7a	104845	1	practice	z	12	circle	global	LVF	yes	present	1	1228
60ff6b0720fb724536710e7a	109100	1	practice	z	13	absent	absent	absent	no	absent	1	2000
60ff6b0720fb724536710e7a	113033	1	practice	z	14	absent	absent	absent	no	absent	1	2000
60ff6b0720fb724536710e7a	115707	1	practice	z	15	square	local	LVF	yes	present	1	907
60ff6b0720fb724536710e7a	119086	1	practice	z	16	circle	global	RVF	yes	present	1	1204
60ff6b0720fb724536710e7a	126900	2	main	z	1	circle	local	LVF	yes	present	1	871
60ff6b0720fb724536710e7a	130091	2	main	z	2	absent	absent	absent	no	present	0	1180
60ff6b0720fb724536710e7a	133345	2	main	z	3	absent	absent	absent	no	absent	1	2000
60ff6b0720fb724536710e7a	135471	2	main	z	4	square	local	LVF	yes	present	1	844
60ff6b0720fb724536710e7a	137523	2	main	z	5	square	global	LVF	yes	present	1	878
60ff6b0720fb724536710e7a	139340	2	main	z	6	circle	local	RVF	yes	present	1	613
60ff6b0720fb724536710e7a	141524	2	main	z	7	square	local	RVF	yes	present	1	831
60ff6b0720fb724536710e7a	144676	2	main	z	8	absent	absent	absent	no	absent	1	2000
60ff6b0720fb724536710e7a	146373	2	main	z	9	circle	local	RVF	yes	present	1	530
60ff6b0720fb724536710e7a	148315	2	main	z	10	square	local	RVF	yes	present	1	605
60ff6b0720fb724536710e7a	150316	2	main	z	11	square	local	RVF	yes	present	1	924
60ff6b0720fb724536710e7a	153359	2	main	z	12	absent	absent	absent	no	absent	1	2000
60ff6b0720fb724536710e7a	155428	2	main	z	13	circle	local	RVF	yes	present	1	637
60ff6b0720fb724536710e7a	158475	2	main	z	14	circle	global	RVF	yes	absent	0	2000
60ff6b0720fb724536710e7a	160907	2	main	z	15	circle	global	RVF	yes	present	1	983
60ff6b0720fb724536710e7a	163288	2	main	z	16	circle	local	RVF	yes	present	1	948
60ff6b0720fb724536710e7a	166457	2	main	z	17	absent	absent	absent	no	absent	1	2000
60ff6b0720fb724536710e7a	168867	2	main	z	18	circle	global	LVF	yes	present	1	844
60ff6b0720fb724536710e7a	171619	2	main	z	19	circle	global	LVF	yes	present	1	1496
60ff6b0720fb724536710e7a	174422	2	main	z	20	square	global	LVF	yes	present	1	1082
60ff6b0720fb724536710e7a	177489	2	main	z	21	absent	absent	absent	no	absent	1	2000
60ff6b0720fb724536710e7a	179638	2	main	z	22	square	global	RVF	yes	present	1	900
60ff6b0720fb724536710e7a	181943	2	main	z	23	square	global	RVF	yes	present	1	921
60ff6b0720fb724536710e7a	183909	2	main	z	24	square	local	LVF	yes	present	1	955
60ff6b0720fb724536710e7a	185766	2	main	z	25	circle	local	LVF	yes	present	1	844
60ff6b0720fb724536710e7a	188737	2	main	z	26	absent	absent	absent	no	absent	1	2000
60ff6b0720fb724536710e7a	190903	2	main	z	27	square	global	RVF	yes	present	1	932
60ff6b0720fb724536710e7a	192729	2	main	z	28	square	global	LVF	yes	present	1	809
60ff6b0720fb724536710e7a	194651	2	main	z	29	circle	global	LVF	yes	present	1	931
60ff6b0720fb724536710e7a	197150	2	main	z	30	circle	global	RVF	yes	present	1	1430
60ff6b0720fb724536710e7a	199220	2	main	z	31	square	global	RVF	yes	present	1	968
60ff6b0720fb724536710e7a	202336	2	main	z	32	absent	absent	absent	no	absent	1	2000
60ff6b0720fb724536710e7a	204511	2	main	z	33	circle	local	LVF	yes	present	1	893
60ff6b0720fb724536710e7a	207618	2	main	z	34	square	local	LVF	yes	absent	0	2000
60ff6b0720fb724536710e7a	209374	2	main	z	35	square	local	RVF	yes	present	1	690
60ff6b0720fb724536710e7a	212401	2	main	z	36	square	global	LVF	yes	absent	0	2000
60ff6b0720fb724536710e7a	214238	2	main	z	37	circle	global	RVF	yes	present	1	887
60ff6b0720fb724536710e7a	216368	2	main	z	38	square	local	LVF	yes	present	1	851
60ff6b0720fb724536710e7a	218364	2	main	z	39	circle	global	LVF	yes	present	1	931
60ff6b0720fb724536710e7a	220436	2	main	z	40	circle	local	LVF	yes	present	1	870
60ff6b0720fb724536710e7a	222471	2	main	z	41	square	global	RVF	yes	present	1	987
60ff6b0720fb724536710e7a	224661	2	main	z	42	square	global	LVF	yes	present	1	1112
60ff6b0720fb724536710e7a	226771	2	main	z	43	square	local	RVF	yes	present	1	1122
60ff6b0720fb724536710e7a	228812	2	main	z	44	square	local	RVF	yes	present	1	1064
60ff6b0720fb724536710e7a	230739	2	main	z	45	circle	global	LVF	yes	present	1	957
60ff6b0720fb724536710e7a	233715	2	main	z	46	absent	absent	absent	no	absent	1	2000
60ff6b0720fb724536710e7a	236697	2	main	z	47	circle	global	RVF	yes	present	1	866
60ff6b0720fb724536710e7a	238748	2	main	z	48	circle	local	RVF	yes	present	1	984
60ff6b0720fb724536710e7a	240635	2	main	z	49	square	global	LVF	yes	present	1	988
60ff6b0720fb724536710e7a	242516	2	main	z	50	square	local	LVF	yes	present	1	936
60ff6b0720fb724536710e7a	244413	2	main	z	51	circle	global	LVF	yes	present	1	933
60ff6b0720fb724536710e7a	246260	2	main	z	52	square	global	RVF	yes	present	1	929
60ff6b0720fb724536710e7a	248440	2	main	z	53	circle	global	LVF	yes	present	1	1193
60ff6b0720fb724536710e7a	250760	2	main	z	54	square	local	LVF	yes	present	1	1313
60ff6b0720fb724536710e7a	252842	2	main	z	55	square	global	RVF	yes	present	1	1062
60ff6b0720fb724536710e7a	256195	2	main	z	56	absent	absent	absent	no	absent	1	2000
60ff6b0720fb724536710e7a	258550	2	main	z	57	square	global	RVF	yes	present	1	904
60ff6b0720fb724536710e7a	260791	2	main	z	58	circle	global	RVF	yes	present	1	1213
60ff6b0720fb724536710e7a	263369	2	main	z	59	circle	local	RVF	yes	present	1	1691
60ff6b0720fb724536710e7a	265390	2	main	z	60	circle	local	LVF	yes	present	1	1112
60ff6b0720fb724536710e7a	267306	2	main	z	61	square	global	LVF	yes	present	1	962
