subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6101db15d4eefc0ed011e3c3	153314	1	practice	slash	1	absent	absent	absent	no	absent	1	2000
6101db15d4eefc0ed011e3c3	159148	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
6101db15d4eefc0ed011e3c3	162585	1	practice	slash	3	square	global	LVF	yes	present	1	953
6101db15d4eefc0ed011e3c3	166134	1	practice	slash	4	square	local	LVF	yes	present	1	786
6101db15d4eefc0ed011e3c3	170397	1	practice	slash	5	absent	absent	absent	no	absent	1	2000
6101db15d4eefc0ed011e3c3	173243	1	practice	slash	6	square	local	LVF	yes	present	1	846
6101db15d4eefc0ed011e3c3	176567	1	practice	slash	7	circle	global	RVF	yes	present	1	1018
6101db15d4eefc0ed011e3c3	179724	1	practice	slash	8	circle	local	RVF	yes	present	1	908
6101db15d4eefc0ed011e3c3	183916	1	practice	slash	9	circle	local	RVF	yes	absent	0	2000
6101db15d4eefc0ed011e3c3	188097	1	practice	slash	10	absent	absent	absent	no	absent	1	2000
6101db15d4eefc0ed011e3c3	191122	1	practice	slash	11	circle	global	RVF	yes	present	1	858
6101db15d4eefc0ed011e3c3	194141	1	practice	slash	12	circle	global	LVF	yes	present	1	961
6101db15d4eefc0ed011e3c3	197199	1	practice	slash	13	square	global	RVF	yes	present	1	817
6101db15d4eefc0ed011e3c3	200039	1	practice	slash	14	circle	local	RVF	yes	present	1	825
6101db15d4eefc0ed011e3c3	203091	1	practice	slash	15	square	global	LVF	yes	present	1	1122
6101db15d4eefc0ed011e3c3	206187	1	practice	slash	16	circle	global	LVF	yes	present	1	1039
6101db15d4eefc0ed011e3c3	213746	2	main	slash	1	square	local	LVF	yes	absent	0	2000
6101db15d4eefc0ed011e3c3	217846	2	main	slash	2	square	local	LVF	yes	absent	0	2000
6101db15d4eefc0ed011e3c3	220167	2	main	slash	3	circle	local	RVF	yes	present	1	1104
6101db15d4eefc0ed011e3c3	222675	2	main	slash	4	circle	global	RVF	yes	present	1	895
6101db15d4eefc0ed011e3c3	225829	2	main	slash	5	square	local	RVF	yes	absent	0	2000
6101db15d4eefc0ed011e3c3	227980	2	main	slash	6	circle	local	LVF	yes	present	1	1118
6101db15d4eefc0ed011e3c3	231296	2	main	slash	7	absent	absent	absent	no	absent	1	2000
