subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
611b38dea7f1754225fa39bf	110961	1	practice	slash	1	circle	global	LVF	yes	present	1	506
611b38dea7f1754225fa39bf	114424	1	practice	slash	2	square	global	LVF	yes	present	1	445
611b38dea7f1754225fa39bf	118844	1	practice	slash	3	circle	local	RVF	yes	absent	0	2000
611b38dea7f1754225fa39bf	122154	1	practice	slash	4	circle	global	LVF	yes	present	1	510
611b38dea7f1754225fa39bf	125068	1	practice	slash	5	circle	global	RVF	yes	present	1	509
611b38dea7f1754225fa39bf	127802	1	practice	slash	6	square	local	LVF	yes	present	1	348
611b38dea7f1754225fa39bf	130473	1	practice	slash	7	circle	local	RVF	yes	present	1	554
611b38dea7f1754225fa39bf	132899	1	practice	slash	8	absent	absent	absent	no	present	0	399
611b38dea7f1754225fa39bf	135315	1	practice	slash	9	square	global	LVF	yes	present	1	383
611b38dea7f1754225fa39bf	137932	1	practice	slash	10	square	global	RVF	yes	present	1	436
611b38dea7f1754225fa39bf	142029	1	practice	slash	11	absent	absent	absent	no	absent	1	2000
611b38dea7f1754225fa39bf	145176	1	practice	slash	12	circle	local	RVF	yes	present	1	984
611b38dea7f1754225fa39bf	148108	1	practice	slash	13	circle	global	RVF	yes	present	1	917
611b38dea7f1754225fa39bf	152172	1	practice	slash	14	absent	absent	absent	no	absent	1	2000
611b38dea7f1754225fa39bf	155121	1	practice	slash	15	absent	absent	absent	no	present	0	752
611b38dea7f1754225fa39bf	158661	1	practice	slash	16	square	local	LVF	yes	present	1	694
611b38dea7f1754225fa39bf	166069	2	main	slash	1	square	global	LVF	yes	present	1	445
611b38dea7f1754225fa39bf	169423	2	main	slash	2	absent	absent	absent	no	absent	1	2000
611b38dea7f1754225fa39bf	171012	2	main	slash	3	circle	local	LVF	yes	present	1	358
611b38dea7f1754225fa39bf	173106	2	main	slash	4	circle	local	RVF	yes	present	1	786
611b38dea7f1754225fa39bf	174956	2	main	slash	5	square	global	RVF	yes	present	1	603
611b38dea7f1754225fa39bf	176598	2	main	slash	6	square	local	LVF	yes	present	1	505
611b38dea7f1754225fa39bf	178413	2	main	slash	7	circle	global	LVF	yes	present	1	664
611b38dea7f1754225fa39bf	179937	2	main	slash	8	square	global	RVF	yes	present	1	404
611b38dea7f1754225fa39bf	181394	2	main	slash	9	circle	local	LVF	yes	present	1	376
611b38dea7f1754225fa39bf	183012	2	main	slash	10	square	local	RVF	yes	present	1	566
611b38dea7f1754225fa39bf	184634	2	main	slash	11	circle	local	LVF	yes	present	1	438
611b38dea7f1754225fa39bf	186317	2	main	slash	12	square	local	RVF	yes	present	1	623
611b38dea7f1754225fa39bf	189793	2	main	slash	13	circle	global	LVF	yes	absent	0	2000
611b38dea7f1754225fa39bf	191327	2	main	slash	14	square	global	RVF	yes	present	1	536
611b38dea7f1754225fa39bf	194473	2	main	slash	15	absent	absent	absent	no	absent	1	2000
611b38dea7f1754225fa39bf	196613	2	main	slash	16	square	global	LVF	yes	present	1	641
611b38dea7f1754225fa39bf	198522	2	main	slash	17	square	global	LVF	yes	present	1	553
611b38dea7f1754225fa39bf	200623	2	main	slash	18	square	local	RVF	yes	present	1	637
611b38dea7f1754225fa39bf	203084	2	main	slash	19	square	local	LVF	yes	present	1	1284
611b38dea7f1754225fa39bf	204979	2	main	slash	20	square	local	RVF	yes	present	1	680
611b38dea7f1754225fa39bf	207713	2	main	slash	21	circle	global	RVF	yes	present	1	1116
611b38dea7f1754225fa39bf	209560	2	main	slash	22	circle	global	LVF	yes	present	1	681
611b38dea7f1754225fa39bf	211426	2	main	slash	23	circle	local	LVF	yes	present	1	582
611b38dea7f1754225fa39bf	214577	2	main	slash	24	absent	absent	absent	no	absent	1	2000
611b38dea7f1754225fa39bf	217924	2	main	slash	25	absent	absent	absent	no	absent	1	2000
611b38dea7f1754225fa39bf	219742	2	main	slash	26	circle	global	LVF	yes	present	1	852
611b38dea7f1754225fa39bf	222788	2	main	slash	27	absent	absent	absent	no	absent	1	2000
611b38dea7f1754225fa39bf	224454	2	main	slash	28	circle	global	RVF	yes	present	1	519
611b38dea7f1754225fa39bf	226114	2	main	slash	29	circle	local	RVF	yes	present	1	512
611b38dea7f1754225fa39bf	229883	2	main	slash	30	square	local	LVF	yes	absent	0	2000
611b38dea7f1754225fa39bf	231626	2	main	slash	31	square	global	RVF	yes	present	1	546
611b38dea7f1754225fa39bf	234429	2	main	slash	32	circle	global	RVF	yes	present	1	1700
611b38dea7f1754225fa39bf	236330	2	main	slash	33	circle	global	RVF	yes	present	1	585
611b38dea7f1754225fa39bf	237973	2	main	slash	34	circle	local	RVF	yes	present	1	505
611b38dea7f1754225fa39bf	240237	2	main	slash	35	circle	local	RVF	yes	present	1	462
611b38dea7f1754225fa39bf	242545	2	main	slash	36	square	local	LVF	yes	present	1	987
611b38dea7f1754225fa39bf	245556	2	main	slash	37	absent	absent	absent	no	absent	1	2000
611b38dea7f1754225fa39bf	250203	2	main	slash	38	absent	absent	absent	no	absent	1	2000
611b38dea7f1754225fa39bf	252091	2	main	slash	39	absent	absent	absent	no	present	0	741
