subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
616d0c1b16a0437469b6cd74	229232	1	practice	slash	1	square	global	LVF	yes	present	1	1015
616d0c1b16a0437469b6cd74	233600	1	practice	slash	2	absent	absent	absent	no	present	0	1647
616d0c1b16a0437469b6cd74	238290	1	practice	slash	3	absent	absent	absent	no	absent	1	2000
616d0c1b16a0437469b6cd74	242216	1	practice	slash	4	square	global	RVF	yes	present	1	1435
616d0c1b16a0437469b6cd74	246304	1	practice	slash	5	absent	absent	absent	no	present	0	1752
616d0c1b16a0437469b6cd74	250112	1	practice	slash	6	circle	local	RVF	yes	present	1	1506
616d0c1b16a0437469b6cd74	253408	1	practice	slash	7	circle	global	LVF	yes	present	1	1065
616d0c1b16a0437469b6cd74	256888	1	practice	slash	8	circle	local	RVF	yes	present	1	1275
616d0c1b16a0437469b6cd74	259984	1	practice	slash	9	square	global	LVF	yes	present	1	1016
616d0c1b16a0437469b6cd74	264185	1	practice	slash	10	square	local	LVF	yes	absent	0	2000
616d0c1b16a0437469b6cd74	268390	1	practice	slash	11	absent	absent	absent	no	absent	1	2000
616d0c1b16a0437469b6cd74	271336	1	practice	slash	12	circle	global	LVF	yes	present	1	856
616d0c1b16a0437469b6cd74	274512	1	practice	slash	13	circle	local	RVF	yes	present	1	1012
616d0c1b16a0437469b6cd74	277841	1	practice	slash	14	square	local	LVF	yes	present	1	1304
616d0c1b16a0437469b6cd74	280904	1	practice	slash	15	circle	global	RVF	yes	present	1	997
616d0c1b16a0437469b6cd74	284016	1	practice	slash	16	circle	global	RVF	yes	present	1	989
616d0c1b16a0437469b6cd74	289048	2	main	slash	1	circle	local	RVF	yes	present	1	1114
616d0c1b16a0437469b6cd74	291376	2	main	slash	2	circle	global	RVF	yes	present	1	923
616d0c1b16a0437469b6cd74	293632	2	main	slash	3	square	local	RVF	yes	present	1	1026
616d0c1b16a0437469b6cd74	296722	2	main	slash	4	square	global	RVF	yes	absent	0	2000
616d0c1b16a0437469b6cd74	298784	2	main	slash	5	square	local	RVF	yes	present	1	939
616d0c1b16a0437469b6cd74	302111	2	main	slash	6	absent	absent	absent	no	absent	1	2000
616d0c1b16a0437469b6cd74	304080	2	main	slash	7	square	local	LVF	yes	present	1	1013
616d0c1b16a0437469b6cd74	307104	2	main	slash	8	square	global	LVF	yes	present	1	1151
616d0c1b16a0437469b6cd74	309880	2	main	slash	9	circle	local	LVF	yes	present	1	1140
616d0c1b16a0437469b6cd74	312520	2	main	slash	10	circle	global	LVF	yes	present	1	1027
616d0c1b16a0437469b6cd74	314960	2	main	slash	11	square	global	RVF	yes	present	1	1032
616d0c1b16a0437469b6cd74	317400	2	main	slash	12	square	local	LVF	yes	present	1	1085
616d0c1b16a0437469b6cd74	320696	2	main	slash	13	circle	local	RVF	yes	present	1	1828
616d0c1b16a0437469b6cd74	323980	2	main	slash	14	circle	global	RVF	yes	present	1	1637
616d0c1b16a0437469b6cd74	326568	2	main	slash	15	square	global	RVF	yes	present	1	1126
616d0c1b16a0437469b6cd74	328992	2	main	slash	16	square	local	RVF	yes	present	1	1131
616d0c1b16a0437469b6cd74	331344	2	main	slash	17	square	global	LVF	yes	present	1	1264
616d0c1b16a0437469b6cd74	333384	2	main	slash	18	circle	local	LVF	yes	present	1	1118
616d0c1b16a0437469b6cd74	336349	2	main	slash	19	absent	absent	absent	no	absent	1	2000
616d0c1b16a0437469b6cd74	338504	2	main	slash	20	circle	global	RVF	yes	present	1	1083
616d0c1b16a0437469b6cd74	340776	2	main	slash	21	square	local	RVF	yes	present	1	1069
616d0c1b16a0437469b6cd74	342776	2	main	slash	22	circle	local	LVF	yes	present	1	1100
616d0c1b16a0437469b6cd74	344768	2	main	slash	23	square	global	RVF	yes	present	1	1207
616d0c1b16a0437469b6cd74	346696	2	main	slash	24	square	global	LVF	yes	present	1	1099
616d0c1b16a0437469b6cd74	348552	2	main	slash	25	square	local	LVF	yes	present	1	1086
616d0c1b16a0437469b6cd74	351382	2	main	slash	26	absent	absent	absent	no	absent	1	2000
616d0c1b16a0437469b6cd74	354402	2	main	slash	27	absent	absent	absent	no	absent	1	2000
616d0c1b16a0437469b6cd74	357289	2	main	slash	28	absent	absent	absent	no	absent	1	2000
616d0c1b16a0437469b6cd74	358960	2	main	slash	29	circle	global	LVF	yes	present	1	932
616d0c1b16a0437469b6cd74	360872	2	main	slash	30	circle	global	LVF	yes	present	1	1059
616d0c1b16a0437469b6cd74	363746	2	main	slash	31	absent	absent	absent	no	absent	1	2000
616d0c1b16a0437469b6cd74	366816	2	main	slash	32	absent	absent	absent	no	absent	1	2000
616d0c1b16a0437469b6cd74	368615	2	main	slash	33	square	global	LVF	yes	present	1	845
616d0c1b16a0437469b6cd74	370672	2	main	slash	34	circle	local	RVF	yes	present	1	981
616d0c1b16a0437469b6cd74	373689	2	main	slash	35	absent	absent	absent	no	absent	1	2000
616d0c1b16a0437469b6cd74	375480	2	main	slash	36	circle	local	LVF	yes	present	1	868
616d0c1b16a0437469b6cd74	377336	2	main	slash	37	circle	local	RVF	yes	present	1	904
616d0c1b16a0437469b6cd74	379224	2	main	slash	38	square	local	LVF	yes	present	1	1024
616d0c1b16a0437469b6cd74	381112	2	main	slash	39	circle	global	RVF	yes	present	1	1043
616d0c1b16a0437469b6cd74	383216	2	main	slash	40	circle	global	LVF	yes	present	1	1162
616d0c1b16a0437469b6cd74	385192	2	main	slash	41	circle	global	RVF	yes	present	1	1069
616d0c1b16a0437469b6cd74	387120	2	main	slash	42	circle	global	LVF	yes	present	1	1044
616d0c1b16a0437469b6cd74	388984	2	main	slash	43	square	local	RVF	yes	present	1	1024
616d0c1b16a0437469b6cd74	390935	2	main	slash	44	circle	global	LVF	yes	present	1	1039
616d0c1b16a0437469b6cd74	392887	2	main	slash	45	circle	global	RVF	yes	present	1	1040
616d0c1b16a0437469b6cd74	394864	2	main	slash	46	square	local	LVF	yes	present	1	1014
616d0c1b16a0437469b6cd74	396800	2	main	slash	47	circle	local	RVF	yes	present	1	1048
616d0c1b16a0437469b6cd74	398872	2	main	slash	48	square	global	RVF	yes	present	1	1101
616d0c1b16a0437469b6cd74	400832	2	main	slash	49	square	local	LVF	yes	present	1	1008
616d0c1b16a0437469b6cd74	403707	2	main	slash	50	absent	absent	absent	no	absent	1	2000
616d0c1b16a0437469b6cd74	405712	2	main	slash	51	circle	local	RVF	yes	present	1	699
616d0c1b16a0437469b6cd74	407752	2	main	slash	52	square	global	LVF	yes	present	1	1071
616d0c1b16a0437469b6cd74	409848	2	main	slash	53	circle	local	LVF	yes	present	1	1064
616d0c1b16a0437469b6cd74	411920	2	main	slash	54	square	global	RVF	yes	present	1	1068
616d0c1b16a0437469b6cd74	413832	2	main	slash	55	circle	local	LVF	yes	present	1	843
616d0c1b16a0437469b6cd74	416160	2	main	slash	56	square	global	LVF	yes	present	1	1036
616d0c1b16a0437469b6cd74	419074	2	main	slash	57	absent	absent	absent	no	absent	1	2000
616d0c1b16a0437469b6cd74	421696	2	main	slash	58	square	local	LVF	yes	present	1	1049
616d0c1b16a0437469b6cd74	423752	2	main	slash	59	circle	global	LVF	yes	present	1	1086
616d0c1b16a0437469b6cd74	425776	2	main	slash	60	circle	local	LVF	yes	present	1	1141
616d0c1b16a0437469b6cd74	427824	2	main	slash	61	square	local	RVF	yes	present	1	1187
