subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
616dd3845b2624e9720392fd	146563	1	practice	slash	1	circle	local	RVF	yes	present	1	1540
616dd3845b2624e9720392fd	150163	1	practice	slash	2	square	global	LVF	yes	present	1	1190
616dd3845b2624e9720392fd	153726	1	practice	slash	3	circle	local	RVF	yes	present	1	1151
616dd3845b2624e9720392fd	157310	1	practice	slash	4	square	global	RVF	yes	present	1	1085
616dd3845b2624e9720392fd	161440	1	practice	slash	5	square	local	LVF	yes	absent	0	2000
616dd3845b2624e9720392fd	165706	1	practice	slash	6	circle	local	RVF	yes	absent	0	2000
616dd3845b2624e9720392fd	169043	1	practice	slash	7	circle	global	RVF	yes	present	1	1172
616dd3845b2624e9720392fd	173338	1	practice	slash	8	absent	absent	absent	no	absent	1	2000
616dd3845b2624e9720392fd	176797	1	practice	slash	9	square	global	LVF	yes	present	1	1158
616dd3845b2624e9720392fd	180307	1	practice	slash	10	circle	global	RVF	yes	present	1	1236
616dd3845b2624e9720392fd	184488	1	practice	slash	11	absent	absent	absent	no	absent	1	2000
616dd3845b2624e9720392fd	187813	1	practice	slash	12	circle	global	LVF	yes	present	1	1192
616dd3845b2624e9720392fd	191923	1	practice	slash	13	square	local	LVF	yes	absent	0	2000
616dd3845b2624e9720392fd	196037	1	practice	slash	14	absent	absent	absent	no	absent	1	2000
616dd3845b2624e9720392fd	199053	1	practice	slash	15	circle	global	LVF	yes	present	1	1000
616dd3845b2624e9720392fd	203870	1	practice	slash	16	absent	absent	absent	no	absent	1	2000
616dd3845b2624e9720392fd	208131	2	main	slash	1	circle	global	RVF	yes	present	1	1047
616dd3845b2624e9720392fd	211221	2	main	slash	2	square	global	RVF	yes	present	1	986
616dd3845b2624e9720392fd	214535	2	main	slash	3	absent	absent	absent	no	absent	1	2000
616dd3845b2624e9720392fd	216652	2	main	slash	4	square	global	LVF	yes	present	1	934
616dd3845b2624e9720392fd	219968	2	main	slash	5	absent	absent	absent	no	absent	1	2000
616dd3845b2624e9720392fd	222038	2	main	slash	6	circle	global	LVF	yes	present	1	1120
616dd3845b2624e9720392fd	224277	2	main	slash	7	square	local	RVF	yes	present	1	976
616dd3845b2624e9720392fd	227651	2	main	slash	8	square	local	LVF	yes	absent	0	2000
616dd3845b2624e9720392fd	230364	2	main	slash	9	square	local	LVF	yes	present	1	1580
616dd3845b2624e9720392fd	232652	2	main	slash	10	square	global	RVF	yes	present	1	1118
616dd3845b2624e9720392fd	234884	2	main	slash	11	square	local	LVF	yes	present	1	1067
616dd3845b2624e9720392fd	237124	2	main	slash	12	circle	local	LVF	yes	present	1	1124
616dd3845b2624e9720392fd	240233	2	main	slash	13	absent	absent	absent	no	absent	1	2000
616dd3845b2624e9720392fd	242431	2	main	slash	14	circle	local	LVF	yes	present	1	1031
616dd3845b2624e9720392fd	244540	2	main	slash	15	circle	global	RVF	yes	present	1	990
616dd3845b2624e9720392fd	246655	2	main	slash	16	absent	absent	absent	no	present	0	1005
616dd3845b2624e9720392fd	248894	2	main	slash	17	square	global	LVF	yes	present	1	1111
616dd3845b2624e9720392fd	251174	2	main	slash	18	circle	global	LVF	yes	present	1	1125
616dd3845b2624e9720392fd	253583	2	main	slash	19	square	local	LVF	yes	present	1	1267
616dd3845b2624e9720392fd	256549	2	main	slash	20	absent	absent	absent	no	absent	1	2000
616dd3845b2624e9720392fd	259716	2	main	slash	21	absent	absent	absent	no	absent	1	2000
616dd3845b2624e9720392fd	262588	2	main	slash	22	circle	global	LVF	yes	present	1	1839
616dd3845b2624e9720392fd	264964	2	main	slash	23	circle	local	RVF	yes	present	1	1199
616dd3845b2624e9720392fd	267316	2	main	slash	24	circle	local	LVF	yes	present	1	1251
616dd3845b2624e9720392fd	269551	2	main	slash	25	circle	global	RVF	yes	present	1	1120
616dd3845b2624e9720392fd	271812	2	main	slash	26	circle	local	RVF	yes	present	1	1081
616dd3845b2624e9720392fd	273900	2	main	slash	27	circle	local	RVF	yes	present	1	969
616dd3845b2624e9720392fd	276196	2	main	slash	28	square	global	RVF	yes	present	1	1131
616dd3845b2624e9720392fd	279314	2	main	slash	29	absent	absent	absent	no	absent	1	2000
616dd3845b2624e9720392fd	281484	2	main	slash	30	circle	local	RVF	yes	present	1	1003
616dd3845b2624e9720392fd	284125	2	main	slash	31	square	global	RVF	yes	present	1	1444
