subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
62b083f9ca87faa7a75c0235	171401	1	practice	slash	1	square	local	LVF	yes	absent	0	2000
62b083f9ca87faa7a75c0235	176551	1	practice	slash	2	circle	local	RVF	yes	present	1	999
62b083f9ca87faa7a75c0235	182084	1	practice	slash	3	square	global	LVF	yes	absent	0	2000
62b083f9ca87faa7a75c0235	185582	1	practice	slash	4	circle	global	LVF	yes	present	1	915
62b083f9ca87faa7a75c0235	190117	1	practice	slash	5	absent	absent	absent	no	absent	1	2000
62b083f9ca87faa7a75c0235	194700	1	practice	slash	6	absent	absent	absent	no	absent	1	2000
62b083f9ca87faa7a75c0235	197823	1	practice	slash	7	circle	global	RVF	yes	present	1	723
62b083f9ca87faa7a75c0235	200927	1	practice	slash	8	circle	global	RVF	yes	present	1	595
62b083f9ca87faa7a75c0235	203836	1	practice	slash	9	circle	global	LVF	yes	present	1	537
62b083f9ca87faa7a75c0235	208182	1	practice	slash	10	absent	absent	absent	no	absent	1	2000
62b083f9ca87faa7a75c0235	211453	1	practice	slash	11	square	global	LVF	yes	present	1	687
62b083f9ca87faa7a75c0235	214360	1	practice	slash	12	circle	local	RVF	yes	present	1	511
62b083f9ca87faa7a75c0235	217177	1	practice	slash	13	square	global	RVF	yes	present	1	525
62b083f9ca87faa7a75c0235	220172	1	practice	slash	14	circle	local	RVF	yes	present	1	724
62b083f9ca87faa7a75c0235	224364	1	practice	slash	15	absent	absent	absent	no	absent	1	2000
62b083f9ca87faa7a75c0235	227076	1	practice	slash	16	square	local	LVF	yes	present	1	521
62b083f9ca87faa7a75c0235	239263	2	main	slash	1	circle	global	LVF	yes	present	1	424
62b083f9ca87faa7a75c0235	241090	2	main	slash	2	circle	global	LVF	yes	present	1	334
62b083f9ca87faa7a75c0235	244323	2	main	slash	3	absent	absent	absent	no	absent	1	2000
62b083f9ca87faa7a75c0235	246138	2	main	slash	4	square	local	RVF	yes	present	1	482
62b083f9ca87faa7a75c0235	248113	2	main	slash	5	square	global	LVF	yes	present	1	456
