subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6323a90c380df6eb64255d6f	203634	1	practice	slash	1	square	local	LVF	yes	present	1	378
6323a90c380df6eb64255d6f	208299	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
6323a90c380df6eb64255d6f	211083	1	practice	slash	3	circle	global	RVF	yes	present	1	623
6323a90c380df6eb64255d6f	215168	1	practice	slash	4	absent	absent	absent	no	absent	1	2000
6323a90c380df6eb64255d6f	218436	1	practice	slash	5	circle	global	RVF	yes	present	1	1052
6323a90c380df6eb64255d6f	221435	1	practice	slash	6	square	global	RVF	yes	present	1	905
6323a90c380df6eb64255d6f	225438	1	practice	slash	7	absent	absent	absent	no	absent	1	2000
6323a90c380df6eb64255d6f	228099	1	practice	slash	8	square	global	LVF	yes	present	1	686
6323a90c380df6eb64255d6f	231195	1	practice	slash	9	circle	local	RVF	yes	present	1	954
6323a90c380df6eb64255d6f	235256	1	practice	slash	10	square	local	LVF	yes	absent	0	2000
6323a90c380df6eb64255d6f	238187	1	practice	slash	11	square	global	LVF	yes	present	1	824
6323a90c380df6eb64255d6f	242245	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
6323a90c380df6eb64255d6f	245244	1	practice	slash	13	circle	global	LVF	yes	present	1	1011
6323a90c380df6eb64255d6f	248108	1	practice	slash	14	circle	global	LVF	yes	present	1	874
6323a90c380df6eb64255d6f	250827	1	practice	slash	15	circle	local	RVF	yes	present	1	779
6323a90c380df6eb64255d6f	253612	1	practice	slash	16	circle	local	RVF	yes	present	1	802
6323a90c380df6eb64255d6f	265343	2	main	slash	1	circle	global	LVF	yes	present	1	520
6323a90c380df6eb64255d6f	268281	2	main	slash	2	circle	local	RVF	yes	present	1	775
6323a90c380df6eb64255d6f	270330	2	main	slash	3	square	global	LVF	yes	present	1	769
6323a90c380df6eb64255d6f	273033	2	main	slash	4	circle	local	LVF	yes	present	1	1005
6323a90c380df6eb64255d6f	276402	2	main	slash	5	square	global	LVF	yes	absent	0	2000
6323a90c380df6eb64255d6f	278753	2	main	slash	6	square	global	LVF	yes	present	1	1110
6323a90c380df6eb64255d6f	281161	2	main	slash	7	circle	local	LVF	yes	present	1	970
6323a90c380df6eb64255d6f	283441	2	main	slash	8	circle	local	RVF	yes	present	1	783
6323a90c380df6eb64255d6f	286526	2	main	slash	9	absent	absent	absent	no	absent	1	2000
6323a90c380df6eb64255d6f	288561	2	main	slash	10	square	local	RVF	yes	present	1	594
6323a90c380df6eb64255d6f	290713	2	main	slash	11	square	global	LVF	yes	present	1	652
6323a90c380df6eb64255d6f	293001	2	main	slash	12	square	local	RVF	yes	present	1	1060
6323a90c380df6eb64255d6f	295641	2	main	slash	13	circle	global	LVF	yes	present	1	1072
6323a90c380df6eb64255d6f	297601	2	main	slash	14	circle	global	LVF	yes	present	1	751
6323a90c380df6eb64255d6f	299457	2	main	slash	15	circle	local	RVF	yes	present	1	766
6323a90c380df6eb64255d6f	302599	2	main	slash	16	absent	absent	absent	no	absent	1	2000
6323a90c380df6eb64255d6f	305520	2	main	slash	17	absent	absent	absent	no	absent	1	2000
6323a90c380df6eb64255d6f	307674	2	main	slash	18	square	local	LVF	yes	present	1	1126
6323a90c380df6eb64255d6f	309921	2	main	slash	19	square	local	LVF	yes	present	1	986
6323a90c380df6eb64255d6f	312098	2	main	slash	20	square	global	RVF	yes	present	1	1002
6323a90c380df6eb64255d6f	315150	2	main	slash	21	absent	absent	absent	no	absent	1	2000
