subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5638d3a544e8c8000ee869a2	headphonecheck_testphase	3	NA	NA	0	NA	second	0	816
5638d3a544e8c8000ee869a2	headphonecheck_testphase	6	NA	NA	0	NA	second	1	2434
5638d3a544e8c8000ee869a2	headphonecheck_testphase	9	NA	NA	0	NA	third	1	365
5638d3a544e8c8000ee869a2	headphonecheck_testphase	12	NA	NA	0	NA	second	1	449
5638d3a544e8c8000ee869a2	headphonecheck_testphase	15	NA	NA	0	NA	third	1	343
5638d3a544e8c8000ee869a2	headphonecheck_testphase	18	NA	NA	0	NA	first	1	458
5638d3a544e8c8000ee869a2	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	451
5638d3a544e8c8000ee869a2	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	273
5638d3a544e8c8000ee869a2	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	322
5638d3a544e8c8000ee869a2	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	265
5638d3a544e8c8000ee869a2	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	256
5638d3a544e8c8000ee869a2	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	334
5638d3a544e8c8000ee869a2	DL_practice	2	ka	ka	0	left	ka	1	1137
5638d3a544e8c8000ee869a2	DL_practice	3	da	da	0	left	da	1	882
5638d3a544e8c8000ee869a2	DL_practice	4	ba	ba	0	left	ba	1	896
5638d3a544e8c8000ee869a2	DL_practice	5	ga	ta	1	right	ta	1	1470
5638d3a544e8c8000ee869a2	DL_practice	6	ga	ga	0	left	ga	1	1032
5638d3a544e8c8000ee869a2	DL_practice	7	ka	pa	1	right	pa	1	1436
5638d3a544e8c8000ee869a2	DL_practice	8	da	ba	1	left	da	1	1205
5638d3a544e8c8000ee869a2	DL_practice	9	ta	ta	0	left	ta	1	1514
5638d3a544e8c8000ee869a2	DL_practice	10	pa	pa	0	left	pa	1	1385
5638d3a544e8c8000ee869a2	DL_test	1	ta	ka	1	right	ka	1	908
5638d3a544e8c8000ee869a2	DL_test	2	pa	ba	1	right	ba	1	2097
5638d3a544e8c8000ee869a2	DL_test	3	da	ga	1	right	ga	1	1144
5638d3a544e8c8000ee869a2	DL_test	4	ka	ta	1	left	ka	1	1011
5638d3a544e8c8000ee869a2	DL_test	5	ta	ta	0	left	ta	1	1843
5638d3a544e8c8000ee869a2	DL_test	6	pa	ta	1	right	ta	1	1409
5638d3a544e8c8000ee869a2	DL_test	7	ba	ba	0	left	ba	1	1328
5638d3a544e8c8000ee869a2	DL_test	8	ta	da	1	right	da	1	2344
5638d3a544e8c8000ee869a2	DL_test	9	ga	ga	0	left	ga	1	669
5638d3a544e8c8000ee869a2	DL_test	10	ba	ga	1	right	ga	1	741
5638d3a544e8c8000ee869a2	DL_test	11	pa	ga	1	right	ga	1	919
5638d3a544e8c8000ee869a2	DL_test	12	ba	da	1	other	ga	0	1535
5638d3a544e8c8000ee869a2	DL_test	13	ta	ba	1	other	pa	0	1381
5638d3a544e8c8000ee869a2	DL_test	14	ba	pa	1	right	pa	1	769
5638d3a544e8c8000ee869a2	DL_test	15	da	ba	1	right	ba	1	1717
5638d3a544e8c8000ee869a2	DL_test	16	ga	ta	1	other	ka	0	1632
5638d3a544e8c8000ee869a2	DL_test	17	da	da	0	left	da	1	1120
5638d3a544e8c8000ee869a2	DL_test	18	ga	da	1	right	da	1	1735
5638d3a544e8c8000ee869a2	DL_test	19	ka	da	1	left	ka	1	1602
5638d3a544e8c8000ee869a2	DL_test	20	pa	da	1	left	pa	1	1858
5638d3a544e8c8000ee869a2	DL_test	21	ta	pa	1	right	pa	1	730
5638d3a544e8c8000ee869a2	DL_test	22	ka	pa	1	right	pa	1	690
5638d3a544e8c8000ee869a2	DL_test	23	pa	pa	0	left	pa	1	641
5638d3a544e8c8000ee869a2	DL_test	24	da	pa	1	right	pa	1	630
5638d3a544e8c8000ee869a2	DL_test	25	ga	ba	1	right	ba	1	1508
5638d3a544e8c8000ee869a2	DL_test	26	ga	ka	1	right	ka	1	1083
5638d3a544e8c8000ee869a2	DL_test	27	ka	ga	1	right	ga	1	1513
5638d3a544e8c8000ee869a2	DL_test	28	ga	pa	1	right	pa	1	1562
5638d3a544e8c8000ee869a2	DL_test	29	pa	ka	1	right	ka	1	868
5638d3a544e8c8000ee869a2	DL_test	30	ba	ka	1	right	ka	1	512
5638d3a544e8c8000ee869a2	DL_test	31	ta	ga	1	right	ga	1	853
5638d3a544e8c8000ee869a2	DL_test	32	ka	ba	1	other	ga	0	985
5638d3a544e8c8000ee869a2	DL_test	33	da	ta	1	other	ka	0	845
5638d3a544e8c8000ee869a2	DL_test	34	da	ka	1	other	pa	0	832
5638d3a544e8c8000ee869a2	DL_test	35	ka	ka	0	left	ka	1	909
5638d3a544e8c8000ee869a2	DL_test	36	ba	ta	1	other	ka	0	767
5638d3a544e8c8000ee869a2	DL_test	1	ga	ba	1	right	ba	1	1646
5638d3a544e8c8000ee869a2	DL_test	2	ga	ka	1	right	ka	1	994
5638d3a544e8c8000ee869a2	DL_test	3	ka	ga	1	right	ga	1	954
5638d3a544e8c8000ee869a2	DL_test	4	da	ga	1	right	ga	1	561
5638d3a544e8c8000ee869a2	DL_test	5	da	da	0	left	da	1	766
5638d3a544e8c8000ee869a2	DL_test	6	da	ka	1	other	pa	0	1242
5638d3a544e8c8000ee869a2	DL_test	7	ga	ga	0	left	ga	1	1207
5638d3a544e8c8000ee869a2	DL_test	8	ba	ka	1	right	ka	1	1099
5638d3a544e8c8000ee869a2	DL_test	9	ta	pa	1	right	pa	1	924
5638d3a544e8c8000ee869a2	DL_test	10	ba	pa	1	right	pa	1	557
5638d3a544e8c8000ee869a2	DL_test	11	ba	da	1	right	da	1	1941
5638d3a544e8c8000ee869a2	DL_test	12	pa	ba	1	left	pa	1	1444
5638d3a544e8c8000ee869a2	DL_test	13	ka	ka	0	left	ka	1	805
5638d3a544e8c8000ee869a2	DL_test	14	ba	ba	0	left	ba	1	1319
5638d3a544e8c8000ee869a2	DL_test	15	pa	ga	1	other	ka	0	1351
5638d3a544e8c8000ee869a2	DL_test	16	ka	pa	1	right	pa	1	692
5638d3a544e8c8000ee869a2	DL_test	17	ta	ba	1	other	pa	0	2379
5638d3a544e8c8000ee869a2	DL_test	18	pa	pa	0	left	pa	1	573
5638d3a544e8c8000ee869a2	DL_test	19	ka	ta	1	left	ka	1	869
5638d3a544e8c8000ee869a2	DL_test	20	ga	ta	1	other	ka	0	639
5638d3a544e8c8000ee869a2	DL_test	21	da	ba	1	right	ba	1	1238
5638d3a544e8c8000ee869a2	DL_test	22	ba	ta	1	other	ka	0	1128
5638d3a544e8c8000ee869a2	DL_test	23	ta	da	1	right	da	1	1194
5638d3a544e8c8000ee869a2	DL_test	24	ga	da	1	left	ga	1	696
5638d3a544e8c8000ee869a2	DL_test	25	ta	ka	1	right	ka	1	906
5638d3a544e8c8000ee869a2	DL_test	26	ta	ta	0	other	ka	0	1064
5638d3a544e8c8000ee869a2	DL_test	27	pa	ta	1	other	ka	0	808
5638d3a544e8c8000ee869a2	DL_test	28	da	pa	1	right	pa	1	1763
5638d3a544e8c8000ee869a2	DL_test	29	da	ta	1	other	ka	0	830
5638d3a544e8c8000ee869a2	DL_test	30	ga	pa	1	right	pa	1	814
5638d3a544e8c8000ee869a2	DL_test	31	pa	da	1	other	ga	0	1643
5638d3a544e8c8000ee869a2	DL_test	32	pa	ka	1	right	ka	1	878
5638d3a544e8c8000ee869a2	DL_test	33	ta	ga	1	right	ga	1	720
5638d3a544e8c8000ee869a2	DL_test	34	ka	ba	1	right	ba	1	1602
5638d3a544e8c8000ee869a2	DL_test	35	ka	da	1	other	ga	0	765
5638d3a544e8c8000ee869a2	DL_test	36	ba	ga	1	right	ga	1	650
5638d3a544e8c8000ee869a2	DL_test	1	da	ba	1	right	ba	1	999
5638d3a544e8c8000ee869a2	DL_test	2	da	ga	1	right	ga	1	973
5638d3a544e8c8000ee869a2	DL_test	3	ka	ta	1	left	ka	1	676
5638d3a544e8c8000ee869a2	DL_test	4	ka	ba	1	right	ba	1	1365
5638d3a544e8c8000ee869a2	DL_test	5	ka	da	1	other	ga	0	1964
5638d3a544e8c8000ee869a2	DL_test	6	ga	ka	1	right	ka	1	739
5638d3a544e8c8000ee869a2	DL_test	7	ta	pa	1	right	pa	1	718
5638d3a544e8c8000ee869a2	DL_test	8	pa	ta	1	left	pa	1	788
5638d3a544e8c8000ee869a2	DL_test	9	ga	ba	1	right	ba	1	1659
5638d3a544e8c8000ee869a2	DL_test	10	ba	ba	0	left	ba	1	830
5638d3a544e8c8000ee869a2	DL_test	11	ba	ga	1	right	ga	1	1114
5638d3a544e8c8000ee869a2	DL_test	12	ka	pa	1	right	pa	1	1648
5638d3a544e8c8000ee869a2	DL_test	13	ka	ga	1	left	ka	1	880
5638d3a544e8c8000ee869a2	DL_test	14	ba	pa	1	right	pa	1	1025
5638d3a544e8c8000ee869a2	DL_test	15	ta	ka	1	right	ka	1	675
5638d3a544e8c8000ee869a2	DL_test	16	ga	pa	1	right	pa	1	878
5638d3a544e8c8000ee869a2	DL_test	17	pa	ga	1	right	ga	1	1043
5638d3a544e8c8000ee869a2	DL_test	18	ta	ba	1	right	ba	1	1148
5638d3a544e8c8000ee869a2	DL_test	19	da	da	0	left	da	1	901
5638d3a544e8c8000ee869a2	DL_test	20	da	pa	1	right	pa	1	1177
5638d3a544e8c8000ee869a2	DL_test	21	pa	ka	1	right	ka	1	811
5638d3a544e8c8000ee869a2	DL_test	22	ba	da	1	other	ga	0	812
5638d3a544e8c8000ee869a2	DL_test	23	ga	da	1	left	ga	1	617
5638d3a544e8c8000ee869a2	DL_test	24	ta	ta	0	left	ta	1	1108
5638d3a544e8c8000ee869a2	DL_test	25	ga	ta	1	right	ta	1	1443
5638d3a544e8c8000ee869a2	DL_test	26	pa	pa	0	left	pa	1	1179
5638d3a544e8c8000ee869a2	DL_test	27	pa	da	1	other	ga	0	1124
5638d3a544e8c8000ee869a2	DL_test	28	da	ka	1	other	pa	0	1222
5638d3a544e8c8000ee869a2	DL_test	29	ba	ka	1	right	ka	1	987
5638d3a544e8c8000ee869a2	DL_test	30	ta	ga	1	right	ga	1	1006
5638d3a544e8c8000ee869a2	DL_test	31	ta	da	1	other	ga	0	812
5638d3a544e8c8000ee869a2	DL_test	32	ba	ta	1	other	ka	0	760
5638d3a544e8c8000ee869a2	DL_test	33	ga	ga	0	left	ga	1	772
5638d3a544e8c8000ee869a2	DL_test	34	da	ta	1	other	ka	0	839
5638d3a544e8c8000ee869a2	DL_test	35	pa	ba	1	right	ba	1	1540
5638d3a544e8c8000ee869a2	DL_test	36	ka	ka	0	left	ka	1	1251
5638d3a544e8c8000ee869a2	DL_test	1	da	da	0	other	ga	0	1027
5638d3a544e8c8000ee869a2	DL_test	2	da	ka	1	other	pa	0	1119
5638d3a544e8c8000ee869a2	DL_test	3	ka	ga	1	right	ga	1	826
5638d3a544e8c8000ee869a2	DL_test	4	ba	pa	1	right	pa	1	1142
5638d3a544e8c8000ee869a2	DL_test	5	pa	da	1	other	ga	0	806
5638d3a544e8c8000ee869a2	DL_test	6	ba	ba	0	left	ba	1	1244
5638d3a544e8c8000ee869a2	DL_test	7	da	ga	1	right	ga	1	1132
5638d3a544e8c8000ee869a2	DL_test	8	pa	ba	1	other	ga	0	1718
5638d3a544e8c8000ee869a2	DL_test	9	ga	ta	1	other	ka	0	1254
5638d3a544e8c8000ee869a2	DL_test	10	ta	ga	1	right	ga	1	900
5638d3a544e8c8000ee869a2	DL_test	11	ba	da	1	other	ga	0	755
5638d3a544e8c8000ee869a2	DL_test	12	da	pa	1	right	pa	1	962
5638d3a544e8c8000ee869a2	DL_test	13	ka	ba	1	right	ba	1	1664
5638d3a544e8c8000ee869a2	DL_test	14	da	ta	1	other	ka	0	745
5638d3a544e8c8000ee869a2	DL_test	15	pa	ga	1	right	ga	1	824
5638d3a544e8c8000ee869a2	DL_test	16	ka	ta	1	left	ka	1	971
5638d3a544e8c8000ee869a2	DL_test	17	ba	ta	1	other	ka	0	534
5638d3a544e8c8000ee869a2	DL_test	18	ta	ka	1	right	ka	1	436
5638d3a544e8c8000ee869a2	DL_test	19	da	ba	1	right	ba	1	1259
5638d3a544e8c8000ee869a2	DL_test	20	ga	ba	1	right	ba	1	645
5638d3a544e8c8000ee869a2	DL_test	21	ba	ka	1	right	ka	1	1188
5638d3a544e8c8000ee869a2	DL_test	22	ba	ga	1	right	ga	1	785
5638d3a544e8c8000ee869a2	DL_test	23	ga	pa	1	right	pa	1	1130
5638d3a544e8c8000ee869a2	DL_test	24	ta	pa	1	right	pa	1	601
5638d3a544e8c8000ee869a2	DL_test	25	ga	ka	1	right	ka	1	898
5638d3a544e8c8000ee869a2	DL_test	26	pa	ta	1	other	ka	0	691
5638d3a544e8c8000ee869a2	DL_test	27	ga	da	1	left	ga	1	652
5638d3a544e8c8000ee869a2	DL_test	28	ta	da	1	other	ga	0	497
5638d3a544e8c8000ee869a2	DL_test	29	ka	ka	0	left	ka	1	1024
5638d3a544e8c8000ee869a2	DL_test	30	ka	pa	1	right	pa	1	840
5638d3a544e8c8000ee869a2	DL_test	31	ta	ta	0	other	ka	0	647
5638d3a544e8c8000ee869a2	DL_test	32	ta	ba	1	right	ba	1	1625
5638d3a544e8c8000ee869a2	DL_test	33	ka	da	1	other	ga	0	1314
5638d3a544e8c8000ee869a2	DL_test	34	ga	ga	0	left	ga	1	649
