subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
571144323d47e800096358d9	headphonecheck_testphase	3	NA	NA	0	NA	third	1	2371
571144323d47e800096358d9	headphonecheck_testphase	6	NA	NA	0	NA	second	1	593
571144323d47e800096358d9	headphonecheck_testphase	9	NA	NA	0	NA	first	1	448
571144323d47e800096358d9	headphonecheck_testphase	12	NA	NA	0	NA	third	1	310
571144323d47e800096358d9	headphonecheck_testphase	15	NA	NA	0	NA	first	1	186
571144323d47e800096358d9	headphonecheck_testphase	18	NA	NA	0	NA	second	1	216
571144323d47e800096358d9	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	978
571144323d47e800096358d9	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	206
571144323d47e800096358d9	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	245
571144323d47e800096358d9	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	209
571144323d47e800096358d9	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	255
571144323d47e800096358d9	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	250
571144323d47e800096358d9	DL_practice	2	ga	ga	0	left	ga	1	812
571144323d47e800096358d9	DL_practice	3	pa	pa	0	left	pa	1	873
571144323d47e800096358d9	DL_practice	4	ga	ta	1	right	ta	1	1500
571144323d47e800096358d9	DL_practice	5	da	ba	1	right	ba	1	1525
571144323d47e800096358d9	DL_practice	6	ta	ta	0	left	ta	1	995
571144323d47e800096358d9	DL_practice	7	da	da	0	left	da	1	801
571144323d47e800096358d9	DL_practice	8	ka	pa	1	right	pa	1	1071
571144323d47e800096358d9	DL_practice	9	ba	ba	0	left	ba	1	1099
571144323d47e800096358d9	DL_practice	10	ka	ka	0	left	ka	1	1195
571144323d47e800096358d9	DL_test	1	da	pa	1	right	pa	1	857
571144323d47e800096358d9	DL_test	2	da	ba	1	right	ba	1	1085
571144323d47e800096358d9	DL_test	3	ga	pa	1	right	pa	1	877
571144323d47e800096358d9	DL_test	4	ta	pa	1	right	pa	1	1233
571144323d47e800096358d9	DL_test	5	ba	ga	1	left	ba	1	1134
571144323d47e800096358d9	DL_test	6	ga	ga	0	other	da	0	582
571144323d47e800096358d9	DL_test	7	ba	ba	0	left	ba	1	797
571144323d47e800096358d9	DL_test	8	ta	ba	1	other	pa	0	1386
571144323d47e800096358d9	DL_test	9	da	ka	1	other	pa	0	881
571144323d47e800096358d9	DL_test	10	pa	ga	1	left	pa	1	1442
571144323d47e800096358d9	DL_test	11	ka	ka	0	left	ka	1	1574
571144323d47e800096358d9	DL_test	12	pa	pa	0	left	pa	1	693
571144323d47e800096358d9	DL_test	13	pa	da	1	left	pa	1	1095
571144323d47e800096358d9	DL_test	14	ka	ba	1	right	ba	1	1025
571144323d47e800096358d9	DL_test	15	ta	ka	1	left	ta	1	1109
571144323d47e800096358d9	DL_test	16	pa	ba	1	right	ba	1	1367
571144323d47e800096358d9	DL_test	17	ka	da	1	right	da	1	981
571144323d47e800096358d9	DL_test	18	ka	ta	1	right	ta	1	1097
571144323d47e800096358d9	DL_test	19	ba	ka	1	right	ka	1	1074
571144323d47e800096358d9	DL_test	20	pa	ka	1	right	ka	1	1460
571144323d47e800096358d9	DL_test	21	da	ta	1	right	ta	1	1032
571144323d47e800096358d9	DL_test	22	ka	ga	1	other	da	0	1467
571144323d47e800096358d9	DL_test	23	pa	ta	1	left	pa	1	1247
571144323d47e800096358d9	DL_test	24	ga	ba	1	right	ba	1	1162
571144323d47e800096358d9	DL_test	25	ga	da	1	right	da	1	736
571144323d47e800096358d9	DL_test	26	ka	pa	1	right	pa	1	1096
571144323d47e800096358d9	DL_test	27	ba	ta	1	right	ta	1	1275
571144323d47e800096358d9	DL_test	28	ga	ka	1	right	ka	1	853
571144323d47e800096358d9	DL_test	29	ta	ta	0	left	ta	1	1248
571144323d47e800096358d9	DL_test	30	ga	ta	1	other	da	0	1161
571144323d47e800096358d9	DL_test	31	da	ga	1	left	da	1	608
571144323d47e800096358d9	DL_test	32	ta	ga	1	left	ta	1	1318
571144323d47e800096358d9	DL_test	33	ba	pa	1	right	pa	1	758
571144323d47e800096358d9	DL_test	34	ba	da	1	right	da	1	805
571144323d47e800096358d9	DL_test	35	ta	da	1	right	da	1	962
571144323d47e800096358d9	DL_test	36	da	da	0	left	da	1	657
571144323d47e800096358d9	DL_test	1	pa	ka	1	left	pa	1	808
571144323d47e800096358d9	DL_test	2	da	ba	1	right	ba	1	1325
571144323d47e800096358d9	DL_test	3	da	ga	1	left	da	1	572
571144323d47e800096358d9	DL_test	4	ga	ga	0	left	ga	1	668
571144323d47e800096358d9	DL_test	5	ba	ta	1	right	ta	1	927
571144323d47e800096358d9	DL_test	6	da	ta	1	right	ta	1	840
571144323d47e800096358d9	DL_test	7	pa	ba	1	left	pa	1	901
571144323d47e800096358d9	DL_test	8	da	da	0	left	da	1	847
571144323d47e800096358d9	DL_test	9	ka	ba	1	right	ba	1	1468
571144323d47e800096358d9	DL_test	10	ta	ka	1	right	ka	1	895
571144323d47e800096358d9	DL_test	11	ta	da	1	left	ta	1	1136
571144323d47e800096358d9	DL_test	12	da	pa	1	right	pa	1	672
571144323d47e800096358d9	DL_test	13	ka	pa	1	right	pa	1	698
571144323d47e800096358d9	DL_test	14	ta	ga	1	other	da	0	884
571144323d47e800096358d9	DL_test	15	ka	ga	1	left	ka	1	1032
571144323d47e800096358d9	DL_test	16	ba	ba	0	left	ba	1	997
571144323d47e800096358d9	DL_test	17	pa	pa	0	left	pa	1	1003
571144323d47e800096358d9	DL_test	18	ga	da	1	right	da	1	769
571144323d47e800096358d9	DL_test	19	ta	pa	1	right	pa	1	977
571144323d47e800096358d9	DL_test	20	ga	ta	1	other	da	0	1528
571144323d47e800096358d9	DL_test	21	ba	ka	1	right	ka	1	657
571144323d47e800096358d9	DL_test	22	pa	ta	1	left	pa	1	867
571144323d47e800096358d9	DL_test	23	ba	pa	1	right	pa	1	975
571144323d47e800096358d9	DL_test	24	ga	ba	1	right	ba	1	1156
571144323d47e800096358d9	DL_test	25	pa	da	1	right	da	1	1067
571144323d47e800096358d9	DL_test	26	ka	ta	1	left	ka	1	846
571144323d47e800096358d9	DL_test	27	pa	ga	1	other	ta	0	1730
571144323d47e800096358d9	DL_test	28	ga	pa	1	right	pa	1	850
571144323d47e800096358d9	DL_test	29	ba	da	1	right	da	1	814
571144323d47e800096358d9	DL_test	30	da	ka	1	other	pa	0	986
571144323d47e800096358d9	DL_test	31	ka	ka	0	left	ka	1	809
571144323d47e800096358d9	DL_test	32	ta	ba	1	right	ba	1	1383
571144323d47e800096358d9	DL_test	33	ga	ka	1	right	ka	1	877
571144323d47e800096358d9	DL_test	34	ta	ta	0	left	ta	1	873
571144323d47e800096358d9	DL_test	35	ba	ga	1	other	da	0	1092
571144323d47e800096358d9	DL_test	36	ka	da	1	other	ta	0	2310
571144323d47e800096358d9	DL_test	1	da	pa	1	right	pa	1	827
571144323d47e800096358d9	DL_test	2	ga	ta	1	right	ta	1	816
571144323d47e800096358d9	DL_test	3	pa	da	1	right	da	1	900
571144323d47e800096358d9	DL_test	4	ka	ta	1	right	ta	1	967
571144323d47e800096358d9	DL_test	5	da	ka	1	other	pa	0	989
571144323d47e800096358d9	DL_test	6	pa	ka	1	left	pa	1	604
571144323d47e800096358d9	DL_test	7	pa	ga	1	other	da	0	889
571144323d47e800096358d9	DL_test	8	da	ga	1	left	da	1	675
571144323d47e800096358d9	DL_test	9	da	ta	1	right	ta	1	942
571144323d47e800096358d9	DL_test	10	ta	da	1	left	ta	1	1508
571144323d47e800096358d9	DL_test	11	pa	ba	1	left	pa	1	1440
571144323d47e800096358d9	DL_test	12	ga	pa	1	right	pa	1	756
571144323d47e800096358d9	DL_test	13	ba	da	1	right	da	1	1051
571144323d47e800096358d9	DL_test	14	ta	ga	1	other	da	0	1383
571144323d47e800096358d9	DL_test	15	ba	ga	1	left	ba	1	1662
571144323d47e800096358d9	DL_test	16	ta	ba	1	other	pa	0	930
571144323d47e800096358d9	DL_test	17	da	da	0	left	da	1	834
571144323d47e800096358d9	DL_test	18	ta	pa	1	right	pa	1	829
571144323d47e800096358d9	DL_test	19	ka	ba	1	left	ka	1	1168
571144323d47e800096358d9	DL_test	20	ka	pa	1	right	pa	1	712
571144323d47e800096358d9	DL_test	21	pa	pa	0	left	pa	1	641
571144323d47e800096358d9	DL_test	22	ta	ka	1	left	ta	1	717
571144323d47e800096358d9	DL_test	23	ta	ta	0	left	ta	1	638
571144323d47e800096358d9	DL_test	24	ba	ba	0	left	ba	1	962
571144323d47e800096358d9	DL_test	25	da	ba	1	right	ba	1	761
571144323d47e800096358d9	DL_test	26	ga	ka	1	right	ka	1	929
571144323d47e800096358d9	DL_test	27	ba	ka	1	right	ka	1	738
571144323d47e800096358d9	DL_test	28	ga	da	1	right	da	1	866
571144323d47e800096358d9	DL_test	29	ka	ka	0	left	ka	1	805
571144323d47e800096358d9	DL_test	30	ba	ta	1	right	ta	1	876
571144323d47e800096358d9	DL_test	31	ka	ga	1	right	ga	1	862
571144323d47e800096358d9	DL_test	32	ga	ga	0	other	da	0	720
571144323d47e800096358d9	DL_test	33	ga	ba	1	right	ba	1	558
571144323d47e800096358d9	DL_test	34	pa	ta	1	left	pa	1	917
571144323d47e800096358d9	DL_test	35	ka	da	1	right	da	1	1173
571144323d47e800096358d9	DL_test	36	ba	pa	1	right	pa	1	835
571144323d47e800096358d9	DL_test	1	ka	da	1	right	da	1	1094
571144323d47e800096358d9	DL_test	2	pa	ga	1	right	ga	1	879
571144323d47e800096358d9	DL_test	3	da	da	0	left	da	1	761
571144323d47e800096358d9	DL_test	4	ta	ta	0	left	ta	1	984
571144323d47e800096358d9	DL_test	5	da	pa	1	right	pa	1	807
571144323d47e800096358d9	DL_test	6	ba	da	1	right	da	1	789
571144323d47e800096358d9	DL_test	7	ta	ka	1	right	ka	1	803
571144323d47e800096358d9	DL_test	8	ga	ba	1	right	ba	1	921
571144323d47e800096358d9	DL_test	9	ta	pa	1	right	pa	1	817
571144323d47e800096358d9	DL_test	10	ba	ba	0	left	ba	1	1062
571144323d47e800096358d9	DL_test	11	pa	ba	1	right	ba	1	1833
571144323d47e800096358d9	DL_test	12	ba	ta	1	right	ta	1	1269
571144323d47e800096358d9	DL_test	13	ba	ga	1	right	ga	1	1713
571144323d47e800096358d9	DL_test	14	da	ba	1	right	ba	1	707
571144323d47e800096358d9	DL_test	15	pa	ka	1	left	pa	1	900
571144323d47e800096358d9	DL_test	16	ta	ga	1	other	da	0	1022
571144323d47e800096358d9	DL_test	17	pa	ta	1	left	pa	1	843
571144323d47e800096358d9	DL_test	18	ga	ta	1	other	da	0	863
571144323d47e800096358d9	DL_test	19	ga	da	1	right	da	1	571
571144323d47e800096358d9	DL_test	20	ka	ka	0	other	ba	0	1106
571144323d47e800096358d9	DL_test	21	ka	ta	1	left	ka	1	1058
571144323d47e800096358d9	DL_test	22	ga	ka	1	right	ka	1	852
571144323d47e800096358d9	DL_test	23	ka	ga	1	right	ga	1	887
571144323d47e800096358d9	DL_test	24	ta	ba	1	right	ba	1	1498
571144323d47e800096358d9	DL_test	25	da	ka	1	other	pa	0	820
571144323d47e800096358d9	DL_test	26	ta	da	1	right	da	1	1018
571144323d47e800096358d9	DL_test	27	pa	da	1	right	da	1	862
571144323d47e800096358d9	DL_test	28	ka	pa	1	right	pa	1	955
571144323d47e800096358d9	DL_test	29	ba	ka	1	right	ka	1	962
571144323d47e800096358d9	DL_test	30	da	ga	1	left	da	1	913
571144323d47e800096358d9	DL_test	31	ka	ba	1	right	ba	1	1339
571144323d47e800096358d9	DL_test	32	da	ta	1	right	ta	1	963
571144323d47e800096358d9	DL_test	33	ga	pa	1	right	pa	1	924
571144323d47e800096358d9	DL_test	34	pa	pa	0	left	pa	1	891
571144323d47e800096358d9	DL_test	35	ba	pa	1	left	ba	1	1341
571144323d47e800096358d9	DL_test	36	ga	ga	0	other	da	0	797
