subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
59175c2896ffb800017c4caf	headphonecheck_testphase	3	NA	NA	0	NA	third	0	514
59175c2896ffb800017c4caf	headphonecheck_testphase	6	NA	NA	0	NA	third	0	378
59175c2896ffb800017c4caf	headphonecheck_testphase	9	NA	NA	0	NA	first	0	326
59175c2896ffb800017c4caf	headphonecheck_testphase	12	NA	NA	0	NA	second	0	117
59175c2896ffb800017c4caf	headphonecheck_testphase	15	NA	NA	0	NA	second	0	201
59175c2896ffb800017c4caf	headphonecheck_testphase	18	NA	NA	0	NA	first	0	1979
59175c2896ffb800017c4caf	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	542
59175c2896ffb800017c4caf	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	311
59175c2896ffb800017c4caf	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	433
59175c2896ffb800017c4caf	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	351
59175c2896ffb800017c4caf	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	425
59175c2896ffb800017c4caf	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	308
59175c2896ffb800017c4caf	DL_practice	2	pa	pa	0	left	pa	1	1495
59175c2896ffb800017c4caf	DL_practice	3	ga	ta	1	left	ga	1	1514
59175c2896ffb800017c4caf	DL_practice	4	ba	ba	0	left	ba	1	1427
59175c2896ffb800017c4caf	DL_practice	5	da	ba	1	left	da	1	1077
59175c2896ffb800017c4caf	DL_practice	6	ka	ka	0	left	ka	1	1097
59175c2896ffb800017c4caf	DL_practice	7	da	da	0	left	da	1	1231
59175c2896ffb800017c4caf	DL_practice	8	ka	pa	1	left	ka	1	1998
59175c2896ffb800017c4caf	DL_practice	9	ga	ga	0	left	ga	1	1166
59175c2896ffb800017c4caf	DL_practice	10	ta	ta	0	left	ta	1	1295
59175c2896ffb800017c4caf	DL_test	1	ga	pa	1	other	ka	0	2108
59175c2896ffb800017c4caf	DL_test	2	da	ba	1	left	da	1	1108
59175c2896ffb800017c4caf	DL_test	3	da	ta	1	other	ka	0	3062
59175c2896ffb800017c4caf	DL_test	4	ta	ka	1	right	ka	1	1088
59175c2896ffb800017c4caf	DL_test	5	ka	ta	1	left	ka	1	1119
59175c2896ffb800017c4caf	DL_test	6	ba	ga	1	other	da	0	1196
59175c2896ffb800017c4caf	DL_test	7	pa	ka	1	left	pa	1	1455
59175c2896ffb800017c4caf	DL_test	8	ta	ba	1	left	ta	1	1091
59175c2896ffb800017c4caf	DL_test	9	ta	da	1	left	ta	1	2621
59175c2896ffb800017c4caf	DL_test	10	ba	da	1	right	da	1	1215
59175c2896ffb800017c4caf	DL_test	11	pa	ta	1	left	pa	1	1238
59175c2896ffb800017c4caf	DL_test	12	ga	ka	1	left	ga	1	1111
59175c2896ffb800017c4caf	DL_test	13	ta	pa	1	left	ta	1	1722
59175c2896ffb800017c4caf	DL_test	14	da	da	0	left	da	1	1230
59175c2896ffb800017c4caf	DL_test	15	ta	ta	0	left	ta	1	1610
