subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5d55d562e04e1c0001f5e682	headphonecheck_testphase	3	NA	NA	0	NA	second	1	542
5d55d562e04e1c0001f5e682	headphonecheck_testphase	6	NA	NA	0	NA	third	1	475
5d55d562e04e1c0001f5e682	headphonecheck_testphase	9	NA	NA	0	NA	third	1	516
5d55d562e04e1c0001f5e682	headphonecheck_testphase	12	NA	NA	0	NA	first	1	430
5d55d562e04e1c0001f5e682	headphonecheck_testphase	15	NA	NA	0	NA	first	1	395
5d55d562e04e1c0001f5e682	headphonecheck_testphase	18	NA	NA	0	NA	second	1	490
5d55d562e04e1c0001f5e682	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	429
5d55d562e04e1c0001f5e682	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	539
5d55d562e04e1c0001f5e682	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	442
5d55d562e04e1c0001f5e682	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	595
5d55d562e04e1c0001f5e682	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	361
5d55d562e04e1c0001f5e682	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	375
5d55d562e04e1c0001f5e682	DL_practice	2	ka	ka	0	left	ka	1	1401
5d55d562e04e1c0001f5e682	DL_practice	3	da	da	0	left	da	1	1328
5d55d562e04e1c0001f5e682	DL_practice	4	ta	ta	0	left	ta	1	1410
5d55d562e04e1c0001f5e682	DL_practice	5	da	ba	1	left	da	1	3578
5d55d562e04e1c0001f5e682	DL_practice	6	ga	ta	1	other	ka	0	1467
5d55d562e04e1c0001f5e682	DL_practice	7	ba	ba	0	left	ba	1	1811
5d55d562e04e1c0001f5e682	DL_practice	8	ka	pa	1	right	pa	1	1532
5d55d562e04e1c0001f5e682	DL_practice	9	pa	pa	0	left	pa	1	1519
5d55d562e04e1c0001f5e682	DL_practice	10	ga	ga	0	left	ga	1	1479
5d55d562e04e1c0001f5e682	DL_test	1	da	pa	1	other	ga	0	2295
5d55d562e04e1c0001f5e682	DL_test	2	ga	pa	1	right	pa	1	1353
5d55d562e04e1c0001f5e682	DL_test	3	ba	da	1	right	da	1	1331
5d55d562e04e1c0001f5e682	DL_test	4	ta	ta	0	left	ta	1	1387
5d55d562e04e1c0001f5e682	DL_test	5	da	ta	1	right	ta	1	1500
5d55d562e04e1c0001f5e682	DL_test	6	pa	ba	1	left	pa	1	1087
5d55d562e04e1c0001f5e682	DL_test	7	ta	da	1	other	ka	0	1760
5d55d562e04e1c0001f5e682	DL_test	8	ta	pa	1	left	ta	1	1296
5d55d562e04e1c0001f5e682	DL_test	9	ba	ba	0	left	ba	1	2662
5d55d562e04e1c0001f5e682	DL_test	10	ka	ta	1	right	ta	1	1325
5d55d562e04e1c0001f5e682	DL_test	11	pa	ga	1	other	ka	0	2824
5d55d562e04e1c0001f5e682	DL_test	12	ka	ba	1	other	da	0	3011
5d55d562e04e1c0001f5e682	DL_test	13	ba	ta	1	right	ta	1	1317
5d55d562e04e1c0001f5e682	DL_test	14	ga	ta	1	right	ta	1	1441
5d55d562e04e1c0001f5e682	DL_test	15	pa	da	1	left	pa	1	1144
5d55d562e04e1c0001f5e682	DL_test	16	ba	pa	1	right	pa	1	1177
5d55d562e04e1c0001f5e682	DL_test	17	ka	ka	0	left	ka	1	1054
5d55d562e04e1c0001f5e682	DL_test	18	ta	ba	1	other	ka	0	1666
5d55d562e04e1c0001f5e682	DL_test	19	ka	pa	1	right	pa	1	1064
5d55d562e04e1c0001f5e682	DL_test	20	ga	ba	1	right	ba	1	1657
5d55d562e04e1c0001f5e682	DL_test	21	da	ka	1	other	pa	0	1437
5d55d562e04e1c0001f5e682	DL_test	22	ga	ka	1	right	ka	1	1250
5d55d562e04e1c0001f5e682	DL_test	23	da	da	0	left	da	1	1903
5d55d562e04e1c0001f5e682	DL_test	24	pa	pa	0	left	pa	1	1283
5d55d562e04e1c0001f5e682	DL_test	25	ta	ga	1	right	ga	1	2558
5d55d562e04e1c0001f5e682	DL_test	26	pa	ta	1	right	ta	1	1136
5d55d562e04e1c0001f5e682	DL_test	27	ka	da	1	left	ka	1	1799
5d55d562e04e1c0001f5e682	DL_test	28	ta	ka	1	right	ka	1	1054
5d55d562e04e1c0001f5e682	DL_test	29	ga	da	1	right	da	1	1680
5d55d562e04e1c0001f5e682	DL_test	30	da	ga	1	left	da	1	1180
5d55d562e04e1c0001f5e682	DL_test	31	ba	ka	1	right	ka	1	1355
5d55d562e04e1c0001f5e682	DL_test	32	ka	ga	1	left	ka	1	1142
5d55d562e04e1c0001f5e682	DL_test	33	ga	ga	0	left	ga	1	1232
5d55d562e04e1c0001f5e682	DL_test	34	ba	ga	1	other	da	0	2590
5d55d562e04e1c0001f5e682	DL_test	35	pa	ka	1	right	ka	1	1374
5d55d562e04e1c0001f5e682	DL_test	36	da	ba	1	left	da	1	1419
5d55d562e04e1c0001f5e682	DL_test	1	da	da	0	left	da	1	989
5d55d562e04e1c0001f5e682	DL_test	2	da	ba	1	right	ba	1	1596
5d55d562e04e1c0001f5e682	DL_test	3	da	ga	1	left	da	1	1059
5d55d562e04e1c0001f5e682	DL_test	4	pa	pa	0	left	pa	1	1256
5d55d562e04e1c0001f5e682	DL_test	5	pa	ka	1	right	ka	1	1557
5d55d562e04e1c0001f5e682	DL_test	6	ka	ga	1	left	ka	1	1908
5d55d562e04e1c0001f5e682	DL_test	7	ga	ka	1	right	ka	1	1045
5d55d562e04e1c0001f5e682	DL_test	8	ta	pa	1	right	pa	1	1158
5d55d562e04e1c0001f5e682	DL_test	9	da	pa	1	right	pa	1	1320
5d55d562e04e1c0001f5e682	DL_test	10	da	ka	1	other	pa	0	1065
5d55d562e04e1c0001f5e682	DL_test	11	ga	ba	1	other	da	0	1500
5d55d562e04e1c0001f5e682	DL_test	12	ta	ba	1	other	da	0	1536
5d55d562e04e1c0001f5e682	DL_test	13	pa	ba	1	left	pa	1	1438
5d55d562e04e1c0001f5e682	DL_test	14	ka	pa	1	other	ta	0	3266
5d55d562e04e1c0001f5e682	DL_test	15	da	ta	1	right	ta	1	999
5d55d562e04e1c0001f5e682	DL_test	16	ba	ga	1	right	ga	1	1189
5d55d562e04e1c0001f5e682	DL_test	17	ta	da	1	left	ta	1	1509
5d55d562e04e1c0001f5e682	DL_test	18	ka	da	1	left	ka	1	1076
5d55d562e04e1c0001f5e682	DL_test	19	ga	ta	1	other	ka	0	1161
5d55d562e04e1c0001f5e682	DL_test	20	pa	ga	1	right	ga	1	1096
5d55d562e04e1c0001f5e682	DL_test	21	ka	ka	0	left	ka	1	1072
5d55d562e04e1c0001f5e682	DL_test	22	ba	ka	1	right	ka	1	1196
5d55d562e04e1c0001f5e682	DL_test	23	ka	ba	1	left	ka	1	1685
5d55d562e04e1c0001f5e682	DL_test	24	ta	ka	1	right	ka	1	989
5d55d562e04e1c0001f5e682	DL_test	25	ba	da	1	right	da	1	1388
5d55d562e04e1c0001f5e682	DL_test	26	ga	pa	1	other	ta	0	2702
5d55d562e04e1c0001f5e682	DL_test	27	ka	ta	1	left	ka	1	1226
5d55d562e04e1c0001f5e682	DL_test	28	ta	ga	1	right	ga	1	1633
5d55d562e04e1c0001f5e682	DL_test	29	ba	ta	1	right	ta	1	2390
5d55d562e04e1c0001f5e682	DL_test	30	pa	da	1	other	ga	0	2150
5d55d562e04e1c0001f5e682	DL_test	31	ba	pa	1	right	pa	1	6330
5d55d562e04e1c0001f5e682	DL_test	32	ga	ga	0	left	ga	1	1324
5d55d562e04e1c0001f5e682	DL_test	33	ba	ba	0	left	ba	1	1339
5d55d562e04e1c0001f5e682	DL_test	34	ta	ta	0	left	ta	1	1467
5d55d562e04e1c0001f5e682	DL_test	35	pa	ta	1	right	ta	1	1774
5d55d562e04e1c0001f5e682	DL_test	36	ga	da	1	right	da	1	2596
5d55d562e04e1c0001f5e682	DL_test	1	ta	ga	1	other	ka	0	1506
5d55d562e04e1c0001f5e682	DL_test	2	ba	ta	1	right	ta	1	1224
5d55d562e04e1c0001f5e682	DL_test	3	ka	da	1	left	ka	1	1279
5d55d562e04e1c0001f5e682	DL_test	4	ta	ka	1	right	ka	1	1043
5d55d562e04e1c0001f5e682	DL_test	5	da	ba	1	right	ba	1	1790
5d55d562e04e1c0001f5e682	DL_test	6	da	ta	1	right	ta	1	1260
5d55d562e04e1c0001f5e682	DL_test	7	da	da	0	left	da	1	2834
5d55d562e04e1c0001f5e682	DL_test	8	ka	ka	0	left	ka	1	1594
5d55d562e04e1c0001f5e682	DL_test	9	ga	pa	1	right	pa	1	1316
5d55d562e04e1c0001f5e682	DL_test	10	ga	da	1	right	da	1	2515
5d55d562e04e1c0001f5e682	DL_test	11	ga	ta	1	right	ta	1	5361
5d55d562e04e1c0001f5e682	DL_test	12	ka	ta	1	left	ka	1	2090
5d55d562e04e1c0001f5e682	DL_test	13	ga	ka	1	right	ka	1	1688
