subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5de8bc74553cee8280a7dd84	headphonecheck_testphase	3	NA	NA	0	NA	first	1	12337
5de8bc74553cee8280a7dd84	headphonecheck_testphase	6	NA	NA	0	NA	second	1	358
5de8bc74553cee8280a7dd84	headphonecheck_testphase	9	NA	NA	0	NA	third	1	312
5de8bc74553cee8280a7dd84	headphonecheck_testphase	12	NA	NA	0	NA	second	1	326
5de8bc74553cee8280a7dd84	headphonecheck_testphase	15	NA	NA	0	NA	first	1	340
5de8bc74553cee8280a7dd84	headphonecheck_testphase	18	NA	NA	0	NA	third	1	352
5de8bc74553cee8280a7dd84	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	228
5de8bc74553cee8280a7dd84	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	299
5de8bc74553cee8280a7dd84	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	265
5de8bc74553cee8280a7dd84	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	212
5de8bc74553cee8280a7dd84	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	203
5de8bc74553cee8280a7dd84	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	353
5de8bc74553cee8280a7dd84	DL_practice	2	ba	ba	0	left	ba	1	1567
5de8bc74553cee8280a7dd84	DL_practice	3	ga	ga	0	left	ga	1	942
5de8bc74553cee8280a7dd84	DL_practice	4	da	ba	1	left	da	1	1435
5de8bc74553cee8280a7dd84	DL_practice	5	ta	ta	0	left	ta	1	1727
5de8bc74553cee8280a7dd84	DL_practice	6	ga	ta	1	other	ka	0	1114
5de8bc74553cee8280a7dd84	DL_practice	7	ka	ka	0	left	ka	1	723
5de8bc74553cee8280a7dd84	DL_practice	8	ka	pa	1	right	pa	1	2203
5de8bc74553cee8280a7dd84	DL_practice	9	pa	pa	0	left	pa	1	805
5de8bc74553cee8280a7dd84	DL_practice	10	da	da	0	left	da	1	1009
5de8bc74553cee8280a7dd84	DL_test	1	ba	ga	1	right	ga	1	1143
5de8bc74553cee8280a7dd84	DL_test	2	ba	pa	1	right	pa	1	1267
5de8bc74553cee8280a7dd84	DL_test	3	ga	pa	1	left	ga	1	1815
5de8bc74553cee8280a7dd84	DL_test	4	ta	ta	0	left	ta	1	1380
5de8bc74553cee8280a7dd84	DL_test	5	ta	ba	1	right	ba	1	1579
5de8bc74553cee8280a7dd84	DL_test	6	da	ka	1	other	pa	0	1238
5de8bc74553cee8280a7dd84	DL_test	7	pa	ka	1	right	ka	1	1009
5de8bc74553cee8280a7dd84	DL_test	8	da	ga	1	right	ga	1	785
5de8bc74553cee8280a7dd84	DL_test	9	da	da	0	left	da	1	957
5de8bc74553cee8280a7dd84	DL_test	10	ta	pa	1	right	pa	1	1162
5de8bc74553cee8280a7dd84	DL_test	11	da	pa	1	right	pa	1	1501
5de8bc74553cee8280a7dd84	DL_test	12	ta	da	1	right	da	1	1223
5de8bc74553cee8280a7dd84	DL_test	13	pa	da	1	right	da	1	1611
