subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5e15da8a805a30bcd2ed796d	headphonecheck_testphase	3	NA	NA	0	NA	third	0	1041
5e15da8a805a30bcd2ed796d	headphonecheck_testphase	6	NA	NA	0	NA	second	0	6165
5e15da8a805a30bcd2ed796d	headphonecheck_testphase	9	NA	NA	0	NA	first	1	1677
5e15da8a805a30bcd2ed796d	headphonecheck_testphase	12	NA	NA	0	NA	third	1	978
5e15da8a805a30bcd2ed796d	headphonecheck_testphase	15	NA	NA	0	NA	third	1	521
5e15da8a805a30bcd2ed796d	headphonecheck_testphase	18	NA	NA	0	NA	second	1	168
5e15da8a805a30bcd2ed796d	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	311
5e15da8a805a30bcd2ed796d	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	228
5e15da8a805a30bcd2ed796d	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	200
5e15da8a805a30bcd2ed796d	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	272
5e15da8a805a30bcd2ed796d	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	371
5e15da8a805a30bcd2ed796d	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	331
5e15da8a805a30bcd2ed796d	DL_practice	2	pa	pa	0	left	pa	1	1619
5e15da8a805a30bcd2ed796d	DL_practice	3	ga	ta	1	right	ta	1	4666
5e15da8a805a30bcd2ed796d	DL_practice	4	ta	ta	0	left	ta	1	1328
5e15da8a805a30bcd2ed796d	DL_practice	5	da	ba	1	other	ga	0	2137
5e15da8a805a30bcd2ed796d	DL_practice	6	ba	ba	0	left	ba	1	2120
5e15da8a805a30bcd2ed796d	DL_practice	7	ga	ga	0	left	ga	1	923
5e15da8a805a30bcd2ed796d	DL_practice	8	ka	ka	0	left	ka	1	1088
5e15da8a805a30bcd2ed796d	DL_practice	9	ka	pa	1	left	ka	1	2351
5e15da8a805a30bcd2ed796d	DL_practice	10	da	da	0	left	da	1	1783
5e15da8a805a30bcd2ed796d	DL_test	1	da	ba	1	left	da	1	5053
5e15da8a805a30bcd2ed796d	DL_test	2	ba	ka	1	right	ka	1	1566
5e15da8a805a30bcd2ed796d	DL_test	3	ba	da	1	other	ga	0	1396
5e15da8a805a30bcd2ed796d	DL_test	4	ga	da	1	left	ga	1	836
5e15da8a805a30bcd2ed796d	DL_test	5	ba	ba	0	left	ba	1	1473
5e15da8a805a30bcd2ed796d	DL_test	6	ga	ba	1	left	ga	1	1539
5e15da8a805a30bcd2ed796d	DL_test	7	ka	ta	1	left	ka	1	1085
5e15da8a805a30bcd2ed796d	DL_test	8	ga	ka	1	right	ka	1	899
5e15da8a805a30bcd2ed796d	DL_test	9	ga	ta	1	other	ka	0	869
5e15da8a805a30bcd2ed796d	DL_test	10	da	ka	1	other	pa	0	1062
5e15da8a805a30bcd2ed796d	DL_test	11	pa	ka	1	right	ka	1	3456
5e15da8a805a30bcd2ed796d	DL_test	12	ka	pa	1	left	ka	1	949
5e15da8a805a30bcd2ed796d	DL_test	13	ga	ga	0	left	ga	1	1655
5e15da8a805a30bcd2ed796d	DL_test	14	ka	ga	1	left	ka	1	1871
5e15da8a805a30bcd2ed796d	DL_test	15	ta	ba	1	other	ka	0	713
5e15da8a805a30bcd2ed796d	DL_test	16	pa	ga	1	left	pa	1	1542
5e15da8a805a30bcd2ed796d	DL_test	17	da	ga	1	right	ga	1	1661
5e15da8a805a30bcd2ed796d	DL_test	18	pa	pa	0	left	pa	1	1902
5e15da8a805a30bcd2ed796d	DL_test	19	ka	da	1	other	pa	0	2933
5e15da8a805a30bcd2ed796d	DL_test	20	pa	ta	1	right	ta	1	1272
5e15da8a805a30bcd2ed796d	DL_test	21	da	ta	1	other	ka	0	1466
5e15da8a805a30bcd2ed796d	DL_test	22	ga	pa	1	right	pa	1	1552
5e15da8a805a30bcd2ed796d	DL_test	23	ta	ga	1	other	pa	0	1443
5e15da8a805a30bcd2ed796d	DL_test	24	ta	ta	0	other	ka	0	1051
5e15da8a805a30bcd2ed796d	DL_test	25	ka	ka	0	left	ka	1	517
5e15da8a805a30bcd2ed796d	DL_test	26	ka	ba	1	left	ka	1	859
5e15da8a805a30bcd2ed796d	DL_test	27	ta	pa	1	other	ka	0	812
5e15da8a805a30bcd2ed796d	DL_test	28	ta	ka	1	right	ka	1	944
5e15da8a805a30bcd2ed796d	DL_test	29	ba	ta	1	other	ka	0	554
5e15da8a805a30bcd2ed796d	DL_test	30	pa	da	1	left	pa	1	2062
5e15da8a805a30bcd2ed796d	DL_test	31	da	pa	1	right	pa	1	753
5e15da8a805a30bcd2ed796d	DL_test	32	pa	ba	1	left	pa	1	567
5e15da8a805a30bcd2ed796d	DL_test	33	da	da	0	other	ga	0	1576
5e15da8a805a30bcd2ed796d	DL_test	34	ta	da	1	other	ga	0	1283
5e15da8a805a30bcd2ed796d	DL_test	35	ba	pa	1	right	pa	1	1155
5e15da8a805a30bcd2ed796d	DL_test	36	ba	ga	1	left	ba	1	1703
5e15da8a805a30bcd2ed796d	DL_test	1	da	ka	1	other	pa	0	7735
5e15da8a805a30bcd2ed796d	DL_test	2	pa	pa	0	left	pa	1	1164
5e15da8a805a30bcd2ed796d	DL_test	3	ba	ga	1	right	ga	1	1493
