subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5e2ef88b30c15c000bbfae06	headphonecheck_testphase	3	NA	NA	0	NA	third	1	728
5e2ef88b30c15c000bbfae06	headphonecheck_testphase	6	NA	NA	0	NA	first	1	1062
5e2ef88b30c15c000bbfae06	headphonecheck_testphase	9	NA	NA	0	NA	first	1	2130
5e2ef88b30c15c000bbfae06	headphonecheck_testphase	12	NA	NA	0	NA	second	1	567
5e2ef88b30c15c000bbfae06	headphonecheck_testphase	15	NA	NA	0	NA	second	1	317
5e2ef88b30c15c000bbfae06	headphonecheck_testphase	18	NA	NA	0	NA	third	1	587
5e2ef88b30c15c000bbfae06	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	671
5e2ef88b30c15c000bbfae06	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	505
5e2ef88b30c15c000bbfae06	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	288
5e2ef88b30c15c000bbfae06	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	304
5e2ef88b30c15c000bbfae06	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	256
5e2ef88b30c15c000bbfae06	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	255
5e2ef88b30c15c000bbfae06	DL_practice	2	ka	pa	1	left	ka	1	1740
5e2ef88b30c15c000bbfae06	DL_practice	3	ga	ta	1	left	ga	1	991
5e2ef88b30c15c000bbfae06	DL_practice	4	da	ba	1	right	ba	1	1208
5e2ef88b30c15c000bbfae06	DL_practice	5	ga	ga	0	left	ga	1	957
5e2ef88b30c15c000bbfae06	DL_practice	6	ba	ba	0	left	ba	1	1024
5e2ef88b30c15c000bbfae06	DL_practice	7	pa	pa	0	left	pa	1	1007
5e2ef88b30c15c000bbfae06	DL_practice	8	ka	ka	0	left	ka	1	1741
5e2ef88b30c15c000bbfae06	DL_practice	9	ta	ta	0	left	ta	1	1325
5e2ef88b30c15c000bbfae06	DL_practice	10	da	da	0	left	da	1	825
5e2ef88b30c15c000bbfae06	DL_test	1	ga	ga	0	left	ga	1	908
5e2ef88b30c15c000bbfae06	DL_test	2	da	da	0	left	da	1	941
5e2ef88b30c15c000bbfae06	DL_test	3	ba	ka	1	right	ka	1	1225
5e2ef88b30c15c000bbfae06	DL_test	4	ga	ka	1	right	ka	1	1025
5e2ef88b30c15c000bbfae06	DL_test	5	ba	pa	1	right	pa	1	1410
