subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5e3db8f9456974000afeb855	headphonecheck_testphase	3	NA	NA	0	NA	third	1	4714
5e3db8f9456974000afeb855	headphonecheck_testphase	6	NA	NA	0	NA	second	1	554
5e3db8f9456974000afeb855	headphonecheck_testphase	9	NA	NA	0	NA	second	1	517
5e3db8f9456974000afeb855	headphonecheck_testphase	12	NA	NA	0	NA	second	0	1310
5e3db8f9456974000afeb855	headphonecheck_testphase	15	NA	NA	0	NA	first	1	516
5e3db8f9456974000afeb855	headphonecheck_testphase	18	NA	NA	0	NA	first	1	595
5e3db8f9456974000afeb855	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	762
5e3db8f9456974000afeb855	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	441
5e3db8f9456974000afeb855	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	388
5e3db8f9456974000afeb855	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	452
5e3db8f9456974000afeb855	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	299
5e3db8f9456974000afeb855	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	311
5e3db8f9456974000afeb855	DL_practice	2	da	ba	1	left	da	1	2707
5e3db8f9456974000afeb855	DL_practice	3	ga	ga	0	left	ga	1	1504
5e3db8f9456974000afeb855	DL_practice	4	ba	ba	0	left	ba	1	1552
5e3db8f9456974000afeb855	DL_practice	5	ga	ta	1	right	ta	1	2483
5e3db8f9456974000afeb855	DL_practice	6	pa	pa	0	left	pa	1	1546
5e3db8f9456974000afeb855	DL_practice	7	ta	ta	0	left	ta	1	1261
5e3db8f9456974000afeb855	DL_practice	8	ka	ka	0	left	ka	1	1943
5e3db8f9456974000afeb855	DL_practice	9	da	da	0	left	da	1	3224
5e3db8f9456974000afeb855	DL_practice	10	ka	pa	1	left	ka	1	1653
5e3db8f9456974000afeb855	DL_test	1	ba	ga	1	left	ba	1	2115
5e3db8f9456974000afeb855	DL_test	2	ta	pa	1	left	ta	1	1362
5e3db8f9456974000afeb855	DL_test	3	da	ka	1	left	da	1	2427
