subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5f0a7dec44c42c19a6c9f6d9	headphonecheck_testphase	3	NA	NA	0	NA	third	1	475
5f0a7dec44c42c19a6c9f6d9	headphonecheck_testphase	6	NA	NA	0	NA	first	1	375
5f0a7dec44c42c19a6c9f6d9	headphonecheck_testphase	9	NA	NA	0	NA	first	1	327
5f0a7dec44c42c19a6c9f6d9	headphonecheck_testphase	12	NA	NA	0	NA	second	1	312
5f0a7dec44c42c19a6c9f6d9	headphonecheck_testphase	15	NA	NA	0	NA	second	1	305
5f0a7dec44c42c19a6c9f6d9	headphonecheck_testphase	18	NA	NA	0	NA	third	1	339
5f0a7dec44c42c19a6c9f6d9	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	213
5f0a7dec44c42c19a6c9f6d9	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	331
5f0a7dec44c42c19a6c9f6d9	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	416
5f0a7dec44c42c19a6c9f6d9	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	345
5f0a7dec44c42c19a6c9f6d9	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	1096
5f0a7dec44c42c19a6c9f6d9	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	403
5f0a7dec44c42c19a6c9f6d9	DL_practice	2	ga	ga	0	left	ga	1	1777
5f0a7dec44c42c19a6c9f6d9	DL_practice	3	ta	ta	0	left	ta	1	1909
5f0a7dec44c42c19a6c9f6d9	DL_practice	4	ka	ka	0	left	ka	1	1048
5f0a7dec44c42c19a6c9f6d9	DL_practice	5	da	ba	1	left	da	1	1890
5f0a7dec44c42c19a6c9f6d9	DL_practice	6	da	da	0	left	da	1	1022
5f0a7dec44c42c19a6c9f6d9	DL_practice	7	ba	ba	0	left	ba	1	2579
5f0a7dec44c42c19a6c9f6d9	DL_practice	8	ga	ta	1	left	ga	1	1361
5f0a7dec44c42c19a6c9f6d9	DL_practice	9	pa	pa	0	left	pa	1	2132
5f0a7dec44c42c19a6c9f6d9	DL_practice	10	ka	pa	1	left	ka	1	1318
5f0a7dec44c42c19a6c9f6d9	DL_test	1	da	da	0	left	da	1	1374
5f0a7dec44c42c19a6c9f6d9	DL_test	2	ta	ta	0	left	ta	1	1945
5f0a7dec44c42c19a6c9f6d9	DL_test	3	ga	ka	1	left	ga	1	1070
5f0a7dec44c42c19a6c9f6d9	DL_test	4	pa	pa	0	left	pa	1	1544
5f0a7dec44c42c19a6c9f6d9	DL_test	5	da	ta	1	left	da	1	1232
5f0a7dec44c42c19a6c9f6d9	DL_test	6	ta	da	1	right	da	1	771
5f0a7dec44c42c19a6c9f6d9	DL_test	7	ga	ta	1	left	ga	1	1068
5f0a7dec44c42c19a6c9f6d9	DL_test	8	ga	da	1	left	ga	1	827
5f0a7dec44c42c19a6c9f6d9	DL_test	9	da	pa	1	left	da	1	1252
5f0a7dec44c42c19a6c9f6d9	DL_test	10	pa	ba	1	right	ba	1	1993
5f0a7dec44c42c19a6c9f6d9	DL_test	11	ga	ga	0	left	ga	1	1175
5f0a7dec44c42c19a6c9f6d9	DL_test	12	pa	ga	1	right	ga	1	849
5f0a7dec44c42c19a6c9f6d9	DL_test	13	ka	ta	1	left	ka	1	1444
5f0a7dec44c42c19a6c9f6d9	DL_test	14	ba	ka	1	right	ka	1	1099
5f0a7dec44c42c19a6c9f6d9	DL_test	15	pa	ka	1	right	ka	1	706
5f0a7dec44c42c19a6c9f6d9	DL_test	16	ba	da	1	right	da	1	1235
5f0a7dec44c42c19a6c9f6d9	DL_test	17	da	ka	1	left	da	1	923
5f0a7dec44c42c19a6c9f6d9	DL_test	18	ga	pa	1	left	ga	1	2187
5f0a7dec44c42c19a6c9f6d9	DL_test	19	ta	ga	1	right	ga	1	831
5f0a7dec44c42c19a6c9f6d9	DL_test	20	ka	ka	0	left	ka	1	1418
5f0a7dec44c42c19a6c9f6d9	DL_test	21	da	ga	1	right	ga	1	1002
5f0a7dec44c42c19a6c9f6d9	DL_test	22	ka	da	1	right	da	1	1159
5f0a7dec44c42c19a6c9f6d9	DL_test	23	ka	ba	1	other	ga	0	2139
5f0a7dec44c42c19a6c9f6d9	DL_test	24	da	ba	1	right	ba	1	1797
5f0a7dec44c42c19a6c9f6d9	DL_test	25	ta	pa	1	right	pa	1	1533
5f0a7dec44c42c19a6c9f6d9	DL_test	26	ba	pa	1	right	pa	1	874
5f0a7dec44c42c19a6c9f6d9	DL_test	27	ga	ba	1	right	ba	1	1937
5f0a7dec44c42c19a6c9f6d9	DL_test	28	ka	pa	1	left	ka	1	1512
5f0a7dec44c42c19a6c9f6d9	DL_test	29	ta	ba	1	other	ka	0	1677
5f0a7dec44c42c19a6c9f6d9	DL_test	30	ba	ta	1	right	ta	1	1171
5f0a7dec44c42c19a6c9f6d9	DL_test	31	pa	ta	1	left	pa	1	1090
5f0a7dec44c42c19a6c9f6d9	DL_test	32	ba	ba	0	left	ba	1	1410
5f0a7dec44c42c19a6c9f6d9	DL_test	33	ka	ga	1	right	ga	1	1032
5f0a7dec44c42c19a6c9f6d9	DL_test	34	ba	ga	1	right	ga	1	1115
5f0a7dec44c42c19a6c9f6d9	DL_test	35	pa	da	1	right	da	1	1405
5f0a7dec44c42c19a6c9f6d9	DL_test	36	ta	ka	1	right	ka	1	1199
5f0a7dec44c42c19a6c9f6d9	DL_test	1	ga	da	1	right	da	1	1532
5f0a7dec44c42c19a6c9f6d9	DL_test	2	ga	ga	0	left	ga	1	1209
5f0a7dec44c42c19a6c9f6d9	DL_test	3	pa	ba	1	left	pa	1	1449
5f0a7dec44c42c19a6c9f6d9	DL_test	4	ta	ka	1	right	ka	1	2267
5f0a7dec44c42c19a6c9f6d9	DL_test	5	ga	ka	1	right	ka	1	1178
5f0a7dec44c42c19a6c9f6d9	DL_test	6	pa	ka	1	right	ka	1	897
5f0a7dec44c42c19a6c9f6d9	DL_test	7	ga	ba	1	right	ba	1	2233
5f0a7dec44c42c19a6c9f6d9	DL_test	8	ga	ta	1	left	ga	1	1502
5f0a7dec44c42c19a6c9f6d9	DL_test	9	da	ka	1	other	pa	0	2976
5f0a7dec44c42c19a6c9f6d9	DL_test	10	da	ta	1	left	da	1	1576
5f0a7dec44c42c19a6c9f6d9	DL_test	11	pa	ta	1	right	ta	1	1692
5f0a7dec44c42c19a6c9f6d9	DL_test	12	ba	ta	1	right	ta	1	895
5f0a7dec44c42c19a6c9f6d9	DL_test	13	pa	pa	0	left	pa	1	1546
5f0a7dec44c42c19a6c9f6d9	DL_test	14	ba	da	1	right	da	1	1239
5f0a7dec44c42c19a6c9f6d9	DL_test	15	ba	ka	1	right	ka	1	1318
5f0a7dec44c42c19a6c9f6d9	DL_test	16	pa	da	1	right	da	1	1308
5f0a7dec44c42c19a6c9f6d9	DL_test	17	ta	ba	1	other	pa	0	2051
5f0a7dec44c42c19a6c9f6d9	DL_test	18	da	pa	1	right	pa	1	1375
5f0a7dec44c42c19a6c9f6d9	DL_test	19	da	ga	1	right	ga	1	1201
5f0a7dec44c42c19a6c9f6d9	DL_test	20	ta	da	1	right	da	1	1059
5f0a7dec44c42c19a6c9f6d9	DL_test	21	ba	ba	0	left	ba	1	2656
5f0a7dec44c42c19a6c9f6d9	DL_test	22	ta	pa	1	right	pa	1	1755
