subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
6116006273dc164b00631515	headphonecheck_testphase	3	NA	NA	0	NA	first	1	45925
6116006273dc164b00631515	headphonecheck_testphase	6	NA	NA	0	NA	first	0	582
6116006273dc164b00631515	headphonecheck_testphase	9	NA	NA	0	NA	third	1	216
6116006273dc164b00631515	headphonecheck_testphase	12	NA	NA	0	NA	third	1	146
6116006273dc164b00631515	headphonecheck_testphase	15	NA	NA	0	NA	second	1	160
6116006273dc164b00631515	headphonecheck_testphase	18	NA	NA	0	NA	third	0	249
6116006273dc164b00631515	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	1089
6116006273dc164b00631515	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	239
6116006273dc164b00631515	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	220
6116006273dc164b00631515	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	231
6116006273dc164b00631515	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	197
6116006273dc164b00631515	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	4437
6116006273dc164b00631515	DL_practice	2	ba	ba	0	left	ba	1	1685
6116006273dc164b00631515	DL_practice	3	ga	ga	0	left	ga	1	1426
6116006273dc164b00631515	DL_practice	4	ga	ta	1	other	ka	0	2602
6116006273dc164b00631515	DL_practice	5	da	ba	1	right	ba	1	1512
6116006273dc164b00631515	DL_practice	6	da	da	0	left	da	1	924
6116006273dc164b00631515	DL_practice	7	pa	pa	0	left	pa	1	1126
6116006273dc164b00631515	DL_practice	8	ta	ta	0	left	ta	1	1037
6116006273dc164b00631515	DL_practice	9	ka	ka	0	left	ka	1	1142
6116006273dc164b00631515	DL_practice	10	ka	pa	1	left	ka	1	929
6116006273dc164b00631515	DL_test	1	da	ga	1	right	ga	1	989
6116006273dc164b00631515	DL_test	2	ka	ta	1	left	ka	1	799
6116006273dc164b00631515	DL_test	3	da	pa	1	right	pa	1	1043
6116006273dc164b00631515	DL_test	4	ba	da	1	left	ba	1	1699
6116006273dc164b00631515	DL_test	5	da	ka	1	other	pa	0	1620
6116006273dc164b00631515	DL_test	6	ga	ta	1	other	ka	0	949
6116006273dc164b00631515	DL_test	7	da	da	0	left	da	1	837
6116006273dc164b00631515	DL_test	8	ba	ba	0	left	ba	1	890
6116006273dc164b00631515	DL_test	9	ba	ga	1	left	ba	1	1023
6116006273dc164b00631515	DL_test	10	pa	ka	1	right	ka	1	1229
6116006273dc164b00631515	DL_test	11	pa	pa	0	left	pa	1	1249
6116006273dc164b00631515	DL_test	12	ba	ta	1	other	ka	0	1723
6116006273dc164b00631515	DL_test	13	ba	ka	1	right	ka	1	657
6116006273dc164b00631515	DL_test	14	ta	ga	1	other	ka	0	556
6116006273dc164b00631515	DL_test	15	ka	pa	1	right	pa	1	1167
6116006273dc164b00631515	DL_test	16	ta	da	1	other	ka	0	859
6116006273dc164b00631515	DL_test	17	ga	da	1	left	ga	1	1039
6116006273dc164b00631515	DL_test	18	ka	ba	1	right	ba	1	2258
6116006273dc164b00631515	DL_test	19	ka	ga	1	left	ka	1	1029
6116006273dc164b00631515	DL_test	20	ga	ba	1	right	ba	1	1580
6116006273dc164b00631515	DL_test	21	da	ba	1	right	ba	1	1246
6116006273dc164b00631515	DL_test	22	ta	ka	1	right	ka	1	1733
6116006273dc164b00631515	DL_test	23	ga	ka	1	right	ka	1	648
6116006273dc164b00631515	DL_test	24	ta	pa	1	right	pa	1	1047
6116006273dc164b00631515	DL_test	25	ka	da	1	left	ka	1	1006
6116006273dc164b00631515	DL_test	26	pa	ba	1	left	pa	1	1284
6116006273dc164b00631515	DL_test	27	ta	ba	1	other	pa	0	747
6116006273dc164b00631515	DL_test	28	ta	ta	0	other	ka	0	1390
