subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
627809c52874925390a423a6	headphonecheck_testphase	3	NA	NA	0	NA	second	1	471
627809c52874925390a423a6	headphonecheck_testphase	6	NA	NA	0	NA	first	1	256
627809c52874925390a423a6	headphonecheck_testphase	9	NA	NA	0	NA	third	1	102
627809c52874925390a423a6	headphonecheck_testphase	12	NA	NA	0	NA	third	1	77
627809c52874925390a423a6	headphonecheck_testphase	15	NA	NA	0	NA	first	1	77
627809c52874925390a423a6	headphonecheck_testphase	18	NA	NA	0	NA	second	1	175
627809c52874925390a423a6	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	12057
627809c52874925390a423a6	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	837
627809c52874925390a423a6	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	5635
627809c52874925390a423a6	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	1515
627809c52874925390a423a6	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	1042
627809c52874925390a423a6	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	242
627809c52874925390a423a6	DL_practice	2	ga	ga	0	left	ga	1	1047
627809c52874925390a423a6	DL_practice	3	ka	ka	0	left	ka	1	1266
627809c52874925390a423a6	DL_practice	4	ta	ta	0	left	ta	1	1549
627809c52874925390a423a6	DL_practice	5	da	ba	1	left	da	1	1221
627809c52874925390a423a6	DL_practice	6	ba	ba	0	left	ba	1	1081
627809c52874925390a423a6	DL_practice	7	ga	ta	1	other	ka	0	1586
627809c52874925390a423a6	DL_practice	8	pa	pa	0	left	pa	1	1273
627809c52874925390a423a6	DL_practice	9	ka	pa	1	left	ka	1	1236
627809c52874925390a423a6	DL_practice	10	da	da	0	left	da	1	1070
627809c52874925390a423a6	DL_test	1	ka	ta	1	left	ka	1	799
627809c52874925390a423a6	DL_test	2	ba	da	1	right	da	1	1010
627809c52874925390a423a6	DL_test	3	ta	ta	0	left	ta	1	1288
627809c52874925390a423a6	DL_test	4	ka	ga	1	left	ka	1	1024
627809c52874925390a423a6	DL_test	5	pa	ga	1	left	pa	1	1337
627809c52874925390a423a6	DL_test	6	ba	ta	1	other	ka	0	822
627809c52874925390a423a6	DL_test	7	ka	da	1	left	ka	1	689
627809c52874925390a423a6	DL_test	8	da	pa	1	right	pa	1	1545
627809c52874925390a423a6	DL_test	9	ba	ga	1	right	ga	1	1295
627809c52874925390a423a6	DL_test	10	da	ta	1	other	ka	0	1095
627809c52874925390a423a6	DL_test	11	ka	ka	0	left	ka	1	682
627809c52874925390a423a6	DL_test	12	da	ga	1	right	ga	1	1423
627809c52874925390a423a6	DL_test	13	ta	ga	1	other	ka	0	1115
627809c52874925390a423a6	DL_test	14	ba	ba	0	left	ba	1	1276
627809c52874925390a423a6	DL_test	15	pa	ba	1	left	pa	1	1155
