subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63d3a3629d0b9452d3f32c7e	headphonecheck_testphase	3	NA	NA	0	NA	second	0	17220
63d3a3629d0b9452d3f32c7e	headphonecheck_testphase	6	NA	NA	0	NA	third	1	852
63d3a3629d0b9452d3f32c7e	headphonecheck_testphase	9	NA	NA	0	NA	first	1	348
63d3a3629d0b9452d3f32c7e	headphonecheck_testphase	12	NA	NA	0	NA	second	1	473
63d3a3629d0b9452d3f32c7e	headphonecheck_testphase	15	NA	NA	0	NA	first	1	276
63d3a3629d0b9452d3f32c7e	headphonecheck_testphase	18	NA	NA	0	NA	second	1	414
63d3a3629d0b9452d3f32c7e	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	35
63d3a3629d0b9452d3f32c7e	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	495
63d3a3629d0b9452d3f32c7e	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	2200
63d3a3629d0b9452d3f32c7e	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	175
63d3a3629d0b9452d3f32c7e	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	2096
63d3a3629d0b9452d3f32c7e	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	475
63d3a3629d0b9452d3f32c7e	DL_practice	2	da	da	0	left	da	1	1423
63d3a3629d0b9452d3f32c7e	DL_practice	3	da	ba	1	other	ga	0	2995
63d3a3629d0b9452d3f32c7e	DL_practice	4	pa	pa	0	left	pa	1	1539
63d3a3629d0b9452d3f32c7e	DL_practice	5	ba	ba	0	left	ba	1	1348
63d3a3629d0b9452d3f32c7e	DL_practice	6	ga	ga	0	left	ga	1	758
63d3a3629d0b9452d3f32c7e	DL_practice	7	ta	ta	0	other	ka	0	1020
63d3a3629d0b9452d3f32c7e	DL_practice	8	ga	ta	1	left	ga	1	892
63d3a3629d0b9452d3f32c7e	DL_practice	9	ka	pa	1	left	ka	1	977
63d3a3629d0b9452d3f32c7e	DL_practice	10	ka	ka	0	left	ka	1	606
63d3a3629d0b9452d3f32c7e	DL_test	1	ba	pa	1	left	ba	1	1643
63d3a3629d0b9452d3f32c7e	DL_test	2	pa	ba	1	left	pa	1	1301
63d3a3629d0b9452d3f32c7e	DL_test	3	da	ba	1	other	ta	0	1831
63d3a3629d0b9452d3f32c7e	DL_test	4	ga	pa	1	left	ga	1	695
63d3a3629d0b9452d3f32c7e	DL_test	5	ta	da	1	right	da	1	1034
63d3a3629d0b9452d3f32c7e	DL_test	6	ka	ka	0	left	ka	1	653
63d3a3629d0b9452d3f32c7e	DL_test	7	ga	da	1	left	ga	1	610
63d3a3629d0b9452d3f32c7e	DL_test	8	ba	da	1	other	pa	0	1268
63d3a3629d0b9452d3f32c7e	DL_test	9	ba	ka	1	right	ka	1	1039
63d3a3629d0b9452d3f32c7e	DL_test	10	ta	pa	1	left	ta	1	2001
63d3a3629d0b9452d3f32c7e	DL_test	11	da	da	0	left	da	1	835
63d3a3629d0b9452d3f32c7e	DL_test	12	ta	ba	1	other	da	0	1823
63d3a3629d0b9452d3f32c7e	DL_test	13	da	pa	1	other	ka	0	919
63d3a3629d0b9452d3f32c7e	DL_test	14	pa	ta	1	right	ta	1	929
63d3a3629d0b9452d3f32c7e	DL_test	15	ka	ga	1	right	ga	1	1196
63d3a3629d0b9452d3f32c7e	DL_test	16	ka	da	1	other	ga	0	805
63d3a3629d0b9452d3f32c7e	DL_test	17	pa	ga	1	other	ka	0	747
63d3a3629d0b9452d3f32c7e	DL_test	18	pa	pa	0	left	pa	1	638
63d3a3629d0b9452d3f32c7e	DL_test	19	ga	ga	0	left	ga	1	739
63d3a3629d0b9452d3f32c7e	DL_test	20	ta	ka	1	right	ka	1	798
63d3a3629d0b9452d3f32c7e	DL_test	21	pa	ka	1	right	ka	1	718
63d3a3629d0b9452d3f32c7e	DL_test	22	ba	ba	0	left	ba	1	1170
