subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63d6fd6a2ab6a0946433add6	headphonecheck_testphase	3	NA	NA	0	NA	third	1	9719
63d6fd6a2ab6a0946433add6	headphonecheck_testphase	6	NA	NA	0	NA	first	1	858
63d6fd6a2ab6a0946433add6	headphonecheck_testphase	9	NA	NA	0	NA	third	1	547
63d6fd6a2ab6a0946433add6	headphonecheck_testphase	12	NA	NA	0	NA	second	1	199
63d6fd6a2ab6a0946433add6	headphonecheck_testphase	15	NA	NA	0	NA	second	1	403
63d6fd6a2ab6a0946433add6	headphonecheck_testphase	18	NA	NA	0	NA	first	1	198
63d6fd6a2ab6a0946433add6	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	634
63d6fd6a2ab6a0946433add6	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	512
63d6fd6a2ab6a0946433add6	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	399
63d6fd6a2ab6a0946433add6	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	367
63d6fd6a2ab6a0946433add6	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	332
63d6fd6a2ab6a0946433add6	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	358
63d6fd6a2ab6a0946433add6	DL_practice	2	ka	ka	0	left	ka	1	1759
63d6fd6a2ab6a0946433add6	DL_practice	3	da	ba	1	left	da	1	1282
63d6fd6a2ab6a0946433add6	DL_practice	4	da	da	0	left	da	1	1606
63d6fd6a2ab6a0946433add6	DL_practice	5	ka	pa	1	right	pa	1	1387
63d6fd6a2ab6a0946433add6	DL_practice	6	ga	ta	1	other	ka	0	2080
63d6fd6a2ab6a0946433add6	DL_practice	7	pa	pa	0	left	pa	1	1382
63d6fd6a2ab6a0946433add6	DL_practice	8	ga	ga	0	left	ga	1	1550
63d6fd6a2ab6a0946433add6	DL_practice	9	ba	ba	0	left	ba	1	1096
63d6fd6a2ab6a0946433add6	DL_practice	10	ta	ta	0	left	ta	1	1431
63d6fd6a2ab6a0946433add6	DL_test	1	ga	da	1	left	ga	1	1213
63d6fd6a2ab6a0946433add6	DL_test	2	pa	ka	1	right	ka	1	1429
63d6fd6a2ab6a0946433add6	DL_test	3	ta	da	1	left	ta	1	1513
63d6fd6a2ab6a0946433add6	DL_test	4	ka	pa	1	left	ka	1	2044
63d6fd6a2ab6a0946433add6	DL_test	5	ka	ka	0	left	ka	1	1559
63d6fd6a2ab6a0946433add6	DL_test	6	ga	pa	1	right	pa	1	1990
63d6fd6a2ab6a0946433add6	DL_test	7	ka	ba	1	other	pa	0	1882
63d6fd6a2ab6a0946433add6	DL_test	8	pa	da	1	left	pa	1	4191
63d6fd6a2ab6a0946433add6	DL_test	9	ta	ga	1	right	ga	1	6179
63d6fd6a2ab6a0946433add6	DL_test	10	ta	ta	0	other	ga	0	3050
63d6fd6a2ab6a0946433add6	DL_test	11	da	ka	1	other	ta	0	1333
63d6fd6a2ab6a0946433add6	DL_test	12	ka	ta	1	left	ka	1	1213
63d6fd6a2ab6a0946433add6	DL_test	13	ga	ta	1	other	ka	0	1338
63d6fd6a2ab6a0946433add6	DL_test	14	ba	pa	1	right	pa	1	1033
63d6fd6a2ab6a0946433add6	DL_test	15	ba	ka	1	other	pa	0	1938
63d6fd6a2ab6a0946433add6	DL_test	16	ba	ta	1	other	pa	0	1112
63d6fd6a2ab6a0946433add6	DL_test	17	ta	ba	1	left	ta	1	1472
63d6fd6a2ab6a0946433add6	DL_test	18	pa	pa	0	left	pa	1	1186
63d6fd6a2ab6a0946433add6	DL_test	19	da	ga	1	right	ga	1	1054
63d6fd6a2ab6a0946433add6	DL_test	20	ga	ba	1	right	ba	1	1190
63d6fd6a2ab6a0946433add6	DL_test	21	ga	ga	0	left	ga	1	1142
63d6fd6a2ab6a0946433add6	DL_test	22	ba	ba	0	other	pa	0	1040
63d6fd6a2ab6a0946433add6	DL_test	23	ta	pa	1	left	ta	1	1028
63d6fd6a2ab6a0946433add6	DL_test	24	ka	ga	1	right	ga	1	1422
63d6fd6a2ab6a0946433add6	DL_test	25	ta	ka	1	right	ka	1	1704
63d6fd6a2ab6a0946433add6	DL_test	26	ba	ga	1	left	ba	1	1645
63d6fd6a2ab6a0946433add6	DL_test	27	da	da	0	left	da	1	775
63d6fd6a2ab6a0946433add6	DL_test	28	ka	da	1	left	ka	1	1371
63d6fd6a2ab6a0946433add6	DL_test	29	ba	da	1	right	da	1	1355
63d6fd6a2ab6a0946433add6	DL_test	30	da	ta	1	right	ta	1	1399
63d6fd6a2ab6a0946433add6	DL_test	31	da	pa	1	right	pa	1	1023
63d6fd6a2ab6a0946433add6	DL_test	32	pa	ta	1	right	ta	1	1205
63d6fd6a2ab6a0946433add6	DL_test	33	pa	ga	1	other	ba	0	2088
63d6fd6a2ab6a0946433add6	DL_test	34	da	ba	1	left	da	1	1071
63d6fd6a2ab6a0946433add6	DL_test	35	pa	ba	1	left	pa	1	1314
63d6fd6a2ab6a0946433add6	DL_test	36	ga	ka	1	right	ka	1	893
63d6fd6a2ab6a0946433add6	DL_test	1	da	ga	1	right	ga	1	1791
63d6fd6a2ab6a0946433add6	DL_test	2	da	ba	1	left	da	1	1151
63d6fd6a2ab6a0946433add6	DL_test	3	ba	da	1	right	da	1	896
63d6fd6a2ab6a0946433add6	DL_test	4	da	ta	1	right	ta	1	1585
63d6fd6a2ab6a0946433add6	DL_test	5	da	pa	1	right	pa	1	1123
63d6fd6a2ab6a0946433add6	DL_test	6	ga	pa	1	right	pa	1	788
63d6fd6a2ab6a0946433add6	DL_test	7	ga	ba	1	right	ba	1	1490
63d6fd6a2ab6a0946433add6	DL_test	8	ba	ta	1	right	ta	1	1497
63d6fd6a2ab6a0946433add6	DL_test	9	ba	ba	0	other	pa	0	974
63d6fd6a2ab6a0946433add6	DL_test	10	ga	ga	0	left	ga	1	1376
63d6fd6a2ab6a0946433add6	DL_test	11	ga	ta	1	other	ka	0	1113
63d6fd6a2ab6a0946433add6	DL_test	12	ta	ka	1	right	ka	1	1030
63d6fd6a2ab6a0946433add6	DL_test	13	ta	da	1	left	ta	1	1085
63d6fd6a2ab6a0946433add6	DL_test	14	ka	ta	1	left	ka	1	1628
63d6fd6a2ab6a0946433add6	DL_test	15	pa	da	1	left	pa	1	1246
63d6fd6a2ab6a0946433add6	DL_test	16	ka	ba	1	other	pa	0	1070
63d6fd6a2ab6a0946433add6	DL_test	17	ta	ga	1	right	ga	1	949
63d6fd6a2ab6a0946433add6	DL_test	18	ba	ka	1	right	ka	1	1813
63d6fd6a2ab6a0946433add6	DL_test	19	ba	pa	1	right	pa	1	1027
63d6fd6a2ab6a0946433add6	DL_test	20	ba	ga	1	right	ga	1	1722
63d6fd6a2ab6a0946433add6	DL_test	21	ta	ta	0	other	ka	0	1175
63d6fd6a2ab6a0946433add6	DL_test	22	pa	ba	1	left	pa	1	906
63d6fd6a2ab6a0946433add6	DL_test	23	pa	ta	1	right	ta	1	893
63d6fd6a2ab6a0946433add6	DL_test	24	pa	ka	1	right	ka	1	977
63d6fd6a2ab6a0946433add6	DL_test	25	da	da	0	left	da	1	1314
63d6fd6a2ab6a0946433add6	DL_test	26	pa	ga	1	left	pa	1	1316
63d6fd6a2ab6a0946433add6	DL_test	27	pa	pa	0	left	pa	1	1071
63d6fd6a2ab6a0946433add6	DL_test	28	ka	pa	1	left	ka	1	1001
63d6fd6a2ab6a0946433add6	DL_test	29	ga	ka	1	right	ka	1	1141
63d6fd6a2ab6a0946433add6	DL_test	30	ta	ba	1	other	pa	0	1167
63d6fd6a2ab6a0946433add6	DL_test	31	ka	ga	1	right	ga	1	1251
63d6fd6a2ab6a0946433add6	DL_test	32	ka	da	1	left	ka	1	1365
63d6fd6a2ab6a0946433add6	DL_test	33	da	ka	1	other	pa	0	1988
63d6fd6a2ab6a0946433add6	DL_test	34	ga	da	1	left	ga	1	1219
63d6fd6a2ab6a0946433add6	DL_test	35	ta	pa	1	left	ta	1	1256
63d6fd6a2ab6a0946433add6	DL_test	36	ka	ka	0	left	ka	1	1251
63d6fd6a2ab6a0946433add6	DL_test	1	ka	ba	1	other	pa	0	1403
63d6fd6a2ab6a0946433add6	DL_test	2	pa	ka	1	right	ka	1	900
63d6fd6a2ab6a0946433add6	DL_test	3	ta	da	1	right	da	1	1574
63d6fd6a2ab6a0946433add6	DL_test	4	ba	ka	1	left	ba	1	1495
63d6fd6a2ab6a0946433add6	DL_test	5	ka	da	1	left	ka	1	1094
63d6fd6a2ab6a0946433add6	DL_test	6	ga	ba	1	right	ba	1	1478
63d6fd6a2ab6a0946433add6	DL_test	7	ga	ka	1	right	ka	1	1367
63d6fd6a2ab6a0946433add6	DL_test	8	ta	ba	1	other	pa	0	997
63d6fd6a2ab6a0946433add6	DL_test	9	pa	ta	1	right	ta	1	714
63d6fd6a2ab6a0946433add6	DL_test	10	ba	ba	0	other	da	0	988
63d6fd6a2ab6a0946433add6	DL_test	11	pa	ga	1	left	pa	1	1845
63d6fd6a2ab6a0946433add6	DL_test	12	ta	ka	1	right	ka	1	1132
