subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63ea44a0adefd2af8e13015c	headphonecheck_testphase	3	NA	NA	0	NA	first	1	26980
63ea44a0adefd2af8e13015c	headphonecheck_testphase	6	NA	NA	0	NA	first	0	1134
63ea44a0adefd2af8e13015c	headphonecheck_testphase	9	NA	NA	0	NA	first	0	2611
63ea44a0adefd2af8e13015c	headphonecheck_testphase	12	NA	NA	0	NA	second	0	686
63ea44a0adefd2af8e13015c	headphonecheck_testphase	15	NA	NA	0	NA	third	0	964
63ea44a0adefd2af8e13015c	headphonecheck_testphase	18	NA	NA	0	NA	second	0	533
63ea44a0adefd2af8e13015c	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	551
63ea44a0adefd2af8e13015c	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	681
63ea44a0adefd2af8e13015c	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	607
63ea44a0adefd2af8e13015c	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_right	1	500
63ea44a0adefd2af8e13015c	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	507
63ea44a0adefd2af8e13015c	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	579
63ea44a0adefd2af8e13015c	DL_practice	2	ta	ta	0	other	ga	0	3354
63ea44a0adefd2af8e13015c	DL_practice	3	ka	pa	1	left	ka	1	2124
63ea44a0adefd2af8e13015c	DL_practice	4	da	ba	1	other	ga	0	848
63ea44a0adefd2af8e13015c	DL_practice	5	ka	ka	0	left	ka	1	1655
63ea44a0adefd2af8e13015c	DL_practice	6	da	da	0	other	ta	0	1495
63ea44a0adefd2af8e13015c	DL_practice	7	ba	ba	0	other	pa	0	1002
63ea44a0adefd2af8e13015c	DL_practice	8	ga	ga	0	left	ga	1	2089
63ea44a0adefd2af8e13015c	DL_practice	9	pa	pa	0	other	da	0	2543
63ea44a0adefd2af8e13015c	DL_practice	10	ga	ta	1	other	ba	0	2513
63ea44a0adefd2af8e13015c	DL_test	1	ga	ta	1	other	da	0	1654
63ea44a0adefd2af8e13015c	DL_test	2	ta	ta	0	left	ta	1	1725
63ea44a0adefd2af8e13015c	DL_test	3	ba	da	1	other	ka	0	1996
63ea44a0adefd2af8e13015c	DL_test	4	pa	ta	1	other	da	0	2616
63ea44a0adefd2af8e13015c	DL_test	5	ka	ba	1	right	ba	1	2964
63ea44a0adefd2af8e13015c	DL_test	6	ta	ba	1	other	da	0	1440
63ea44a0adefd2af8e13015c	DL_test	7	da	ba	1	other	ta	0	1716
63ea44a0adefd2af8e13015c	DL_test	8	da	ga	1	other	ka	0	1366
63ea44a0adefd2af8e13015c	DL_test	9	pa	ba	1	left	pa	1	1214
63ea44a0adefd2af8e13015c	DL_test	10	ga	da	1	other	ka	0	1644
63ea44a0adefd2af8e13015c	DL_test	11	ta	da	1	left	ta	1	1403
63ea44a0adefd2af8e13015c	DL_test	12	ba	ka	1	other	ta	0	1687
63ea44a0adefd2af8e13015c	DL_test	13	ta	ka	1	left	ta	1	1500
63ea44a0adefd2af8e13015c	DL_test	14	ba	ga	1	other	pa	0	1952
63ea44a0adefd2af8e13015c	DL_test	15	ba	ba	0	other	da	0	1378
63ea44a0adefd2af8e13015c	DL_test	16	ga	ka	1	right	ka	1	1346
63ea44a0adefd2af8e13015c	DL_test	17	da	ta	1	right	ta	1	1380
63ea44a0adefd2af8e13015c	DL_test	18	ta	pa	1	left	ta	1	2281
63ea44a0adefd2af8e13015c	DL_test	19	ba	pa	1	other	da	0	1546
63ea44a0adefd2af8e13015c	DL_test	20	ta	ga	1	other	ka	0	1624
63ea44a0adefd2af8e13015c	DL_test	21	ka	ga	1	left	ka	1	1196
63ea44a0adefd2af8e13015c	DL_test	22	pa	ga	1	other	ka	0	1129
63ea44a0adefd2af8e13015c	DL_test	23	ka	ta	1	right	ta	1	1336
63ea44a0adefd2af8e13015c	DL_test	24	pa	da	1	other	ta	0	1149
63ea44a0adefd2af8e13015c	DL_test	25	ga	ga	0	other	ka	0	1457
63ea44a0adefd2af8e13015c	DL_test	26	da	da	0	other	ta	0	1688
63ea44a0adefd2af8e13015c	DL_test	27	pa	ka	1	other	ta	0	1415
63ea44a0adefd2af8e13015c	DL_test	28	ka	pa	1	other	ta	0	1170
63ea44a0adefd2af8e13015c	DL_test	29	ga	pa	1	other	ta	0	1166
63ea44a0adefd2af8e13015c	DL_test	30	ba	ta	1	other	pa	0	1519
63ea44a0adefd2af8e13015c	DL_test	31	ka	da	1	other	ta	0	1086
63ea44a0adefd2af8e13015c	DL_test	32	pa	pa	0	left	pa	1	1200
63ea44a0adefd2af8e13015c	DL_test	33	da	pa	1	other	ta	0	1233
63ea44a0adefd2af8e13015c	DL_test	34	ka	ka	0	left	ka	1	1547
63ea44a0adefd2af8e13015c	DL_test	35	ga	ba	1	other	pa	0	1262
63ea44a0adefd2af8e13015c	DL_test	36	da	ka	1	other	ta	0	1298
63ea44a0adefd2af8e13015c	DL_test	1	ta	ta	0	other	da	0	1746
63ea44a0adefd2af8e13015c	DL_test	2	ka	ka	0	left	ka	1	1558
63ea44a0adefd2af8e13015c	DL_test	3	ba	ta	1	other	pa	0	1478
63ea44a0adefd2af8e13015c	DL_test	4	ta	pa	1	left	ta	1	1176
63ea44a0adefd2af8e13015c	DL_test	5	pa	ka	1	other	ta	0	1548
63ea44a0adefd2af8e13015c	DL_test	6	ta	ka	1	left	ta	1	1483
63ea44a0adefd2af8e13015c	DL_test	7	ga	ka	1	left	ga	1	1422
63ea44a0adefd2af8e13015c	DL_test	8	ba	da	1	other	pa	0	1609
63ea44a0adefd2af8e13015c	DL_test	9	da	ga	1	other	ta	0	1198
63ea44a0adefd2af8e13015c	DL_test	10	ka	ba	1	other	ta	0	1133
63ea44a0adefd2af8e13015c	DL_test	11	ba	ka	1	other	pa	0	2046
63ea44a0adefd2af8e13015c	DL_test	12	ga	ga	0	other	ba	0	2844
63ea44a0adefd2af8e13015c	DL_test	13	pa	ba	1	other	da	0	1610
63ea44a0adefd2af8e13015c	DL_test	14	ta	da	1	left	ta	1	1611
63ea44a0adefd2af8e13015c	DL_test	15	ba	pa	1	right	pa	1	1345
63ea44a0adefd2af8e13015c	DL_test	16	ta	ga	1	other	ka	0	1278
63ea44a0adefd2af8e13015c	DL_test	17	ba	ba	0	other	pa	0	1207
63ea44a0adefd2af8e13015c	DL_test	18	ka	pa	1	other	ta	0	1332
63ea44a0adefd2af8e13015c	DL_test	19	pa	pa	0	left	pa	1	1164
63ea44a0adefd2af8e13015c	DL_test	20	pa	ga	1	other	ka	0	1198
63ea44a0adefd2af8e13015c	DL_test	21	da	ta	1	right	ta	1	1385
63ea44a0adefd2af8e13015c	DL_test	22	pa	ta	1	right	ta	1	1675
63ea44a0adefd2af8e13015c	DL_test	23	da	ka	1	other	ta	0	1190
63ea44a0adefd2af8e13015c	DL_test	24	ba	ga	1	other	pa	0	1045
63ea44a0adefd2af8e13015c	DL_test	25	da	ba	1	other	ta	0	1526
63ea44a0adefd2af8e13015c	DL_test	26	ka	da	1	other	ta	0	1129
63ea44a0adefd2af8e13015c	DL_test	27	ga	pa	1	other	ka	0	921
63ea44a0adefd2af8e13015c	DL_test	28	ka	ta	1	left	ka	1	1203
63ea44a0adefd2af8e13015c	DL_test	29	ga	ta	1	left	ga	1	1142
63ea44a0adefd2af8e13015c	DL_test	30	da	pa	1	other	ta	0	1243
63ea44a0adefd2af8e13015c	DL_test	31	pa	da	1	other	ta	0	1265
63ea44a0adefd2af8e13015c	DL_test	32	ga	ba	1	other	pa	0	1011
63ea44a0adefd2af8e13015c	DL_test	33	ga	da	1	other	ka	0	941
63ea44a0adefd2af8e13015c	DL_test	34	ka	ga	1	left	ka	1	1432
63ea44a0adefd2af8e13015c	DL_test	35	da	da	0	other	ta	0	1445
63ea44a0adefd2af8e13015c	DL_test	36	ta	ba	1	other	pa	0	1061
63ea44a0adefd2af8e13015c	DL_test	1	ba	da	1	left	ba	1	2238
63ea44a0adefd2af8e13015c	DL_test	2	ta	ga	1	other	ba	0	698
63ea44a0adefd2af8e13015c	DL_test	3	ga	ba	1	other	da	0	553
63ea44a0adefd2af8e13015c	DL_test	4	ba	ta	1	right	ta	1	1653
