subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
63ea94c7220a944dcd17400b	headphonecheck_testphase	3	NA	NA	0	NA	third	1	1456
63ea94c7220a944dcd17400b	headphonecheck_testphase	6	NA	NA	0	NA	third	1	924
63ea94c7220a944dcd17400b	headphonecheck_testphase	9	NA	NA	0	NA	second	1	567
63ea94c7220a944dcd17400b	headphonecheck_testphase	12	NA	NA	0	NA	first	1	506
63ea94c7220a944dcd17400b	headphonecheck_testphase	15	NA	NA	0	NA	first	1	715
63ea94c7220a944dcd17400b	headphonecheck_testphase	18	NA	NA	0	NA	second	1	698
63ea94c7220a944dcd17400b	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	1262
63ea94c7220a944dcd17400b	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	982
63ea94c7220a944dcd17400b	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	540
63ea94c7220a944dcd17400b	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	523
63ea94c7220a944dcd17400b	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	535
63ea94c7220a944dcd17400b	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	732
63ea94c7220a944dcd17400b	DL_practice	2	ka	ka	0	left	ka	1	1836
63ea94c7220a944dcd17400b	DL_practice	3	da	da	0	left	da	1	1779
63ea94c7220a944dcd17400b	DL_practice	4	ta	ta	0	left	ta	1	1772
63ea94c7220a944dcd17400b	DL_practice	5	ka	pa	1	right	pa	1	2165
63ea94c7220a944dcd17400b	DL_practice	6	ba	ba	0	left	ba	1	1690
63ea94c7220a944dcd17400b	DL_practice	7	ga	ta	1	other	ka	0	1711
63ea94c7220a944dcd17400b	DL_practice	8	da	ba	1	left	da	1	1669
63ea94c7220a944dcd17400b	DL_practice	9	pa	pa	0	left	pa	1	1594
63ea94c7220a944dcd17400b	DL_practice	10	ga	ga	0	other	ka	0	1243
63ea94c7220a944dcd17400b	DL_test	1	ta	ta	0	left	ta	1	2044
63ea94c7220a944dcd17400b	DL_test	2	ta	pa	1	left	ta	1	1485
63ea94c7220a944dcd17400b	DL_test	3	da	da	0	left	da	1	1587
63ea94c7220a944dcd17400b	DL_test	4	ta	ba	1	left	ta	1	1957
63ea94c7220a944dcd17400b	DL_test	5	pa	pa	0	left	pa	1	1349
63ea94c7220a944dcd17400b	DL_test	6	ta	ga	1	right	ga	1	2290
63ea94c7220a944dcd17400b	DL_test	7	ga	ba	1	right	ba	1	1876
63ea94c7220a944dcd17400b	DL_test	8	ba	da	1	right	da	1	1457
63ea94c7220a944dcd17400b	DL_test	9	ga	da	1	left	ga	1	1237
63ea94c7220a944dcd17400b	DL_test	10	ba	ka	1	other	ta	0	1540
63ea94c7220a944dcd17400b	DL_test	11	ka	da	1	other	ta	0	1790
63ea94c7220a944dcd17400b	DL_test	12	da	ga	1	left	da	1	1582
63ea94c7220a944dcd17400b	DL_test	13	pa	da	1	other	ga	0	2207
63ea94c7220a944dcd17400b	DL_test	14	pa	ta	1	right	ta	1	2207
63ea94c7220a944dcd17400b	DL_test	15	ba	ga	1	other	ka	0	1177
63ea94c7220a944dcd17400b	DL_test	16	ga	ta	1	left	ga	1	2510
63ea94c7220a944dcd17400b	DL_test	17	pa	ga	1	other	da	0	1420
63ea94c7220a944dcd17400b	DL_test	18	ga	ka	1	right	ka	1	1699
63ea94c7220a944dcd17400b	DL_test	19	ta	da	1	right	da	1	1545
63ea94c7220a944dcd17400b	DL_test	20	ba	pa	1	right	pa	1	1344
63ea94c7220a944dcd17400b	DL_test	21	da	ka	1	other	pa	0	1815
63ea94c7220a944dcd17400b	DL_test	22	da	ta	1	right	ta	1	1420
63ea94c7220a944dcd17400b	DL_test	23	da	ba	1	other	ta	0	1156
63ea94c7220a944dcd17400b	DL_test	24	pa	ba	1	left	pa	1	1508
63ea94c7220a944dcd17400b	DL_test	25	ka	pa	1	other	ta	0	1798
63ea94c7220a944dcd17400b	DL_test	26	ba	ba	0	left	ba	1	1561
63ea94c7220a944dcd17400b	DL_test	27	ka	ba	1	other	ta	0	1803
63ea94c7220a944dcd17400b	DL_test	28	ka	ta	1	left	ka	1	1577
63ea94c7220a944dcd17400b	DL_test	29	ka	ga	1	right	ga	1	1378
63ea94c7220a944dcd17400b	DL_test	30	da	pa	1	other	ta	0	1807
63ea94c7220a944dcd17400b	DL_test	31	pa	ka	1	left	pa	1	1173
63ea94c7220a944dcd17400b	DL_test	32	ta	ka	1	left	ta	1	1466
63ea94c7220a944dcd17400b	DL_test	33	ga	pa	1	other	ta	0	1295
63ea94c7220a944dcd17400b	DL_test	34	ka	ka	0	left	ka	1	1173
63ea94c7220a944dcd17400b	DL_test	35	ba	ta	1	right	ta	1	1398
63ea94c7220a944dcd17400b	DL_test	36	ga	ga	0	other	da	0	1428
63ea94c7220a944dcd17400b	DL_test	1	pa	ta	1	right	ta	1	2135
63ea94c7220a944dcd17400b	DL_test	2	ta	ka	1	left	ta	1	1656
63ea94c7220a944dcd17400b	DL_test	3	ka	ga	1	right	ga	1	1419
63ea94c7220a944dcd17400b	DL_test	4	ba	da	1	right	da	1	1602
63ea94c7220a944dcd17400b	DL_test	5	da	ba	1	other	ta	0	1452
63ea94c7220a944dcd17400b	DL_test	6	ga	ta	1	other	da	0	1882
63ea94c7220a944dcd17400b	DL_test	7	ba	ka	1	other	ta	0	1515
63ea94c7220a944dcd17400b	DL_test	8	da	pa	1	other	ta	0	990
63ea94c7220a944dcd17400b	DL_test	9	ba	pa	1	right	pa	1	1177
63ea94c7220a944dcd17400b	DL_test	10	pa	da	1	other	ta	0	1781
63ea94c7220a944dcd17400b	DL_test	11	ba	ba	0	other	pa	0	1008
63ea94c7220a944dcd17400b	DL_test	12	ka	ba	1	left	ka	1	1268
63ea94c7220a944dcd17400b	DL_test	13	da	ka	1	other	ta	0	1849
63ea94c7220a944dcd17400b	DL_test	14	da	ga	1	left	da	1	1278
63ea94c7220a944dcd17400b	DL_test	15	ba	ta	1	right	ta	1	1932
63ea94c7220a944dcd17400b	DL_test	16	ta	ga	1	right	ga	1	2494
63ea94c7220a944dcd17400b	DL_test	17	ta	ta	0	left	ta	1	1618
63ea94c7220a944dcd17400b	DL_test	18	ta	ba	1	left	ta	1	1098
63ea94c7220a944dcd17400b	DL_test	19	pa	pa	0	left	pa	1	1160
63ea94c7220a944dcd17400b	DL_test	20	ta	pa	1	left	ta	1	1322
63ea94c7220a944dcd17400b	DL_test	21	ba	ga	1	other	da	0	1508
63ea94c7220a944dcd17400b	DL_test	22	ka	pa	1	right	pa	1	3102
63ea94c7220a944dcd17400b	DL_test	23	ka	ka	0	left	ka	1	1102
63ea94c7220a944dcd17400b	DL_test	24	da	da	0	left	da	1	1318
63ea94c7220a944dcd17400b	DL_test	25	da	ta	1	right	ta	1	1778
63ea94c7220a944dcd17400b	DL_test	26	ga	ka	1	left	ga	1	1148
