subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5b6515e83662a8000158b2aa	161303	1	practice	z	1	rectangle	local	RVF	yes	absent	0	2000
5b6515e83662a8000158b2aa	171286	1	practice	z	2	rectangle	local	RVF	yes	present	1	1101
5b6515e83662a8000158b2aa	177206	1	practice	z	3	square	local	LVF	yes	present	1	755
5b6515e83662a8000158b2aa	181242	1	practice	z	4	square	global	LVF	yes	present	1	773
5b6515e83662a8000158b2aa	184826	1	practice	z	5	square	global	RVF	yes	present	1	624
5b6515e83662a8000158b2aa	187919	1	practice	z	6	absent	absent	absent	no	present	0	683
5b6515e83662a8000158b2aa	192418	1	practice	z	7	absent	absent	absent	no	present	0	717
5b6515e83662a8000158b2aa	196292	1	practice	z	8	rectangle	global	RVF	yes	present	1	558
5b6515e83662a8000158b2aa	199610	1	practice	z	9	square	global	LVF	yes	present	1	543
5b6515e83662a8000158b2aa	203902	1	practice	z	10	square	local	LVF	yes	absent	0	2000
5b6515e83662a8000158b2aa	211277	1	practice	z	11	rectangle	local	RVF	yes	present	1	910
5b6515e83662a8000158b2aa	217685	1	practice	z	12	rectangle	global	RVF	yes	absent	0	2000
5b6515e83662a8000158b2aa	220985	1	practice	z	13	absent	absent	absent	no	present	0	319
5b6515e83662a8000158b2aa	224594	1	practice	z	14	rectangle	global	LVF	yes	present	1	511
5b6515e83662a8000158b2aa	227459	1	practice	z	15	rectangle	global	LVF	yes	present	1	541
5b6515e83662a8000158b2aa	230595	1	practice	z	16	absent	absent	absent	no	present	0	1011
5b6515e83662a8000158b2aa	241116	2	main	z	1	absent	absent	absent	no	absent	1	2000
5b6515e83662a8000158b2aa	244954	2	main	z	2	rectangle	local	RVF	yes	present	1	522
5b6515e83662a8000158b2aa	247596	2	main	z	3	rectangle	local	LVF	yes	present	1	814
5b6515e83662a8000158b2aa	249872	2	main	z	4	square	global	RVF	yes	present	1	707
5b6515e83662a8000158b2aa	253334	2	main	z	5	absent	absent	absent	no	absent	1	2000
5b6515e83662a8000158b2aa	256040	2	main	z	6	square	local	LVF	yes	present	1	557
5b6515e83662a8000158b2aa	257988	2	main	z	7	rectangle	global	RVF	yes	present	1	406
5b6515e83662a8000158b2aa	260122	2	main	z	8	square	local	RVF	yes	present	1	574
5b6515e83662a8000158b2aa	261997	2	main	z	9	square	local	RVF	yes	present	1	482
5b6515e83662a8000158b2aa	263942	2	main	z	10	rectangle	local	LVF	yes	present	1	561
5b6515e83662a8000158b2aa	266001	2	main	z	11	rectangle	local	RVF	yes	present	1	620
5b6515e83662a8000158b2aa	269599	2	main	z	12	rectangle	global	LVF	yes	absent	0	2000
5b6515e83662a8000158b2aa	273132	2	main	z	13	absent	absent	absent	no	absent	1	2000
5b6515e83662a8000158b2aa	275122	2	main	z	14	absent	absent	absent	no	present	0	724
5b6515e83662a8000158b2aa	277046	2	main	z	15	square	local	RVF	yes	present	1	532
5b6515e83662a8000158b2aa	279060	2	main	z	16	rectangle	global	RVF	yes	present	1	596
5b6515e83662a8000158b2aa	282399	2	main	z	17	absent	absent	absent	no	absent	1	2000
5b6515e83662a8000158b2aa	284333	2	main	z	18	rectangle	local	RVF	yes	present	1	518
5b6515e83662a8000158b2aa	287782	2	main	z	19	absent	absent	absent	no	absent	1	2000
5b6515e83662a8000158b2aa	289756	2	main	z	20	rectangle	global	RVF	yes	present	1	373
5b6515e83662a8000158b2aa	291759	2	main	z	21	absent	absent	absent	no	present	0	562
5b6515e83662a8000158b2aa	293697	2	main	z	22	rectangle	local	RVF	yes	present	1	516
5b6515e83662a8000158b2aa	295577	2	main	z	23	rectangle	global	LVF	yes	present	1	513
5b6515e83662a8000158b2aa	297418	2	main	z	24	rectangle	local	LVF	yes	present	1	537
5b6515e83662a8000158b2aa	299304	2	main	z	25	square	global	LVF	yes	present	1	573
5b6515e83662a8000158b2aa	301092	2	main	z	26	square	global	RVF	yes	present	1	428
5b6515e83662a8000158b2aa	302780	2	main	z	27	square	global	LVF	yes	present	1	366
5b6515e83662a8000158b2aa	304468	2	main	z	28	square	global	LVF	yes	present	1	369
5b6515e83662a8000158b2aa	306465	2	main	z	29	square	local	LVF	yes	present	1	717
5b6515e83662a8000158b2aa	308210	2	main	z	30	rectangle	local	LVF	yes	present	1	446
5b6515e83662a8000158b2aa	309934	2	main	z	31	rectangle	global	RVF	yes	present	1	436
5b6515e83662a8000158b2aa	311741	2	main	z	32	rectangle	global	LVF	yes	present	1	410
5b6515e83662a8000158b2aa	315098	2	main	z	33	absent	absent	absent	no	absent	1	2000
5b6515e83662a8000158b2aa	316820	2	main	z	34	square	global	RVF	yes	present	1	340
5b6515e83662a8000158b2aa	318543	2	main	z	35	rectangle	global	LVF	yes	present	1	346
5b6515e83662a8000158b2aa	320459	2	main	z	36	square	local	LVF	yes	present	1	546
5b6515e83662a8000158b2aa	322204	2	main	z	37	square	global	RVF	yes	present	1	424
5b6515e83662a8000158b2aa	324043	2	main	z	38	square	local	RVF	yes	present	1	513
5b6515e83662a8000158b2aa	325811	2	main	z	39	square	global	LVF	yes	present	1	413
5b6515e83662a8000158b2aa	327637	2	main	z	40	square	local	LVF	yes	present	1	488
5b6515e83662a8000158b2aa	329772	2	main	z	41	absent	absent	absent	no	present	0	642
5b6515e83662a8000158b2aa	331536	2	main	z	42	rectangle	local	RVF	yes	present	1	440
5b6515e83662a8000158b2aa	333202	2	main	z	43	rectangle	local	RVF	yes	present	1	389
5b6515e83662a8000158b2aa	336747	2	main	z	44	absent	absent	absent	no	absent	1	2000
5b6515e83662a8000158b2aa	338633	2	main	z	45	square	global	LVF	yes	present	1	353
5b6515e83662a8000158b2aa	340553	2	main	z	46	rectangle	local	LVF	yes	present	1	490
5b6515e83662a8000158b2aa	342387	2	main	z	47	rectangle	global	RVF	yes	present	1	374
5b6515e83662a8000158b2aa	344188	2	main	z	48	square	global	RVF	yes	present	1	359
5b6515e83662a8000158b2aa	346014	2	main	z	49	rectangle	global	LVF	yes	present	1	351
5b6515e83662a8000158b2aa	348081	2	main	z	50	square	local	LVF	yes	present	1	585
5b6515e83662a8000158b2aa	349944	2	main	z	51	square	local	LVF	yes	present	1	465
5b6515e83662a8000158b2aa	351947	2	main	z	52	square	global	RVF	yes	present	1	518
5b6515e83662a8000158b2aa	353659	2	main	z	53	square	global	RVF	yes	present	1	330
5b6515e83662a8000158b2aa	355351	2	main	z	54	rectangle	global	RVF	yes	present	1	337
5b6515e83662a8000158b2aa	357280	2	main	z	55	rectangle	local	LVF	yes	present	1	484
5b6515e83662a8000158b2aa	359259	2	main	z	56	rectangle	local	LVF	yes	present	1	530
5b6515e83662a8000158b2aa	361023	2	main	z	57	square	local	RVF	yes	present	1	378
5b6515e83662a8000158b2aa	362937	2	main	z	58	absent	absent	absent	no	present	0	491
