subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5b6c312fa1fda800015fe165	705628	9.5	practice	z	1	rectangle	global	RVF	yes	present	1	1571
5b6c312fa1fda800015fe165	710647	9.5	practice	z	2	rectangle	local	RVF	yes	present	1	979
5b6c312fa1fda800015fe165	714949	9.5	practice	z	3	absent	absent	absent	no	absent	1	2000
5b6c312fa1fda800015fe165	719295	9.5	practice	z	4	absent	absent	absent	no	absent	1	2000
5b6c312fa1fda800015fe165	722464	9.5	practice	z	5	rectangle	global	LVF	yes	present	1	1073
5b6c312fa1fda800015fe165	725907	9.5	practice	z	6	rectangle	local	RVF	yes	present	1	1053
5b6c312fa1fda800015fe165	729388	9.5	practice	z	7	rectangle	local	RVF	yes	present	1	1137
5b6c312fa1fda800015fe165	732689	9.5	practice	z	8	square	global	LVF	yes	present	1	1075
5b6c312fa1fda800015fe165	736052	9.5	practice	z	9	rectangle	global	RVF	yes	present	1	1074
5b6c312fa1fda800015fe165	739290	9.5	practice	z	10	square	global	RVF	yes	present	1	1015
5b6c312fa1fda800015fe165	742570	9.5	practice	z	11	square	local	LVF	yes	present	1	998
5b6c312fa1fda800015fe165	745587	9.5	practice	z	12	square	local	LVF	yes	present	1	951
5b6c312fa1fda800015fe165	750099	9.5	practice	z	13	absent	absent	absent	no	absent	1	2000
5b6c312fa1fda800015fe165	754079	9.5	practice	z	14	absent	absent	absent	no	absent	1	2000
5b6c312fa1fda800015fe165	756749	9.5	practice	z	15	rectangle	global	LVF	yes	present	1	1007
5b6c312fa1fda800015fe165	760607	9.5	practice	z	16	square	global	LVF	yes	present	1	1019
5b6c312fa1fda800015fe165	768725	10.5	main	z	1	square	local	RVF	yes	present	1	797
5b6c312fa1fda800015fe165	772892	10.5	main	z	2	absent	absent	absent	no	absent	1	2000
5b6c312fa1fda800015fe165	775068	10.5	main	z	3	square	global	RVF	yes	present	1	863
5b6c312fa1fda800015fe165	778653	10.5	main	z	4	absent	absent	absent	no	absent	1	2000
5b6c312fa1fda800015fe165	780612	10.5	main	z	5	rectangle	global	RVF	yes	present	1	729
5b6c312fa1fda800015fe165	784148	10.5	main	z	6	absent	absent	absent	no	absent	1	2000
5b6c312fa1fda800015fe165	785841	10.5	main	z	7	rectangle	local	LVF	yes	present	1	762
5b6c312fa1fda800015fe165	789259	10.5	main	z	8	absent	absent	absent	no	absent	1	2000
5b6c312fa1fda800015fe165	791241	10.5	main	z	9	rectangle	global	RVF	yes	present	1	884
5b6c312fa1fda800015fe165	793511	10.5	main	z	10	rectangle	global	LVF	yes	present	1	923
5b6c312fa1fda800015fe165	795796	10.5	main	z	11	rectangle	local	RVF	yes	present	1	1094
5b6c312fa1fda800015fe165	798090	10.5	main	z	12	rectangle	global	LVF	yes	present	1	1090
5b6c312fa1fda800015fe165	800181	10.5	main	z	13	rectangle	local	LVF	yes	present	1	966
5b6c312fa1fda800015fe165	802121	10.5	main	z	14	rectangle	local	RVF	yes	present	1	941
5b6c312fa1fda800015fe165	805145	10.5	main	z	15	absent	absent	absent	no	absent	1	2000
5b6c312fa1fda800015fe165	807315	10.5	main	z	16	square	local	LVF	yes	present	1	857
5b6c312fa1fda800015fe165	809773	10.5	main	z	17	square	global	LVF	yes	present	1	851
5b6c312fa1fda800015fe165	811937	10.5	main	z	18	rectangle	global	LVF	yes	present	1	750
5b6c312fa1fda800015fe165	814548	10.5	main	z	19	square	local	LVF	yes	present	1	1629
5b6c312fa1fda800015fe165	816878	10.5	main	z	20	rectangle	global	LVF	yes	present	1	945
5b6c312fa1fda800015fe165	818985	10.5	main	z	21	square	global	RVF	yes	present	1	905
