subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5b9754dce1adf100014ac3d1	1445797	9.5	practice	slash	1	rectangle	local	RVF	yes	absent	0	2000
5b9754dce1adf100014ac3d1	1455019	9.5	practice	slash	2	square	global	LVF	yes	present	1	870
5b9754dce1adf100014ac3d1	1458599	9.5	practice	slash	3	rectangle	global	LVF	yes	present	1	885
5b9754dce1adf100014ac3d1	1461677	9.5	practice	slash	4	square	local	LVF	yes	present	1	813
5b9754dce1adf100014ac3d1	1464908	9.5	practice	slash	5	absent	absent	absent	no	present	0	1059
5b9754dce1adf100014ac3d1	1468721	9.5	practice	slash	6	square	global	RVF	yes	present	1	873
5b9754dce1adf100014ac3d1	1471627	9.5	practice	slash	7	rectangle	global	LVF	yes	present	1	863
5b9754dce1adf100014ac3d1	1475599	9.5	practice	slash	8	rectangle	local	RVF	yes	absent	0	2000
5b9754dce1adf100014ac3d1	1478608	9.5	practice	slash	9	rectangle	global	RVF	yes	present	1	794
5b9754dce1adf100014ac3d1	1481461	9.5	practice	slash	10	absent	absent	absent	no	present	0	863
5b9754dce1adf100014ac3d1	1487415	9.5	practice	slash	11	absent	absent	absent	no	absent	1	2000
5b9754dce1adf100014ac3d1	1490533	9.5	practice	slash	12	rectangle	global	RVF	yes	present	1	818
5b9754dce1adf100014ac3d1	1494498	9.5	practice	slash	13	absent	absent	absent	no	absent	1	2000
5b9754dce1adf100014ac3d1	1497897	9.5	practice	slash	14	rectangle	local	RVF	yes	present	1	1248
5b9754dce1adf100014ac3d1	1501151	9.5	practice	slash	15	square	global	LVF	yes	present	1	970
5b9754dce1adf100014ac3d1	1504366	9.5	practice	slash	16	square	local	LVF	yes	present	1	1234
5b9754dce1adf100014ac3d1	1515848	10.5	main	slash	1	square	global	RVF	yes	present	1	1067
5b9754dce1adf100014ac3d1	1520281	10.5	main	slash	2	absent	absent	absent	no	absent	1	2000
5b9754dce1adf100014ac3d1	1522364	10.5	main	slash	3	square	local	RVF	yes	present	1	784
