subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5c05c77f24419e0001a3094f	143236	1	practice	z	1	rectangle	local	RVF	yes	present	1	1780
5c05c77f24419e0001a3094f	148722	1	practice	z	2	rectangle	local	RVF	yes	present	1	1012
5c05c77f24419e0001a3094f	152266	1	practice	z	3	square	global	LVF	yes	present	1	1049
5c05c77f24419e0001a3094f	157300	1	practice	z	4	absent	absent	absent	no	absent	1	2000
5c05c77f24419e0001a3094f	161038	1	practice	z	5	rectangle	global	RVF	yes	present	1	726
5c05c77f24419e0001a3094f	164538	1	practice	z	6	rectangle	global	RVF	yes	present	1	717
5c05c77f24419e0001a3094f	169440	1	practice	z	7	square	local	LVF	yes	absent	0	2000
5c05c77f24419e0001a3094f	173213	1	practice	z	8	rectangle	global	LVF	yes	present	1	947
5c05c77f24419e0001a3094f	176657	1	practice	z	9	absent	absent	absent	no	present	0	1124
5c05c77f24419e0001a3094f	181036	1	practice	z	10	absent	absent	absent	no	absent	1	2000
5c05c77f24419e0001a3094f	185425	1	practice	z	11	square	local	LVF	yes	absent	0	2000
5c05c77f24419e0001a3094f	188976	1	practice	z	12	absent	absent	absent	no	present	0	1282
5c05c77f24419e0001a3094f	192364	1	practice	z	13	rectangle	global	LVF	yes	present	1	1016
5c05c77f24419e0001a3094f	195657	1	practice	z	14	square	global	RVF	yes	present	1	974
5c05c77f24419e0001a3094f	199282	1	practice	z	15	square	global	LVF	yes	present	1	1046
5c05c77f24419e0001a3094f	202905	1	practice	z	16	rectangle	local	RVF	yes	present	1	1215
5c05c77f24419e0001a3094f	215291	2	main	z	1	rectangle	global	RVF	yes	present	1	809
5c05c77f24419e0001a3094f	217749	2	main	z	2	square	global	RVF	yes	present	1	747
5c05c77f24419e0001a3094f	222185	2	main	z	3	absent	absent	absent	no	absent	1	2000
5c05c77f24419e0001a3094f	225436	2	main	z	4	rectangle	local	LVF	yes	present	1	1461
5c05c77f24419e0001a3094f	228225	2	main	z	5	square	global	LVF	yes	present	1	814
5c05c77f24419e0001a3094f	231077	2	main	z	6	absent	absent	absent	no	present	0	849
5c05c77f24419e0001a3094f	234731	2	main	z	7	absent	absent	absent	no	absent	1	2000
5c05c77f24419e0001a3094f	237026	2	main	z	8	square	local	RVF	yes	present	1	839
5c05c77f24419e0001a3094f	240409	2	main	z	9	square	local	LVF	yes	present	1	953
5c05c77f24419e0001a3094f	243414	2	main	z	10	rectangle	local	LVF	yes	present	1	874
5c05c77f24419e0001a3094f	246880	2	main	z	11	rectangle	global	LVF	yes	present	1	1073
5c05c77f24419e0001a3094f	249312	2	main	z	12	rectangle	local	LVF	yes	present	1	847
5c05c77f24419e0001a3094f	252272	2	main	z	13	absent	absent	absent	no	present	0	1490
5c05c77f24419e0001a3094f	254864	2	main	z	14	rectangle	global	LVF	yes	present	1	895
5c05c77f24419e0001a3094f	257468	2	main	z	15	square	local	RVF	yes	present	1	846
5c05c77f24419e0001a3094f	260142	2	main	z	16	square	local	RVF	yes	present	1	769
5c05c77f24419e0001a3094f	262758	2	main	z	17	absent	absent	absent	no	present	0	925
5c05c77f24419e0001a3094f	265113	2	main	z	18	square	local	LVF	yes	present	1	763
5c05c77f24419e0001a3094f	267701	2	main	z	19	square	local	RVF	yes	present	1	801
5c05c77f24419e0001a3094f	270633	2	main	z	20	rectangle	global	LVF	yes	present	1	815
5c05c77f24419e0001a3094f	272809	2	main	z	21	square	global	RVF	yes	present	1	550
5c05c77f24419e0001a3094f	274963	2	main	z	22	rectangle	local	RVF	yes	present	1	537
5c05c77f24419e0001a3094f	277381	2	main	z	23	square	local	LVF	yes	present	1	686
