subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5ea63190173fb765f87a89a8	1080288	9.5	practice	slash	1	rectangle	global	RVF	yes	present	1	1483
5ea63190173fb765f87a89a8	1085198	9.5	practice	slash	2	rectangle	local	RVF	yes	present	1	1163
5ea63190173fb765f87a89a8	1089209	9.5	practice	slash	3	square	local	LVF	yes	present	1	1237
5ea63190173fb765f87a89a8	1092771	9.5	practice	slash	4	square	global	RVF	yes	present	1	1110
5ea63190173fb765f87a89a8	1095850	9.5	practice	slash	5	square	global	LVF	yes	present	1	866
5ea63190173fb765f87a89a8	1098685	9.5	practice	slash	6	square	global	LVF	yes	present	1	600
5ea63190173fb765f87a89a8	1103024	9.5	practice	slash	7	absent	absent	absent	no	absent	1	2000
5ea63190173fb765f87a89a8	1107519	9.5	practice	slash	8	square	local	LVF	yes	absent	0	2000
5ea63190173fb765f87a89a8	1110283	9.5	practice	slash	9	rectangle	global	LVF	yes	present	1	501
5ea63190173fb765f87a89a8	1113358	9.5	practice	slash	10	rectangle	local	RVF	yes	present	1	770
5ea63190173fb765f87a89a8	1116883	9.5	practice	slash	11	rectangle	global	RVF	yes	present	1	1103
5ea63190173fb765f87a89a8	1122756	9.5	practice	slash	12	absent	absent	absent	no	absent	1	2000
5ea63190173fb765f87a89a8	1126942	9.5	practice	slash	13	absent	absent	absent	no	absent	1	2000
5ea63190173fb765f87a89a8	1130579	9.5	practice	slash	14	rectangle	local	RVF	yes	present	1	1296
5ea63190173fb765f87a89a8	1133726	9.5	practice	slash	15	rectangle	global	LVF	yes	present	1	754
5ea63190173fb765f87a89a8	1139426	9.5	practice	slash	16	absent	absent	absent	no	absent	1	2000
5ea63190173fb765f87a89a8	1153922	10.5	main	slash	1	square	local	LVF	yes	present	1	754
5ea63190173fb765f87a89a8	1157493	10.5	main	slash	2	absent	absent	absent	no	absent	1	2000
5ea63190173fb765f87a89a8	1159731	10.5	main	slash	3	square	local	RVF	yes	present	1	936
5ea63190173fb765f87a89a8	1161955	10.5	main	slash	4	rectangle	local	RVF	yes	present	1	872
5ea63190173fb765f87a89a8	1164184	10.5	main	slash	5	rectangle	local	LVF	yes	present	1	993
5ea63190173fb765f87a89a8	1167053	10.5	main	slash	6	rectangle	global	LVF	yes	present	1	1251
5ea63190173fb765f87a89a8	1169421	10.5	main	slash	7	square	local	RVF	yes	present	1	946
5ea63190173fb765f87a89a8	1171496	10.5	main	slash	8	square	local	RVF	yes	present	1	608
5ea63190173fb765f87a89a8	1173582	10.5	main	slash	9	rectangle	local	RVF	yes	present	1	849
5ea63190173fb765f87a89a8	1175370	10.5	main	slash	10	square	local	RVF	yes	present	1	664
5ea63190173fb765f87a89a8	1178312	10.5	main	slash	11	square	global	RVF	yes	present	1	1697
5ea63190173fb765f87a89a8	1180716	10.5	main	slash	12	rectangle	global	RVF	yes	present	1	1280
5ea63190173fb765f87a89a8	1182912	10.5	main	slash	13	rectangle	local	RVF	yes	present	1	1136
5ea63190173fb765f87a89a8	1185982	10.5	main	slash	14	rectangle	global	LVF	yes	absent	0	2000
5ea63190173fb765f87a89a8	1188677	10.5	main	slash	15	square	global	LVF	yes	present	1	1625
5ea63190173fb765f87a89a8	1190793	10.5	main	slash	16	rectangle	local	RVF	yes	present	1	949
5ea63190173fb765f87a89a8	1192594	10.5	main	slash	17	rectangle	local	LVF	yes	present	1	777
5ea63190173fb765f87a89a8	1194884	10.5	main	slash	18	square	global	RVF	yes	present	1	1156
5ea63190173fb765f87a89a8	1197982	10.5	main	slash	19	absent	absent	absent	no	absent	1	2000
5ea63190173fb765f87a89a8	1200260	10.5	main	slash	20	square	global	LVF	yes	present	1	1048
5ea63190173fb765f87a89a8	1202336	10.5	main	slash	21	rectangle	global	RVF	yes	present	1	1021
5ea63190173fb765f87a89a8	1205353	10.5	main	slash	22	absent	absent	absent	no	absent	1	2000
5ea63190173fb765f87a89a8	1208579	10.5	main	slash	23	absent	absent	absent	no	absent	1	2000
5ea63190173fb765f87a89a8	1210579	10.5	main	slash	24	rectangle	local	LVF	yes	present	1	967
5ea63190173fb765f87a89a8	1213625	10.5	main	slash	25	absent	absent	absent	no	absent	1	2000
5ea63190173fb765f87a89a8	1215474	10.5	main	slash	26	rectangle	global	RVF	yes	present	1	758
5ea63190173fb765f87a89a8	1218560	10.5	main	slash	27	absent	absent	absent	no	absent	1	2000
5ea63190173fb765f87a89a8	1220745	10.5	main	slash	28	rectangle	global	LVF	yes	present	1	889
5ea63190173fb765f87a89a8	1222504	10.5	main	slash	29	square	local	LVF	yes	present	1	814
5ea63190173fb765f87a89a8	1224333	10.5	main	slash	30	rectangle	global	LVF	yes	present	1	816
5ea63190173fb765f87a89a8	1225981	10.5	main	slash	31	square	global	RVF	yes	present	1	660
5ea63190173fb765f87a89a8	1228068	10.5	main	slash	32	square	local	LVF	yes	present	1	1063
5ea63190173fb765f87a89a8	1229971	10.5	main	slash	33	absent	absent	absent	no	present	0	961
5ea63190173fb765f87a89a8	1231582	10.5	main	slash	34	square	local	LVF	yes	present	1	706
5ea63190173fb765f87a89a8	1233403	10.5	main	slash	35	rectangle	local	LVF	yes	present	1	759
5ea63190173fb765f87a89a8	1235518	10.5	main	slash	36	square	global	RVF	yes	present	1	1046
5ea63190173fb765f87a89a8	1237351	10.5	main	slash	37	square	global	LVF	yes	present	1	846
5ea63190173fb765f87a89a8	1239452	10.5	main	slash	38	rectangle	global	RVF	yes	present	1	1032
5ea63190173fb765f87a89a8	1242474	10.5	main	slash	39	absent	absent	absent	no	absent	1	2000
5ea63190173fb765f87a89a8	1244462	10.5	main	slash	40	square	global	LVF	yes	present	1	699
5ea63190173fb765f87a89a8	1247418	10.5	main	slash	41	absent	absent	absent	no	absent	1	2000
5ea63190173fb765f87a89a8	1249201	10.5	main	slash	42	square	local	RVF	yes	present	1	604
5ea63190173fb765f87a89a8	1251410	10.5	main	slash	43	square	global	RVF	yes	present	1	1063
5ea63190173fb765f87a89a8	1253178	10.5	main	slash	44	rectangle	global	LVF	yes	present	1	723
5ea63190173fb765f87a89a8	1254806	10.5	main	slash	45	square	global	RVF	yes	present	1	693
5ea63190173fb765f87a89a8	1257772	10.5	main	slash	46	absent	absent	absent	no	absent	1	2000
5ea63190173fb765f87a89a8	1259757	10.5	main	slash	47	square	global	RVF	yes	present	1	540
5ea63190173fb765f87a89a8	1261749	10.5	main	slash	48	rectangle	local	LVF	yes	present	1	1000
5ea63190173fb765f87a89a8	1263544	10.5	main	slash	49	square	global	LVF	yes	present	1	846
5ea63190173fb765f87a89a8	1265453	10.5	main	slash	50	square	global	RVF	yes	present	1	868
5ea63190173fb765f87a89a8	1267304	10.5	main	slash	51	rectangle	global	LVF	yes	present	1	804
5ea63190173fb765f87a89a8	1269271	10.5	main	slash	52	rectangle	local	RVF	yes	present	1	953
