subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5f0a14c3d362030c483654a3	614266	9.5	practice	z	1	rectangle	local	RVF	yes	absent	0	2000
5f0a14c3d362030c483654a3	617336	9.5	practice	z	2	rectangle	global	RVF	yes	present	1	739
5f0a14c3d362030c483654a3	621530	9.5	practice	z	3	absent	absent	absent	no	absent	1	2000
5f0a14c3d362030c483654a3	624590	9.5	practice	z	4	square	local	LVF	yes	present	1	894
5f0a14c3d362030c483654a3	627330	9.5	practice	z	5	square	local	LVF	yes	present	1	604
5f0a14c3d362030c483654a3	630333	9.5	practice	z	6	square	global	RVF	yes	present	1	840
5f0a14c3d362030c483654a3	633247	9.5	practice	z	7	rectangle	local	RVF	yes	present	1	923
5f0a14c3d362030c483654a3	637273	9.5	practice	z	8	absent	absent	absent	no	absent	1	2000
5f0a14c3d362030c483654a3	642857	9.5	practice	z	9	rectangle	global	LVF	yes	present	1	652
5f0a14c3d362030c483654a3	646888	9.5	practice	z	10	absent	absent	absent	no	absent	1	2000
5f0a14c3d362030c483654a3	649673	9.5	practice	z	11	rectangle	local	RVF	yes	present	1	703
5f0a14c3d362030c483654a3	652112	9.5	practice	z	12	square	global	LVF	yes	present	1	528
5f0a14c3d362030c483654a3	654624	9.5	practice	z	13	rectangle	global	LVF	yes	present	1	623
5f0a14c3d362030c483654a3	657287	9.5	practice	z	14	square	global	LVF	yes	present	1	620
5f0a14c3d362030c483654a3	659945	9.5	practice	z	15	rectangle	global	RVF	yes	present	1	729
5f0a14c3d362030c483654a3	663915	9.5	practice	z	16	absent	absent	absent	no	absent	1	2000
5f0a14c3d362030c483654a3	668386	10.5	main	z	1	rectangle	local	RVF	yes	present	1	843
5f0a14c3d362030c483654a3	670661	10.5	main	z	2	square	local	LVF	yes	present	1	853
5f0a14c3d362030c483654a3	672773	10.5	main	z	3	rectangle	global	LVF	yes	present	1	998
5f0a14c3d362030c483654a3	674542	10.5	main	z	4	square	global	LVF	yes	present	1	652
5f0a14c3d362030c483654a3	676414	10.5	main	z	5	square	global	RVF	yes	present	1	640
5f0a14c3d362030c483654a3	678554	10.5	main	z	6	square	local	LVF	yes	present	1	898
5f0a14c3d362030c483654a3	680664	10.5	main	z	7	square	local	RVF	yes	present	1	1008
5f0a14c3d362030c483654a3	682529	10.5	main	z	8	square	global	RVF	yes	present	1	758
5f0a14c3d362030c483654a3	685838	10.5	main	z	9	absent	absent	absent	no	absent	1	2000
5f0a14c3d362030c483654a3	688937	10.5	main	z	10	absent	absent	absent	no	absent	1	2000
5f0a14c3d362030c483654a3	691919	10.5	main	z	11	absent	absent	absent	no	absent	1	2000
5f0a14c3d362030c483654a3	693617	10.5	main	z	12	square	global	LVF	yes	present	1	749
5f0a14c3d362030c483654a3	695531	10.5	main	z	13	square	local	LVF	yes	present	1	781
5f0a14c3d362030c483654a3	697458	10.5	main	z	14	rectangle	local	LVF	yes	present	1	808
5f0a14c3d362030c483654a3	699454	10.5	main	z	15	square	global	RVF	yes	present	1	638
5f0a14c3d362030c483654a3	702469	10.5	main	z	16	square	local	RVF	yes	present	1	1904
5f0a14c3d362030c483654a3	705497	10.5	main	z	17	rectangle	global	LVF	yes	absent	0	2000
5f0a14c3d362030c483654a3	707320	10.5	main	z	18	rectangle	local	LVF	yes	present	1	723
5f0a14c3d362030c483654a3	710479	10.5	main	z	19	absent	absent	absent	no	absent	1	2000
5f0a14c3d362030c483654a3	712180	10.5	main	z	20	square	global	RVF	yes	present	1	686
5f0a14c3d362030c483654a3	715344	10.5	main	z	21	rectangle	local	RVF	yes	absent	0	2000
5f0a14c3d362030c483654a3	716972	10.5	main	z	22	rectangle	local	LVF	yes	present	1	612
5f0a14c3d362030c483654a3	718688	10.5	main	z	23	rectangle	global	RVF	yes	present	1	662
5f0a14c3d362030c483654a3	721842	10.5	main	z	24	absent	absent	absent	no	absent	1	2000
5f0a14c3d362030c483654a3	724464	10.5	main	z	25	rectangle	local	RVF	yes	present	1	1606
5f0a14c3d362030c483654a3	726254	10.5	main	z	26	rectangle	global	LVF	yes	present	1	765
5f0a14c3d362030c483654a3	728409	10.5	main	z	27	rectangle	local	RVF	yes	present	1	971
5f0a14c3d362030c483654a3	730390	10.5	main	z	28	rectangle	global	LVF	yes	present	1	785
5f0a14c3d362030c483654a3	733604	10.5	main	z	29	absent	absent	absent	no	absent	1	2000
5f0a14c3d362030c483654a3	735287	10.5	main	z	30	square	local	LVF	yes	present	1	717
5f0a14c3d362030c483654a3	737148	10.5	main	z	31	square	global	LVF	yes	present	1	812
5f0a14c3d362030c483654a3	738882	10.5	main	z	32	square	global	LVF	yes	present	1	646
