subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5f4e58804562c701d08b08d2	170461	1	practice	z	1	square	local	LVF	yes	present	1	1660
5f4e58804562c701d08b08d2	175887	1	practice	z	2	rectangle	local	RVF	yes	present	1	1888
5f4e58804562c701d08b08d2	178894	1	practice	z	3	square	global	LVF	yes	present	1	663
5f4e58804562c701d08b08d2	181739	1	practice	z	4	rectangle	global	RVF	yes	present	1	608
5f4e58804562c701d08b08d2	184247	1	practice	z	5	square	global	LVF	yes	present	1	468
5f4e58804562c701d08b08d2	188244	1	practice	z	6	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	190604	1	practice	z	7	rectangle	local	RVF	yes	present	1	678
5f4e58804562c701d08b08d2	193518	1	practice	z	8	rectangle	global	RVF	yes	present	1	593
5f4e58804562c701d08b08d2	196550	1	practice	z	9	square	global	RVF	yes	present	1	826
5f4e58804562c701d08b08d2	199841	1	practice	z	10	rectangle	local	RVF	yes	present	1	1251
5f4e58804562c701d08b08d2	202549	1	practice	z	11	square	local	LVF	yes	present	1	494
5f4e58804562c701d08b08d2	205130	1	practice	z	12	rectangle	global	LVF	yes	present	1	560
5f4e58804562c701d08b08d2	207763	1	practice	z	13	rectangle	global	LVF	yes	present	1	711
5f4e58804562c701d08b08d2	212184	1	practice	z	14	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	216232	1	practice	z	15	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	220114	1	practice	z	16	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	226726	2	main	z	1	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	228362	2	main	z	2	square	local	RVF	yes	present	1	554
5f4e58804562c701d08b08d2	230855	2	main	z	3	rectangle	local	LVF	yes	present	1	765
5f4e58804562c701d08b08d2	232844	2	main	z	4	square	local	RVF	yes	present	1	539
5f4e58804562c701d08b08d2	234779	2	main	z	5	rectangle	global	LVF	yes	present	1	608
5f4e58804562c701d08b08d2	237987	2	main	z	6	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	241069	2	main	z	7	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	244001	2	main	z	8	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	245442	2	main	z	9	square	global	LVF	yes	present	1	409
5f4e58804562c701d08b08d2	247341	2	main	z	10	square	global	LVF	yes	present	1	542
5f4e58804562c701d08b08d2	249042	2	main	z	11	square	local	RVF	yes	present	1	560
5f4e58804562c701d08b08d2	250663	2	main	z	12	square	local	LVF	yes	present	1	482
5f4e58804562c701d08b08d2	252318	2	main	z	13	rectangle	local	RVF	yes	present	1	554
5f4e58804562c701d08b08d2	253834	2	main	z	14	rectangle	local	RVF	yes	present	1	521
5f4e58804562c701d08b08d2	256879	2	main	z	15	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	258515	2	main	z	16	square	local	LVF	yes	present	1	470
5f4e58804562c701d08b08d2	261594	2	main	z	17	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	263270	2	main	z	18	square	global	RVF	yes	present	1	578
5f4e58804562c701d08b08d2	264843	2	main	z	19	rectangle	global	LVF	yes	present	1	551
5f4e58804562c701d08b08d2	267001	2	main	z	20	square	global	RVF	yes	present	1	1144
5f4e58804562c701d08b08d2	268665	2	main	z	21	rectangle	local	LVF	yes	present	1	542
5f4e58804562c701d08b08d2	270394	2	main	z	22	square	global	RVF	yes	present	1	738
5f4e58804562c701d08b08d2	272046	2	main	z	23	rectangle	local	RVF	yes	present	1	591
5f4e58804562c701d08b08d2	273598	2	main	z	24	square	local	LVF	yes	present	1	561
5f4e58804562c701d08b08d2	275070	2	main	z	25	square	local	LVF	yes	present	1	501
5f4e58804562c701d08b08d2	276656	2	main	z	26	square	global	LVF	yes	present	1	602
5f4e58804562c701d08b08d2	278281	2	main	z	27	rectangle	global	RVF	yes	present	1	529
5f4e58804562c701d08b08d2	281202	2	main	z	28	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	282471	2	main	z	29	rectangle	global	LVF	yes	present	1	587
5f4e58804562c701d08b08d2	283971	2	main	z	30	square	global	LVF	yes	present	1	438
5f4e58804562c701d08b08d2	286983	2	main	z	31	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	288549	2	main	z	32	square	global	RVF	yes	present	1	434
5f4e58804562c701d08b08d2	290199	2	main	z	33	rectangle	local	RVF	yes	present	1	517
5f4e58804562c701d08b08d2	291490	2	main	z	34	rectangle	global	RVF	yes	present	1	443
5f4e58804562c701d08b08d2	292955	2	main	z	35	rectangle	local	LVF	yes	present	1	526
5f4e58804562c701d08b08d2	294347	2	main	z	36	rectangle	global	RVF	yes	present	1	485
5f4e58804562c701d08b08d2	295863	2	main	z	37	square	local	RVF	yes	present	1	601
5f4e58804562c701d08b08d2	297173	2	main	z	38	rectangle	local	LVF	yes	present	1	462
5f4e58804562c701d08b08d2	298703	2	main	z	39	rectangle	global	LVF	yes	present	1	642
5f4e58804562c701d08b08d2	300055	2	main	z	40	rectangle	global	RVF	yes	present	1	479
5f4e58804562c701d08b08d2	301329	2	main	z	41	square	global	LVF	yes	present	1	452
5f4e58804562c701d08b08d2	302636	2	main	z	42	rectangle	global	RVF	yes	present	1	444
5f4e58804562c701d08b08d2	305458	2	main	z	43	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	306994	2	main	z	44	square	local	LVF	yes	present	1	471
5f4e58804562c701d08b08d2	309940	2	main	z	45	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	311607	2	main	z	46	square	global	LVF	yes	present	1	536
5f4e58804562c701d08b08d2	312960	2	main	z	47	square	global	RVF	yes	present	1	456
5f4e58804562c701d08b08d2	314209	2	main	z	48	rectangle	global	LVF	yes	present	1	388
5f4e58804562c701d08b08d2	315746	2	main	z	49	rectangle	local	LVF	yes	present	1	627
5f4e58804562c701d08b08d2	317091	2	main	z	50	rectangle	local	LVF	yes	present	1	422
5f4e58804562c701d08b08d2	318454	2	main	z	51	square	local	LVF	yes	present	1	486
5f4e58804562c701d08b08d2	320002	2	main	z	52	rectangle	global	RVF	yes	present	1	650
5f4e58804562c701d08b08d2	322884	2	main	z	53	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	324466	2	main	z	54	square	local	RVF	yes	present	1	534
5f4e58804562c701d08b08d2	325970	2	main	z	55	square	global	RVF	yes	present	1	588
5f4e58804562c701d08b08d2	327467	2	main	z	56	rectangle	local	LVF	yes	present	1	553
5f4e58804562c701d08b08d2	328936	2	main	z	57	square	local	LVF	yes	present	1	504
5f4e58804562c701d08b08d2	330383	2	main	z	58	square	global	RVF	yes	present	1	520
5f4e58804562c701d08b08d2	331826	2	main	z	59	square	local	LVF	yes	present	1	564
5f4e58804562c701d08b08d2	333368	2	main	z	60	square	global	LVF	yes	present	1	623
5f4e58804562c701d08b08d2	334819	2	main	z	61	square	local	RVF	yes	present	1	558
5f4e58804562c701d08b08d2	336275	2	main	z	62	rectangle	local	RVF	yes	present	1	580
5f4e58804562c701d08b08d2	337759	2	main	z	63	square	local	RVF	yes	present	1	512
5f4e58804562c701d08b08d2	339202	2	main	z	64	rectangle	global	RVF	yes	present	1	525
5f4e58804562c701d08b08d2	342092	2	main	z	65	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	343518	2	main	z	66	square	global	LVF	yes	present	1	394
5f4e58804562c701d08b08d2	344953	2	main	z	67	rectangle	local	LVF	yes	present	1	530
5f4e58804562c701d08b08d2	347990	2	main	z	68	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	351305	2	main	z	69	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	352702	2	main	z	70	rectangle	local	RVF	yes	present	1	512
5f4e58804562c701d08b08d2	354087	2	main	z	71	rectangle	global	LVF	yes	present	1	451
5f4e58804562c701d08b08d2	355345	2	main	z	72	square	global	RVF	yes	present	1	442
5f4e58804562c701d08b08d2	358185	2	main	z	73	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	359534	2	main	z	74	rectangle	global	RVF	yes	present	1	467
5f4e58804562c701d08b08d2	360886	2	main	z	75	rectangle	global	LVF	yes	present	1	519
5f4e58804562c701d08b08d2	362082	2	main	z	76	rectangle	global	LVF	yes	present	1	367
5f4e58804562c701d08b08d2	363211	2	main	z	77	square	local	RVF	yes	present	1	329
5f4e58804562c701d08b08d2	364638	2	main	z	78	rectangle	local	RVF	yes	present	1	473
5f4e58804562c701d08b08d2	365940	2	main	z	79	rectangle	local	RVF	yes	present	1	441
5f4e58804562c701d08b08d2	368797	2	main	z	80	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	394352	3	practice	slash	1	rectangle	local	RVF	yes	present	1	832
5f4e58804562c701d08b08d2	396905	3	practice	slash	2	rectangle	global	LVF	yes	present	1	486
5f4e58804562c701d08b08d2	399116	3	practice	slash	3	rectangle	global	RVF	yes	present	1	297
5f4e58804562c701d08b08d2	403017	3	practice	slash	4	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	405404	3	practice	slash	5	square	global	LVF	yes	present	1	454
5f4e58804562c701d08b08d2	409415	3	practice	slash	6	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	411791	3	practice	slash	7	rectangle	global	RVF	yes	present	1	495
5f4e58804562c701d08b08d2	414390	3	practice	slash	8	rectangle	local	RVF	yes	present	1	495
5f4e58804562c701d08b08d2	418794	3	practice	slash	9	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	421129	3	practice	slash	10	rectangle	local	RVF	yes	present	1	586
5f4e58804562c701d08b08d2	423523	3	practice	slash	11	rectangle	global	LVF	yes	present	1	399
5f4e58804562c701d08b08d2	425923	3	practice	slash	12	square	global	RVF	yes	present	1	433
5f4e58804562c701d08b08d2	429889	3	practice	slash	13	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	432528	3	practice	slash	14	square	local	LVF	yes	present	1	457
5f4e58804562c701d08b08d2	435013	3	practice	slash	15	square	global	LVF	yes	present	1	626
5f4e58804562c701d08b08d2	437311	3	practice	slash	16	square	local	LVF	yes	present	1	326
5f4e58804562c701d08b08d2	441341	4	main	slash	1	rectangle	local	RVF	yes	present	1	558
5f4e58804562c701d08b08d2	443450	4	main	slash	2	rectangle	local	LVF	yes	present	1	653
5f4e58804562c701d08b08d2	445117	4	main	slash	3	rectangle	global	RVF	yes	present	1	637
5f4e58804562c701d08b08d2	448196	4	main	slash	4	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	450502	4	main	slash	5	square	local	LVF	yes	present	1	525
5f4e58804562c701d08b08d2	452403	4	main	slash	6	rectangle	local	LVF	yes	present	1	526
5f4e58804562c701d08b08d2	453848	4	main	slash	7	square	global	LVF	yes	present	1	521
5f4e58804562c701d08b08d2	455319	4	main	slash	8	rectangle	local	LVF	yes	present	1	609
5f4e58804562c701d08b08d2	458225	4	main	slash	9	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	460203	4	main	slash	10	square	local	RVF	yes	present	1	529
5f4e58804562c701d08b08d2	461579	4	main	slash	11	square	global	LVF	yes	present	1	489
5f4e58804562c701d08b08d2	463191	4	main	slash	12	square	global	LVF	yes	present	1	702
5f4e58804562c701d08b08d2	464559	4	main	slash	13	square	local	RVF	yes	present	1	437
5f4e58804562c701d08b08d2	466003	4	main	slash	14	rectangle	local	LVF	yes	present	1	399
5f4e58804562c701d08b08d2	467408	4	main	slash	15	absent	absent	absent	no	present	0	488
5f4e58804562c701d08b08d2	470786	4	main	slash	16	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	472252	4	main	slash	17	rectangle	global	LVF	yes	present	1	401
5f4e58804562c701d08b08d2	475184	4	main	slash	18	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	476804	4	main	slash	19	rectangle	global	LVF	yes	present	1	555
5f4e58804562c701d08b08d2	478671	4	main	slash	20	square	local	RVF	yes	present	1	472
5f4e58804562c701d08b08d2	480115	4	main	slash	21	square	local	LVF	yes	present	1	433
5f4e58804562c701d08b08d2	481605	4	main	slash	22	rectangle	global	RVF	yes	present	1	558
5f4e58804562c701d08b08d2	482948	4	main	slash	23	rectangle	global	RVF	yes	present	1	434
5f4e58804562c701d08b08d2	484424	4	main	slash	24	square	global	RVF	yes	present	1	560
5f4e58804562c701d08b08d2	485789	4	main	slash	25	square	local	RVF	yes	present	1	477
5f4e58804562c701d08b08d2	487163	4	main	slash	26	rectangle	local	RVF	yes	present	1	484
5f4e58804562c701d08b08d2	488552	4	main	slash	27	rectangle	local	RVF	yes	present	1	489
5f4e58804562c701d08b08d2	489925	4	main	slash	28	rectangle	global	LVF	yes	present	1	532
5f4e58804562c701d08b08d2	491267	4	main	slash	29	square	global	RVF	yes	present	1	473
5f4e58804562c701d08b08d2	494110	4	main	slash	30	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	496017	4	main	slash	31	square	global	LVF	yes	present	1	393
5f4e58804562c701d08b08d2	497295	4	main	slash	32	square	global	RVF	yes	present	1	438
5f4e58804562c701d08b08d2	498683	4	main	slash	33	square	local	LVF	yes	present	1	509
5f4e58804562c701d08b08d2	500243	4	main	slash	34	rectangle	local	RVF	yes	present	1	671
5f4e58804562c701d08b08d2	503089	4	main	slash	35	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	504773	4	main	slash	36	rectangle	global	LVF	yes	present	1	435
5f4e58804562c701d08b08d2	507654	4	main	slash	37	absent	absent	absent	no	absent	1	2000
5f4e58804562c701d08b08d2	509287	4	main	slash	38	square	local	LVF	yes	present	1	468
5f4e58804562c701d08b08d2	510628	4	main	slash	39	rectangle	global	RVF	yes	present	1	393
5f4e58804562c701d08b08d2	512050	4	main	slash	40	square	global	RVF	yes	present	1	508
5f4e58804562c701d08b08d2	513421	4	main	slash	41	square	local	RVF	yes	present	1	454
5f4e58804562c701d08b08d2	514633	4	main	slash	42	absent	absent	absent	no	present	0	350
5f4e58804562c701d08b08d2	516600	4	main	slash	43	square	global	RVF	yes	present	1	485
5f4e58804562c701d08b08d2	517928	4	main	slash	44	rectangle	local	RVF	yes	present	1	463
5f4e58804562c701d08b08d2	519328	4	main	slash	45	square	local	LVF	yes	present	1	530
5f4e58804562c701d08b08d2	520748	4	main	slash	46	square	global	LVF	yes	present	1	533
5f4e58804562c701d08b08d2	522066	4	main	slash	47	square	local	LVF	yes	present	1	486
5f4e58804562c701d08b08d2	523525	4	main	slash	48	square	global	LVF	yes	present	1	613
5f4e58804562c701d08b08d2	524847	4	main	slash	49	square	global	RVF	yes	present	1	484
5f4e58804562c701d08b08d2	526224	4	main	slash	50	rectangle	local	LVF	yes	present	1	529
5f4e58804562c701d08b08d2	527515	4	main	slash	51	rectangle	local	RVF	yes	present	1	438
5f4e58804562c701d08b08d2	528878	4	main	slash	52	rectangle	global	RVF	yes	present	1	485
5f4e58804562c701d08b08d2	530252	4	main	slash	53	square	local	RVF	yes	present	1	492
5f4e58804562c701d08b08d2	531641	4	main	slash	54	square	local	LVF	yes	present	1	513
