subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5f590fd00f0eec104b473961	177299	1	practice	slash	1	square	global	LVF	yes	present	1	489
5f590fd00f0eec104b473961	211099	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
5f590fd00f0eec104b473961	217688	1	practice	slash	3	rectangle	global	LVF	yes	present	1	482
5f590fd00f0eec104b473961	222240	1	practice	slash	4	absent	absent	absent	no	absent	1	2000
5f590fd00f0eec104b473961	225640	1	practice	slash	5	rectangle	global	RVF	yes	present	1	759
5f590fd00f0eec104b473961	229594	1	practice	slash	6	square	global	LVF	yes	present	1	1579
5f590fd00f0eec104b473961	234035	1	practice	slash	7	rectangle	local	RVF	yes	present	1	1017
5f590fd00f0eec104b473961	237051	1	practice	slash	8	rectangle	global	RVF	yes	present	1	796
5f590fd00f0eec104b473961	240132	1	practice	slash	9	rectangle	local	RVF	yes	present	1	793
5f590fd00f0eec104b473961	242957	1	practice	slash	10	rectangle	local	RVF	yes	present	1	665
5f590fd00f0eec104b473961	245659	1	practice	slash	11	square	global	RVF	yes	present	1	548
5f590fd00f0eec104b473961	248392	1	practice	slash	12	square	local	LVF	yes	present	1	696
5f590fd00f0eec104b473961	252465	1	practice	slash	13	absent	absent	absent	no	absent	1	2000
5f590fd00f0eec104b473961	258521	1	practice	slash	14	square	local	LVF	yes	present	1	602
5f590fd00f0eec104b473961	261467	1	practice	slash	15	rectangle	global	LVF	yes	present	1	911
5f590fd00f0eec104b473961	265605	1	practice	slash	16	absent	absent	absent	no	absent	1	2000
5f590fd00f0eec104b473961	283113	2	main	slash	1	rectangle	local	RVF	yes	present	1	661
5f590fd00f0eec104b473961	286242	2	main	slash	2	square	global	RVF	yes	present	1	590
5f590fd00f0eec104b473961	288674	2	main	slash	3	square	local	LVF	yes	present	1	820
5f590fd00f0eec104b473961	291996	2	main	slash	4	square	global	RVF	yes	present	1	821
5f590fd00f0eec104b473961	294245	2	main	slash	5	square	global	LVF	yes	present	1	603
5f590fd00f0eec104b473961	296568	2	main	slash	6	square	local	RVF	yes	present	1	607
5f590fd00f0eec104b473961	298545	2	main	slash	7	square	global	LVF	yes	present	1	734
